,Player,Book,Type,OU,Line,Price,BetValue,Last Update,Recommended
138,James Wood,BetMGM,batter_singles,Over,0.5,150,0.0729999999999999,03/27 13:56,N
140,Jackson Holliday,DraftKings,batter_hits,Under,0.5,130,0.072,03/27 13:56,N
142,Jackson Merrill,BetRivers,batter_hits,Over,1.5,375,0.0719999999999999,03/27 13:56,N
146,Gavin Lux,DraftKings,batter_walks,Under,0.5,-190,0.0709999999999999,03/27 13:56,N
149,Keibert Ruiz,BetMGM,batter_singles,Over,0.5,145,0.07,03/27 13:56,N
147,Derek Hill,DraftKings,batter_walks,Under,0.5,-475,0.07,03/27 13:56,N
150,Shohei Ohtani,BetMGM,batter_home_runs,Over,0.5,450,0.07,03/27 13:56,N
151,Oneil Cruz,FanDuel,batter_hits,Over,1.5,370,0.0699999999999999,03/27 13:56,N
156,Colt Keith,BetMGM,batter_hits,Over,0.5,-110,0.0689999999999999,03/27 13:56,N
158,Justin Steele,DraftKings,pitcher_walks,Over,1.5,110,0.067,03/27 13:56,N
160,Logan Webb,FanDuel,pitcher_strikeouts,Over,4.5,-154,0.067,03/27 13:56,N
159,Garrett Crochet,DraftKings,pitcher_hits_allowed,Over,3.5,-135,0.067,03/27 13:56,N
161,Jung Hoo Lee,BetRivers,batter_hits,Over,1.5,335,0.0669999999999999,03/27 13:56,N
166,Trevor Story,DraftKings,batter_singles,Under,0.5,-130,0.066,03/27 13:56,N
171,Jose Berrios,BetRivers,pitcher_outs,Over,15.5,-117,0.0659999999999999,03/27 13:56,N
172,Otto Lopez,BetRivers,batter_hits,Over,0.5,-141,0.065,03/27 13:56,N
175,Jackson Holliday,BetMGM,batter_singles,Under,0.5,-145,0.065,03/27 13:56,N
178,Sandy Alcantara,DraftKings,pitcher_walks,Under,1.5,-170,0.0649999999999999,03/27 13:56,N
179,Lane Thomas,DraftKings,batter_walks,Under,0.5,-195,0.0649999999999999,03/27 13:56,N
180,Bryan Reynolds,DraftKings,batter_walks,Under,0.5,-215,0.0649999999999999,03/27 13:56,N
186,Matt Wallner,FanDuel,batter_hits,Over,1.5,500,0.064,03/27 13:56,N
184,Fernando Tatis Jr.,BetRivers,batter_hits,Over,1.5,400,0.064,03/27 13:56,N
183,Jorge Soler,DraftKings,batter_walks,Under,0.5,-150,0.064,03/27 13:56,N
188,Xavier Edwards,BetRivers,batter_hits,Over,1.5,295,0.063,03/27 13:56,N
190,C.J. Abrams,BetMGM,batter_singles,Over,0.5,130,0.063,03/27 13:56,N
194,James Wood,DraftKings,batter_walks,Under,0.5,-155,0.062,03/27 13:56,N
193,Carlos Correa,DraftKings,batter_singles,Under,0.5,110,0.062,03/27 13:56,N
195,Jurickson Profar,BetRivers,batter_hits,Over,1.5,370,0.062,03/27 13:56,N
197,Tyler O'Neill,BetMGM,batter_hits,Under,0.5,155,0.062,03/27 13:56,N
196,Jackson Merrill,Caesars,batter_home_runs,Over,0.5,1200,0.062,03/27 13:56,N
198,Victor Robles,DraftKings,batter_walks,Over,0.5,330,0.0619999999999999,03/27 13:56,N
199,Elly De La Cruz,DraftKings,batter_walks,Under,0.5,-180,0.0619999999999999,03/27 13:56,N
