,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
264,Colby Thomas,OAK,67.9497,262.325,239.136,55.6384,31.0706,13.2801,0.905144,10.3825,31.4385,32.0771,15.5863,0.00628476,80.4565,4.24687,2.3698,0.986429,3.77438,4.41086,1.4486,0.232665,0.05941599161345659,0.30670542266272754,0.193724,0.288788,0.426019,0.307925,0.714807,0.193354,5.01132,0.300372,-0.095834,-0.0470632,29.9031,-1.09259,96.2367,-0.142897,0.664259,-1.3096908777952194,-1.3479322791099548,0.636443,744.5900268554688,1.78659,-2.85515,0.97266,1.78659,2.85515,3.70312,276.8,4.070588235,276.8,4.070588235,,,,,,,,,,,,,,,,,,,Colby Thomas,31855,687515,687515.0
265,Nolan Gorman,STL,123.509,502.81,447.25,94.5934,55.2284,17.953,0.548292,20.8637,57.0619,63.3225,49.9111,1.53215,164.505,1.93464,3.55087,0.163663,4.1517,3.85912,1.23896,0.2115,0.09926433444044469,0.3271712973091227,0.303402,0.291336,0.39404,0.298209,0.685376,0.18254,3.1476,0.277773,-1.01844,-0.432307,53.3504,-6.06048,89.5626,-1.45075,1.10415,-7.653456211090088,-3.159289240837097,0.634799,662.6199951171875,2.64276,-1.66414,0.908416,2.64276,1.66414,3.78878,501.1,4.041129032,501.1,4.041129032,,,,,,,,,,,,,,,,,,,Nolan Gorman,22263,669357,669357.0
266,Kyle Karros,COL,58.2947,231.638,207.666,53.4302,37.1548,11.5019,0.949242,3.82418,26.946,22.109,19.6676,0.993561,54.4763,2.68433,1.47202,0.147286,4.50063,2.09465,0.45019,0.257289,0.08490662153878034,0.23517859763942014,0.361031,0.327366,0.377062,0.309472,0.704429,0.119774,4.31645,0.32887,-0.126607,-0.151717,26.6959,-0.673845,83.9306,-0.278324,2.2496,-4.690001279115677,3.149213910102844,0.630844,999.0,1.83181,0.384011,1.37088,1.83181,-0.384011,3.17216,239.7,4.13275862,239.7,4.13275862,,,,,,,,,,,,,,,,,,,Kyle Karros,33252,691720,691720.0
267,Spencer Steer,CIN,100.209,413.004,365.885,86.0596,53.1957,18.2539,1.29437,13.3156,47.8876,50.445,39.6355,0.206649,89.3945,4.94012,2.16448,0.379362,5.37755,7.15126,1.91456,0.23521,0.09596880417623073,0.21644947748690083,0.443377,0.316596,0.401353,0.314743,0.717949,0.166144,4.4828,0.274155,-0.247852,0.00211632,49.3655,0.565839,96.3138,-0.245736,0.88595,-2.050104036927223,-5.552832245826721,0.627975,326.1300048828125,5.20424,0.445969,0.419431,5.20424,-0.445969,4.44076,438.4,4.384,438.4,4.384,,,,,,,,,,,,,,,,,,,Spencer Steer,26323,668715,668715.0
268,Lourdes Gurriel Jr.,ARI,81.4053,342.249,315.757,83.2946,55.2223,16.0044,1.1697,10.8983,38.2753,44.9508,19.6084,0.411546,54.3732,3.47956,3.26237,0.14186,6.45612,5.01394,1.63165,0.263794,0.05729278975249014,0.1588702961878632,0.360626,0.310963,0.425433,0.317855,0.736396,0.161639,4.20984,0.285309,-0.134259,-0.179665,41.7732,1.33385,102.342,-0.313924,-0.273149,0.6360854506492615,-5.916919320821762,0.624707,698.3900146484375,3.18054,-0.201225,0.992684,3.18054,0.201225,3.67642,377.2,4.656790123,377.2,4.656790123,,,,,,,,,,,,,,,,,,,Lourdes Gurriel Jr.,19238,666971,666971.0
269,Javier Sanoja,MIA,61.028,223.502,205.759,53.1774,36.3702,11.3716,1.82103,3.61463,24.0796,22.7141,13.2113,0.439219,25.2836,1.11177,1.94864,1.47183,4.03652,5.12096,2.23902,0.258446,0.05911043301625936,0.11312471476765308,0.522526,0.304015,0.384115,0.298812,0.688129,0.125669,5.16797,0.277183,0.168353,-0.224486,23.8239,-2.58462,88.9398,-0.0561323,0.521821,-2.985934715718031,1.5935125946998596,0.618331,999.0,4.02875,0.608317,1.48026,4.02875,-0.608317,3.02631,217.6,3.567213114,217.6,3.567213114,,,,,,,,,,,,,,,,,,,Javier Sanoja,28253,691594,691594.0
270,JJ Bleday,CIN,85.4823,333.572,295.336,67.0299,37.7446,15.2047,0.924128,13.1564,40.0146,39.5143,34.9765,1.01818,77.9364,1.25812,1.79202,0.209026,4.27506,2.32463,0.937141,0.226961,0.10485442423224971,0.23364191239072826,0.448783,0.309766,0.418343,0.315939,0.728109,0.191382,3.56128,0.261477,-0.198438,-0.400515,40.1952,0.781121,97.1336,-0.598953,0.401193,-1.732183039188385,-3.336459219455719,0.616881,999.0,2.19449,-1.07834,0.599138,2.19449,1.07834,4.20115,360.6,4.242352941,360.6,4.242352941,,,,,,,,,,,,,,,,,,,JJ Bleday,26368,668709,668709.0
271,Austin Hays,CWS,111.417,448.646,409.88,100.579,63.9076,20.8487,2.0547,13.768,52.7339,52.6155,29.3326,1.07671,109.495,4.81055,3.96595,0.657555,7.05105,5.66329,1.18428,0.245387,0.06538027754621684,0.2440565612977715,0.267889,0.300727,0.407049,0.30613,0.707776,0.161662,4.71179,0.298749,-0.283775,0.00748479,50.4884,-2.52266,95.0033,-0.27629,-0.405874,-2.925857156515121,-6.2617795169353485,0.613516,595.0999755859375,3.67862,1.70988,0.325071,3.67862,-1.70988,4.56657,470.1,4.235135135,470.1,4.235135135,,,,,,,,,,,,,,,,,,,Austin Hays,19363,669720,669720.0
272,Keibert Ruiz,WSH,85.8552,334.4,312.19,74.9762,52.9244,14.4566,0.158902,7.43638,30.0877,36.1405,16.0203,0.210103,38.5049,3.72836,2.29248,0.169052,6.14648,1.56624,0.717353,0.240162,0.047907595693779906,0.11514623205741627,0.416058,0.283411,0.358947,0.280902,0.642358,0.118785,2.33706,0.251506,-0.371097,-0.458898,30.7825,-8.72948,78.0324,-0.829995,-2.22339,-9.53647392988205,4.40123724937439,0.612886,743.6900024414062,2.00339,1.28485,0.908859,2.00339,-1.28485,3.78819,275.4,3.202325581,275.4,3.202325581,,,,,,,,,,,,,,,,,,,Keibert Ruiz,19610,660688,660688.0
273,Wenceel Perez,DET,109.058,443.706,400.743,94.6012,59.8121,18.6213,4.19693,11.9709,53.3859,46.2401,35.2522,0.352464,96.5701,3.1555,3.66652,0.888655,4.96568,10.0357,3.24654,0.236064,0.079449455269931,0.21764434107269226,0.365043,0.30037,0.393092,0.301814,0.693462,0.157028,5.97509,0.27928,0.454832,0.0315434,48.3778,-4.04953,92.2015,0.486376,-1.06651,-3.591935396194458,-5.756460189819336,0.606022,999.0,1.49755,0.572778,0.499045,1.49755,-0.572778,4.33461,446.3,4.094495412,446.3,4.094495412,,,,,,,,,,,,,,,,,,,Wenceel Perez,22857,672761,672761.0
