,BatterName,batter,PA L15,xwOBA L15,xwOBA OE L15,PA,xwOBA,xwOBA OE,Hot Score
207,Will Smith,669257,39.0,0.341,0.033,335.0,0.399,0.072,-0.03899999999999999
25,Brandon Nimmo,607043,54.0,0.294,-0.045,432.0,0.339,-0.006,-0.039
40,Carson Kelly,608348,37.0,0.336,-0.006,267.0,0.367,0.033,-0.039
63,Francisco Lindor,596019,55.0,0.301,-0.06,479.0,0.33,-0.018,-0.041999999999999996
182,Sean Murphy,669221,41.0,0.287,-0.042,261.0,0.337,0.0,-0.042
77,Ivan Herrera,671056,54.0,0.326,-0.006,227.0,0.365,0.037,-0.043
4,Adley Rutschman,668939,48.0,0.307,-0.034,285.0,0.351,0.009,-0.043000000000000003
205,Vinnie Pasquantino,686469,57.0,0.303,-0.045,447.0,0.341,-0.001,-0.044
216,Yainer Diaz,673237,48.0,0.294,-0.033,380.0,0.343,0.012,-0.045
110,Jung Hoo Lee,808982,51.0,0.286,-0.064,427.0,0.327,-0.017,-0.047
133,Manny Machado,592518,56.0,0.33,0.011,460.0,0.395,0.058,-0.047
193,Teoscar Hernandez,606192,45.0,0.291,-0.034,352.0,0.343,0.014,-0.048
33,Bryson Stott,681082,34.0,0.262,-0.086,381.0,0.31,-0.037,-0.048999999999999995
96,Jonathan India,663697,48.0,0.273,-0.051,432.0,0.334,-0.002,-0.048999999999999995
137,Masyn Winn,691026,49.0,0.26,-0.076,405.0,0.305,-0.027,-0.049
41,Ceddanne Rafaela,678882,52.0,0.287,-0.049,384.0,0.332,0.001,-0.05
35,Cal Raleigh,663728,57.0,0.309,-0.018,453.0,0.381,0.032,-0.05
57,Eli White,642201,49.0,0.263,-0.076,195.0,0.31,-0.025,-0.051
217,Yandy Diaz,650490,54.0,0.303,-0.025,451.0,0.365,0.026,-0.051000000000000004
181,Salvador Perez,521692,59.0,0.317,-0.015,421.0,0.371,0.041,-0.056
138,Matt Chapman,656305,49.0,0.298,-0.035,354.0,0.364,0.023,-0.058
115,Kody Clemens,665019,53.0,0.297,-0.055,199.0,0.363,0.004,-0.059
162,Nolan Schanuel,694384,58.0,0.274,-0.071,444.0,0.341,-0.01,-0.06099999999999999
81,Jackson Holliday,702616,52.0,0.26,-0.085,426.0,0.328,-0.017,-0.068
72,Heliot Ramos,671218,61.0,0.278,-0.071,461.0,0.334,-0.002,-0.06899999999999999
164,Otto Lopez,672640,57.0,0.292,-0.044,373.0,0.361,0.025,-0.069
166,Patrick Bailey,672275,42.0,0.218,-0.142,287.0,0.271,-0.072,-0.06999999999999999
105,Josh Lowe,666139,54.0,0.276,-0.081,249.0,0.331,-0.011,-0.07
122,Lars Nootbaar,663457,31.0,0.237,-0.089,384.0,0.331,-0.017,-0.072
200,Tyler Freeman,671289,51.0,0.293,-0.057,229.0,0.348,0.016,-0.07300000000000001
32,Bryce Harper,547180,52.0,0.327,-0.01,348.0,0.39,0.064,-0.074
88,Jasson Dominguez,691176,34.0,0.26,-0.094,341.0,0.319,-0.019,-0.075
107,Josh Smith,669701,52.0,0.261,-0.088,378.0,0.329,-0.013,-0.075
140,Matt Olson,621566,63.0,0.292,-0.041,471.0,0.384,0.034,-0.07500000000000001
3,Addison Barger,680718,49.0,0.302,-0.054,315.0,0.363,0.022,-0.076
94,Jo Adell,666176,50.0,0.317,-0.011,375.0,0.385,0.065,-0.076
145,Michael Busch,683737,45.0,0.291,-0.028,383.0,0.391,0.048,-0.076
163,Oneil Cruz,665833,49.0,0.257,-0.059,401.0,0.351,0.019,-0.078
120,Kyle Stowers,669065,60.0,0.295,-0.027,385.0,0.398,0.053,-0.08
86,James Wood,695578,57.0,0.312,-0.042,457.0,0.379,0.038,-0.08
36,Caleb Durbin,702332,40.0,0.255,-0.109,306.0,0.306,-0.027,-0.082
85,Jake Mangum,663968,40.0,0.206,-0.143,261.0,0.288,-0.06,-0.08299999999999999
7,Alec Burleson,676475,53.0,0.272,-0.068,365.0,0.357,0.015,-0.083
119,Kyle Schwarber,656941,55.0,0.327,-0.004,471.0,0.431,0.085,-0.08900000000000001
17,Austin Hays,669720,49.0,0.247,-0.076,239.0,0.341,0.014,-0.09
27,Brent Rooker,667670,56.0,0.295,-0.049,474.0,0.381,0.044,-0.093
126,Logan O'Hoppe,681351,35.0,0.255,-0.086,326.0,0.331,0.008,-0.094
139,Matt McLain,680574,49.0,0.22,-0.123,402.0,0.297,-0.028,-0.095
26,Brendan Donovan,680977,40.0,0.273,-0.075,433.0,0.363,0.021,-0.096
37,Cam Smith,701358,40.0,0.253,-0.093,370.0,0.328,0.004,-0.097
5,Adolis Garcia,666969,56.0,0.219,-0.11,417.0,0.324,-0.011,-0.099
