,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
11,Corbin Carroll,ARI,154,665,581,153,85,31,12,25,114,84,70,3,139,10,5,0,,36,8,0.263222,0.10526315789473684,0.20902255639097744,0.502552,0.34966,0.485619,0.357359,0.835279,0.222396,8.42137,0.303322,2.83124,3.05892,102.496,23.9206,129.404,5.89016,6.43718,29.064979553222656,-0.3878173828125,5.19767,8.0,,,,,,,955.1,6.201948051,955.1,6.201948051,,,,,,,,,,,,,,,,,,,Corbin Carroll,25878,682998,682998.0
12,Vladimir Guerrero Jr.,TOR,157,679,592,180,111,35,1,33,96,102,75,5,91,6,5,0,,6,3,0.303501,0.11045655375552282,0.13402061855670103,0.82773,0.385353,0.530698,0.390694,0.916051,0.227197,2.93597,0.310747,-0.507971,-1.19878,123.03,42.8008,154.282,-1.70675,-2.61101,41.733792424201965,-14.936009645462036,5.1328,17.920000076293945,,,,,,,1079.4,6.875159235,1079.4,6.875159235,,,,,,,,,,,,,,,,,,,Vladimir Guerrero Jr.,19611,665489,665489.0
13,Yordan Alvarez,HOU,130,560,482,145,83,28,1,33,85,91,67,4,95,8,4,0,,5,2,0.301473,0.11964285714285715,0.16964285714285715,0.706758,0.392271,0.569197,0.406613,0.961468,0.267724,3.32753,0.314254,-0.924987,-0.708654,108.706,42.5377,165.22,-1.63364,1.05226,41.41294026374817,-10.747735738754272,5.10944,44.31999969482422,,,,,,,956.0,7.353846153,956.0,7.353846153,,,,,,,,,,,,,,,,,,,Yordan Alvarez,19556,670541,670541.0
14,Corey Seager,TEX,130,560,492,136,81,25,0,29,74,83,59,3,102,5,4,0,,3,1,0.275877,0.10535714285714286,0.18214285714285713,0.581308,0.356996,0.505264,0.368478,0.862259,0.229387,2.73464,0.292695,-1.07758,-0.703293,91.3672,25.1989,139.78,-1.78088,2.59767,24.474799752235413,6.097672462463379,5.09995,108.31999969482422,,,,,,,809.6,6.227692307,809.6,6.227692307,,,,,,,,,,,,,,,,,,,Corey Seager,13624,608369,608369.0
15,William Contreras,MIL,152,610,532,142,92,29,1,20,76,74,69,2,119,4,4,1,,7,2,0.267265,0.11311475409836065,0.19508196721311474,0.578891,0.353375,0.43797,0.344227,0.791346,0.170705,3.32695,0.307764,-0.664663,-0.639654,87.5143,15.4381,122.146,-1.30432,5.95157,14.70681083202362,13.501574039459229,4.96249,54.11000061035156,,,,,,,767.7,5.050657894,767.7,5.050657894,,,,,,,,,,,,,,,,,,,William Contreras,20503,661388,661388.0
16,Kyle Tucker,LAD,151,651,561,152,89,31,2,30,91,92,82,4,96,4,5,0,,24,4,0.270976,0.1259600614439324,0.14746543778801843,0.85013,0.364858,0.494107,0.368326,0.858965,0.223132,5.24837,0.277485,0.0316767,2.04618,106.134,29.2135,138.41,2.07786,1.53386,31.713521480560303,-5.441136240959168,4.90397,17.030000686645508,,,,,,,965.9,6.396688741,965.9,6.396688741,,,,,,,,,,,,,,,,,,,Kyle Tucker,18345,663656,663656.0
17,Francisco Lindor,NYM,159,686,610,155,97,30,1,27,83,87,60,2,129,11,5,0,,26,6,0.253533,0.08746355685131195,0.1880466472303207,0.466927,0.32964,0.436637,0.33211,0.766278,0.183105,5.02622,0.279145,-0.593103,1.6337,91.6693,10.6131,116.392,1.0406,3.64188,14.368462085723875,10.491879224777222,4.87864,17.31999969482422,,,,,,,850.1,5.34654088,850.1,5.34654088,,,,,,,,,,,,,,,,,,,Francisco Lindor,12916,596019,596019.0
18,Jose Ramirez,CLE,157,679,605,160,99,34,3,23,88,85,65,3,82,5,5,0,,38,8,0.263828,0.09572901325478646,0.12076583210603829,0.790761,0.337438,0.444327,0.337879,0.781765,0.180499,5.83751,0.270615,-0.0928975,3.01434,93.9139,13.6849,118.48,2.92144,4.81262,17.710930585861206,5.037621736526489,4.71851,5.840000152587891,,,,,,,882.7,5.622292993,882.7,5.622292993,,,,,,,,,,,,,,,,,,,Jose Ramirez,13510,608070,608070.0
19,Pete Crow-Armstrong,CHC,149,644,592,151,90,30,6,25,88,83,37,2,155,9,5,1,,37,10,0.255011,0.05745341614906832,0.2406832298136646,0.236913,0.306493,0.451719,0.324739,0.758212,0.196708,7.40881,0.302894,1.1393,2.39132,82.2026,6.10908,109.834,3.53062,10.1753,11.03665018081665,12.475308179855348,4.59772,34.15999984741211,,,,,,,790.1,5.302684563,790.1,5.302684563,,,,,,,,,,,,,,,,,,,Pete Crow-Armstrong,27769,691718,691718.0
20,Junior Caminero,TB,154,665,612,169,101,30,3,36,90,100,43,3,130,4,5,0,,5,3,0.276261,0.06466165413533835,0.19548872180451127,0.334764,0.32641,0.509655,0.354628,0.836065,0.233395,3.82664,0.295458,-0.0842107,-1.05969,101.021,22.4459,127.952,-1.1439,-0.526147,20.763935208320618,1.2488529086112976,4.59394,15.1899995803833,,,,,,,919.0,5.967532467,919.0,5.967532467,,,,,,,,,,,,,,,,,,,Junior Caminero,28163,691406,691406.0
21,Wyatt Langford,TEX,149,644,560,144,87,29,2,26,86,83,74,3,145,5,5,0,,23,6,0.257952,0.11490683229813664,0.2251552795031056,0.511851,0.347915,0.45698,0.347862,0.804894,0.199028,5.43739,0.301169,0.694551,1.16214,94.2928,18.1992,125.578,1.8567,5.93754,21.271212816238403,1.3375372886657717,4.58096,51.810001373291016,,,,,,,850.2,5.706040268,850.2,5.706040268,,,,,,,,,,,,,,,,,,,Wyatt Langford,33333,694671,694671.0
