,Date,game_id,Team,RoadTeam,HomeTeam,Spot,Player,HID,SP,SPID,Opp,p_throws,h_stand
53,2026-02-20,832042,CHC,CWS,CHC,9,Scott Kingery,664068,Jonathan Cannon,686563,CWS,R,R
54,2026-02-20,831959,ARI,ARI,COL,1,Ketel Marte,606466,Antonio Senzatela,622608,COL,R,S
55,2026-02-20,831959,ARI,ARI,COL,2,Geraldo Perdomo,672695,Antonio Senzatela,622608,COL,R,S
56,2026-02-20,831959,ARI,ARI,COL,3,Pavin Smith,656976,Antonio Senzatela,622608,COL,R,L
57,2026-02-20,831959,ARI,ARI,COL,4,Gabriel Moreno,672515,Antonio Senzatela,622608,COL,R,R
58,2026-02-20,831959,ARI,ARI,COL,5,Nolan Arenado,571448,Antonio Senzatela,622608,COL,R,R
59,2026-02-20,831959,ARI,ARI,COL,6,Carlos Santana,467793,Antonio Senzatela,622608,COL,R,S
60,2026-02-20,831959,ARI,ARI,COL,7,Alek Thomas,677950,Antonio Senzatela,622608,COL,R,L
61,2026-02-20,831959,ARI,ARI,COL,8,Ryan Waldschmidt,814439,Antonio Senzatela,622608,COL,R,R
62,2026-02-20,831959,ARI,ARI,COL,9,Jorge Barrosa,678489,Antonio Senzatela,622608,COL,R,S
63,2026-02-20,831959,COL,ARI,COL,1,Jake McCarthy,664983,Thomas Hatch,641672,ARI,R,L
64,2026-02-20,831959,COL,ARI,COL,2,Cole Carrigg,694249,Thomas Hatch,641672,ARI,R,S
65,2026-02-20,831959,COL,ARI,COL,3,Jordan Beck,687597,Thomas Hatch,641672,ARI,R,R
66,2026-02-20,831959,COL,ARI,COL,4,Edouard Julien,666397,Thomas Hatch,641672,ARI,R,L
67,2026-02-20,831959,COL,ARI,COL,5,Braxton Fulford,690924,Thomas Hatch,641672,ARI,R,R
68,2026-02-20,831959,COL,ARI,COL,6,Kyle Karros,691720,Thomas Hatch,641672,ARI,R,R
69,2026-02-20,831959,COL,ARI,COL,7,T.J. Rumfield,681198,Thomas Hatch,641672,ARI,R,L
70,2026-02-20,831959,COL,ARI,COL,8,Zac Veen,691728,Thomas Hatch,641672,ARI,R,L
71,2026-02-20,831959,COL,ARI,COL,9,Nicky Lopez,670032,Thomas Hatch,641672,ARI,R,L
72,2026-02-20,831764,SD,SD,SEA,1,Xander Bogaerts,593428,Dane Dunning,641540,SEA,R,R
73,2026-02-20,831764,SD,SD,SEA,2,Jackson Merrill,701538,Dane Dunning,641540,SEA,R,L
74,2026-02-20,831764,SD,SD,SEA,3,Manny Machado,592518,Dane Dunning,641540,SEA,R,R
75,2026-02-20,831764,SD,SD,SEA,4,Fernando Tatis Jr.,665487,Dane Dunning,641540,SEA,R,R
76,2026-02-20,831764,SD,SD,SEA,5,Jake Cronenworth,630105,Dane Dunning,641540,SEA,R,L
77,2026-02-20,831764,SD,SD,SEA,6,Nick Castellanos,592206,Dane Dunning,641540,SEA,R,R
78,2026-02-20,831764,SD,SD,SEA,7,Luis Campusano,669134,Dane Dunning,641540,SEA,R,R
79,2026-02-20,831764,SD,SD,SEA,8,Ty France,664034,Dane Dunning,641540,SEA,R,R
80,2026-02-20,831764,SD,SD,SEA,9,Nick Schnell,678010,Dane Dunning,641540,SEA,R,L
81,2026-02-20,831764,SEA,SD,SEA,1,Luke Raley,670042,Jagger Haynes,695247,SD,L,L
82,2026-02-20,831764,SEA,SD,SEA,2,Cal Raleigh,663728,Jagger Haynes,695247,SD,L,S
83,2026-02-20,831764,SEA,SD,SEA,3,Julio Rodriguez,677594,Jagger Haynes,695247,SD,L,R
84,2026-02-20,831764,SEA,SD,SEA,4,Josh Naylor,647304,Jagger Haynes,695247,SD,L,L
85,2026-02-20,831764,SEA,SD,SEA,5,Randy Arozarena,668227,Jagger Haynes,695247,SD,L,R
86,2026-02-20,831764,SEA,SD,SEA,6,J.P. Crawford,641487,Jagger Haynes,695247,SD,L,L
87,2026-02-20,831764,SEA,SD,SEA,7,Dominic Canzone,686527,Jagger Haynes,695247,SD,L,L
88,2026-02-20,831764,SEA,SD,SEA,8,Michael Arroyo,703197,Jagger Haynes,695247,SD,L,R
89,2026-02-20,831764,SEA,SD,SEA,9,Colt Emerson,806068,Jagger Haynes,695247,SD,L,L
