,Hitter,ID,Team,OppSP,SPID,SP Hand,Proj K,Proj BB,Proj HR,Proj TB,Proj BIP,PA,K%,BB%,Brl%,ISO,xwOBA,FB%,Hard%,FB%,Pull%,Split PA,Split K%,Split BB%,Split Brl%,Split ISO,Split xwOBA,Split Hard%,Split FB%,Split Pull%,IsHot,IsCold
22,Matt Wallner,670242,MIN,Casey Mize,663554,R,1.35,0.4,0.21,1.82,2.28,512.0,0.33,0.105,0.163,0.261,0.352,0.326,0.504,0.326,0.496,420.0,0.321,0.105,0.175,0.273,0.364,0.516,0.345,0.493,N,N
23,Royce Lewis,668904,MIN,Casey Mize,663554,R,0.84,0.27,0.16,1.65,2.92,527.0,0.192,0.078,0.104,0.188,0.329,0.304,0.403,0.304,0.447,370.0,0.195,0.065,0.102,0.195,0.326,0.412,0.288,0.449,N,N
24,Brooks Lee,686797,MIN,Casey Mize,663554,R,0.67,0.17,0.12,1.54,3.08,521.0,0.175,0.048,0.052,0.117,0.284,0.271,0.336,0.271,0.418,363.0,0.154,0.058,0.049,0.131,0.286,0.319,0.284,0.439,N,N
25,Edouard Julien,666397,MIN,Casey Mize,663554,R,1.22,0.43,0.11,1.27,2.1100000000000003,410.0,0.329,0.105,0.105,0.124,0.3,0.293,0.389,0.293,0.38,363.0,0.32,0.11,0.107,0.125,0.311,0.393,0.301,0.383,N,N
26,DaShawn Keirsey Jr.,680577,MIN,Casey Mize,663554,R,1.05,0.12,0.07,1.15,2.3799999999999994,99.0,0.333,0.02,0.081,0.095,0.205,0.29,0.355,0.29,0.387,78.0,0.282,0.013,0.094,0.12,0.226,0.396,0.264,0.396,N,N
27,Colt Keith,690993,DET,Pierson Ohl,701487,R,0.88,0.35,0.1,1.62,3.3300000000000005,893.0,0.199,0.08,0.07,0.134,0.33,0.262,0.384,0.262,0.368,760.0,0.187,0.082,0.078,0.149,0.345,0.41,0.273,0.373,Y,N
28,Gleyber Torres,650402,DET,Pierson Ohl,701487,R,0.73,0.41,0.11,1.5999999999999999,3.2800000000000002,1087.0,0.178,0.11,0.078,0.134,0.34,0.307,0.375,0.307,0.315,808.0,0.186,0.101,0.074,0.107,0.335,0.372,0.288,0.295,N,N
29,Kerry Carpenter,681481,DET,Pierson Ohl,701487,R,1.0,0.2,0.21,1.96,3.1,591.0,0.235,0.049,0.156,0.281,0.361,0.359,0.462,0.359,0.435,518.0,0.228,0.048,0.169,0.298,0.379,0.472,0.37,0.431,N,N
30,Riley Greene,682985,DET,Pierson Ohl,701487,R,1.23,0.28,0.18,1.8,2.7299999999999995,1036.0,0.291,0.085,0.147,0.229,0.347,0.285,0.455,0.285,0.402,742.0,0.283,0.093,0.161,0.255,0.371,0.468,0.316,0.42,N,N
31,Spencer Torkelson,679529,DET,Pierson Ohl,701487,R,1.05,0.31,0.15,1.5,2.7399999999999998,820.0,0.262,0.09,0.108,0.2,0.317,0.346,0.416,0.346,0.456,600.0,0.29,0.083,0.105,0.165,0.306,0.409,0.32,0.439,N,N
32,Wenceel Perez,672761,DET,Pierson Ohl,701487,R,0.81,0.24,0.11,1.47,2.9699999999999998,616.0,0.209,0.07,0.061,0.166,0.3,0.288,0.331,0.288,0.422,471.0,0.202,0.068,0.056,0.164,0.296,0.31,0.307,0.447,N,N
