,Hitter,ID,Team,OppSP,SPID,SP Hand,Proj K,Proj BB,Proj HR,Proj TB,Proj BIP,PA,K%,BB%,Brl%,ISO,xwOBA,FB%,Hard%,FB%,Pull%,Split PA,Split K%,Split BB%,Split Brl%,Split ISO,Split xwOBA,Split Hard%,Split FB%,Split Pull%,IsHot,IsCold
98,Austin Hedges,595978,CLE,Sean Manaea,640455,L,1.11,0.23,0.05,0.78,2.08,264.0,0.318,0.064,0.019,0.081,0.189,0.333,0.264,0.333,0.491,125.0,0.336,0.056,0.027,0.062,0.198,0.284,0.297,0.554,N,N
99,Brandon Nimmo,607043,NYM,Slade Cecconi,677944,R,0.91,0.39,0.22,2.0300000000000002,3.0200000000000005,1107.0,0.225,0.098,0.093,0.183,0.336,0.264,0.482,0.264,0.368,797.0,0.223,0.113,0.098,0.193,0.339,0.51,0.274,0.377,Y,N
100,Francisco Lindor,596019,NYM,Slade Cecconi,677944,R,0.76,0.3,0.24,2.1,3.150000000000001,1182.0,0.187,0.075,0.113,0.208,0.357,0.299,0.451,0.299,0.435,868.0,0.198,0.079,0.11,0.208,0.365,0.475,0.314,0.433,N,N
101,Juan Soto,665742,NYM,Slade Cecconi,677944,R,0.7,0.72,0.33,2.37,2.7399999999999998,1179.0,0.178,0.17,0.189,0.263,0.453,0.269,0.56,0.269,0.448,798.0,0.182,0.172,0.208,0.282,0.471,0.599,0.27,0.44,Y,N
102,Pete Alonso,624413,NYM,Slade Cecconi,677944,R,0.92,0.37,0.31,2.2199999999999998,2.7199999999999998,1166.0,0.242,0.096,0.158,0.23,0.369,0.29,0.487,0.29,0.403,859.0,0.237,0.095,0.157,0.227,0.376,0.498,0.28,0.403,Y,N
103,Jeff McNeil,643446,NYM,Slade Cecconi,677944,R,0.45,0.28,0.15,1.73,3.13,744.0,0.128,0.086,0.039,0.164,0.305,0.289,0.31,0.289,0.447,575.0,0.127,0.089,0.043,0.178,0.305,0.327,0.311,0.459,N,N
104,Ronny Mauricio,677595,NYM,Slade Cecconi,677944,R,0.9,0.29,0.14,1.52,2.7100000000000004,139.0,0.266,0.079,0.089,0.189,0.304,0.267,0.411,0.267,0.467,106.0,0.245,0.085,0.114,0.25,0.342,0.414,0.329,0.486,N,N
105,Cedric Mullins II,656775,NYM,Slade Cecconi,677944,R,0.78,0.32,0.14,1.5100000000000002,2.63,860.0,0.214,0.087,0.054,0.183,0.292,0.296,0.342,0.296,0.454,658.0,0.226,0.09,0.062,0.201,0.292,0.36,0.317,0.446,Y,N
106,Francisco Alvarez,682626,NYM,Slade Cecconi,677944,R,0.91,0.27,0.17,1.57,2.44,509.0,0.257,0.092,0.076,0.154,0.299,0.217,0.446,0.217,0.33,394.0,0.277,0.081,0.068,0.143,0.291,0.45,0.225,0.333,N,N
107,Brett Baty,683146,NYM,Slade Cecconi,677944,R,0.85,0.26,0.17,1.48,2.35,461.0,0.245,0.082,0.101,0.147,0.312,0.221,0.407,0.221,0.42,374.0,0.246,0.088,0.105,0.163,0.317,0.423,0.234,0.427,N,N
108,Brice Turang,668930,MIL,Erick Fedde,607200,R,0.84,0.46,0.11,1.67,3.25,1061.0,0.188,0.084,0.038,0.095,0.308,0.196,0.356,0.196,0.277,803.0,0.177,0.091,0.046,0.106,0.32,0.369,0.217,0.275,N,N
109,William Contreras,661388,MIL,Erick Fedde,607200,R,0.79,0.55,0.13,1.6300000000000001,2.98,1125.0,0.196,0.114,0.079,0.159,0.343,0.194,0.474,0.194,0.37,834.0,0.189,0.107,0.082,0.165,0.345,0.474,0.205,0.365,N,N
110,Andrew Vaughn,683734,MIL,Erick Fedde,607200,R,0.82,0.25,0.17,1.7200000000000002,3.0000000000000004,883.0,0.208,0.06,0.106,0.164,0.329,0.302,0.455,0.302,0.342,654.0,0.22,0.058,0.113,0.166,0.323,0.439,0.285,0.334,N,N
111,Christian Yelich,592885,MIL,Erick Fedde,607200,R,0.99,0.49,0.13,1.57,2.6699999999999995,753.0,0.238,0.101,0.086,0.189,0.349,0.178,0.469,0.178,0.404,511.0,0.235,0.106,0.093,0.219,0.366,0.462,0.195,0.405,N,N
112,Isaac Collins,686555,MIL,Erick Fedde,607200,R,0.97,0.61,0.1,1.42,2.4799999999999995,303.0,0.248,0.125,0.053,0.12,0.314,0.225,0.369,0.225,0.396,194.0,0.242,0.139,0.05,0.092,0.323,0.361,0.185,0.37,N,N
113,Caleb Durbin,702332,MIL,Erick Fedde,607200,R,0.37,0.29,0.08,1.4100000000000001,3.2,316.0,0.095,0.07,0.028,0.109,0.292,0.236,0.228,0.236,0.404,240.0,0.108,0.071,0.032,0.102,0.283,0.204,0.215,0.403,N,N
114,Blake Perkins,663368,MIL,Erick Fedde,607200,R,0.99,0.47,0.08,1.22,2.43,473.0,0.258,0.093,0.039,0.11,0.27,0.26,0.382,0.26,0.355,303.0,0.314,0.096,0.04,0.097,0.265,0.386,0.256,0.318,N,N
115,Brandon Lockridge,663604,MIL,Erick Fedde,607200,R,0.95,0.27,0.09,1.28,2.51,117.0,0.265,0.051,0.025,0.065,0.237,0.228,0.291,0.228,0.266,63.0,0.222,0.063,0.0,0.036,0.246,0.273,0.136,0.318,N,N
116,Joey Ortiz,687401,MIL,Erick Fedde,607200,R,0.6,0.3,0.08,1.2000000000000002,2.65,880.0,0.184,0.088,0.041,0.132,0.292,0.207,0.359,0.207,0.307,618.0,0.175,0.084,0.042,0.112,0.29,0.36,0.203,0.309,N,N
117,Jurickson Profar,595777,ATL,Quinn Priester,682990,R,0.74,0.43,0.12,1.66,3.2100000000000004,796.0,0.156,0.104,0.07,0.171,0.349,0.261,0.428,0.261,0.405,592.0,0.172,0.106,0.073,0.156,0.345,0.412,0.261,0.429,N,N
118,Matt Olson,621566,ATL,Quinn Priester,682990,R,1.04,0.54,0.2,1.84,2.74,1164.0,0.242,0.111,0.133,0.204,0.357,0.29,0.499,0.29,0.377,850.0,0.235,0.127,0.14,0.199,0.367,0.523,0.293,0.379,Y,N
119,Austin Riley,663586,ATL,Quinn Priester,682990,R,1.17,0.26,0.19,1.86,2.7800000000000007,914.0,0.268,0.069,0.151,0.187,0.35,0.319,0.518,0.319,0.386,696.0,0.284,0.065,0.161,0.187,0.35,0.515,0.302,0.4,N,N
120,Drake Baldwin,686948,ATL,Quinn Priester,682990,R,0.73,0.37,0.21,2.06,3.0400000000000005,262.0,0.172,0.088,0.115,0.186,0.365,0.234,0.479,0.234,0.375,212.0,0.165,0.085,0.108,0.176,0.362,0.456,0.241,0.38,Y,N
121,Sean Murphy,669221,ATL,Quinn Priester,682990,R,1.03,0.38,0.15,1.51,2.5099999999999993,533.0,0.28,0.101,0.116,0.209,0.324,0.284,0.403,0.284,0.491,382.0,0.254,0.099,0.1,0.174,0.314,0.415,0.245,0.494,N,N
122,Michael Harris II,671739,ATL,Quinn Priester,682990,R,0.79,0.14,0.14,1.74,3.01,895.0,0.2,0.038,0.089,0.145,0.329,0.197,0.441,0.197,0.416,633.0,0.191,0.039,0.091,0.134,0.334,0.452,0.188,0.398,N,Y
123,Ozzie Albies,645277,ATL,Quinn Priester,682990,R,0.61,0.33,0.08,1.3,2.87,898.0,0.153,0.079,0.05,0.128,0.298,0.289,0.304,0.289,0.468,667.0,0.163,0.096,0.06,0.129,0.296,0.284,0.296,0.486,N,N
124,Eli White,642201,ATL,Quinn Priester,682990,R,0.94,0.13,0.1,1.3,2.5100000000000002,250.0,0.248,0.036,0.074,0.131,0.291,0.217,0.371,0.217,0.371,164.0,0.25,0.037,0.071,0.144,0.296,0.336,0.221,0.354,N,N
125,Nick Allen,669397,ATL,Quinn Priester,682990,R,0.73,0.2,0.03,0.97,2.59,432.0,0.227,0.074,0.003,0.042,0.244,0.171,0.191,0.171,0.338,306.0,0.248,0.069,0.0,0.033,0.243,0.17,0.165,0.316,N,N
126,TJ Friedl,670770,CIN,Michael Soroka,647336,R,0.79,0.51,0.13,1.61,3.23,800.0,0.151,0.099,0.033,0.14,0.304,0.24,0.309,0.24,0.51,592.0,0.14,0.101,0.035,0.152,0.313,0.329,0.26,0.5,N,N
127,Matt McLain,680574,CIN,Michael Soroka,647336,R,1.45,0.38,0.14,1.56,2.6399999999999997,416.0,0.264,0.096,0.061,0.122,0.297,0.291,0.398,0.291,0.28,316.0,0.256,0.082,0.068,0.123,0.298,0.4,0.273,0.293,Y,N
128,Elly De La Cruz,682829,CIN,Michael Soroka,647336,R,1.38,0.48,0.19,1.8800000000000001,2.58,1163.0,0.288,0.094,0.125,0.208,0.337,0.241,0.456,0.241,0.405,800.0,0.276,0.104,0.144,0.243,0.359,0.502,0.232,0.409,Y,N
129,Austin Hays,669720,CIN,Michael Soroka,647336,R,1.23,0.25,0.16,1.69,2.79,504.0,0.238,0.056,0.092,0.174,0.31,0.256,0.395,0.256,0.467,353.0,0.238,0.051,0.073,0.145,0.285,0.363,0.249,0.486,N,N
130,Gavin Lux,666158,CIN,Michael Soroka,647336,R,1.07,0.48,0.07,1.35,2.6400000000000006,842.0,0.228,0.102,0.05,0.12,0.314,0.206,0.399,0.206,0.386,738.0,0.214,0.103,0.052,0.134,0.321,0.404,0.211,0.382,N,N
131,Spencer Steer,668715,CIN,Michael Soroka,647336,R,1.06,0.36,0.12,1.4100000000000001,2.64,1056.0,0.218,0.096,0.06,0.167,0.304,0.279,0.36,0.279,0.431,791.0,0.214,0.092,0.063,0.174,0.305,0.371,0.275,0.445,N,N
132,Tyler Stephenson,663886,CIN,Michael Soroka,647336,R,1.23,0.35,0.12,1.33,2.2,768.0,0.272,0.095,0.1,0.179,0.314,0.295,0.46,0.295,0.349,572.0,0.302,0.089,0.097,0.159,0.303,0.465,0.279,0.347,N,N
133,Jake Fraley,641584,CIN,Michael Soroka,647336,R,0.83,0.36,0.09,1.27,2.62,560.0,0.193,0.088,0.038,0.125,0.298,0.233,0.276,0.233,0.451,496.0,0.2,0.093,0.04,0.135,0.302,0.284,0.241,0.445,N,N
134,Ke'Bryan Hayes,663647,CIN,Michael Soroka,647336,R,0.86,0.17,0.06,1.19,2.62,794.0,0.196,0.049,0.036,0.059,0.278,0.176,0.442,0.176,0.283,610.0,0.203,0.046,0.031,0.049,0.274,0.438,0.173,0.261,N,N
135,Nico Hoerner,663538,CHC,Nick Lodolo,666157,L,0.43,0.24,0.07,1.7100000000000002,3.769999999999999,1076.0,0.094,0.062,0.017,0.096,0.312,0.218,0.28,0.218,0.337,243.0,0.082,0.041,0.019,0.127,0.334,0.33,0.23,0.321,N,N
136,Kyle Tucker,663656,CHC,Nick Lodolo,666157,L,0.7,0.58,0.19,1.83,3.1399999999999997,809.0,0.15,0.148,0.12,0.244,0.394,0.364,0.429,0.364,0.418,287.0,0.15,0.139,0.09,0.193,0.359,0.393,0.348,0.413,Y,N
137,Seiya Suzuki,673548,CHC,Nick Lodolo,666157,L,1.22,0.38,0.21,1.88,2.72,1046.0,0.272,0.098,0.147,0.227,0.354,0.341,0.495,0.341,0.356,276.0,0.228,0.13,0.148,0.218,0.395,0.5,0.324,0.33,N,N
138,Carson Kelly,608348,CHC,Nick Lodolo,666157,L,0.83,0.36,0.17,1.69,2.94,589.0,0.166,0.102,0.085,0.176,0.338,0.301,0.405,0.301,0.415,140.0,0.143,0.114,0.096,0.154,0.401,0.404,0.288,0.385,N,N
139,Pete Crow-Armstrong,691718,CHC,Nick Lodolo,666157,L,1.18,0.15,0.19,1.6700000000000002,2.73,863.0,0.239,0.045,0.112,0.22,0.317,0.332,0.396,0.332,0.462,240.0,0.279,0.021,0.097,0.173,0.266,0.327,0.345,0.448,N,N
140,Dansby Swanson,621020,CHC,Nick Lodolo,666157,L,1.16,0.27,0.14,1.54,2.5500000000000003,1039.0,0.259,0.078,0.102,0.153,0.332,0.245,0.451,0.245,0.432,233.0,0.253,0.077,0.129,0.188,0.364,0.516,0.245,0.458,N,N
141,Ian Happ,664023,CHC,Nick Lodolo,666157,L,1.02,0.39,0.12,1.35,2.33,1109.0,0.243,0.122,0.107,0.183,0.347,0.305,0.438,0.305,0.417,296.0,0.236,0.095,0.082,0.151,0.318,0.378,0.25,0.398,N,N
142,Justin Turner,457759,CHC,Nick Lodolo,666157,L,0.8,0.31,0.09,1.29,2.5399999999999996,684.0,0.174,0.104,0.042,0.116,0.325,0.302,0.319,0.302,0.371,218.0,0.165,0.096,0.07,0.147,0.364,0.342,0.291,0.373,N,N
143,Matt Shaw,807713,CHC,Nick Lodolo,666157,L,0.74,0.25,0.11,1.3,2.53,279.0,0.19,0.079,0.054,0.13,0.303,0.218,0.287,0.218,0.351,81.0,0.16,0.099,0.05,0.178,0.311,0.317,0.233,0.367,N,N
144,Paul Goldschmidt,502671,NYY,Patrick Corbin,571578,L,0.98,0.29,0.16,1.87,3.17,1058.0,0.236,0.067,0.095,0.155,0.33,0.277,0.463,0.277,0.382,278.0,0.151,0.086,0.087,0.214,0.393,0.498,0.3,0.425,N,N
145,Austin Slater,596103,NYY,Patrick Corbin,571578,L,1.1,0.38,0.14,1.61,2.62,351.0,0.276,0.105,0.085,0.109,0.332,0.217,0.425,0.217,0.358,221.0,0.249,0.118,0.088,0.122,0.353,0.434,0.235,0.36,N,N
146,Cody Bellinger,641355,NYY,Patrick Corbin,571578,L,0.58,0.27,0.14,1.68,3.3200000000000003,997.0,0.147,0.069,0.068,0.189,0.314,0.358,0.355,0.358,0.439,283.0,0.124,0.039,0.072,0.192,0.323,0.335,0.339,0.373,N,N
147,Giancarlo Stanton,519317,NYY,Patrick Corbin,571578,L,1.27,0.3,0.31,2.04,2.5600000000000005,587.0,0.315,0.078,0.19,0.244,0.341,0.263,0.541,0.263,0.394,164.0,0.293,0.061,0.152,0.166,0.308,0.571,0.276,0.438,N,N
148,Jazz Chisholm,665862,NYY,Patrick Corbin,571578,L,1.05,0.32,0.15,1.4900000000000002,2.6099999999999994,949.0,0.257,0.089,0.118,0.195,0.333,0.286,0.417,0.286,0.425,301.0,0.256,0.08,0.072,0.116,0.284,0.309,0.232,0.392,N,N
149,Jasson Dominguez,691176,NYY,Patrick Corbin,571578,L,1.05,0.37,0.15,1.6,2.5400000000000005,425.0,0.275,0.108,0.077,0.139,0.313,0.223,0.488,0.223,0.412,123.0,0.309,0.114,0.014,0.075,0.264,0.414,0.214,0.4,N,N
150,Amed Rosario,642708,NYY,Patrick Corbin,571578,L,0.66,0.14,0.1,1.5700000000000003,2.98,505.0,0.188,0.032,0.049,0.116,0.305,0.193,0.389,0.193,0.366,220.0,0.15,0.036,0.062,0.145,0.336,0.443,0.205,0.392,N,N
151,Anthony Volpe,683011,NYY,Patrick Corbin,571578,L,0.82,0.26,0.11,1.4100000000000001,2.6000000000000005,1129.0,0.23,0.068,0.063,0.152,0.288,0.253,0.383,0.253,0.319,313.0,0.211,0.077,0.05,0.137,0.299,0.41,0.207,0.333,N,N
152,Austin Wells,669224,NYY,Patrick Corbin,571578,L,0.81,0.27,0.12,1.25,2.4099999999999997,743.0,0.222,0.093,0.094,0.187,0.32,0.317,0.423,0.317,0.397,180.0,0.244,0.083,0.059,0.151,0.29,0.432,0.331,0.364,N,N
153,Sam Haggerty,664059,TEX,Max Fried,608331,L,0.79,0.4,0.08,1.5000000000000002,3.18,171.0,0.193,0.082,0.025,0.117,0.298,0.156,0.41,0.156,0.426,81.0,0.173,0.049,0.016,0.118,0.293,0.371,0.145,0.435,N,N
154,Corey Seager,608369,TEX,Max Fried,608331,L,1.0,0.35,0.18,1.79,2.93,860.0,0.194,0.093,0.153,0.222,0.399,0.304,0.517,0.304,0.419,261.0,0.272,0.042,0.16,0.196,0.359,0.526,0.32,0.394,N,N
155,Marcus Semien,543760,TEX,Max Fried,608331,L,0.8,0.35,0.12,1.53,3.1199999999999997,1183.0,0.16,0.09,0.066,0.146,0.315,0.31,0.349,0.31,0.448,293.0,0.174,0.116,0.082,0.136,0.35,0.375,0.346,0.452,N,N
156,Adolis Garcia,666969,TEX,Max Fried,608331,L,1.22,0.22,0.16,1.54,2.7299999999999995,1070.0,0.27,0.062,0.125,0.17,0.311,0.335,0.478,0.335,0.353,267.0,0.322,0.06,0.13,0.168,0.29,0.512,0.296,0.383,N,N
157,Wyatt Langford,694671,TEX,Max Fried,608331,L,1.1,0.38,0.16,1.58,2.59,943.0,0.236,0.09,0.107,0.168,0.334,0.289,0.445,0.289,0.42,224.0,0.259,0.134,0.141,0.224,0.36,0.437,0.363,0.363,N,N
158,Josh Jung,673962,TEX,Max Fried,608331,L,1.08,0.17,0.13,1.52,2.6900000000000004,518.0,0.253,0.052,0.087,0.144,0.306,0.252,0.426,0.252,0.35,129.0,0.225,0.039,0.096,0.154,0.316,0.415,0.287,0.372,N,N
159,Jonah Heim,641680,TEX,Max Fried,608331,L,0.76,0.17,0.09,1.27,2.6800000000000006,809.0,0.201,0.054,0.062,0.122,0.275,0.276,0.358,0.276,0.422,210.0,0.21,0.057,0.078,0.138,0.302,0.468,0.24,0.377,N,N
160,Kyle Higashioka,543309,TEX,Max Fried,608331,L,1.02,0.14,0.12,1.26,2.43,474.0,0.241,0.055,0.09,0.214,0.298,0.343,0.395,0.343,0.479,152.0,0.263,0.033,0.132,0.234,0.337,0.462,0.425,0.491,N,N
161,Ezequiel Duran,677649,TEX,Max Fried,608331,L,1.01,0.15,0.07,1.11,2.3499999999999996,384.0,0.247,0.044,0.03,0.073,0.243,0.233,0.365,0.233,0.278,139.0,0.302,0.043,0.0,0.031,0.2,0.344,0.2,0.367,N,N
162,Nathan Lukes,664770,TOR,Tanner Gordon,685299,R,0.51,0.42,0.12,1.8,3.6000000000000005,363.0,0.118,0.105,0.05,0.148,0.324,0.225,0.332,0.225,0.343,320.0,0.106,0.103,0.056,0.155,0.331,0.353,0.246,0.337,N,N
163,Joey Loperfido,694388,TOR,Tanner Gordon,685299,R,1.24,0.21,0.1,1.5499999999999998,2.9099999999999997,327.0,0.333,0.052,0.046,0.146,0.271,0.26,0.352,0.26,0.444,260.0,0.342,0.042,0.058,0.165,0.279,0.385,0.288,0.41,N,N
164,Vladimir Guerrero Jr.,665489,TOR,Tanner Gordon,685299,R,0.52,0.41,0.22,2.2,3.35,1164.0,0.139,0.103,0.134,0.203,0.408,0.208,0.535,0.208,0.334,919.0,0.144,0.097,0.137,0.199,0.407,0.529,0.205,0.346,N,N
165,Bo Bichette,666182,TOR,Tanner Gordon,685299,R,0.6,0.17,0.15,1.96,3.45,825.0,0.168,0.051,0.069,0.135,0.337,0.193,0.462,0.193,0.27,654.0,0.179,0.052,0.062,0.139,0.331,0.458,0.189,0.277,N,N
166,Addison Barger,680718,TOR,Tanner Gordon,685299,R,0.9,0.21,0.2,2.02,2.99,553.0,0.257,0.058,0.115,0.208,0.329,0.257,0.473,0.257,0.425,452.0,0.23,0.06,0.126,0.226,0.351,0.483,0.271,0.442,N,N
167,Alejandro Kirk,672386,TOR,Tanner Gordon,685299,R,0.35,0.26,0.12,1.65,3.19,729.0,0.117,0.084,0.079,0.107,0.342,0.216,0.469,0.216,0.317,531.0,0.096,0.083,0.081,0.097,0.349,0.492,0.208,0.309,N,N
168,Ty France,664034,TOR,Tanner Gordon,685299,R,0.59,0.18,0.12,1.62,2.93,930.0,0.191,0.061,0.077,0.119,0.317,0.263,0.4,0.263,0.325,689.0,0.192,0.057,0.067,0.118,0.311,0.387,0.266,0.312,N,N
169,Daulton Varsho,662139,TOR,Tanner Gordon,685299,R,0.84,0.26,0.16,1.54,2.6700000000000004,614.0,0.277,0.083,0.08,0.217,0.27,0.314,0.35,0.314,0.486,491.0,0.297,0.081,0.093,0.235,0.278,0.375,0.336,0.482,N,N
170,Ernie Clement,676391,TOR,Tanner Gordon,685299,R,0.3,0.12,0.07,1.4000000000000001,3.16,861.0,0.096,0.034,0.028,0.124,0.283,0.272,0.25,0.272,0.422,584.0,0.101,0.034,0.022,0.098,0.272,0.246,0.253,0.437,N,N
171,Tyler Freeman,671289,COL,Eric Lauer,641778,L,0.68,0.28,0.1,1.6099999999999999,3.2399999999999993,622.0,0.119,0.08,0.03,0.108,0.314,0.237,0.376,0.237,0.359,203.0,0.138,0.084,0.04,0.102,0.308,0.351,0.305,0.358,N,N
172,Ezequiel Tovar,678662,COL,Eric Lauer,641778,L,1.35,0.15,0.18,1.94,2.7499999999999996,882.0,0.271,0.036,0.089,0.198,0.301,0.317,0.403,0.317,0.37,256.0,0.293,0.059,0.11,0.194,0.331,0.372,0.311,0.378,N,Y
173,Hunter Goodman,696100,COL,Eric Lauer,641778,L,1.34,0.17,0.23,1.85,2.6200000000000006,617.0,0.276,0.05,0.124,0.236,0.303,0.31,0.456,0.31,0.437,193.0,0.28,0.041,0.148,0.265,0.312,0.422,0.305,0.414,N,N
174,Jordan Beck,687597,COL,Eric Lauer,641778,L,1.37,0.23,0.17,1.69,2.4899999999999998,578.0,0.301,0.071,0.097,0.156,0.306,0.276,0.376,0.276,0.398,153.0,0.314,0.059,0.147,0.21,0.332,0.432,0.316,0.442,N,N
175,Warming Bernabel,682653,COL,Eric Lauer,641778,L,0.83,0.18,0.09,1.35,2.93,29.0,0.103,0.034,0.08,0.536,0.308,0.28,0.36,0.28,0.48,9.0,0.0,0.0,0.0,0.333,0.11,0.0,0.444,0.444,N,N
176,Thairo Estrada,642731,COL,Eric Lauer,641778,L,0.82,0.11,0.11,1.44,2.6700000000000004,535.0,0.187,0.028,0.044,0.124,0.26,0.218,0.308,0.218,0.443,130.0,0.177,0.054,0.03,0.118,0.264,0.313,0.263,0.424,N,N
177,Brenton Doyle,686668,COL,Eric Lauer,641778,L,1.07,0.22,0.12,1.4100000000000001,2.4599999999999995,966.0,0.257,0.07,0.107,0.161,0.317,0.284,0.423,0.284,0.386,258.0,0.202,0.074,0.108,0.173,0.354,0.435,0.285,0.403,N,N
178,Kyle Farmer,571657,COL,Eric Lauer,641778,L,0.9,0.19,0.12,1.38,2.3600000000000003,482.0,0.212,0.058,0.053,0.134,0.281,0.301,0.31,0.301,0.374,205.0,0.2,0.059,0.088,0.153,0.326,0.378,0.338,0.378,N,N
179,Orlando Arcia,606115,COL,Eric Lauer,641778,L,0.76,0.21,0.09,1.0899999999999999,2.24,757.0,0.214,0.062,0.048,0.127,0.255,0.218,0.364,0.218,0.456,180.0,0.233,0.089,0.057,0.112,0.264,0.393,0.254,0.369,N,N
180,Yandy Diaz,650490,TB,Yusei Kikuchi,579328,L,0.76,0.34,0.2,2.18,3.3400000000000007,1086.0,0.149,0.076,0.085,0.158,0.346,0.187,0.503,0.187,0.278,266.0,0.086,0.075,0.113,0.233,0.39,0.561,0.231,0.339,N,N
181,Ha-Seong Kim,673490,TB,Yusei Kikuchi,579328,L,0.88,0.51,0.12,1.56,3.04,508.0,0.173,0.112,0.05,0.133,0.31,0.244,0.357,0.244,0.385,145.0,0.145,0.117,0.047,0.118,0.307,0.318,0.308,0.393,N,N
182,Brandon Lowe,664040,TB,Yusei Kikuchi,579328,L,1.43,0.28,0.25,2.04,2.68,789.0,0.26,0.07,0.124,0.217,0.345,0.3,0.455,0.3,0.442,155.0,0.277,0.039,0.115,0.184,0.294,0.394,0.337,0.394,N,N
183,Junior Caminero,691406,TB,Yusei Kikuchi,579328,L,1.06,0.22,0.35,2.5300000000000002,3.06,622.0,0.206,0.051,0.111,0.229,0.322,0.242,0.471,0.242,0.407,152.0,0.197,0.033,0.052,0.188,0.275,0.474,0.259,0.362,N,Y
184,Christopher Morel,666624,TB,Yusei Kikuchi,579328,L,1.41,0.38,0.2,1.69,2.42,829.0,0.282,0.092,0.112,0.154,0.316,0.276,0.418,0.276,0.464,224.0,0.299,0.085,0.104,0.151,0.277,0.437,0.281,0.511,N,N
185,Josh Lowe,666139,TB,Yusei Kikuchi,579328,L,1.46,0.28,0.1,1.4100000000000001,2.4000000000000004,648.0,0.279,0.077,0.082,0.148,0.308,0.245,0.44,0.245,0.368,113.0,0.31,0.053,0.028,0.094,0.218,0.292,0.236,0.319,N,N
186,Jonny DeLuca,676356,TB,Yusei Kikuchi,579328,L,0.98,0.24,0.1,1.5299999999999998,2.72,406.0,0.214,0.062,0.034,0.112,0.27,0.214,0.276,0.214,0.441,114.0,0.254,0.088,0.027,0.087,0.265,0.347,0.2,0.413,N,N
187,Jake Mangum,663968,TB,Yusei Kikuchi,579328,L,0.64,0.19,0.09,1.56,3.0,272.0,0.147,0.051,0.028,0.074,0.277,0.143,0.341,0.143,0.263,83.0,0.133,0.036,0.0,0.025,0.268,0.261,0.145,0.261,N,N
188,Nick Fortes,663743,TB,Yusei Kikuchi,579328,L,0.57,0.16,0.09,1.3199999999999998,2.88,484.0,0.132,0.039,0.025,0.095,0.252,0.19,0.271,0.19,0.458,171.0,0.129,0.058,0.015,0.083,0.245,0.25,0.235,0.434,N,N
189,Zach Neto,687263,LAA,Adrian Houser,605288,R,1.1,0.23,0.21,2.0300000000000002,2.9099999999999993,997.0,0.243,0.057,0.1,0.191,0.333,0.287,0.413,0.287,0.465,801.0,0.245,0.059,0.092,0.184,0.321,0.404,0.273,0.475,N,N
190,Nolan Schanuel,694384,LAA,Adrian Houser,605288,R,0.59,0.46,0.12,1.6500000000000001,3.15,1063.0,0.15,0.107,0.04,0.117,0.326,0.235,0.272,0.235,0.406,820.0,0.145,0.109,0.045,0.121,0.334,0.297,0.242,0.403,N,N
191,Mike Trout,545361,LAA,Adrian Houser,605288,R,1.23,0.48,0.28,2.0100000000000002,2.3299999999999996,476.0,0.277,0.132,0.16,0.251,0.389,0.327,0.469,0.327,0.327,393.0,0.265,0.142,0.176,0.28,0.41,0.471,0.339,0.33,N,N
192,Taylor Ward,621493,LAA,Adrian Houser,605288,R,1.09,0.36,0.19,1.72,2.5599999999999996,1133.0,0.259,0.095,0.134,0.209,0.341,0.364,0.421,0.364,0.342,919.0,0.259,0.1,0.131,0.204,0.334,0.405,0.373,0.332,N,N
193,Jo Adell,666176,LAA,Adrian Houser,605288,R,1.06,0.27,0.22,1.83,2.59,836.0,0.268,0.072,0.137,0.21,0.341,0.29,0.464,0.29,0.386,657.0,0.282,0.07,0.123,0.177,0.329,0.451,0.279,0.38,N,N
194,Yoan Moncada,660162,LAA,Adrian Houser,605288,R,1.06,0.29,0.12,1.5,2.42,212.0,0.25,0.113,0.098,0.201,0.335,0.326,0.424,0.326,0.47,180.0,0.244,0.117,0.115,0.229,0.35,0.451,0.319,0.496,N,N
195,Logan O'Hoppe,681351,LAA,Adrian Houser,605288,R,1.16,0.18,0.2,1.6900000000000002,2.36,858.0,0.302,0.057,0.131,0.177,0.329,0.304,0.485,0.304,0.417,691.0,0.301,0.048,0.127,0.178,0.322,0.471,0.294,0.403,N,N
196,Luis Rengifo,650859,LAA,Adrian Houser,605288,R,0.62,0.19,0.09,1.4,2.7399999999999998,697.0,0.166,0.055,0.037,0.097,0.303,0.174,0.334,0.174,0.379,559.0,0.161,0.059,0.042,0.089,0.302,0.309,0.179,0.356,N,N
197,Bryce Teodosio,669326,LAA,Adrian Houser,605288,R,1.13,0.2,0.07,1.03,2.0500000000000003,14.0,0.357,0.0,0.0,0.0,0.107,0.222,0.111,0.222,0.222,12.0,0.333,0.0,0.0,0.0,0.11,0.125,0.25,0.125,N,N
198,Fernando Tatis Jr.,665487,SD,Brandon Pfaadt,694297,R,0.75,0.38,0.22,2.14,3.3200000000000003,911.0,0.199,0.094,0.127,0.196,0.382,0.242,0.522,0.242,0.375,662.0,0.181,0.077,0.137,0.23,0.398,0.52,0.22,0.372,Y,N
199,Luis Arraez,650333,SD,Brandon Pfaadt,694297,R,0.12,0.18,0.05,1.73,4.1000000000000005,1129.0,0.036,0.038,0.014,0.091,0.313,0.242,0.205,0.242,0.327,774.0,0.023,0.043,0.018,0.1,0.326,0.239,0.255,0.316,N,N
