,player_name,pitcher,Split,zone,xwOBA,IsBIP,BatterName,batter
10555,,,R,9,0.3185230769230769,39,Michael Conforto,624424.0
8812,,,R,1,0.3183939393939394,24,Kody Clemens,665019.0
7102,,,R,4,0.318375,92,Jeremy Pena,665161.0
13869,,,R,2,0.31834615384615383,38,Trevor Story,596115.0
3735,,,L,2,0.31826666666666664,9,Dansby Swanson,621020.0
14961,,,R,1,0.31823529411764706,49,Yainer Diaz,673237.0
14868,,,L,9,0.3182258064516129,28,Wilmer Flores,527038.0
2136,,,L,4,0.31821951219512196,31,Bryce Harper,547180.0
4843,,,R,4,0.31796428571428575,27,Eric Wagaman,676572.0
3393,,,L,1,0.31792000000000004,18,Corbin Carroll,682998.0
261,Johan Oviedo,670912.0,R,9,0.31788571428571427,31,,
12861,,,R,6,0.31774242424242427,56,Sal Frelick,686217.0
10538,,,L,2,0.317578947368421,14,Michael Conforto,624424.0
2583,,,R,5,0.31751282051282054,71,Carson Kelly,608348.0
13287,,,R,9,0.3174693877551021,46,Steven Kwan,680757.0
397,,,R,6,0.317438202247191,82,Alejandro Kirk,672386.0
12637,,,R,6,0.31742372881355935,55,Royce Lewis,668904.0
271,Kevin Gausman,592332.0,L,9,0.31738636363636363,31,,
8130,,,R,5,0.31736363636363635,41,Jose Iglesias,578428.0
10688,,,R,4,0.31735897435897437,63,Mickey Moniak,666160.0
14149,,,R,2,0.31734782608695655,41,Tyler Freeman,671289.0
3753,,,L,1,0.31733333333333336,3,Darell Hernaiz,687231.0
222,,,L,4,0.3173030303030303,26,Adolis Garcia,666969.0
2280,,,R,9,0.317271186440678,42,C.J. Abrams,682928.0
12372,,,R,4,0.3172068965517241,27,Riley Adams,656180.0
10101,,,R,4,0.31706796116504854,91,Matt Chapman,656305.0
508,Trevor Rogers,669432.0,L,8,0.31703846153846155,21,,
2021,,,L,3,0.3170333333333334,26,Brice Turang,668930.0
3270,,,L,2,0.3169444444444445,13,Colton Cowser,681297.0
331,,,L,4,0.31691891891891893,32,Alec Bohm,664761.0
5431,,,L,7,0.31685714285714284,20,Gleyber Torres,650402.0
17,Andrew Abbott,671096.0,R,9,0.31684946236559136,75,,
4780,,,L,4,0.3168372093023256,38,Enrique Hernandez,571771.0
