,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
74,Matthew Liberatore,STL,7.50659,10.6449,10.4294,4.60986,26.635,26.635,0,0.0,,145.0,619.212,147.141,79.17,74.27,19.3031,41.7906,0.410071,5.29881,114.25,7.09139,2.5939,2.73387,1.19812,0.184509,0.0674901,0.1170189380645752,0.257184,1.30297,0.291488,0.677928,,,4.26416,2.06487,1.13008,448.7799987792969,,,,,,,544.0999999999999,3.752413793103448,565,3.896551724137931,,,,,,,,,,,,,,,,,,,Matthew Liberatore,22294,669461,669461.0
75,Jacob Misiorowski,MIL,8.31184,9.47333,4.17796,3.97124,33.791,24.956,0,0.6311,,139.989,599.337,111.954,65.84,61.77,17.5559,68.7579,1.28098,9.24022,161.218,10.3648,4.4205,2.34472,1.12868,0.268994,0.114723,0.1542710736393928,0.214744,1.2909,0.275564,0.735729,,,4.13368,2.06391,2.04189,138.11000061035156,,,,,,,615.4000000000001,4.395714285714287,558,3.9857142857142858,,,,,,,,,,,,,,,,,,,Jacob Misiorowski,31623,694819,694819.0
76,Logan Henderson,MIL,6.77035,7.97155,2.78976,3.98444,31.47,20.571,0,0.6311,,121.342,499.876,103.915,57.61,53.72,20.2956,32.6692,1.27494,4.26779,129.775,9.62546,2.42309,3.97239,1.50533,0.259614,0.0653546,0.194259263575077,0.224468,1.12561,0.267267,0.730091,,,4.08373,2.05771,1.64114,281.7799987792969,,,,,,,532.0000000000001,4.396694214876034,498,4.115702479338843,,,,,,,,,,,,,,,,,,,Logan Henderson,31475,701656,701656.0
77,Grayson Rodriguez,LAA,6.65981,7.39561,8.51323,4.08002,20.193,20.193,0,0.0,,114.948,483.791,105.71,55.7,52.11,15.6025,36.1369,0.340814,4.43294,118.879,9.30778,2.82939,3.28968,1.22162,0.245724,0.0746954,0.1710284799337387,0.238504,1.23401,0.291857,0.717871,,,3.89012,2.03971,1.56949,311.4599914550781,,,,,,,496.6,4.318260869565218,485,4.217391304347826,,,,,,,,,,,,,,,,,,,Grayson Rodriguez,24492,680570,680570.0
78,Zebby Matthews,MIN,6.42975,8.90693,2.92676,4.3029,34.677,20.625,0,0.6512,,123.907,521.919,122.277,63.48,59.24,18.667,30.6054,1.32299,3.70682,120.292,8.73741,2.22303,3.93041,1.35588,0.23048,0.0586402,0.171839814633131,0.250769,1.23385,0.297176,0.705352,,,3.98274,2.03151,1.27755,302.70001220703125,,,,,,,505.6999999999999,4.078225806451612,512,4.129032258064516,,,,,,,,,,,,,,,,,,,Zebby Matthews,31827,805673,805673.0
79,Shota Imanaga,CHC,9.59163,8.44235,12.0427,4.18024,25.265,25.265,0,0.0,,151.635,624.912,137.508,75.75,70.43,27.7488,34.8902,0.38449,4.15789,139.766,8.29554,2.07084,4.00589,1.64698,0.223657,0.0558321,0.1678248606622219,0.23471,1.13693,0.262362,0.723686,,,4.44319,2.0183,1.87012,181.80999755859372,,,,,,,584.5999999999999,3.8460526315789463,559,3.6776315789473686,,,,,,,,,,,,,,,,,,,Shota Imanaga,33829,684007,684007.0
80,Carlos Rodon,NYY,9.34071,7.91326,11.3114,4.20026,24.333,24.333,0,0.0,,144.291,606.458,122.154,71.79,67.34,21.9411,54.1259,0.387195,6.13569,150.706,9.40015,3.37605,2.78437,1.36855,0.248502,0.0892491,0.1592533141374588,0.223645,1.2217,0.268273,0.717837,,,4.27593,2.00893,1.7717,200.9499969482422,,,,,,,599.8000000000002,4.165277777777779,556,3.861111111111111,,,,,,,,,,,,,,,,,,,Carlos Rodon,16137,607074,607074.0
81,Braxton Garrett,MIA,5.6934,8.45643,3.79753,4.13173,27.411,20.076,0,0.637,,115.949,487.387,115.337,57.32,53.23,14.5062,28.12,1.16851,5.2745,104.464,8.10853,2.18268,3.71494,1.12598,0.214335,0.0576954,0.1566395089030265,0.254049,1.23724,0.300966,0.699456,,,3.82368,1.99999,1.45403,458.4599914550781,,,,,,,487.9000000000001,4.206034482758621,498,4.293103448275862,,,,,,,,,,,,,,,,,,,Braxton Garrett,21844,666129,666129.0
82,Chris Bassitt,,9.74985,10.9576,10.1485,4.40499,26.482,25.891,0,0.0,,144.082,619.424,136.589,75.5,70.52,18.7217,53.3439,0.589561,8.866,130.167,8.13078,3.3321,2.44014,1.16944,0.210141,0.0861186,0.1240227371454238,0.245128,1.31823,0.288659,0.698944,,,4.31279,1.99857,1.36661,394.7300109863281,,,,,,,549.7,3.817361111111112,547,3.798611111111111,,,,,,,,,,,,,,,,,,,Chris Bassitt,12304,605135,605135.0
83,Shane Bieber,TOR,8.08047,7.00205,9.77653,4.11982,21.301,21.301,0,0.0,,125.809,524.685,118.941,61.7,57.59,18.2108,33.5048,0.350517,3.8557,117.785,8.426,2.39683,3.51547,1.30275,0.224488,0.063857,0.1606305241584777,0.244069,1.21172,0.286711,0.714811,,,4.03533,1.96982,1.65309,195.97000122070312,,,,,,,523.6000000000001,4.155555555555557,518,4.111111111111111,,,,,,,,,,,,,,,,,,,Shane Bieber,19427,669456,669456.0
84,Zack Littell,,9.87915,11.1252,10.3297,4.44139,27.267,26.127,0,0.0,,147.947,620.653,147.592,78.0,73.01,23.6504,32.698,0.564279,5.15905,114.101,6.94104,1.98911,3.48953,1.43872,0.18384,0.0526833,0.1311564408242702,0.253248,1.21861,0.278493,0.695002,,,4.43848,1.94657,1.40436,436.9200134277344,,,,,,,529.2,3.575675675675676,542,3.6621621621621614,,,,,,,,,,,,,,,,,,,Zack Littell,15823,641793,641793.0
85,Noah Cameron,KC,8.39844,9.00397,11.0466,4.44987,24.931,24.931,0,0.0,,143.802,614.236,140.906,76.14,71.1,20.5834,46.6405,0.481637,4.81605,124.521,7.79326,2.91905,2.6698,1.28823,0.202724,0.0759325,0.1267919093370437,0.250375,1.3042,0.288077,0.701863,,,4.33757,1.94649,1.36678,271.7799987792969,,,,,,,534.7000000000002,3.713194444444445,541,3.7569444444444446,,,,,,,,,,,,,,,,,,,Noah Cameron,30184,702070,702070.0
86,Cam Schlittler,NYY,8.52601,7.81885,9.71393,4.26984,23.825,23.825,0,0.0,,133.066,567.497,121.764,67.33,63.13,17.5345,50.1607,0.365724,6.36896,130.854,8.85042,3.39265,2.6087,1.18595,0.230582,0.0883895,0.1421924084424972,0.2383,1.29202,0.287467,0.70971,,,4.15589,1.93718,1.58521,139.9199981689453,,,,,,,539.6000000000001,4.057142857142858,525,3.947368421052632,,,,,,,,,,,,,,,,,,,Cam Schlittler,32095,693645,693645.0
87,Clay Holmes,NYM,9.45753,8.90067,10.3186,4.08004,27.037,27.037,0,0.0,,147.572,632.226,141.561,71.64,66.9,14.5537,55.0343,0.423401,8.63429,111.145,6.77842,3.35639,2.01956,0.887587,0.175799,0.0870484,0.0887509360909462,0.248983,1.3322,0.28679,0.709086,,,4.20521,1.9284,2.02701,354.0299987792969,,,,,,,571.5,3.8614864864864864,575,3.885135135135135,,,,,,,,,,,,,,,,,,,Clay Holmes,13649,605280,605280.0
88,Shane Smith,CWS,8.44681,10.9367,11.7812,4.52981,28.071,28.071,0,0.0,,157.755,675.466,150.192,84.94,79.4,22.7945,54.9227,0.495146,8.55593,146.649,8.3664,3.13337,2.6701,1.30044,0.217108,0.0813108,0.1357971131801605,0.245418,1.30021,0.287876,0.693841,,,4.36151,1.92594,1.33908,263.5899963378906,,,,,,,598.3000000000001,3.7867088607594943,593,3.753164556962025,,,,,,,,,,,,,,,,,,,Shane Smith,31687,681343,681343.0
89,Cade Horton,CHC,8.15955,7.57188,9.0688,4.09998,23.022,23.022,0,0.0,,127.252,531.941,115.247,62.17,57.97,16.7671,38.6092,0.360416,5.16942,107.598,7.60998,2.73067,2.78686,1.18586,0.202275,0.0725816,0.1296932026743888,0.236083,1.20907,0.2707,0.70321,,,4.18903,1.91743,1.71701,197.4600067138672,,,,,,,515.7000000000002,4.060629921259844,498,3.921259842519685,,,,,,,,,,,,,,,,,,,Cade Horton,31872,690990,690990.0
