,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
390,Brooks Raley,NYM,10061,548384.0,257.069,60.5,0.0,52.32000000000001,30.07,0.0,0.0,4.0,28.0,9.0,1.3,0.262,10.0,67.0,21.0,3.1,0.083,6.0,32.2,10.120000000000001,1.0,4.17,1.21,0.373,0.242,0.299,47.2547855,67.8812035,40.745629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.1
392,Kenley Jansen,FA,3096,445276.0,253.807,60.4,0.0,49.480000000000004,27.16,0.0,0.0,0.0,25.0,8.0,1.2,0.254,9.5,64.0,20.0,3.0,0.078,2.0,30.360000000000003,10.120000000000001,1.0,3.73,1.15,0.278,0.221,0.364,52.979783999999995,60.11167799999999,39.1405135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,2.26
393,Scott Barlow,FA,14993,605130.0,270.861,60.4,0.0,52.24000000000001,32.01,0.0,0.0,0.0,30.0,8.0,1.2,0.256,10.3,69.0,34.0,5.1,0.127,5.0,33.120000000000005,10.120000000000001,1.0,4.47,1.43,0.432,0.241,0.262,43.811721,72.348091,40.3705705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
394,Ben Casparius,LAD,30085,676508.0,257.4,60.4,0.0,55.160000000000004,30.07,0.0,0.0,0.0,28.0,10.0,1.5,0.225,8.6,58.0,18.0,2.7,0.071,2.0,33.120000000000005,11.040000000000001,1.0,4.17,1.21,0.349,0.233,0.319,52.51529999999999,70.65529999999998,42.90109999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.64
395,Justin Lawrence,PIT,17639,664875.0,263.955,60.2,0.0,54.92,30.07,0.0,0.0,0.0,28.0,7.0,1.0,0.218,8.7,58.0,25.0,3.7,0.093,6.0,35.88,11.040000000000001,1.0,4.19,1.33,0.511,0.228,0.213,42.7958575,85.1393275,42.343469999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.31
396,Nick Mears,MIL,25376,683232.0,253.593,60.2,0.0,52.24000000000001,27.16,0.0,0.0,0.0,25.0,8.0,1.2,0.236,9.0,60.0,18.0,2.7,0.071,1.0,33.120000000000005,10.120000000000001,1.0,3.74,1.17,0.379,0.242,0.296,48.814854000000004,71.0273685,42.317913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.19
397,Brandon Eisert,CWS,27668,685126.0,256.52,60.2,0.0,53.16,28.13,0.0,0.0,0.0,26.0,8.0,1.2,0.232,9.0,60.0,19.0,2.8,0.073,4.0,34.04,10.120000000000001,1.0,3.89,1.2,0.431,0.241,0.263,46.421479999999995,76.42236,42.69355999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.97
398,Tanner Banks,PHI,16990,621383.0,252.419,60.2,0.0,54.16,28.13,0.0,0.0,0.0,26.0,9.0,1.3,0.236,9.0,60.0,14.0,2.1,0.055,2.0,34.04,10.120000000000001,1.0,3.89,1.13,0.411,0.243,0.274,47.637873000000006,75.0251895,43.0881885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.16
400,Pierson Ohl,MIN,30179,701487.0,260.614,60.0,0.0,57.84,30.07,0.0,0.0,0.0,28.0,9.0,1.4,0.202,8.0,53.0,19.0,2.8,0.072,0.0,35.88,11.96,1.0,4.2,1.28,0.394,0.244,0.285,51.397314999999985,77.708968,45.64458799999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.41
402,Seth Halvorsen,COL,33294,678020.0,265.018,59.9,0.0,55.92,30.07,0.0,0.0,4.0,28.0,8.0,1.2,0.226,9.0,60.0,25.0,3.8,0.094,1.0,35.88,11.040000000000001,1.0,4.21,1.35,0.493,0.234,0.222,43.38433799999999,83.078307,42.66426599999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.66
