,Pitcher,Team,FGID,SAVID,TBF,IP,GS,H,R,W,QS,SV,ER,HR,HR/9,K%,K/9,K,BB,BB/9,BB%,HBP,1B,2B,3B,ERA,WHIP,GB%,LD%,FB%,FB,GB,LD,L,G,HLD,BS,IBB,K/BB,K-BB%,AVG,BABIP,LOB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,MLBAMID,MLBID,$,Deep $
437,Anthony Banda,LAD,14706,607455.0,244.74,56.7,0.0,49.480000000000004,28.13,0.0,0.0,0.0,26.0,8.0,1.3,0.236,9.2,58.0,22.0,3.5,0.091,2.0,31.28,9.200000000000001,1.0,4.13,1.26,0.439,0.241,0.257,42.58529,71.57953,39.61997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.62
439,Kyle Nicolas,PIT,27775,693312.0,251.627,56.4,0.0,52.160000000000004,30.07,0.0,0.0,0.0,28.0,7.0,1.1,0.212,8.5,53.0,27.0,4.3,0.108,4.0,33.120000000000005,11.040000000000001,1.0,4.47,1.4,0.443,0.241,0.255,44.1939525,74.9151855,41.2762935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
440,Taylor Rogers,FA,13449,573124.0,244.216,56.4,0.0,50.400000000000006,28.13,0.0,0.0,0.0,26.0,8.0,1.3,0.244,9.6,60.0,22.0,3.5,0.091,3.0,31.28,10.120000000000001,1.0,4.15,1.28,0.422,0.243,0.267,42.743916000000006,69.104016,39.175164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.48
441,Julian Fernandez,WSH,18341,642759.0,242.983,56.2,0.0,48.480000000000004,27.16,0.0,0.0,0.0,25.0,7.0,1.1,0.25,9.8,61.0,23.0,3.7,0.095,3.0,31.28,9.200000000000001,1.0,4.0,1.27,0.439,0.241,0.257,41.097105500000005,69.0781135,38.2354115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.66
442,Tim Herrin,CLE,25139,682120.0,249.677,56.2,0.0,47.480000000000004,29.099999999999998,0.0,0.0,0.0,27.0,6.0,1.0,0.24,9.6,60.0,31.0,5.0,0.126,6.0,31.28,9.200000000000001,1.0,4.32,1.4,0.463,0.241,0.238,39.510573,70.84928049999999,38.161818499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.05
443,Drey Jameson,ARI,26260,686753.0,246.704,56.2,0.0,50.32000000000001,27.16,0.0,0.0,0.0,25.0,7.0,1.1,0.217,8.6,54.0,23.0,3.7,0.095,1.0,32.2,10.120000000000001,1.0,4.0,1.3,0.447,0.239,0.253,43.529076,74.415204,40.644108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.51
444,Ethan Roberts,CHC,24930,681799.0,242.215,56.1,0.0,48.56,27.16,0.0,0.0,0.0,25.0,8.0,1.3,0.229,8.8,55.0,21.0,3.4,0.085,3.0,30.360000000000003,9.200000000000001,1.0,4.01,1.24,0.342,0.233,0.324,48.534780000000005,64.15899,39.3098475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.7
445,Juan Morillo,ARI,21924,666661.0,246.587,56.1,0.0,50.32000000000001,28.13,0.0,0.0,0.0,26.0,7.0,1.1,0.226,9.0,56.0,24.0,3.9,0.098,2.0,32.2,10.120000000000001,1.0,4.17,1.32,0.468,0.239,0.236,41.313576,74.797563,39.897586499999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.35
449,Grant Anderson,MIL,20546,681982.0,239.726,55.9,0.0,50.480000000000004,28.13,0.0,0.0,0.0,26.0,9.0,1.4,0.246,9.5,59.0,19.0,3.1,0.081,2.0,31.28,9.200000000000001,1.0,4.19,1.24,0.422,0.243,0.267,42.614801,68.895276,39.056829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.61
450,Bradgley Rodriguez,SD,29107,699134.0,240.28,55.8,0.0,45.64,25.22,0.0,0.0,0.0,23.0,6.0,1.0,0.267,10.3,64.0,24.0,3.9,0.098,3.0,30.360000000000003,8.280000000000001,1.0,3.71,1.25,0.554,0.224,0.183,33.73002,74.92176,35.328959999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.04
451,Cole Sulser,TB,15256,642121.0,241.588,55.8,0.0,49.480000000000004,27.16,0.0,0.0,0.0,25.0,8.0,1.3,0.232,9.0,56.0,21.0,3.4,0.088,0.0,31.28,9.200000000000001,1.0,4.03,1.26,0.375,0.241,0.297,45.837757999999994,66.24667,39.583414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.66
452,Rafael Montero,FA,12760,606160.0,254.274,55.7,0.0,51.32000000000001,31.04,0.0,0.0,0.0,29.0,8.0,1.3,0.211,8.7,54.0,32.0,5.2,0.126,2.0,32.2,10.120000000000001,1.0,4.69,1.5,0.451,0.238,0.25,42.90987,74.124697,40.217486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
453,Dylan Dodd,ATL,29928,689266.0,244.313,55.7,0.0,57.84,29.099999999999998,0.0,0.0,0.0,27.0,9.0,1.5,0.168,6.6,41.0,15.0,2.4,0.06,2.0,36.800000000000004,11.040000000000001,1.0,4.36,1.31,0.424,0.243,0.266,49.526319,80.409651,45.47758949999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.14
454,David Festa,MIN,30056,701581.0,240.448,55.7,3.24,49.480000000000004,27.16,1.0,1.0,0.0,25.0,8.0,1.3,0.244,9.5,59.0,20.0,3.2,0.083,3.0,30.360000000000003,10.120000000000001,1.0,4.04,1.25,0.373,0.24,0.3,45.20544,64.821372,38.74752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.2
455,Zak Kent,CLE,25703,687849.0,242.529,55.6,0.0,51.24000000000001,28.13,0.0,0.0,0.0,26.0,7.0,1.1,0.218,8.6,53.0,22.0,3.6,0.089,3.0,33.120000000000005,10.120000000000001,1.0,4.21,1.32,0.516,0.23,0.209,39.2855505,79.24121699999999,39.369315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.37
456,Drew Pomeranz,FA,11426,519141.0,231.676,55.2,0.0,44.800000000000004,25.22,0.0,0.0,0.0,23.0,7.0,1.1,0.275,10.4,64.0,18.0,2.9,0.077,6.0,27.6,9.200000000000001,1.0,3.75,1.14,0.373,0.24,0.3,41.90928,60.09491399999999,35.922239999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.25
457,Carlos Vargas,SEA,22915,672841.0,238.501,55.2,0.0,53.08,27.16,0.0,0.0,0.0,25.0,7.0,1.1,0.186,7.2,44.0,16.0,2.6,0.065,5.0,34.96,10.120000000000001,1.0,4.08,1.25,0.555,0.224,0.183,39.537971500000005,87.91174250000002,41.412231999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5
458,Daniel Lynch IV,KC,21537,663738.0,243.694,55.2,0.0,53.08,28.13,0.0,0.0,0.0,26.0,7.0,1.1,0.181,7.2,44.0,21.0,3.4,0.086,4.0,34.04,11.040000000000001,1.0,4.24,1.34,0.424,0.243,0.266,46.996522,76.30233799999999,43.15460099999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.12
459,Ryne Stanek,FA,15947,592773.0,240.86,55.0,0.0,45.72,27.16,0.0,0.0,0.0,25.0,7.0,1.1,0.242,9.5,58.0,27.0,4.4,0.111,1.0,28.52,9.200000000000001,1.0,4.09,1.32,0.323,0.233,0.337,46.524210000000004,58.681290000000004,36.860890000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.45
460,Max Lazar,PHI,23426,676661.0,241.171,55.0,0.0,56.0,28.13,0.0,0.0,0.0,26.0,9.0,1.5,0.17,6.7,41.0,16.0,2.6,0.066,0.0,34.96,11.040000000000001,1.0,4.25,1.31,0.43,0.241,0.263,48.1607165,79.19353,44.293125499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2
461,Jorge Alcala,STL,19459,660896.0,240.034,54.9,0.0,47.64,28.13,0.0,0.0,0.0,26.0,8.0,1.3,0.239,9.3,57.0,24.0,3.9,0.1,2.0,29.44,9.200000000000001,1.0,4.26,1.3,0.355,0.235,0.312,45.483724,62.42084499999999,37.770574999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.36
462,Marc Church,TEX,26353,687847.0,238.2,54.8,0.0,46.56,26.189999999999998,0.0,0.0,0.0,24.0,6.0,1.0,0.246,9.7,59.0,24.0,3.9,0.1,3.0,30.360000000000003,9.200000000000001,1.0,3.94,1.29,0.512,0.229,0.213,36.7048,73.0992,36.3944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.7
463,Bailey Horn,DET,27753,690544.0,239.547,54.8,0.0,50.32000000000001,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.1,0.207,8.2,50.0,21.0,3.4,0.089,0.0,33.120000000000005,9.200000000000001,1.0,3.94,1.3,0.515,0.228,0.211,39.692818499999994,79.6384575,39.439997999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.58
464,Paul Sewald,FA,13892,623149.0,227.078,54.8,0.0,42.040000000000006,23.28,0.0,0.0,0.0,21.0,7.0,1.1,0.29,10.8,66.0,18.0,3.0,0.079,2.0,25.76,8.280000000000001,1.0,3.45,1.1,0.29,0.218,0.349,43.567251,51.50808,32.764862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.66
465,Rico Garcia,BAL,20023,670329.0,236.254,54.7,0.0,51.32000000000001,27.16,0.0,0.0,0.0,25.0,8.0,1.3,0.215,8.4,51.0,18.0,3.0,0.077,0.0,32.2,10.120000000000001,1.0,4.11,1.27,0.398,0.244,0.283,45.40946099999999,69.243156,40.475468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.55
466,Hayden Harris,ATL,31913,802686.0,232.358,54.6,0.0,43.88,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.2,0.304,11.7,71.0,23.0,3.8,0.101,3.0,27.6,8.280000000000001,1.0,3.96,1.22,0.452,0.239,0.248,35.142932,61.015878,33.136741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.99
467,Cody Laweryson,LAA,26429,689520.0,238.508,54.6,0.0,50.400000000000006,28.13,0.0,0.0,0.0,26.0,8.0,1.3,0.217,8.6,52.0,21.0,3.5,0.087,3.0,32.2,9.200000000000001,1.0,4.29,1.31,0.461,0.239,0.241,41.459754000000004,73.73381400000001,39.639166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.33
468,Brandyn Garcia,ARI,33568,805299.0,235.294,54.4,0.0,46.56,25.22,0.0,0.0,0.0,23.0,6.0,1.0,0.245,9.6,58.0,22.0,3.6,0.095,3.0,30.360000000000003,9.200000000000001,1.0,3.81,1.26,0.554,0.222,0.184,34.475268,76.40464800000001,35.872914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.8
469,Konnor Pilkington,WSH,21453,663455.0,243.161,54.2,0.0,48.400000000000006,28.13,0.0,0.0,0.0,26.0,6.0,1.0,0.222,9.0,54.0,29.0,4.8,0.119,4.0,32.2,9.200000000000001,1.0,4.32,1.43,0.51,0.228,0.214,37.958157,75.27566999999999,37.477674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
472,Brady Basso,OAK,25582,669620.0,236.088,53.9,0.0,50.32000000000001,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.2,0.207,8.2,49.0,20.0,3.3,0.083,0.0,32.2,10.120000000000001,1.0,4.01,1.3,0.44,0.241,0.256,43.108704,72.68328,40.184664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.5
473,Ryan Brasier,FA,5615,518489.0,228.62,53.9,0.0,52.24000000000001,26.189999999999998,0.0,0.0,0.0,24.0,8.0,1.3,0.204,7.8,47.0,12.0,2.0,0.052,2.0,33.120000000000005,10.120000000000001,1.0,4.01,1.19,0.428,0.242,0.265,44.52525,72.76698,40.87842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.77
474,Jack Dreyer,LAD,30249,676263.0,226.981,53.7,0.0,47.64,25.22,0.0,0.0,0.0,23.0,8.0,1.3,0.241,9.2,55.0,15.0,2.5,0.067,0.0,29.44,9.200000000000001,1.0,3.85,1.17,0.385,0.242,0.293,43.4052465,63.96975749999999,37.832421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
475,Kirby Yates,FA,9073,489446.0,225.628,53.7,0.0,39.2,23.28,0.0,0.0,0.0,21.0,6.0,1.0,0.297,11.2,67.0,22.0,3.7,0.097,3.0,24.84,7.36,1.0,3.52,1.14,0.378,0.241,0.296,37.982584,55.197711999999996,32.859033999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.5
477,Tommy Nance,TOR,19178,667297.0,229.299,53.3,0.0,47.56,25.22,0.0,0.0,0.0,23.0,7.0,1.2,0.245,9.5,56.0,19.0,3.2,0.083,2.0,30.360000000000003,9.200000000000001,1.0,3.88,1.25,0.526,0.226,0.204,35.797368,73.754922,35.951667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.75
478,Mason Fluharty,TOR,31553,689254.0,229.338,53.2,0.0,46.72,27.16,0.0,0.0,0.0,25.0,8.0,1.4,0.257,10.0,59.0,21.0,3.6,0.092,2.0,28.52,9.200000000000001,1.0,4.23,1.27,0.393,0.243,0.288,40.918612,61.452586999999994,36.065127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.47
479,Jordan Hicks,BOS,19618,663855.0,240.757,53.1,0.0,54.92,30.07,0.0,0.0,0.0,28.0,7.0,1.2,0.195,8.0,47.0,23.0,3.9,0.096,5.0,34.96,11.96,1.0,4.75,1.47,0.528,0.228,0.201,39.359488500000005,81.792603,39.957138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
480,Ron Marinaccio,SD,23488,676760.0,226.975,53.0,0.0,43.88,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.2,0.269,10.4,61.0,22.0,3.7,0.099,7.0,27.6,8.280000000000001,1.0,4.08,1.24,0.386,0.242,0.291,39.66511249999999,58.741800000000005,34.697975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.7
481,Brent Headrick,NYY,27702,687396.0,220.901,52.9,0.0,42.120000000000005,25.22,0.0,0.0,0.0,23.0,8.0,1.4,0.281,10.5,62.0,18.0,3.1,0.081,5.0,24.84,8.280000000000001,1.0,3.91,1.14,0.302,0.224,0.343,42.481651500000005,51.569766,32.689032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.12
482,Bennett Sousa,HOU,21345,656986.0,225.47,52.7,0.0,45.72,24.25,0.0,0.0,0.0,22.0,7.0,1.2,0.243,9.4,55.0,18.0,3.1,0.079,0.0,28.52,9.200000000000001,1.0,3.76,1.21,0.394,0.245,0.286,41.62431,62.817640000000004,36.973974999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.01
483,Yosver Zulueta,CIN,27765,691172.0,227.372,52.4,0.0,46.56,25.22,0.0,0.0,0.0,23.0,6.0,1.0,0.236,9.3,54.0,20.0,3.4,0.09,2.0,30.360000000000003,9.200000000000001,1.0,3.95,1.27,0.573,0.224,0.172,33.128352,76.91605799999999,35.582304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.62
484,Lake Bachar,MIA,19222,669199.0,224.331,52.3,0.0,44.800000000000004,25.22,0.0,0.0,0.0,23.0,7.0,1.2,0.252,9.8,57.0,20.0,3.4,0.091,2.0,27.6,9.200000000000001,1.0,3.96,1.24,0.366,0.239,0.303,41.473676499999996,58.637738,35.285774499999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.73
490,Albert Suarez,BAL,6175,544150.0,224.671,52.0,0.0,47.56,25.22,0.0,0.0,0.0,23.0,7.0,1.2,0.194,7.6,44.0,17.0,2.9,0.075,1.0,30.360000000000003,9.200000000000001,1.0,3.98,1.24,0.377,0.241,0.297,45.582373499999996,66.0412485,39.362875499999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.62
492,Jonathan Bowlan,KC,24607,680742.0,224.958,51.9,0.0,44.72,24.25,0.0,0.0,0.0,22.0,6.0,1.0,0.244,9.5,55.0,21.0,3.6,0.095,0.0,28.52,9.200000000000001,1.0,3.82,1.27,0.454,0.241,0.245,37.611895,65.839436,35.824399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.8
493,Eduarniel Nunez,OAK,23162,674384.0,230.394,51.9,0.0,41.96,26.189999999999998,0.0,0.0,0.0,24.0,6.0,1.0,0.273,10.9,63.0,30.0,5.2,0.129,3.0,26.68,8.280000000000001,1.0,4.16,1.39,0.509,0.228,0.215,32.631075,64.506483,32.150196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.31
494,Kolby Allard,CLE,18694,663465.0,219.534,51.9,1.62,48.480000000000004,24.25,0.0,0.4,0.0,22.0,7.0,1.2,0.177,6.8,39.0,12.0,2.1,0.053,1.0,31.28,9.200000000000001,1.0,3.82,1.17,0.369,0.239,0.302,47.358054,67.32933299999999,40.363893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.9
495,Evan Sisk,PIT,24995,681895.0,224.235,51.8,0.0,43.72,23.28,0.0,0.0,0.0,21.0,5.0,0.9,0.256,9.9,57.0,22.0,3.8,0.096,2.0,29.44,8.280000000000001,1.0,3.65,1.27,0.561,0.219,0.182,32.096935,71.96394250000002,33.3314325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.95
496,Zach Agnos,COL,31552,688642.0,231.936,51.8,0.0,51.32000000000001,28.13,0.0,0.0,0.0,26.0,8.0,1.4,0.202,8.2,47.0,22.0,3.8,0.093,0.0,32.2,10.120000000000001,1.0,4.52,1.42,0.406,0.245,0.277,43.748316,68.10724800000001,39.51198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
497,JT Brubaker,SF,17578,664141.0,224.235,51.8,0.0,47.480000000000004,24.25,0.0,0.0,0.0,22.0,6.0,1.0,0.226,8.9,51.0,18.0,3.1,0.079,2.0,31.28,9.200000000000001,1.0,3.82,1.26,0.524,0.227,0.205,36.0921375,74.047095,36.247372500000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.77
498,Ian Hamilton,NYY,19261,641656.0,227.761,51.6,0.0,43.88,26.189999999999998,0.0,0.0,0.0,24.0,7.0,1.2,0.25,9.9,57.0,26.0,4.5,0.112,3.0,27.6,8.280000000000001,1.0,4.19,1.35,0.457,0.239,0.244,36.479772,64.2015035,34.6702595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.35
499,Tanner Rainey,DET,17610,663432.0,227.571,51.5,0.0,45.8,27.16,0.0,0.0,0.0,25.0,8.0,1.4,0.199,7.9,45.0,24.0,4.2,0.107,4.0,28.52,8.280000000000001,1.0,4.37,1.36,0.297,0.223,0.337,47.333443499999994,57.6405585,36.709186499999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.11
500,Tyler Gilbert,CWS,17964,656457.0,223.464,51.3,0.0,47.56,25.22,0.0,0.0,0.0,23.0,7.0,1.2,0.198,7.7,44.0,18.0,3.2,0.08,2.0,30.360000000000003,9.200000000000001,1.0,4.04,1.28,0.374,0.241,0.298,45.048456,64.908528,38.832091999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.45
501,Luke Jackson,FA,11752,592426.0,226.876,51.3,0.0,46.56,25.22,0.0,0.0,0.0,23.0,6.0,1.1,0.206,8.2,47.0,23.0,4.0,0.103,2.0,31.28,8.280000000000001,1.0,4.04,1.36,0.505,0.228,0.218,37.493364,73.33953000000001,36.708984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.29
503,Jackson Rutledge,WSH,26215,671131.0,223.56,51.2,0.0,49.480000000000004,27.16,0.0,0.0,0.0,25.0,8.0,1.4,0.2,7.9,45.0,17.0,3.0,0.075,5.0,31.28,9.200000000000001,1.0,4.39,1.3,0.369,0.239,0.302,45.398360000000004,64.54321999999999,38.693619999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.15
504,Mason Montgomery,TB,29770,682254.0,221.559,51.1,0.0,39.2,24.25,0.0,0.0,0.0,22.0,6.0,1.1,0.305,12.0,68.0,27.0,4.8,0.12,1.0,24.84,7.36,1.0,3.87,1.3,0.463,0.241,0.239,31.5764705,56.508593499999996,30.4374395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.78
505,Sam Bachman,LAA,29754,696147.0,227.671,51.1,0.0,50.32000000000001,27.16,0.0,0.0,0.0,25.0,7.0,1.2,0.186,7.4,42.0,21.0,3.7,0.093,3.0,33.120000000000005,9.200000000000001,1.0,4.4,1.4,0.554,0.224,0.183,36.4746265,81.018132,38.203672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
507,Jose Castillo,NYM,17169,620454.0,222.889,50.9,0.0,46.56,26.189999999999998,0.0,0.0,0.0,24.0,6.0,1.1,0.218,8.7,49.0,20.0,3.5,0.088,7.0,31.28,8.280000000000001,1.0,4.24,1.31,0.555,0.224,0.182,34.009469,75.79033250000002,35.702248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.32
508,Gavin Hollowell,CHC,25427,668970.0,226.382,50.9,0.0,44.8,27.16,0.0,0.0,0.0,25.0,7.0,1.2,0.22,8.8,50.0,25.0,4.4,0.112,7.0,28.52,8.280000000000001,1.0,4.42,1.37,0.372,0.24,0.3,42.38696,60.704182,36.33168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.04
509,Carson Palmquist,COL,31612,687223.0,227.667,50.9,4.86,48.56,28.13,1.0,1.7,0.0,26.0,8.0,1.4,0.206,8.3,47.0,23.0,4.1,0.102,4.0,29.44,10.120000000000001,1.0,4.6,1.41,0.335,0.234,0.327,46.2752645,60.3076275,37.367079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.26
510,Jack Neely,CHC,30106,680891.0,217.391,50.8,0.0,40.120000000000005,23.28,0.0,0.0,0.0,21.0,6.0,1.1,0.288,11.2,63.0,22.0,3.9,0.1,2.0,25.76,7.36,1.0,3.72,1.22,0.451,0.238,0.25,33.759705,58.31823549999999,31.641448999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.06
511,Yohan Ramirez,PIT,19444,670990.0,217.202,50.7,0.0,41.88,25.22,0.0,0.0,0.0,23.0,5.0,0.9,0.267,10.3,58.0,20.0,3.6,0.09,11.0,27.6,8.280000000000001,1.0,4.08,1.22,0.471,0.239,0.234,34.382894,62.710501,33.338879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.76
512,Carson Seymour,SF,30084,693313.0,223.19,50.7,3.24,49.32000000000001,25.22,1.0,0.8,0.0,23.0,6.0,1.1,0.193,7.6,43.0,18.0,3.2,0.082,1.0,32.2,10.120000000000001,1.0,4.08,1.33,0.527,0.226,0.204,37.62808,77.607915,37.79027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.82
513,Chris Roycroft,STL,31261,688297.0,227.273,50.7,0.0,48.400000000000006,27.16,0.0,0.0,0.0,25.0,6.0,1.1,0.196,8.0,45.0,24.0,4.3,0.104,4.0,32.2,9.200000000000001,1.0,4.44,1.43,0.569,0.221,0.177,34.5826505,79.0573635,36.48192649999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
514,Mason Barnett,OAK,31741,686930.0,222.0,50.3,4.86,47.56,26.189999999999998,2.0,1.6,0.0,24.0,7.0,1.3,0.204,8.1,45.0,20.0,3.6,0.089,2.0,30.360000000000003,9.200000000000001,1.0,4.29,1.34,0.455,0.24,0.245,39.6425,69.4725,37.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.71
515,Zack Kelly,BOS,20349,677161.0,217.202,50.2,0.0,46.64,25.22,0.0,0.0,0.0,23.0,7.0,1.3,0.236,9.1,51.0,17.0,3.0,0.08,4.0,28.52,10.120000000000001,1.0,4.12,1.27,0.439,0.241,0.257,38.568717,64.828269,35.883081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.49
523,Jordan Romano,FA,16122,605447.0,212.766,49.9,0.0,43.96,25.22,0.0,0.0,0.0,23.0,8.0,1.4,0.267,10.3,57.0,17.0,3.1,0.08,3.0,26.68,8.280000000000001,1.0,4.15,1.22,0.372,0.24,0.3,38.85448,55.645165999999996,33.303839999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.67
524,Jayden Murray,HOU,26482,681151.0,218.818,49.9,0.0,46.64,25.22,0.0,0.0,0.0,23.0,7.0,1.3,0.213,8.5,47.0,20.0,3.6,0.09,2.0,29.44,9.200000000000001,1.0,4.15,1.34,0.435,0.241,0.26,39.472680000000004,65.661285,36.512229000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.31
