,Hitter,Pos,Team,Sal,Opp,Park,OppSP,LU,DKPts,FDPts,Floor,Ceil,Value,PA,R,HR,RBI,SB,SO,BB,HBP,1B,2B,3B,Date,MainSlate,Ownership,LastUpdate,TopPlayScore
152,Harrison Bader,OF,MIN,2800.0,STL,STL,Andre Pallante,9,6.25,8.142000000000001,0.38,17.13,1.92,3.5,0.46,0.07,0.38,0.15,0.57,0.16,0.05,0.63,0.15,0.02,2025-03-30,Main,,13:53,1.0
153,Lars Nootbaar,OF,STL,3700.0,MIN,STL,Bailey Ober,1,7.6499999999999995,10.04,0.5,19.28,2.17,4.33,0.6,0.16,0.4,0.06,0.85,0.42,0.02,0.61,0.2,0.01,2025-03-30,Main,,13:53,1.15
154,Willson Contreras,DH,STL,4300.0,MIN,STL,Bailey Ober,2,7.320000000000001,10.04,0.31,18.18,1.7,4.18,0.55,0.18,0.48,0.03,1.11,0.33,0.14,0.54,0.19,0.01,2025-03-30,Main,,13:53,1.01
155,Brendan Donovan,OF,STL,3500.0,MIN,STL,Bailey Ober,3,6.87,9.13,0.49,18.33,1.85,4.24,0.45,0.09,0.5,0.04,0.56,0.23,0.1,0.76,0.21,0.01,2025-03-30,Main,,13:53,1.04
156,Nolan Arenado,3B,STL,3700.0,MIN,STL,Bailey Ober,4,6.29,8.172,0.22,16.43,1.63,4.1,0.41,0.11,0.46,0.02,0.68,0.18,0.03,0.67,0.18,0.01,2025-03-30,Main,,13:53,0.93
157,Alec Burleson,1B,STL,3000.0,MIN,STL,Bailey Ober,5,6.72,8.652000000000001,0.32,16.0,2.09,4.04,0.41,0.11,0.46,0.06,0.52,0.19,0.02,0.69,0.21,0.01,2025-03-30,Main,,13:53,1.03
158,Nolan Gorman,2B,STL,3400.0,MIN,STL,Bailey Ober,6,6.660000000000001,8.801,0.0,16.81,1.85,3.93,0.43,0.21,0.45,0.04,1.42,0.26,0.02,0.41,0.17,0.0,2025-03-30,Main,,13:53,0.99
159,Pedro Pages,C,STL,3000.0,MIN,STL,Bailey Ober,7,5.1000000000000005,6.6770000000000005,0.03,14.8,1.44,3.82,0.31,0.08,0.33,0.04,1.06,0.21,0.05,0.53,0.13,0.02,2025-03-30,Main,,13:53,0.81
160,Victor Scott II,OF,STL,2300.0,MIN,STL,Bailey Ober,8,5.8100000000000005,7.689,,,2.02,3.69,0.37,0.09,0.35,0.18,1.01,0.23,0.06,0.46,0.13,0.01,2025-03-30,Main,,13:53,
161,Masyn Winn,SS,STL,3800.0,MIN,STL,Bailey Ober,9,5.3100000000000005,6.7989999999999995,0.22,15.79,1.1,3.49,0.37,0.06,0.31,0.09,0.62,0.15,0.02,0.59,0.15,0.01,2025-03-30,Main,,13:53,0.77
162,Jarren Duran,OF,BOS,5600.0,TEX,TEX,Jacob deGrom,1,8.44,11.087000000000002,0.31,19.65,1.75,4.58,0.66,0.13,0.49,0.16,1.24,0.27,0.05,0.66,0.24,0.04,2025-03-30,Main,,13:53,1.09
163,Rafael Devers,DH,BOS,5500.0,TEX,TEX,Jacob deGrom,2,8.21,10.998000000000001,0.36,20.17,1.67,4.45,0.64,0.22,0.56,0.03,1.23,0.33,0.05,0.54,0.22,0.01,2025-03-30,Main,,13:53,1.08
164,Alex Bregman,3B,BOS,5300.0,TEX,TEX,Jacob deGrom,3,7.050000000000001,9.383,0.15,15.95,1.43,4.29,0.49,0.12,0.51,0.03,0.7,0.31,0.06,0.64,0.2,0.02,2025-03-30,Main,,13:53,0.9
165,Triston Casas,1B,BOS,4000.0,TEX,TEX,Jacob deGrom,4,7.43,10.059000000000001,0.08,16.23,1.92,4.27,0.52,0.2,0.59,0.01,1.41,0.47,0.03,0.48,0.14,0.01,2025-03-30,Main,,13:53,1.02
166,Kristian Campbell,2B,BOS,3300.0,TEX,TEX,Jacob deGrom,5,7.590000000000001,10.315999999999999,0.14,15.73,2.48,4.16,0.53,0.15,0.56,0.1,1.23,0.35,0.11,0.61,0.16,0.01,2025-03-30,Main,,13:53,1.13
167,Wilyer Abreu,OF,BOS,3600.0,TEX,TEX,Jacob deGrom,6,6.699999999999999,8.912,0.0,16.93,1.71,4.05,0.46,0.13,0.48,0.07,1.36,0.32,0.03,0.5,0.19,0.01,2025-03-30,Main,,13:53,0.97
168,Connor Wong,C,BOS,3700.0,TEX,TEX,Jacob deGrom,7,5.550000000000001,7.314000000000001,0.01,14.35,1.38,3.93,0.37,0.07,0.38,0.06,1.27,0.17,0.06,0.55,0.18,0.02,2025-03-30,Main,,13:53,0.8
169,David Hamilton,SS,BOS,2700.0,TEX,TEX,Jacob deGrom,8,7.010000000000001,9.158999999999999,0.0,14.66,2.69,3.8,0.47,0.08,0.43,0.29,1.16,0.26,0.02,0.52,0.16,0.01,2025-03-30,Main,,13:53,1.13
170,Ceddanne Rafaela,OF,BOS,3400.0,TEX,TEX,Jacob deGrom,9,5.2299999999999995,6.8740000000000006,0.05,14.33,1.11,3.59,0.37,0.1,0.34,0.09,1.21,0.08,0.06,0.49,0.13,0.01,2025-03-30,Main,,13:53,0.74
171,Marcus Semien,2B,TEX,4500.0,BOS,TEX,Richard Fitts,1,7.74,10.169000000000002,0.47,19.09,1.89,4.57,0.62,0.12,0.47,0.05,0.66,0.4,0.02,0.7,0.21,0.02,2025-03-30,Main,,13:53,1.09
172,Wyatt Langford,OF,TEX,4300.0,BOS,TEX,Richard Fitts,2,8.31,11.014,0.37,17.75,2.21,4.47,0.62,0.16,0.54,0.1,0.88,0.38,0.04,0.65,0.22,0.01,2025-03-30,Main,,13:53,1.14
173,Joc Pederson,DH,TEX,4100.0,BOS,TEX,Richard Fitts,3,8.19,11.190999999999999,0.11,15.68,2.23,4.14,0.58,0.18,0.61,0.07,0.89,0.52,0.09,0.58,0.16,0.01,2025-03-30,Main,,13:53,1.09
174,Adolis Garcia,OF,TEX,4500.0,BOS,TEX,Richard Fitts,4,7.660000000000001,10.238999999999999,0.14,16.43,1.79,4.27,0.52,0.17,0.59,0.08,1.14,0.33,0.04,0.54,0.18,0.02,2025-03-30,Main,,13:53,1.0
175,Jake Burger,1B,TEX,4000.0,BOS,TEX,Richard Fitts,5,7.56,10.111,0.24,19.28,1.99,4.16,0.53,0.19,0.57,0.02,1.04,0.22,0.07,0.57,0.21,0.02,2025-03-30,Main,,13:53,1.11
176,Kyle Higashioka,C,TEX,2400.0,BOS,TEX,Richard Fitts,6,5.68,7.416,0.0,12.66,2.23,3.91,0.38,0.13,0.4,0.03,1.09,0.22,0.0,0.45,0.16,0.01,2025-03-30,Main,,13:53,0.94
177,Leody Taveras,OF,TEX,2700.0,BOS,TEX,Richard Fitts,7,6.920000000000001,8.983,0.2,17.83,2.44,3.83,0.44,0.08,0.45,0.17,0.75,0.3,0.01,0.61,0.18,0.02,2025-03-30,Main,,13:53,1.15
178,Jonathan Ornelas,SS,TEX,0.0,BOS,TEX,Richard Fitts,8,5.38,7.093000000000001,,,0.0,3.8,0.39,0.07,0.35,0.06,0.92,0.23,0.05,0.57,0.13,0.01,2025-03-30,Main,,13:53,
179,Ezequiel Duran,3B,TEX,2800.0,BOS,TEX,Richard Fitts,9,5.42,7.060999999999999,0.18,17.01,1.59,3.59,0.38,0.07,0.35,0.08,0.85,0.17,0.04,0.58,0.14,0.01,2025-03-30,Main,,13:53,0.91
180,Ian Happ,OF,CHC,4900.0,ARI,ARI,Eduardo Rodriguez,1,8.42,11.385000000000002,0.77,17.41,1.99,4.45,0.75,0.15,0.51,0.08,1.07,0.52,0.05,0.56,0.24,0.01,2025-03-30,None,,13:53,
181,Seiya Suzuki,DH,CHC,5100.0,ARI,ARI,Eduardo Rodriguez,2,9.25,12.415,0.84,22.04,2.28,4.47,0.75,0.16,0.65,0.1,1.04,0.47,0.04,0.64,0.25,0.03,2025-03-30,None,,13:53,
182,Kyle Tucker,OF,CHC,6100.0,ARI,ARI,Eduardo Rodriguez,3,9.54,12.861,1.06,20.89,2.05,4.37,0.73,0.19,0.77,0.08,0.62,0.55,0.01,0.61,0.23,0.02,2025-03-30,None,,13:53,
183,Justin Turner,1B,CHC,3300.0,ARI,ARI,Eduardo Rodriguez,4,7.390000000000001,10.152,0.51,15.31,2.3,4.21,0.56,0.1,0.64,0.02,0.8,0.41,0.09,0.63,0.22,0.01,2025-03-30,None,,13:53,
184,Dansby Swanson,SS,CHC,4500.0,ARI,ARI,Eduardo Rodriguez,5,7.99,10.646,0.55,17.59,2.1,4.14,0.58,0.13,0.6,0.11,0.95,0.39,0.02,0.58,0.22,0.02,2025-03-30,None,,13:53,
185,Nico Hoerner,2B,CHC,4200.0,ARI,ARI,Eduardo Rodriguez,6,7.33,9.741000000000001,0.93,18.94,1.82,4.02,0.53,0.03,0.55,0.16,0.42,0.27,0.08,0.8,0.21,0.01,2025-03-30,None,,13:53,
186,Pete Crow-Armstrong,OF,CHC,3700.0,ARI,ARI,Eduardo Rodriguez,7,7.17,9.591999999999999,0.45,19.93,1.91,3.93,0.51,0.1,0.5,0.21,0.98,0.2,0.09,0.58,0.16,0.02,2025-03-30,None,,13:53,
187,Matt Shaw,3B,CHC,3400.0,ARI,ARI,Eduardo Rodriguez,8,7.829999999999999,10.513000000000002,,,2.74,3.8,0.59,0.14,0.57,0.15,0.76,0.29,0.07,0.6,0.18,0.01,2025-03-30,None,,13:53,
188,Miguel Amaya,C,CHC,2300.0,ARI,ARI,Eduardo Rodriguez,9,6.0200000000000005,8.384,0.17,12.88,2.62,3.59,0.52,0.1,0.48,0.01,0.67,0.24,0.13,0.52,0.17,0.01,2025-03-30,None,,13:53,
189,Ketel Marte,DH,ARI,5900.0,CHC,ARI,Matthew Boyd,1,9.44,12.516,1.04,20.56,2.06,4.44,0.78,0.24,0.54,0.04,0.74,0.41,0.04,0.64,0.26,0.02,2025-03-30,None,,13:53,
190,Geraldo Perdomo,SS,ARI,3000.0,CHC,ARI,Matthew Boyd,2,6.57,8.738,0.31,16.46,2.13,4.3,0.49,0.04,0.42,0.1,0.62,0.42,0.05,0.66,0.19,0.01,2025-03-30,None,,13:53,
191,Lourdes Gurriel Jr.,OF,ARI,4000.0,CHC,ARI,Matthew Boyd,3,7.47,9.831999999999999,0.64,16.84,1.92,4.19,0.51,0.13,0.56,0.06,0.74,0.22,0.04,0.66,0.23,0.02,2025-03-30,None,,13:53,
192,Randal Grichuk,OF,ARI,3200.0,CHC,ARI,Matthew Boyd,4,8.299999999999999,11.034,0.0,13.63,2.96,4.26,0.57,0.18,0.66,0.01,0.78,0.28,0.04,0.63,0.26,0.03,2025-03-30,None,,13:53,
193,Josh Naylor,1B,ARI,4800.0,CHC,ARI,Matthew Boyd,5,7.25,9.593,0.4,18.05,1.52,4.07,0.49,0.14,0.51,0.07,0.69,0.3,0.04,0.59,0.21,0.01,2025-03-30,None,,13:53,
194,Eugenio Suarez,3B,ARI,3900.0,CHC,ARI,Matthew Boyd,6,7.07,9.577,0.12,14.67,1.95,3.98,0.51,0.16,0.53,0.03,1.17,0.36,0.06,0.48,0.2,0.01,2025-03-30,None,,13:53,
195,Garrett Hampson,2B,ARI,2200.0,CHC,ARI,Matthew Boyd,7,6.140000000000001,8.052000000000001,0.05,12.2,2.43,3.89,0.41,0.07,0.4,0.13,0.98,0.31,0.02,0.54,0.17,0.01,2025-03-30,None,,13:53,
196,Alek Thomas,OF,ARI,2100.0,CHC,ARI,Matthew Boyd,8,5.680000000000001,7.4079999999999995,0.35,17.07,2.11,3.8,0.39,0.08,0.38,0.1,0.8,0.17,0.03,0.54,0.16,0.01,2025-03-30,None,,13:53,
197,Jose Herrera,C,ARI,2300.0,CHC,ARI,Matthew Boyd,9,4.45,5.9,0.03,10.43,1.43,3.59,0.35,0.02,0.32,0.02,0.86,0.33,0.01,0.49,0.12,0.01,2025-03-30,None,,13:53,
198,Lawrence Butler,OF,OAK,5000.0,SEA,SEA,Bryan Woo,1,7.93,10.209,0.36,17.4,1.73,4.41,0.57,0.18,0.39,0.14,1.24,0.26,0.01,0.62,0.21,0.01,2025-03-30,None,,13:53,
199,Brent Rooker,DH,OAK,5600.0,SEA,SEA,Bryan Woo,2,7.859999999999999,10.594,0.19,15.99,1.5,4.09,0.57,0.25,0.5,0.05,1.45,0.31,0.09,0.49,0.16,0.01,2025-03-30,None,,13:53,
200,JJ Bleday,OF,OAK,3400.0,SEA,SEA,Bryan Woo,3,6.620000000000001,8.803,0.05,17.12,1.77,4.21,0.44,0.11,0.45,0.03,0.97,0.41,0.03,0.53,0.22,0.01,2025-03-30,None,,13:53,
201,Miguel Andujar,OF,OAK,3500.0,SEA,SEA,Bryan Woo,4,5.59,7.133,0.44,12.71,1.23,3.84,0.34,0.07,0.39,0.04,0.59,0.14,0.02,0.69,0.16,0.01,2025-03-30,None,,13:53,
202,Tyler Soderstrom,1B,OAK,3100.0,SEA,SEA,Bryan Woo,5,6.300000000000001,8.398,0.12,16.01,1.78,4.01,0.39,0.16,0.44,0.03,1.26,0.31,0.05,0.49,0.16,0.0,2025-03-30,None,,13:53,
203,Jacob Wilson,SS,OAK,4200.0,SEA,SEA,Bryan Woo,6,5.7,7.43,0.43,11.63,1.15,3.9,0.35,0.07,0.38,0.03,0.5,0.27,0.05,0.69,0.14,0.01,2025-03-30,None,,13:53,
204,Gio Urshela,3B,OAK,2800.0,SEA,SEA,Bryan Woo,7,5.21,6.5489999999999995,0.4,12.0,1.47,3.71,0.32,0.06,0.31,0.01,0.69,0.15,0.01,0.69,0.17,0.01,2025-03-30,None,,13:53,
205,Jhonny Pereda,C,OAK,2000.0,SEA,SEA,Bryan Woo,8,5.279999999999999,6.79,0.15,9.97,2.31,3.66,0.35,0.08,0.3,0.0,1.0,0.28,0.01,0.58,0.16,0.01,2025-03-30,None,,13:53,
206,Max Schuemann,2B,OAK,2000.0,SEA,SEA,Bryan Woo,9,5.25,7.191999999999999,0.05,12.95,1.96,3.46,0.36,0.07,0.32,0.08,1.05,0.28,0.13,0.5,0.13,0.01,2025-03-30,None,,13:53,
207,Victor Robles,OF,SEA,3800.0,OAK,SEA,JP Sears,1,8.79,11.923,0.42,20.44,2.79,4.42,0.74,0.1,0.51,0.26,0.78,0.38,0.14,0.7,0.21,0.01,2025-03-30,None,,13:53,
208,Julio Rodriguez,OF,SEA,5500.0,OAK,SEA,JP Sears,2,9.459999999999999,12.605,0.62,20.33,2.24,4.39,0.75,0.2,0.67,0.12,1.21,0.28,0.06,0.7,0.24,0.02,2025-03-30,None,,13:53,
209,Cal Raleigh,C,SEA,4300.0,OAK,SEA,JP Sears,3,9.21,12.475000000000001,0.36,19.86,3.28,4.3,0.7,0.27,0.73,0.05,1.28,0.43,0.03,0.47,0.21,0.01,2025-03-30,None,,13:53,
210,Randy Arozarena,OF,SEA,4400.0,OAK,SEA,JP Sears,4,8.880000000000003,12.263,0.22,21.45,2.46,4.09,0.64,0.16,0.75,0.13,1.1,0.5,0.1,0.52,0.21,0.03,2025-03-30,None,,13:53,
211,Mitch Garver,DH,SEA,2500.0,OAK,SEA,JP Sears,5,7.170000000000001,9.916,0.15,17.2,2.8,3.97,0.53,0.17,0.6,0.02,1.22,0.54,0.05,0.41,0.16,0.0,2025-03-30,None,,13:53,
212,Donovan Solano,1B,SEA,2700.0,OAK,SEA,JP Sears,6,6.210000000000001,8.402999999999999,0.26,15.26,1.99,3.8,0.44,0.06,0.49,0.03,0.91,0.3,0.09,0.64,0.2,0.01,2025-03-30,None,,13:53,
213,Dylan Moore,3B,SEA,2700.0,OAK,SEA,JP Sears,7,7.629999999999999,10.543,0.0,17.58,3.28,3.81,0.54,0.13,0.53,0.21,1.19,0.47,0.11,0.39,0.19,0.01,2025-03-30,None,,13:53,
214,Ryan Bliss,2B,SEA,3000.0,OAK,SEA,JP Sears,8,8.07,10.774,0.0,14.18,3.08,3.74,0.57,0.13,0.5,0.29,1.0,0.36,0.06,0.51,0.17,0.01,2025-03-30,None,,13:53,
215,J.P. Crawford,SS,SEA,2800.0,OAK,SEA,JP Sears,9,6.3100000000000005,8.534999999999998,0.12,15.33,2.11,3.52,0.5,0.1,0.43,0.04,0.82,0.45,0.04,0.49,0.16,0.01,2025-03-30,None,,13:53,
216,Jurickson Profar,OF,ATL,10200.0,SD,SD,Nick Pivetta,1,8.21,11.122,0.21,16.32,0.91,4.48,0.71,0.12,0.48,0.07,0.81,0.55,0.08,0.65,0.23,0.01,2025-03-30,None,,13:53,
217,Austin Riley,3B,ATL,12300.0,SD,SD,Nick Pivetta,2,8.14,11.027000000000001,0.31,17.44,0.82,4.42,0.66,0.21,0.55,0.01,1.22,0.37,0.08,0.55,0.22,0.01,2025-03-30,None,,13:53,
218,Matt Olson,1B,ATL,13500.0,SD,SD,Nick Pivetta,3,8.35,11.390999999999998,0.13,15.83,0.72,4.3,0.63,0.21,0.63,0.02,1.16,0.56,0.04,0.47,0.22,0.0,2025-03-30,None,,13:53,
219,Marcell Ozuna,DH,ATL,12900.0,SD,SD,Nick Pivetta,4,8.6,11.641,0.14,18.88,0.78,4.12,0.63,0.24,0.71,0.02,1.17,0.46,0.02,0.49,0.19,0.01,2025-03-30,None,,13:53,
220,Ozzie Albies,2B,ATL,11700.0,SD,SD,Nick Pivetta,5,7.42,9.899000000000001,0.05,14.59,0.67,4.1,0.52,0.12,0.57,0.07,0.72,0.32,0.04,0.59,0.24,0.01,2025-03-30,None,,13:53,
221,Michael Harris II,OF,ATL,10500.0,SD,SD,Nick Pivetta,6,7.83,10.311000000000002,0.21,17.71,0.8,4.02,0.53,0.16,0.55,0.09,0.86,0.22,0.05,0.65,0.23,0.01,2025-03-30,None,,13:53,
222,Drake Baldwin,C,ATL,8100.0,SD,SD,Nick Pivetta,7,7.300000000000001,9.885,0.03,14.53,1.09,3.9,0.5,0.15,0.55,0.02,0.94,0.49,0.05,0.53,0.19,0.01,2025-03-30,None,,13:53,
223,Orlando Arcia,SS,ATL,7500.0,SD,SD,Nick Pivetta,8,5.2,6.891,0.1,14.53,0.53,3.53,0.38,0.1,0.37,0.02,0.81,0.26,0.02,0.46,0.14,0.0,2025-03-30,None,,13:53,
224,Jarred Kelenic,OF,ATL,6900.0,SD,SD,Nick Pivetta,9,5.890000000000001,7.887,0.0,12.92,0.69,3.56,0.46,0.11,0.41,0.05,1.2,0.32,0.02,0.41,0.17,0.01,2025-03-30,None,,13:53,
225,Fernando Tatis Jr.,OF,SD,14400.0,ATL,SD,AJ Smith-Shawver,1,9.05,11.915999999999999,0.72,22.6,0.78,4.47,0.73,0.23,0.5,0.1,1.05,0.35,0.03,0.62,0.23,0.01,2025-03-30,None,,13:53,
226,Luis Arraez,1B,SD,9900.0,ATL,SD,AJ Smith-Shawver,2,7.26,9.203999999999999,0.75,14.11,0.74,4.43,0.52,0.04,0.44,0.06,0.21,0.17,0.03,0.99,0.25,0.01,2025-03-30,None,,13:53,
227,Manny Machado,3B,SD,4200.0,ATL,SD,AJ Smith-Shawver,3,7.95,10.44,0.53,21.25,2.29,4.26,0.55,0.19,0.56,0.06,0.88,0.3,0.01,0.6,0.21,0.01,2025-03-30,None,,13:53,
228,Jackson Merrill,OF,SD,13800.0,ATL,SD,AJ Smith-Shawver,4,9.370000000000001,12.269,0.34,18.17,0.87,4.27,0.62,0.21,0.71,0.1,0.76,0.24,0.01,0.69,0.28,0.02,2025-03-30,None,,13:53,
229,Jake Cronenworth,2B,SD,9300.0,ATL,SD,AJ Smith-Shawver,5,7.23,9.872,0.09,17.67,0.8,4.15,0.51,0.11,0.58,0.04,0.78,0.44,0.08,0.58,0.21,0.01,2025-03-30,None,,13:53,
230,Xander Bogaerts,SS,SD,11100.0,ATL,SD,AJ Smith-Shawver,6,6.6400000000000015,8.711,0.47,19.28,0.59,3.98,0.43,0.1,0.45,0.08,0.72,0.29,0.04,0.64,0.18,0.01,2025-03-30,None,,13:53,
231,Gavin Sheets,DH,SD,6000.0,ATL,SD,AJ Smith-Shawver,7,5.720000000000001,7.564,0.0,15.36,0.74,3.48,0.37,0.1,0.4,0.03,0.75,0.33,0.02,0.48,0.17,0.01,2025-03-30,None,,13:53,
232,Jason Heyward,OF,SD,8700.0,ATL,SD,AJ Smith-Shawver,8,6.24,8.38,0.0,14.08,0.61,3.72,0.45,0.11,0.44,0.05,0.75,0.37,0.04,0.48,0.17,0.01,2025-03-30,None,,13:53,
233,Elias Diaz,C,SD,7200.0,ATL,SD,AJ Smith-Shawver,9,5.1899999999999995,6.787999999999999,0.07,13.95,0.62,3.55,0.39,0.09,0.34,0.01,0.83,0.21,0.02,0.51,0.15,0.01,2025-03-30,None,,13:53,
