,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
10,Ronald Acuna Jr.,ATL,142.455,624.907,530.565,147.409,90.8564,24.4296,3.18211,28.9412,101.318,83.0828,81.5706,3.36654,134.929,8.43269,3.80163,0.537366,11.9613,25.9,8.91564,0.277835,0.13053238321862293,0.21591852867706715,0.604543,0.380244,0.499518,0.378309,0.879761,0.221683,5.93776,0.319755,,0.357145,106.945,33.1075,144.268,0.357145,0.0,33.143926560878754,-7.44612455368042,4.75637,7.760000228881836,,,,,,,945.7,6.659859154,945.7,6.659859154,,,,,,,,,,,,,,,,,,,Ronald Acuna Jr.,18401,660670,660670.0
11,William Contreras,MIL,145.744,608.264,531.045,139.528,90.9744,27.414,0.0,21.1393,72.4583,81.6577,67.3618,2.72385,120.757,4.7351,4.15281,0.968832,15.2585,5.3655,2.08189,0.262742,0.11074434784896033,0.19852728420554233,0.55783,0.348471,0.433785,0.340377,0.782256,0.171044,2.76648,0.301011,,-0.838033,85.3642,13.4931,119.509,-0.838033,5.49,13.226418137550354,12.715946674346924,4.72474,54.68000030517578,,,,,,,748.6,5.12739726,748.6,5.12739726,,,,,,,,,,,,,,,,,,,William Contreras,20503,661388,661388.0
12,Yordan Alvarez,HOU,128.465,550.49,468.607,136.506,75.6822,26.7568,1.23696,32.8298,83.2615,90.7302,68.5526,8.89318,92.0904,7.698,5.12078,0.511495,9.10338,3.40207,1.14297,0.291301,0.12453014587004305,0.16728805246235173,0.744406,0.386845,0.563854,0.399089,0.950698,0.272553,3.14491,0.29723,,-0.731955,103.497,38.4524,160.036,-0.731955,0.0,38.2206968665123,-11.69665813446045,4.65225,45.119998931884766,,,,,,,926.3,7.23671875,926.3,7.23671875,,,,,,,,,,,,,,,,,,,Yordan Alvarez,19556,670541,670541.0
13,Will Smith,LAD,125.111,504.2,431.145,116.49,69.3464,21.1879,1.6567,24.2987,73.3476,73.8658,56.5739,2.29119,95.3138,9.26058,5.87914,0.466708,7.82987,2.92008,1.04834,0.270187,0.11220527568425229,0.18903966679888934,0.593554,0.362575,0.49609,0.367729,0.858665,0.225904,3.58145,0.290446,,-0.722592,81.9564,22.3812,138.0,-0.722592,-2.55,21.985605001449585,6.509557008743286,4.63169,108.26000213623048,,,,,,,717.4,5.7392,717.4,5.7392,,,,,,,,,,,,,,,,,,,Will Smith,19197,669257,669257.0
14,Francisco Lindor,NYM,152.413,669.074,589.48,151.103,93.371,29.1672,1.67377,26.8911,91.912,82.7736,57.8134,1.12063,124.901,10.2278,4.8771,0.725972,10.0056,23.1897,7.19789,0.256333,0.08640808042159762,0.1866774078801448,0.462873,0.330835,0.448346,0.337129,0.779181,0.192013,5.18249,0.280664,,0.632081,92.1337,13.0775,119.83,0.632081,0.0,16.357344388961792,6.576146602630615,4.62389,17.8799991607666,,,,,,,834.0,5.486842105,834.0,5.486842105,,,,,,,,,,,,,,,,,,,Francisco Lindor,12916,596019,596019.0
15,Fernando Tatis Jr.,SD,148.058,648.619,567.535,154.544,93.7335,27.5504,4.11792,29.1419,99.3095,85.6821,69.6524,3.07043,129.663,6.27511,4.20806,0.948258,12.4747,23.2889,7.03699,0.272307,0.10738569175432727,0.1999062623820764,0.53718,0.355846,0.489407,0.362509,0.845253,0.2171,5.91289,0.303682,,0.676235,102.683,26.0432,137.654,0.676235,0.0,29.62268203496933,-7.044940948486328,4.51786,15.239999771118164,,,,,,,928.7,6.275,928.7,6.275,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487,665487.0
16,Alejandro Kirk,TOR,122.897,485.742,430.842,115.458,77.802,19.6327,0.0,18.023,59.8211,61.9172,45.1842,1.60716,60.0076,4.5781,4.58009,0.55745,12.2734,0.234195,0.119785,0.267981,0.0930209864495967,0.1235380098900239,0.752975,0.34053,0.439046,0.33788,0.779576,0.171064,1.60968,0.272627,,-0.833743,67.1847,9.7905,117.901,-0.833743,7.31,9.414423882961271,16.1938796043396,4.33056,153.97000122070312,,,,,,,590.2,4.798373983,590.2,4.798373983,,,,,,,,,,,,,,,,,,,Alejandro Kirk,22581,672386,672386.0
17,Kyle Tucker,LAD,144.383,624.919,532.866,143.193,83.3969,28.5506,2.44209,28.8036,95.8729,87.2002,81.357,5.83739,89.5191,3.58497,5.14508,0.81959,8.81703,17.4488,6.36583,0.268723,0.1301880723741797,0.14324912508661122,0.908823,0.366216,0.493631,0.36735,0.859847,0.224908,5.18134,0.272559,,-0.189934,101.387,27.5478,137.741,-0.189934,0.0,27.76313164830208,-6.6843976974487305,4.28382,15.9399995803833,,,,,,,906.4,6.294444444,906.4,6.294444444,,,,,,,,,,,,,,,,,,,Kyle Tucker,18345,663656,663656.0
18,Jose Ramirez,CLE,152.139,655.225,581.231,156.879,95.3598,31.2711,4.11964,26.1286,91.8817,84.9425,62.7204,15.0541,73.3593,4.57558,5.99235,0.705424,7.09766,34.1467,9.566,0.269908,0.09572345377542064,0.11196047159372735,0.854976,0.342503,0.472747,0.342977,0.81525,0.202839,6.27058,0.268077,,1.93748,93.338,15.9181,121.993,1.93748,0.0,18.921497344970703,0.2178392708301544,4.26552,5.820000171661377,,,,,,,895.9,5.894078947,895.9,5.894078947,,,,,,,,,,,,,,,,,,,Jose Ramirez,13510,608070,608070.0
19,Mookie Betts,LAD,144.15,631.764,554.775,147.484,93.7271,31.7624,1.54646,20.4481,84.2583,78.4374,63.6485,1.25506,72.5941,5.90747,6.06583,0.710131,9.21742,8.421,3.20634,0.265845,0.10074727271576095,0.11490699058509189,0.876772,0.344291,0.439247,0.340133,0.783538,0.173403,3.9849,0.271561,,-0.698507,88.5367,13.8889,119.096,-0.698507,0.0,13.600105822086334,6.673610687255859,4.22476,65.76000213623047,,,,,,,777.2,5.397222222,777.2,5.397222222,,,,,,,,,,,,,,,,,,,Mookie Betts,13611,605141,605141.0
20,Junior Caminero,TB,148.993,635.478,583.764,156.667,92.7881,27.1912,0.600038,36.0874,81.9951,105.24,41.3535,2.17435,123.592,4.63959,5.15068,0.569774,13.2596,4.75203,1.76416,0.268373,0.06507463673014643,0.19448666987684862,0.334598,0.319195,0.502463,0.349019,0.821659,0.23409,3.03016,0.280916,,-0.673885,93.642,18.5554,124.088,-0.673885,0.0,17.36729997396469,1.7184051275253296,4.1905,15.470000267028809,,,,,,,859.5,5.768456375,859.5,5.768456375,,,,,,,,,,,,,,,,,,,Junior Caminero,28163,691406,691406.0
21,Corbin Carroll,ARI,149.489,650.436,566.006,146.698,80.4037,31.3375,7.43344,27.5237,103.774,82.9176,67.8066,2.77291,135.777,8.62127,4.25079,3.75175,8.19798,36.7202,7.10217,0.259182,0.10424791985683449,0.2087476707931295,0.499395,0.345031,0.486698,0.356,0.831729,0.227516,7.75329,0.292844,,3.41854,99.533,22.6789,128.472,3.41854,0.0,25.367990255355835,-6.629385471343994,4.13125,8.0,,,,,,,931.9,6.254362416,931.9,6.254362416,,,,,,,,,,,,,,,,,,,Corbin Carroll,25878,682998,682998.0
22,Trea Turner,PHI,143.544,627.096,571.591,161.802,110.818,29.1223,4.68991,17.1713,85.6634,73.3045,39.5428,0.297432,113.221,5.31538,4.19006,0.765032,11.5048,25.2814,5.55082,0.283073,0.06305701200454157,0.18054811384540803,0.349253,0.332979,0.440556,0.334716,0.773536,0.157483,6.54108,0.324729,,1.75735,85.1246,11.0284,113.266,1.75735,0.0,11.61693239212036,6.6455559730529785,4.00309,27.3799991607666,,,,,,,773.3,5.370138888,773.3,5.370138888,,,,,,,,,,,,,,,,,,,Trea Turner,16252,607208,607208.0
23,Willy Adames,SF,153.049,654.315,573.114,133.996,75.5283,27.9514,1.4514,29.0645,85.2837,84.5335,69.197,1.62249,174.584,3.83365,5.08593,0.490501,7.72258,10.7639,3.50164,0.233803,0.10575487341723787,0.2668194982538991,0.396353,0.3179,0.439779,0.327353,0.757679,0.205976,4.46872,0.280152,,-0.25123,84.9082,7.59581,112.226,-0.25123,0.0,9.23005986213684,7.085601806640625,3.89656,132.47000122070312,,,,,,,765.6,5.003921568,765.6,5.003921568,,,,,,,,,,,,,,,,,,,Willy Adames,15986,642715,642715.0
24,Zach Neto,LAA,149.38,642.542,575.052,142.846,84.8806,29.209,2.15135,26.6047,86.0031,76.1449,43.9984,2.83546,160.755,16.3158,3.92089,3.2552,8.58587,27.2225,8.22517,0.248405,0.06847552377899031,0.2501859800604474,0.273698,0.317791,0.445476,0.328899,0.763267,0.197071,5.8584,0.296826,,1.13634,84.1865,8.26524,109.932,1.13634,0.0,8.657591342926025,6.915740966796875,3.85601,33.31999969482422,,,,,,,784.0,5.261744966,784.0,5.261744966,,,,,,,,,,,,,,,,,,,Zach Neto,31347,687263,687263.0
25,Adley Rutschman,BAL,139.74,568.004,496.625,124.495,80.8224,24.7901,1.21357,17.6689,67.4602,65.535,61.779,1.84502,91.0088,3.92667,5.05029,0.622643,11.0684,0.993897,0.348656,0.250682,0.10876507911916114,0.16022563221385763,0.678825,0.335225,0.41222,0.326336,0.747445,0.161538,2.47268,0.271823,,-0.899152,73.2386,6.1246,110.789,-0.899152,5.56,6.323439180850983,11.343291282653809,3.80771,158.85000610351562,,,,,,,644.7,4.605,644.7,4.605,,,,,,,,,,,,,,,,,,,Adley Rutschman,26288,668939,668939.0
