,PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,SLATE,TM,OPP_TM,HAND,OL,OD,PCC,ERROR,2H,BPC,PPC,MPC,OPENER,CATCHER,UMPIRE,PARK,ROOF,PLATOON,SPLIT,GVF,HFA,DH,FAMILIARITY,TILT_BIAS,SPIN_LS,SPIN_CS,SPIN_REC,SPIN_CHANGE,FPTS,IP,OUTS,ERA,CNERA,W,L,QS,CG,CGSH,TBF,AB,K,BB,IBB,HBP,H,HR,TB,SH,SF,GIDP,SB,CS,ER,FLOOR,CEILING,POWN,RGID,PARTNERID,OWNERSHIP
11,814787,Mitch Keller,,,,,,--,PIT,ATH,R,false,false,false,-,-,90,87,109,-,Henry Davis (N),-,PIT,-,5,Average,---,true,true,false,47%,2418,2404,1,1,12.72,5.37,16.1,5.13,4.61,0.32,0.35,0.39,0.0,0.0,23.41,21.47,5.03,1.53,0.01,0.22,5.96,0.81,9.88,0.05,0.14,0.4,0.39,0.12,3.06,1.7,24.98,43.1,814787,814787.0,
12,5727544,Shota Imanaga,,,,,,--,CHC,CIN,L,false,false,false,-,-,87,84,103,-,Carson Kelly (N),Chad Whitson (N),CIN,-,1,Average,1-1,false,true,false,30%,2439,2482,1,1,12.19,5.25,15.8,5.11,4.3,0.31,0.36,0.37,0.02,0.01,22.03,20.68,4.51,1.03,0.01,0.13,5.4,1.3,10.53,0.06,0.13,0.26,0.18,0.14,2.98,1.53,24.36,35.56,5727544,5727544.0,
13,6562165,Will Warren,,,,,,Main,NYY,BAL,R,false,false,false,-,-,84,82,102,-,Austin Wells (+),Adrian Johnson (H),BAL,-,3,Large,---,false,true,false,35%,1,2573,1,1,12.14,4.77,14.3,5.2,4.4,0.3,0.32,0.29,0.01,0.0,20.78,18.82,4.89,1.65,0.01,0.17,5.02,0.9,8.94,0.02,0.13,0.38,0.22,0.1,2.76,1.39,24.21,3.18,6562165,6562165.0,
14,17457,Robbie Ray,,,,,,Main,SFG,LAD,L,false,false,false,-,-,91,88,113,-,Patrick Bailey (++),Lance Barksdale (EH),LAD,-,3,Small,2-0,false,true,true,42%,2301,2360,1,1,11.93,4.87,14.6,5.67,4.39,0.25,0.4,0.32,0.02,0.0,21.38,18.86,5.16,2.16,0.01,0.18,4.72,1.18,9.46,0.04,0.14,0.24,0.48,0.14,3.07,1.17,24.4,2.03,17457,17457.0,
15,10985,Charlie Morton,,,,,,--,DET,ATL,R,false,false,false,-,-,92,91,107,-,Dillon Dingler (+),-,DET,-,4,Neutral,---,true,true,false,58%,2252,2323,1,1,11.9,4.94,14.8,5.02,4.65,0.29,0.36,0.32,0.0,0.0,21.91,18.96,4.82,2.4,0.02,0.36,4.72,0.77,8.15,0.04,0.16,0.38,0.32,0.13,2.76,1.02,24.14,29.65,10985,10985.0,
16,7922637,Jacob Misiorowski,,,,,,Main,MIL,STL,R,false,false,false,-,-,79,79,108,-,William Contreras (N),-,STL,-,4,Average,---,false,true,true,38%,1,2586,1,1,11.82,4.48,13.4,4.33,4.19,0.24,0.39,0.22,0.0,0.0,19.36,16.99,4.46,1.95,0.01,0.25,4.06,0.56,6.64,0.04,0.13,0.35,0.19,0.09,2.16,1.85,23.59,3.52,7922637,7922637.0,
17,2039600,Trevor Rogers,,,,,,Main,BAL,NYY,L,false,false,false,-,-,89,86,107,-,Samuel Basallo (-),Adrian Johnson (H),BAL,-,3,Small,---,true,true,false,6%,2438,2411,1,1,11.76,4.91,14.7,5.14,4.15,0.26,0.39,0.31,0.0,0.0,21.35,19.1,4.77,1.91,0.06,0.16,5.02,0.87,8.72,0.05,0.13,0.38,0.52,0.19,2.8,1.33,23.97,4.84,2039600,2039600.0,
18,9737058,Parker Messick,,,,,,Main,CLE,MIN,L,false,false,false,-,-,82,82,101,-,Bo Naylor (N),-,MIN,-,1,Small,---,false,true,false,20%,1,2117,2109,-8,11.48,4.88,14.6,4.6,4.55,0.28,0.36,0.3,0.01,0.0,21.21,19.21,4.27,1.62,0.01,0.21,5.09,0.57,8.11,0.04,0.14,0.4,0.15,0.08,2.49,1.2,23.38,2.38,9737058,9737058.0,
19,10905,Clayton Kershaw,,,,,,Main,LAD,SFG,L,false,false,false,-,-,81,79,102,-,Ben Rortvedt (N),Lance Barksdale (EH),LAD,-,2,Average,---,true,true,true,50%,1,2310,1,1,11.26,4.7,14.1,4.82,4.16,0.31,0.32,0.27,0.0,0.0,20.22,18.32,4.17,1.6,0.03,0.16,4.66,0.88,8.32,0.03,0.12,0.38,0.14,0.05,2.52,1.06,23.24,3.2,10905,10905.0,
20,21546,Luis Severino,,,,,,--,ATH,PIT,R,false,false,false,-,-,94,92,113,-,Shea Langeliers (-),-,PIT,-,6,Average,---,false,true,false,44%,2230,2278,1,1,11.02,5.29,15.9,5.14,4.63,0.3,0.36,0.38,0.03,0.01,23.48,21.07,4.34,1.92,0.01,0.27,5.89,0.64,9.18,0.05,0.16,0.48,0.32,0.12,3.02,0.18,23.46,22.34,21546,21546.0,
