,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
481,Yennier Cano,BAL,2.05809,1.3913,0.0,4.21057,52,0,0,4.621,,36.1234,154.633,35.0352,18.09,16.9,3.84723,12.8976,0.659196,1.81957,31.6616,7.88836,3.21339,2.45484,0.958521,0.204753,0.0834079,0.1213452666997909,0.250402,1.32692,0.298715,0.701413,,,3.98894,0.171783,0.0829193,999.0,,,,,,,165.20000000000005,4.58888888888889,167,4.638888888888889,,,,,,,,,,,,,,,,,,,Yennier Cano,25911,666974,666974.0
482,Josh Simpson,MIA,1.40174,1.15376,0.0,3.91033,40,0,0,0.6413,,26.5374,115.101,23.3457,12.37,11.53,2.50704,13.0031,0.698779,1.48619,27.9502,9.47914,4.40994,2.1495,0.85025,0.242831,0.112971,0.1298597231507301,0.232036,1.36972,0.297037,0.730194,,,3.89479,0.171298,0.216128,999.0,,,,,,,121.1,4.485185185185186,114,4.222222222222222,,,,,,,,,,,,,,,,,,,Josh Simpson,25957,681006,681006.0
483,Ethan Roberts,CHC,1.70201,1.23506,0.0,4.19862,42,0,0,0.7242,,29.8383,127.106,27.0093,14.91,13.92,3.57802,10.8203,0.914428,1.59575,27.5912,8.3222,3.26367,2.54995,1.07922,0.217072,0.0851278,0.1319440305233001,0.235498,1.26782,0.280544,0.698334,,,4.09296,0.169977,0.0690994,999.0,,,,,,,123.6,4.12,119,3.966666666666667,,,,,,,,,,,,,,,,,,,Ethan Roberts,24930,681799,681799.0
484,Matt Festa,CLE,1.94718,1.99803,0.0,4.50957,58,0,0,12.386,,40.0947,172.492,36.5331,21.49,20.09,5.81798,15.7621,0.95309,2.38037,40.3404,9.05516,3.53809,2.55933,1.30595,0.233869,0.0913787,0.1424900889396667,0.236691,1.30429,0.283897,0.697739,,,4.36672,0.169335,-0.0100628,749.8300170898438,,,,,,,200.0,5.0,196,4.9,,,,,,,,,,,,,,,,,,,Matt Festa,19330,670036,670036.0
485,Mason Englert,TB,2.22513,1.8204,0.0,4.45078,60,0,0,11.9307,,43.3138,184.046,42.1425,23.02,21.42,6.69651,12.2389,0.90283,2.05465,40.3554,8.38529,2.54307,3.29731,1.39144,0.219268,0.066499,0.1527688428759575,0.248258,1.25552,0.288881,0.696822,,,4.2716,0.166829,-0.0541605,999.0,,,,,,,208.90000000000003,4.858139534883722,210,4.883720930232558,,,,,,,,,,,,,,,,,,,Mason Englert,22288,669438,669438.0
486,Mike Vasil,CWS,2.56345,2.33617,0.0,4.27943,72,0,0,15.6633,,49.8642,214.117,45.1582,25.43,23.71,5.84181,20.0994,1.46408,2.94602,41.7465,7.53483,3.62775,2.077,1.05439,0.19497,0.0938711,0.1010992899537086,0.236342,1.30871,0.274014,0.697762,,,4.37023,0.166704,0.115166,737.280029296875,,,,,,,258.2,5.164,251,5.02,,,,,,,,,,,,,,,,,,,Mike Vasil,30105,678024,678024.0
487,Cody Laweryson,LAA,1.41182,1.33631,0.0,4.42013,42,0,0,0.6594,,29.6055,126.318,27.8461,15.58,14.54,4.13004,9.64133,0.959861,1.29595,27.4905,8.35705,2.93095,2.85131,1.25553,0.217628,0.0763256,0.1413025856018066,0.24134,1.26623,0.283141,0.690969,,,4.19986,0.16472,-0.0330452,999.0,,,,,,,125.0,4.166666666666667,123,4.1,,,,,,,,,,,,,,,,,,,Cody Laweryson,26429,689520,689520.0
488,Prelander Berroa,CWS,1.22244,1.0812,0.0,4.06913,34,0,0,0.6116,,24.0641,104.302,19.339,11.65,10.88,2.58459,13.323,0.681106,1.25359,26.1283,9.77201,4.98284,1.96113,0.96664,0.250506,0.127735,0.1227705329656601,0.215535,1.35729,0.274606,0.723465,,,4.17706,0.162334,0.0552795,999.0,,,,,,,105.3,4.3875,95,3.9583333333333335,,,,,,,,,,,,,,,,,,,Prelander Berroa,22932,672860,672860.0
489,Scott Effross,,1.92324,2.27485,0.0,4.5788,36,0,0,0.0,,36.6188,157.939,38.0404,20.02,18.63,4.40712,11.0215,1.08613,1.75585,29.436,7.23466,2.7088,2.67079,1.08316,0.186375,0.0697828,0.1165926530957222,0.262055,1.3398,0.302134,0.677094,,,4.13878,0.162289,-0.0677978,999.0,,,,,,,144.8,3.913513513513514,152,4.108108108108108,,,,,,,,,,,,,,,,,,,Scott Effross,18384,664123,664123.0
490,Colton Gordon,HOU,1.5002,1.06837,0.0,4.29089,40,0,0,0.6631,,29.4065,124.931,27.6064,15.02,14.02,4.06269,9.42177,0.933673,1.14438,27.5276,8.42497,2.88358,2.9217,1.24341,0.220342,0.0754157,0.1449263095855713,0.241389,1.25919,0.284431,0.70223,,,4.1369,0.161999,0.0156794,999.0,,,,,,,122.60000000000004,4.227586206896553,123,4.241379310344827,,,,,,,,,,,,,,,,,,,Colton Gordon,31312,676467,676467.0
