,Pitcher,Team,$,GS,IP,IP 180,K,ERA,WHIP,W,H,ER,FPts,Proj Rank,ADP,ADP Rank,Rank Diff
168,Lance McCullers Jr.,HOU,9.92,19.0,109.2,180,192,4.2,1.33,8,156,84,345.5,140.0,651.5,179.0,-39.0
144,Landen Roupp,SF,9.86,23.0,122.1,180,173,4.1,1.37,8,167,82,339.32,141.0,427.3,128.0,13.0
158,Luis Morales,OAK,9.79,21.0,116.4,180,170,4.05,1.25,10,161,81,343.1,142.0,396.7,118.0,24.0
125,JP Sears,SD,9.77,23.0,130.8,180,152,4.3,1.22,9,169,86,325.5,143.0,565.8,164.0,-21.0
133,Griffin Canning,FA,9.68,24.0,127.9,180,161,4.2,1.33,9,164,84,331.98,144.0,703.3,193.0,-49.0
132,Jose Berrios,TOR,9.62,18.0,128.2,180,157,4.25,1.27,9,171,85,326.85,145.0,457.0,135.0,10.0
174,Alek Manoah,LAA,9.59,18.0,105.7,180,180,4.05,1.24,10,155,81,336.02,146.0,625.1,171.0,-25.0
160,Taj Bradley,MIN,9.55,18.0,115.4,180,180,4.35,1.32,9,167,87,338.25,147.0,399.0,119.0,28.0
96,Nick Martinez,FA,9.53,26.0,140.8,180,131,4.05,1.26,11,183,81,322.2,148.0,557.0,161.0,-13.0
97,Adrian Houser,SF,9.44,25.0,140.1,180,140,4.1,1.36,10,178,82,321.82,149.0,502.4,152.0,-3.0
123,Patrick Corbin,FA,9.4,25.0,131.1,180,156,4.35,1.33,10,180,87,327.77,150.0,711.3,195.0,-45.0
128,Tyler Anderson,FA,9.25,23.0,130.0,180,146,4.05,1.31,11,165,81,322.5,151.0,683.5,186.5,-35.5
182,Tyler Wells,BAL,9.17,11.0,94.6,180,182,3.95,1.18,7,158,79,317.85,152.0,409.2,120.0,32.0
164,Josiah Gray,WSH,9.03,20.0,112.9,180,180,4.45,1.36,6,160,89,310.02,153.0,690.0,188.0,-35.0
169,Jacob Latz,TEX,8.97,15.0,108.7,180,172,4.05,1.32,8,155,81,315.78,154.0,475.2,139.0,15.0
147,Andrew Alvarez,WSH,8.92,16.0,120.6,180,158,4.15,1.33,5,170,83,293.75,155.0,738.6,202.0,-47.0
100,Jake Irvin,WSH,8.83,24.0,138.4,180,144,4.55,1.36,9,183,91,304.0,156.5,681.2,185.0,-28.5
115,Miles Mikolas,FA,8.83,25.0,133.5,180,128,4.1,1.22,10,179,82,298.58,156.5,741.5,203.0,-46.5
186,J.T. Ginn,OAK,8.76,15.0,88.6,180,182,3.85,1.19,10,158,77,317.35,158.0,519.3,154.0,4.0
148,German Marquez,FA,8.74,23.0,120.1,180,158,4.3,1.31,8,173,86,302.82,159.0,701.5,191.0,-32.0
181,Joe Boyle,TB,8.67,17.0,96.3,180,201,4.35,1.42,7,150,87,315.47,160.0,445.0,131.0,29.0
137,Jose Quintana,FA,8.62,23.0,125.8,180,140,4.0,1.3,11,166,80,303.65,161.0,627.6,173.0,-12.0
126,Tomoyuki Sugano,BAL,8.58,24.0,130.7,180,139,4.4,1.26,12,181,88,303.68,162.0,676.7,183.0,-21.0
114,Tanner Gordon,COL,8.52,24.0,133.8,180,147,4.75,1.32,9,197,95,294.65,163.0,724.0,198.0,-35.0
179,Mick Abel,MIN,8.47,13.0,100.6,180,173,4.1,1.27,7,163,82,297.15,164.0,473.4,138.0,26.0
173,Kumar Rocker,TEX,8.37,19.0,106.1,180,164,4.05,1.28,8,165,81,293.92,165.5,501.6,151.0,14.5
