,BatterName,batter,IsBIP,PA_flag,IsAirPull,Air Pull / PA,Air Pull / BIP,Sample,player_name,pitcher
355,Kevin Newman,621028.0,92,116.0,12,0.103,0.13,Hitters,,
356,Kevin Pillar,607680.0,35,43.0,7,0.163,0.2,Hitters,,
357,Kody Clemens,665019.0,191,278.0,33,0.119,0.173,Hitters,,
358,Korey Lee,686676.0,24,31.0,3,0.097,0.125,Hitters,,
359,Kris Bryant,592178.0,26,41.0,6,0.146,0.231,Hitters,,
360,Kristian Campbell,692225.0,158,263.0,13,0.049,0.082,Hitters,,
361,Kyle Farmer,571657.0,194,268.0,24,0.09,0.124,Hitters,,
362,Kyle Higashioka,543309.0,183,252.0,44,0.175,0.24,Hitters,,
363,Kyle Isbel,664728.0,261,348.0,31,0.089,0.119,Hitters,,
364,Kyle Karros,691720.0,33,51.0,8,0.157,0.242,Hitters,,
365,Kyle Manzardo,700932.0,256,406.0,48,0.118,0.188,Hitters,,
366,Kyle Schwarber,656941.0,328,569.0,78,0.137,0.238,Hitters,,
367,Kyle Stowers,669065.0,279,454.0,56,0.123,0.201,Hitters,,
368,Kyle Teel,691019.0,114,181.0,24,0.133,0.211,Hitters,,
369,Kyle Tucker,663656.0,384,540.0,80,0.148,0.208,Hitters,,
370,Kyren Paris,677347.0,67,140.0,11,0.079,0.164,Hitters,,
371,LaMonte Wade Jr.,664774.0,154,241.0,26,0.108,0.169,Hitters,,
372,Lane Thomas,657041.0,83,142.0,13,0.092,0.157,Hitters,,
373,Lars Nootbaar,663457.0,300,451.0,43,0.095,0.143,Hitters,,
374,Lawrence Butler,671732.0,323,520.0,30,0.058,0.093,Hitters,,
375,Lenyn Sosa,672820.0,316,428.0,57,0.133,0.18,Hitters,,
376,Leo Jimenez,677870.0,22,31.0,2,0.065,0.091,Hitters,,
377,Leo Rivas,660844.0,45,73.0,4,0.055,0.089,Hitters,,
378,Leody Taveras,665750.0,125,179.0,15,0.084,0.12,Hitters,,
379,Liam Hicks,689414.0,213,302.0,26,0.086,0.122,Hitters,,
380,Liover Peguero,678894.0,41,65.0,7,0.108,0.171,Hitters,,
381,Logan Davidson,669722.0,9,24.0,1,0.042,0.111,Hitters,,
382,Logan O'Hoppe,681351.0,239,380.0,44,0.116,0.184,Hitters,,
383,Logan Porter,682515.0,5,9.0,0,0.0,0.0,Hitters,,
384,Lourdes Gurriel Jr.,666971.0,406,512.0,68,0.133,0.167,Hitters,,
385,Luis Arraez,650333.0,505,548.0,52,0.095,0.103,Hitters,,
386,Luis Campusano,669134.0,10,27.0,1,0.037,0.1,Hitters,,
387,Luis Garcia,671277.0,340,428.0,38,0.089,0.112,Hitters,,
388,Luis Guillorme,641645.0,12,21.0,2,0.095,0.167,Hitters,,
389,Luis Matos,682641.0,105,133.0,16,0.12,0.152,Hitters,,
390,Luis Rengifo,650859.0,330,442.0,34,0.077,0.103,Hitters,,
391,Luis Robert,673357.0,266,419.0,49,0.117,0.184,Hitters,,
392,Luis Torrens,620443.0,164,233.0,16,0.069,0.098,Hitters,,
393,Luis Urias,649966.0,245,328.0,39,0.119,0.159,Hitters,,
394,Luis Vazquez,676679.0,22,30.0,2,0.067,0.091,Hitters,,
395,Luisangel Acuna,682668.0,128,175.0,4,0.023,0.031,Hitters,,
396,Luke Keaschall,807712.0,75,99.0,8,0.081,0.107,Hitters,,
397,Luke Maile,571912.0,19,35.0,3,0.086,0.158,Hitters,,
398,Luke Raley,670042.0,98,176.0,14,0.08,0.143,Hitters,,
399,Luke Williams,663897.0,21,32.0,3,0.094,0.143,Hitters,,
400,Luken Baker,663609.0,24,41.0,4,0.098,0.167,Hitters,,
401,MJ Melendez,669004.0,37,65.0,10,0.154,0.27,Hitters,,
402,Maikel Garcia,672580.0,411,532.0,52,0.098,0.127,Hitters,,
403,Manny Machado,592518.0,409,552.0,67,0.121,0.164,Hitters,,
404,Manuel Margot,622534.0,14,20.0,3,0.15,0.214,Hitters,,
405,Marcell Ozuna,542303.0,296,493.0,50,0.101,0.169,Hitters,,
406,Marcelo Mayer,691785.0,87,136.0,10,0.074,0.115,Hitters,,
407,Marcus Semien,543760.0,386,534.0,77,0.144,0.199,Hitters,,
408,Mark Canha,592192.0,91,125.0,13,0.104,0.143,Hitters,,
409,Mark Vientos,668901.0,244,345.0,32,0.093,0.131,Hitters,,
410,Martin Maldonado,455117.0,96,161.0,17,0.106,0.177,Hitters,,
411,Masataka Yoshida,807799.0,79,103.0,13,0.126,0.165,Hitters,,
412,Mason McCoy,669200.0,2,5.0,0,0.0,0.0,Hitters,,
413,Masyn Winn,691026.0,362,486.0,62,0.128,0.171,Hitters,,
414,Matt Chapman,656305.0,247,408.0,36,0.088,0.146,Hitters,,
415,Matt Gorski,685301.0,25,42.0,5,0.119,0.2,Hitters,,
416,Matt McLain,680574.0,292,468.0,26,0.056,0.089,Hitters,,
417,Matt Mervis,670223.0,71,133.0,17,0.128,0.239,Hitters,,
418,Matt Olson,621566.0,361,576.0,43,0.075,0.119,Hitters,,
419,Matt Shaw,807713.0,236,330.0,40,0.121,0.169,Hitters,,
420,Matt Thaiss,642136.0,112,190.0,17,0.089,0.152,Hitters,,
421,Matt Vierling,663837.0,66,100.0,4,0.04,0.061,Hitters,,
422,Matt Wallner,670242.0,175,307.0,38,0.124,0.217,Hitters,,
423,Matthew Lugo,683090.0,26,43.0,6,0.14,0.231,Hitters,,
424,Mauricio Dubon,643289.0,272,325.0,34,0.105,0.125,Hitters,,
425,Maverick Handley,668974.0,26,47.0,4,0.085,0.154,Hitters,,
426,Max Kepler,596146.0,276,389.0,48,0.123,0.174,Hitters,,
427,Max Muncy,571970.0,211,346.0,55,0.159,0.261,Hitters,,
428,Max Schuemann,680474.0,131,188.0,9,0.048,0.069,Hitters,,
429,Maximo Acosta,691185.0,11,16.0,0,0.0,0.0,Hitters,,
430,Maxwell Muncy,691777.0,136,213.0,22,0.103,0.162,Hitters,,
431,Michael A. Taylor,572191.0,151,256.0,20,0.078,0.132,Hitters,,
432,Michael Busch,683737.0,303,469.0,52,0.111,0.172,Hitters,,
433,Michael Conforto,624424.0,246,397.0,36,0.091,0.146,Hitters,,
434,Michael Harris II,671739.0,395,509.0,35,0.069,0.089,Hitters,,
435,Michael Helman,680737.0,15,18.0,5,0.278,0.333,Hitters,,
436,Michael Massey,686681.0,171,209.0,27,0.129,0.158,Hitters,,
437,Michael Stefanic,683021.0,19,25.0,2,0.08,0.105,Hitters,,
438,Michael Toglia,669911.0,175,327.0,32,0.098,0.183,Hitters,,
439,Mickey Gasper,681508.0,44,72.0,5,0.069,0.114,Hitters,,
440,Mickey Moniak,666160.0,252,358.0,54,0.151,0.214,Hitters,,
441,Miguel Amaya,665804.0,76,103.0,19,0.184,0.25,Hitters,,
442,Miguel Andujar,609280.0,233,288.0,29,0.101,0.124,Hitters,,
443,Miguel Rojas,500743.0,171,221.0,28,0.127,0.164,Hitters,,
444,Miguel Vargas,678246.0,349,484.0,74,0.153,0.212,Hitters,,
445,Mike Siani,672279.0,10,19.0,1,0.053,0.1,Hitters,,
446,Mike Tauchman,643565.0,197,308.0,36,0.117,0.183,Hitters,,
447,Mike Trout,545361.0,227,426.0,40,0.094,0.176,Hitters,,
448,Mike Yastrzemski,573262.0,290,441.0,59,0.134,0.203,Hitters,,
449,Miles Mastrobuoni,670156.0,127,172.0,11,0.064,0.087,Hitters,,
450,Mitch Garver,641598.0,138,238.0,29,0.122,0.21,Hitters,,
451,Moises Ballesteros,694208.0,17,20.0,2,0.1,0.118,Hitters,,
452,Mookie Betts,605141.0,420,524.0,76,0.145,0.181,Hitters,,
453,Myles Straw,664702.0,200,259.0,26,0.1,0.13,Hitters,,
454,Nacho Alvarez,805373.0,63,99.0,8,0.081,0.127,Hitters,,
455,Nasim Nunez,683083.0,34,49.0,3,0.061,0.088,Hitters,,
456,Nate Eaton,681987.0,20,33.0,3,0.091,0.15,Hitters,,
457,Nathan Church,701675.0,16,20.0,0,0.0,0.0,Hitters,,
458,Nathan Lukes,664770.0,257,331.0,27,0.082,0.105,Hitters,,
459,Nathaniel Lowe,663993.0,326,508.0,39,0.077,0.12,Hitters,,
460,Nick Ahmed,605113.0,6,10.0,0,0.0,0.0,Hitters,,
461,Nick Allen,669397.0,263,387.0,22,0.057,0.084,Hitters,,
462,Nick Castellanos,592206.0,374,509.0,62,0.122,0.166,Hitters,,
463,Nick Fortes,663743.0,129,177.0,25,0.141,0.194,Hitters,,
464,Nick Gonzales,693304.0,213,281.0,20,0.071,0.094,Hitters,,
465,Nick Kurtz,701762.0,214,374.0,29,0.078,0.136,Hitters,,
466,Nick Loftin,679845.0,123,160.0,24,0.15,0.195,Hitters,,
467,Nick Martini,605361.0,84,110.0,8,0.073,0.095,Hitters,,
468,Nick Maton,665155.0,35,63.0,8,0.127,0.229,Hitters,,
469,Nick Sogard,686765.0,47,65.0,8,0.123,0.17,Hitters,,
470,Nick Solak,669256.0,9,11.0,0,0.0,0.0,Hitters,,
471,Nicky Lopez,670032.0,20,28.0,2,0.071,0.1,Hitters,,
472,Nico Hoerner,663538.0,436,510.0,61,0.12,0.14,Hitters,,
473,Niko Kavadas,694359.0,2,6.0,0,0.0,0.0,Hitters,,
474,Noelvi Marte,682622.0,172,229.0,24,0.105,0.14,Hitters,,
475,Nolan Arenado,571448.0,324,390.0,61,0.156,0.188,Hitters,,
476,Nolan Gorman,669357.0,168,293.0,35,0.119,0.208,Hitters,,
477,Nolan Jones,666134.0,205,335.0,23,0.069,0.112,Hitters,,
478,Nolan Schanuel,694384.0,403,531.0,61,0.115,0.151,Hitters,,
479,Oliver Dunn,686554.0,28,41.0,1,0.024,0.036,Hitters,,
480,Omar Narvaez,553882.0,7,10.0,2,0.2,0.286,Hitters,,
481,Oneil Cruz,665833.0,252,450.0,24,0.053,0.095,Hitters,,
482,Orlando Arcia,606115.0,130,176.0,18,0.102,0.138,Hitters,,
483,Oscar Gonzalez,660757.0,46,61.0,6,0.098,0.13,Hitters,,
484,Oswald Peraza,672724.0,121,184.0,14,0.076,0.116,Hitters,,
485,Oswaldo Cabrera,665828.0,84,122.0,8,0.066,0.095,Hitters,,
486,Otto Kemp,805249.0,97,161.0,17,0.106,0.175,Hitters,,
487,Otto Lopez,672640.0,352,457.0,30,0.066,0.085,Hitters,,
488,Owen Caissie,683357.0,14,20.0,1,0.05,0.071,Hitters,,
489,Owen Miller,680911.0,10,17.0,2,0.118,0.2,Hitters,,
490,Ozzie Albies,645277.0,412,546.0,88,0.161,0.214,Hitters,,
491,Pablo Reyes,622569.0,22,34.0,0,0.0,0.0,Hitters,,
492,Parker Meadows,678009.0,85,137.0,14,0.102,0.165,Hitters,,
493,Patrick Bailey,672275.0,220,358.0,32,0.089,0.145,Hitters,,
494,Paul DeJong,657557.0,97,150.0,18,0.12,0.186,Hitters,,
495,Paul Goldschmidt,502671.0,332,449.0,54,0.12,0.163,Hitters,,
496,Pavin Smith,656976.0,147,274.0,20,0.073,0.136,Hitters,,
497,Pedro Pages,686780.0,214,318.0,31,0.097,0.145,Hitters,,
498,Pete Alonso,624413.0,370,557.0,65,0.117,0.176,Hitters,,
499,Pete Crow-Armstrong,691718.0,369,528.0,90,0.17,0.244,Hitters,,
500,Rafael Devers,646240.0,341,580.0,44,0.076,0.129,Hitters,,
501,Rafael Marchan,665561.0,67,90.0,5,0.056,0.075,Hitters,,
502,Ramon Laureano,657656.0,250,373.0,43,0.115,0.172,Hitters,,
503,Ramon Urias,602104.0,241,339.0,48,0.142,0.199,Hitters,,
504,Randal Grichuk,545341.0,179,245.0,33,0.135,0.184,Hitters,,
505,Randy Arozarena,668227.0,338,558.0,57,0.102,0.169,Hitters,,
506,Rece Hinds,677956.0,22,44.0,3,0.068,0.136,Hitters,,
507,Reese McGuire,624512.0,75,100.0,14,0.14,0.187,Hitters,,
508,Rhylan Thomas,689041.0,9,10.0,0,0.0,0.0,Hitters,,
509,Rhys Hoskins,656555.0,190,316.0,55,0.174,0.289,Hitters,,
510,Richie Palacios,680700.0,4,4.0,1,0.25,0.25,Hitters,,
511,Riley Adams,656180.0,108,199.0,16,0.08,0.148,Hitters,,
512,Riley Greene,682985.0,325,528.0,50,0.095,0.154,Hitters,,
513,Rob Brantly,542963.0,6,7.0,0,0.0,0.0,Hitters,,
514,Rob Refsnyder,608701.0,97,156.0,16,0.103,0.165,Hitters,,
515,Robert Hassell III,690987.0,87,122.0,13,0.107,0.149,Hitters,,
516,Roman Anthony,701350.0,150,262.0,17,0.065,0.113,Hitters,,
517,Romy Gonzalez,663853.0,164,239.0,16,0.067,0.098,Hitters,,
518,Ronald Acuna Jr.,660670.0,155,269.0,21,0.078,0.135,Hitters,,
519,Ronny Mauricio,677595.0,101,161.0,19,0.118,0.188,Hitters,,
520,Ronny Simon,682927.0,58,79.0,2,0.025,0.034,Hitters,,
521,Rowdy Tellez,642133.0,169,249.0,26,0.104,0.154,Hitters,,
522,Royce Lewis,668904.0,208,277.0,48,0.173,0.231,Hitters,,
523,Ryan Bliss,669208.0,24,39.0,1,0.026,0.042,Hitters,,
524,Ryan Fitzgerald,680837.0,14,16.0,2,0.125,0.143,Hitters,,
525,Ryan Jeffers,680777.0,273,401.0,40,0.1,0.147,Hitters,,
526,Ryan Kreidler,668952.0,21,44.0,5,0.114,0.238,Hitters,,
527,Ryan McMahon,641857.0,271,486.0,44,0.091,0.162,Hitters,,
528,Ryan Mountcastle,663624.0,182,257.0,27,0.105,0.148,Hitters,,
529,Ryan Noda,676116.0,23,57.0,5,0.088,0.217,Hitters,,
530,Ryan O'Hearn,656811.0,287,419.0,36,0.086,0.125,Hitters,,
531,Ryan Ritter,690022.0,93,145.0,11,0.076,0.118,Hitters,,
532,Ryan Vilade,668723.0,8,15.0,0,0.0,0.0,Hitters,,
533,Ryne Nelson,669194.0,1,1.0,0,0.0,0.0,Hitters,,
534,Sal Frelick,686217.0,365,476.0,53,0.111,0.145,Hitters,,
535,Salvador Perez,521692.0,376,508.0,85,0.167,0.226,Hitters,,
536,Sam Haggerty,664059.0,126,181.0,12,0.066,0.095,Hitters,,
537,Sam Hilliard,656541.0,28,61.0,5,0.082,0.179,Hitters,,
538,Sam Huff,669087.0,29,58.0,3,0.052,0.103,Hitters,,
539,Samad Taylor,669392.0,8,9.0,1,0.111,0.125,Hitters,,
540,Samuel Basallo,694212.0,17,22.0,2,0.091,0.118,Hitters,,
541,Sandy Leon,506702.0,0,1.0,0,0.0,,Hitters,,
542,Santiago Espinal,669289.0,258,318.0,31,0.097,0.12,Hitters,,
543,Scott Kingery,664068.0,15,27.0,0,0.0,0.0,Hitters,,
544,Sean Bouchard,656248.0,39,73.0,6,0.082,0.154,Hitters,,
545,Sean Murphy,669221.0,174,314.0,43,0.137,0.247,Hitters,,
546,Seiya Suzuki,673548.0,347,541.0,73,0.135,0.21,Hitters,,
547,Sergio Alcantara,642727.0,2,4.0,1,0.25,0.5,Hitters,,
548,Seth Brown,664913.0,42,76.0,7,0.092,0.167,Hitters,,
549,Shay Whitcomb,694376.0,22,32.0,3,0.094,0.136,Hitters,,
550,Shea Langeliers,669127.0,303,409.0,55,0.134,0.182,Hitters,,
551,Shohei Ohtani,660271.0,342,568.0,57,0.1,0.167,Hitters,,
552,Spencer Horwitz,687462.0,215,302.0,28,0.093,0.13,Hitters,,
553,Spencer Steer,668715.0,327,474.0,77,0.162,0.235,Hitters,,
554,Spencer Torkelson,679529.0,329,517.0,92,0.178,0.28,Hitters,,
555,Starling Marte,516782.0,178,250.0,17,0.068,0.096,Hitters,,
556,Steven Kwan,680757.0,448,539.0,61,0.113,0.136,Hitters,,
557,Steward Berroa,672642.0,3,6.0,0,0.0,0.0,Hitters,,
558,Stuart Fairchild,656413.0,36,55.0,4,0.073,0.111,Hitters,,
559,TJ Friedl,670770.0,380,545.0,61,0.112,0.161,Hitters,,
560,Taylor Trammell,666211.0,62,112.0,9,0.08,0.145,Hitters,,
561,Taylor Walls,670764.0,221,317.0,28,0.088,0.127,Hitters,,
562,Taylor Ward,621493.0,340,546.0,56,0.103,0.165,Hitters,,
563,Teoscar Hernandez,606192.0,298,428.0,35,0.082,0.117,Hitters,,
564,Terrin Vavra,679631.0,1,1.0,0,0.0,0.0,Hitters,,
565,Thairo Estrada,642731.0,131,165.0,21,0.127,0.16,Hitters,,
566,Thomas Saggese,695336.0,114,169.0,13,0.077,0.114,Hitters,,
567,Tim Anderson,641313.0,55,90.0,5,0.056,0.091,Hitters,,
568,Tim Elko,671284.0,34,67.0,5,0.075,0.147,Hitters,,
569,Tim Tawa,694374.0,112,173.0,16,0.092,0.143,Hitters,,
570,Tirso Ornelas,672359.0,12,16.0,0,0.0,0.0,Hitters,,
571,Tomas Nido,621512.0,26,37.0,5,0.135,0.192,Hitters,,
572,Tommy Edman,669242.0,251,332.0,38,0.114,0.151,Hitters,,
573,Tommy Pham,502054.0,234,347.0,21,0.061,0.09,Hitters,,
574,Travis Jankowski,608671.0,35,50.0,2,0.04,0.057,Hitters,,
575,Travis d'Arnaud,518595.0,122,202.0,23,0.114,0.189,Hitters,,
576,Trea Turner,607208.0,435,576.0,63,0.109,0.145,Hitters,,
577,Trent Grisham,663757.0,292,447.0,57,0.128,0.195,Hitters,,
578,Trenton Brooks,670092.0,28,43.0,3,0.07,0.107,Hitters,,
579,Trevor Larnach,663616.0,317,464.0,42,0.091,0.132,Hitters,,
580,Trevor Rogers,669432.0,0,2.0,0,0.0,,Hitters,,
581,Trevor Story,596115.0,343,520.0,48,0.092,0.14,Hitters,,
582,Trey Lipscomb,702358.0,3,4.0,0,0.0,0.0,Hitters,,
583,Trey Sweeney,700242.0,185,284.0,28,0.099,0.151,Hitters,,
584,Tristan Gray,656484.0,21,29.0,4,0.138,0.19,Hitters,,
585,Tristan Peters,671976.0,5,12.0,0,0.0,0.0,Hitters,,
586,Tristin English,663536.0,14,23.0,3,0.13,0.214,Hitters,,
587,Triston Casas,671213.0,72,110.0,13,0.118,0.181,Hitters,,
588,Troy Johnston,687859.0,31,44.0,3,0.068,0.097,Hitters,,
589,Tsung-Che Cheng,691907.0,4,7.0,0,0.0,0.0,Hitters,,
590,Tucker Barnhart,571466.0,9,15.0,2,0.133,0.222,Hitters,,
591,Ty France,664034.0,331,445.0,40,0.09,0.121,Hitters,,
592,Tyler Alexander,641302.0,1,1.0,0,0.0,0.0,Hitters,,
593,Tyler Black,672012.0,7,13.0,2,0.154,0.286,Hitters,,
594,Tyler Callihan,682997.0,5,6.0,0,0.0,0.0,Hitters,,
595,Tyler Fitzgerald,666149.0,154,243.0,25,0.103,0.162,Hitters,,
596,Tyler Freeman,671289.0,253,320.0,27,0.084,0.107,Hitters,,
597,Tyler Heineman,623168.0,98,140.0,17,0.121,0.173,Hitters,,
598,Tyler Locklear,682988.0,40,76.0,2,0.026,0.05,Hitters,,
599,Tyler O'Neill,641933.0,106,163.0,25,0.153,0.236,Hitters,,
600,Tyler Soderstrom,691016.0,352,520.0,35,0.067,0.099,Hitters,,
601,Tyler Stephenson,663886.0,156,286.0,27,0.094,0.173,Hitters,,
602,Tyler Tolbert,686475.0,24,33.0,3,0.091,0.125,Hitters,,
603,Tyler Wade,642180.0,80,127.0,9,0.071,0.112,Hitters,,
604,Tyrone Taylor,621438.0,221,313.0,48,0.153,0.217,Hitters,,
605,Victor Caratini,605170.0,244,326.0,35,0.107,0.143,Hitters,,
606,Victor Mesa Jr.,683748.0,7,10.0,2,0.2,0.286,Hitters,,
607,Victor Robles,645302.0,41,50.0,4,0.08,0.098,Hitters,,
608,Victor Scott II,687363.0,258,402.0,32,0.08,0.124,Hitters,,
609,Vidal Brujan,660644.0,48,67.0,6,0.09,0.125,Hitters,,
610,Vimael Machin,605353.0,3,6.0,0,0.0,0.0,Hitters,,
611,Vinnie Pasquantino,686469.0,411,539.0,81,0.15,0.197,Hitters,,
612,Vinny Capra,681962.0,76,105.0,9,0.086,0.118,Hitters,,
613,Vladimir Guerrero Jr.,665489.0,391,538.0,52,0.097,0.133,Hitters,,
614,Warming Bernabel,682653.0,82,99.0,14,0.141,0.171,Hitters,,
615,Wenceel Perez,672761.0,183,256.0,32,0.125,0.175,Hitters,,
616,Weston Wilson,642215.0,43,71.0,6,0.085,0.14,Hitters,,
617,Will Benson,666181.0,133,204.0,18,0.088,0.135,Hitters,,
618,Will Brennan,686823.0,10,13.0,1,0.077,0.1,Hitters,,
619,Will Robertson,683770.0,5,18.0,1,0.056,0.2,Hitters,,
620,Will Smith,669257.0,262,408.0,39,0.096,0.149,Hitters,,
621,Will Wagner,695238.0,89,132.0,13,0.098,0.146,Hitters,,
622,Will Wilson,669717.0,43,85.0,5,0.059,0.116,Hitters,,
623,Willi Castro,650489.0,257,392.0,47,0.12,0.183,Hitters,,
624,William Contreras,661388.0,375,543.0,38,0.07,0.101,Hitters,,
625,Willie MacIver,680862.0,49,70.0,3,0.043,0.061,Hitters,,
626,Willson Contreras,575929.0,315,495.0,59,0.119,0.187,Hitters,,
627,Willy Adames,642715.0,339,546.0,64,0.117,0.189,Hitters,,
628,Wilmer Flores,527038.0,293,404.0,52,0.129,0.177,Hitters,,
629,Wilyer Abreu,677800.0,263,390.0,58,0.149,0.221,Hitters,,
630,Wyatt Langford,694671.0,285,465.0,58,0.125,0.204,Hitters,,
631,Xander Bogaerts,593428.0,385,516.0,64,0.124,0.166,Hitters,,
632,Xavier Edwards,669364.0,396,506.0,37,0.073,0.093,Hitters,,
633,Yainer Diaz,673237.0,364,462.0,47,0.102,0.129,Hitters,,
634,Yandy Diaz,650490.0,405,528.0,20,0.038,0.049,Hitters,,
635,Yanquiel Fernandez,692585.0,58,85.0,10,0.118,0.172,Hitters,,
636,Yoan Moncada,660162.0,130,209.0,29,0.139,0.223,Hitters,,
637,Yohel Pozo,650968.0,128,153.0,25,0.163,0.195,Hitters,,
638,Yordan Alvarez,670541.0,84,118.0,15,0.127,0.179,Hitters,,
639,Yuli Gurriel,493329.0,28,40.0,3,0.075,0.107,Hitters,,
640,Zac Veen,691728.0,20,37.0,3,0.081,0.15,Hitters,,
641,Zach Dezenzo,701305.0,61,109.0,10,0.092,0.164,Hitters,,
642,Zach McKinstry,656716.0,287,426.0,51,0.12,0.178,Hitters,,
643,Zach Neto,687263.0,316,473.0,68,0.144,0.215,Hitters,,
644,Zack Gelof,680869.0,13,28.0,1,0.036,0.077,Hitters,,
645,Zack Short,670097.0,33,56.0,3,0.054,0.091,Hitters,,
0,,,25,43.0,2,0.047,0.08,Pitchers,A.J. Minter,621345.0
1,,,20,35.0,5,0.143,0.25,Pitchers,A.J. Puk,640462.0
2,,,36,54.0,7,0.13,0.194,Pitchers,AJ Blubaugh,805123.0
3,,,128,191.0,25,0.131,0.195,Pitchers,AJ Smith-Shawver,700363.0
4,,,115,182.0,10,0.055,0.087,Pitchers,Aaron Ashby,676879.0
5,,,156,232.0,22,0.095,0.141,Pitchers,Aaron Bummer,607481.0
6,,,259,364.0,53,0.146,0.205,Pitchers,Aaron Civale,650644.0
7,,,176,259.0,33,0.127,0.188,Pitchers,Aaron Nola,605400.0
8,,,141,243.0,19,0.078,0.135,Pitchers,Abner Uribe,682842.0
9,,,7,8.0,2,0.25,0.286,Pitchers,Abraham Toro,647351.0
10,,,18,27.0,1,0.037,0.056,Pitchers,Adam Mazur,800049.0
11,,,2,9.0,0,0.0,0.0,Pitchers,Adam Ottavino,493603.0
12,,,279,375.0,40,0.107,0.143,Pitchers,Adrian Houser,605288.0
13,,,157,227.0,9,0.04,0.057,Pitchers,Adrian Morejon,670970.0
14,,,32,46.0,8,0.174,0.25,Pitchers,Alan Rangel,660604.0
15,,,3,3.0,0,0.0,0.0,Pitchers,Alan Trejo,676701.0
16,,,9,11.0,0,0.0,0.0,Pitchers,Albert Suarez,544150.0
17,,,3,4.0,1,0.25,0.333,Pitchers,Alec Burleson,676475.0
18,,,87,122.0,20,0.164,0.23,Pitchers,Alek Jacob,689690.0
19,,,15,22.0,3,0.136,0.2,Pitchers,Alex Carrillo,692024.0
20,,,4,6.0,2,0.333,0.5,Pitchers,Alex Lange,656638.0
21,,,117,206.0,19,0.092,0.162,Pitchers,Alex Vesia,681911.0
22,,,48,71.0,9,0.127,0.188,Pitchers,Alexis Diaz,664747.0
23,,,5,6.0,1,0.167,0.2,Pitchers,Ali Sanchez,645305.0
24,,,35,46.0,5,0.109,0.143,Pitchers,Allan Winans,642216.0
25,,,8,10.0,2,0.2,0.25,Pitchers,Amed Rosario,642708.0
26,,,54,73.0,9,0.123,0.167,Pitchers,Andre Granillo,701552.0
27,,,439,582.0,44,0.076,0.1,Pitchers,Andre Pallante,669467.0
28,,,110,199.0,12,0.06,0.109,Pitchers,Andres Munoz,662253.0
29,,,390,544.0,61,0.112,0.156,Pitchers,Andrew Abbott,671096.0
30,,,79,120.0,12,0.1,0.152,Pitchers,Andrew Chafin,605177.0
31,,,387,518.0,66,0.127,0.171,Pitchers,Andrew Heaney,571760.0
32,,,35,56.0,7,0.125,0.2,Pitchers,Andrew Hoffmann,694851.0
33,,,107,160.0,18,0.112,0.168,Pitchers,Andrew Kittredge,552640.0
34,,,52,67.0,6,0.09,0.115,Pitchers,Andrew Saalfrank,685314.0
35,,,4,6.0,1,0.167,0.25,Pitchers,Andrew Walters,689958.0
36,,,59,78.0,14,0.179,0.237,Pitchers,Andry Lara,691251.0
37,,,152,205.0,18,0.088,0.118,Pitchers,Angel Chivilli,683409.0
38,,,10,16.0,1,0.062,0.1,Pitchers,Angel Perdomo,622780.0
39,,,154,225.0,11,0.049,0.071,Pitchers,Angel Zerpa,672582.0
40,,,152,226.0,17,0.075,0.112,Pitchers,Anthony Banda,607455.0
41,,,139,202.0,14,0.069,0.101,Pitchers,Anthony Bender,669622.0
42,,,96,141.0,15,0.106,0.156,Pitchers,Anthony DeSclafani,543101.0
43,,,21,32.0,7,0.219,0.333,Pitchers,Anthony Maldonado,687424.0
44,,,12,20.0,4,0.2,0.333,Pitchers,Anthony Misiewicz,664948.0
45,,,81,100.0,11,0.11,0.136,Pitchers,Anthony Molina,683627.0
46,,,4,4.0,0,0.0,0.0,Pitchers,Anthony Seigler,678011.0
47,,,79,117.0,10,0.085,0.127,Pitchers,Anthony Veneziano,685107.0
48,,,427,536.0,45,0.084,0.105,Pitchers,Antonio Senzatela,622608.0
49,,,100,184.0,12,0.065,0.12,Pitchers,Aroldis Chapman,547973.0
50,,,60,85.0,7,0.082,0.117,Pitchers,Austin Cox,680735.0
51,,,220,272.0,46,0.169,0.209,Pitchers,Austin Gomber,596295.0
52,,,9,11.0,1,0.091,0.111,Pitchers,Austin Hedges,595978.0
53,,,11,11.0,3,0.273,0.273,Pitchers,Austin Nola,543592.0
54,,,21,34.0,2,0.059,0.095,Pitchers,Austin Warren,681810.0
55,,,390,518.0,73,0.141,0.187,Pitchers,Bailey Falter,663559.0
56,,,15,26.0,4,0.154,0.267,Pitchers,Bailey Horn,690544.0
57,,,369,491.0,86,0.175,0.233,Pitchers,Bailey Ober,641927.0
58,,,75,102.0,14,0.137,0.187,Pitchers,Beau Brieske,689225.0
59,,,35,47.0,5,0.106,0.143,Pitchers,Ben Bowden,641386.0
60,,,306,451.0,47,0.104,0.154,Pitchers,Ben Brown,676962.0
61,,,228,314.0,35,0.111,0.154,Pitchers,Ben Casparius,676508.0
62,,,18,21.0,3,0.143,0.167,Pitchers,Ben Joyce,690829.0
63,,,134,178.0,21,0.118,0.157,Pitchers,Ben Lively,594902.0
64,,,125,199.0,17,0.085,0.136,Pitchers,Bennett Sousa,656986.0
65,,,57,78.0,11,0.141,0.193,Pitchers,Blade Tidwell,694918.0
66,,,90,135.0,20,0.148,0.222,Pitchers,Blake Snell,605483.0
