,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Lane Thomas,,16939,657041.0,29,461.0,420.0,300.0,121.0,0.2634,35.0,0.07485714285714286,1.0,5.0,0.314,0.078,0.064,0.253,0.29,0.274,0.039,94.0,60.0,18.0,2.0,15.0,172.0,0.224,0.291,0.381,0.672,54.0,54.0,24.4,18.4,6.0,OF,1.0,6.38,102.0
0,Liam Hicks,MIA,29844,689414.0,25,205.0,176.0,144.0,33.0,0.15919999999999998,22.0,0.10854285714285714,0.0,6.0,0.302,0.043,0.059,0.243,0.323,0.267,0.065,44.0,31.0,8.0,1.0,4.0,66.0,0.247,0.349,0.367,0.716,20.0,21.0,1.5,1.3,0.0,,1.0,1.0,46.0
0,Lourdes Gurriel Jr.,ARI,19238,666971.0,31,334.0,310.0,256.0,55.0,0.1653,20.0,0.05857142857142857,1.0,3.0,0.317,0.072,0.061,0.248,0.28,0.293,0.046,81.0,52.0,17.0,2.0,10.0,137.0,0.262,0.312,0.425,0.737,43.0,49.0,7.6,6.2,1.0,OF,1.0,3.84,74.0
0,Blaze Alexander,ARI,23789,677942.0,25,405.0,360.0,243.0,118.0,0.2915,33.0,0.08205714285714286,1.0,11.0,0.344,0.098,0.065,0.222,0.371,0.196,0.048,84.0,51.0,18.0,1.0,14.0,151.0,0.232,0.315,0.404,0.719,46.0,47.0,10.8,8.4,2.0,3B,1.0,4.42,90.0
0,Isaac Collins,MIL,25477,686555.0,27,291.0,251.0,186.0,65.0,0.22360000000000002,36.0,0.12333714285714287,1.0,4.0,0.333,0.053,0.067,0.268,0.322,0.239,0.05,62.0,42.0,12.0,1.0,6.0,104.0,0.247,0.35,0.384,0.734,32.0,32.0,13.6,10.7,3.0,OF,1.0,2.41,65.0
0,JJ Bleday,OAK,26368,668709.0,27,231.0,206.0,155.0,52.0,0.2243,23.0,0.10147999999999999,1.0,1.0,0.31,0.081,0.062,0.235,0.261,0.327,0.035,48.0,28.0,12.0,1.0,7.0,84.0,0.233,0.313,0.402,0.716,26.0,29.0,3.1,2.1,1.0,,1.0,1.0,51.0
0,C.J. Kayfus,CLE,33704,692216.0,23,355.0,320.0,229.0,92.0,0.26019323671497585,27.0,0.07697722567287785,1.0,7.0,0.355,0.092,0.054,0.308,0.294,0.182,0.07,81.0,52.0,15.0,1.0,13.0,140.0,0.253,0.324,0.427,0.751,43.0,43.0,5.8,4.3,1.0,,1.0,1.0,79.0
0,Miguel Rojas,,7802,500743.0,36,195.0,179.0,152.0,28.0,0.142492,13.0,0.06902857142857144,0.0,2.0,0.308,0.043,0.037,0.27,0.328,0.261,0.061,47.0,34.0,9.0,1.0,4.0,69.0,0.26,0.318,0.378,0.696,22.0,21.0,2.9,2.0,1.0,,1.0,1.0,43.0
0,Luisangel Acuna,NYM,26548,682668.0,23,210.0,190.0,150.0,41.0,0.192992,18.0,0.08792857142857144,0.0,1.0,0.291,0.042,0.038,0.22,0.42,0.216,0.064,44.0,32.0,7.0,1.0,4.0,72.0,0.229,0.301,0.338,0.639,24.0,23.0,13.2,10.6,3.0,,1.0,1.0,47.0
0,Jorge Soler,LAA,14221,624585.0,33,382.0,338.0,236.0,104.0,0.271064,39.0,0.10142857142857141,1.0,4.0,0.323,0.119,0.059,0.213,0.301,0.271,0.037,76.0,44.0,15.0,1.0,16.0,143.0,0.225,0.311,0.418,0.729,45.0,51.0,1.9,1.8,0.0,OF,1.0,3.92,85.0
0,Michael Massey,KC,27684,686681.0,27,303.0,284.0,234.0,51.0,0.1692,14.0,0.046400000000000004,1.0,4.0,0.29,0.057,0.059,0.243,0.25,0.352,0.039,68.0,45.0,14.0,2.0,7.0,108.0,0.238,0.283,0.373,0.656,32.0,35.0,3.5,2.5,1.0,2B,1.0,1.43,67.0
0,Max Kepler,,12144,596146.0,32,360.0,324.0,252.0,73.0,0.20341599999999999,31.0,0.086,1.0,3.0,0.315,0.095,0.063,0.237,0.267,0.31,0.029,79.0,48.0,18.0,2.0,12.0,138.0,0.245,0.317,0.423,0.74,42.0,43.0,2.9,2.1,1.0,OF,1.0,3.04,80.0
0,Gavin Sheets,SD,19901,657757.0,28,433.0,393.0,306.0,89.0,0.20479999999999998,35.0,0.08171428571428571,1.0,3.0,0.327,0.083,0.071,0.255,0.283,0.264,0.043,100.0,63.0,21.0,1.0,15.0,170.0,0.254,0.32,0.428,0.748,51.0,55.0,5.3,3.4,2.0,OF,1.0,4.74,96.0
0,Jonny DeLuca,TB,26365,676356.0,26,290.0,266.0,204.0,62.0,0.21339999999999998,19.0,0.06388571428571428,1.0,6.0,0.303,0.046,0.047,0.251,0.311,0.294,0.051,62.0,42.0,12.0,2.0,6.0,103.0,0.233,0.296,0.36,0.656,32.0,32.0,12.6,10.2,2.0,OF,1.0,2.17,64.0
0,Thairo Estrada,COL,16426,642731.0,29,331.0,311.0,247.0,65.0,0.19550000000000003,13.0,0.039714285714285716,1.0,7.0,0.321,0.047,0.055,0.238,0.363,0.251,0.047,79.0,54.0,15.0,1.0,9.0,126.0,0.255,0.299,0.397,0.696,36.0,39.0,6.4,4.6,2.0,2B,1.0,2.59,74.0
0,Oswaldo Cabrera,NYY,21707,665828.0,26,281.0,258.0,202.0,56.0,0.2,21.0,0.07437714285714285,0.0,1.0,0.295,0.03,0.055,0.267,0.344,0.265,0.04,60.0,44.0,11.0,1.0,5.0,89.0,0.232,0.293,0.333,0.626,30.0,29.0,6.1,4.5,2.0,,1.0,1.0,62.0
0,Denzer Guzman,LAA,28816,694203.0,21,264.0,241.0,163.0,78.0,0.29370954356846474,21.0,0.0794487255483106,0.0,2.0,0.309,0.06,0.04,0.25,0.35,0.25,0.05,50.0,36.0,8.0,1.0,6.0,80.0,0.21,0.279,0.32,0.599,26.0,25.0,7.0,4.9,2.0,,1.0,1.0,59.0
0,Coby Mayo,BAL,28312,691723.0,23,328.0,291.0,199.0,93.0,0.28438399999999997,30.0,0.09062857142857142,1.0,6.0,0.315,0.098,0.039,0.232,0.262,0.316,0.053,63.0,39.0,13.0,1.0,10.0,110.0,0.215,0.299,0.371,0.67,36.0,36.0,4.2,2.8,1.0,1B,1.0,2.03,73.0
0,Nick Allen,ATL,22277,669397.0,26,323.0,300.0,230.0,70.0,0.21600000000000005,21.0,0.06563428571428571,0.0,2.0,0.278,0.02,0.038,0.238,0.378,0.252,0.074,64.0,50.0,11.0,1.0,3.0,90.0,0.214,0.27,0.285,0.555,32.0,28.0,9.6,7.3,2.0,,1.0,1.0,72.0
0,Jack Suwinski,PIT,22244,669261.0,26,386.0,335.0,222.0,114.0,0.29669999999999996,46.0,0.11809142857142857,1.0,4.0,0.313,0.12,0.063,0.205,0.279,0.285,0.049,69.0,39.0,16.0,1.0,14.0,139.0,0.207,0.308,0.387,0.695,42.0,44.0,12.8,11.2,2.0,OF,1.0,4.12,86.0
0,Harry Ford,SEA,29958,695670.0,22,209.0,181.0,132.0,49.0,0.23437716615698262,23.0,0.10841415465268676,1.0,6.0,0.318,0.082,0.066,0.242,0.331,0.227,0.052,42.0,27.0,8.0,0.0,7.0,74.0,0.232,0.335,0.391,0.726,23.0,22.0,7.1,5.4,2.0,,1.0,1.0,46.0
0,Carson Benge,NYM,sa3025452,701807.0,22,197.0,174.0,133.0,41.0,0.20985034013605441,19.0,0.09779883381924198,0.0,4.0,0.303,0.06,0.04,0.25,0.35,0.25,0.05,40.0,27.0,7.0,0.0,5.0,69.0,0.231,0.32,0.369,0.69,22.0,22.0,7.3,6.2,1.0,,1.0,1.0,44.0
0,Leo Rivas,SEA,21009,660844.0,27,191.0,166.0,120.0,46.0,0.24328257191201355,23.0,0.11844815083393764,0.0,2.0,0.299,0.035,0.035,0.28,0.288,0.3,0.062,36.0,28.0,5.0,0.0,3.0,56.0,0.215,0.318,0.299,0.617,19.0,17.0,9.8,8.1,2.0,,1.0,1.0,42.0
0,Edgar Quero,CWS,28022,700337.0,21,376.0,342.0,276.0,67.0,0.17758399999999994,30.0,0.07914285714285714,1.0,3.0,0.345,0.049,0.071,0.277,0.379,0.192,0.031,95.0,68.0,18.0,1.0,9.0,141.0,0.279,0.342,0.413,0.755,42.0,45.0,2.9,1.3,2.0,C,1.0,2.76,84.0
0,Jordan Walker,STL,27475,691023.0,22,338.0,308.0,215.0,94.0,0.2781,26.0,0.07684571428571428,1.0,3.0,0.34,0.112,0.057,0.225,0.359,0.223,0.024,73.0,45.0,15.0,1.0,11.0,129.0,0.237,0.303,0.407,0.71,39.0,40.0,7.3,5.4,2.0,OF,1.0,2.93,75.0
0,Jeremiah Jackson,BAL,22239,669236.0,25,314.0,290.0,209.0,81.0,0.2590528233151184,21.0,0.0657767369242779,1.0,2.0,0.319,0.076,0.098,0.224,0.353,0.225,0.024,67.0,43.0,14.0,1.0,9.0,115.0,0.231,0.287,0.38,0.667,36.0,39.0,11.6,8.4,3.0,OF,1.0,2.82,70.0
0,Luis Urias,MIL,16622,649966.0,27,178.0,156.0,122.0,34.0,0.1905,17.0,0.09798285714285715,0.0,5.0,0.308,0.076,0.062,0.232,0.297,0.279,0.054,38.0,24.0,7.0,0.0,6.0,64.0,0.241,0.335,0.405,0.74,20.0,20.0,2.5,1.9,1.0,,1.0,1.0,40.0
0,Pavin Smith,ARI,19892,656976.0,29,359.0,310.0,218.0,93.0,0.26,47.0,0.12971428571428573,1.0,1.0,0.359,0.117,0.057,0.262,0.314,0.223,0.027,78.0,46.0,17.0,2.0,13.0,141.0,0.252,0.351,0.447,0.798,44.0,44.0,4.7,3.3,1.0,1B,1.0,3.53,80.0
0,Christian Vazquez,,9774,543877.0,34,175.0,163.0,128.0,36.0,0.20385999999999999,11.0,0.061142857142857145,0.0,1.0,0.296,0.045,0.058,0.258,0.289,0.305,0.045,38.0,27.0,7.0,1.0,3.0,56.0,0.232,0.283,0.341,0.624,19.0,17.0,1.6,1.1,1.0,,1.0,1.0,39.0
0,Jake McCarthy,ARI,21622,664983.0,27,235.0,215.0,175.0,41.0,0.17290000000000003,15.0,0.06388571428571428,0.0,4.0,0.306,0.046,0.049,0.233,0.345,0.222,0.104,54.0,37.0,10.0,2.0,5.0,88.0,0.249,0.31,0.375,0.686,27.0,27.0,10.2,8.4,2.0,,1.0,1.0,52.0
0,Masataka Yoshida,BOS,31837,807799.0,31,323.0,295.0,253.0,43.0,0.1341,20.0,0.06199999999999999,1.0,6.0,0.327,0.064,0.056,0.258,0.364,0.217,0.041,83.0,56.0,18.0,1.0,8.0,129.0,0.28,0.338,0.427,0.765,39.0,42.0,3.3,3.2,0.0,UT,1.0,2.53,72.0
0,Curtis Mead,CWS,23986,678554.0,24,208.0,190.0,143.0,47.0,0.225584,13.0,0.062240000000000004,1.0,5.0,0.326,0.053,0.079,0.26,0.28,0.272,0.054,47.0,32.0,9.0,0.0,5.0,73.0,0.246,0.312,0.377,0.689,23.0,24.0,4.5,3.2,1.0,,1.0,1.0,46.0
0,Alex Call,LAD,19296,669743.0,30,226.0,197.0,157.0,40.0,0.1766,25.0,0.11085714285714286,0.0,4.0,0.298,0.051,0.059,0.231,0.305,0.301,0.054,47.0,31.0,9.0,0.0,6.0,77.0,0.238,0.334,0.376,0.71,25.0,25.0,5.4,4.1,1.0,,1.0,1.0,50.0
0,Ryan Ritter,COL,31500,690022.0,24,224.0,202.0,140.0,62.0,0.27602399999999994,15.0,0.06848000000000001,0.0,6.0,0.32,0.029,0.056,0.264,0.38,0.196,0.075,45.0,33.0,9.0,1.0,3.0,67.0,0.222,0.298,0.316,0.613,22.0,20.0,4.4,3.7,1.0,,1.0,1.0,50.0
0,Andrew Benintendi,CWS,17901,643217.0,30,444.0,404.0,324.0,81.0,0.18319999999999995,37.0,0.08257142857142857,1.0,2.0,0.31,0.091,0.059,0.231,0.26,0.319,0.04,100.0,63.0,21.0,2.0,15.0,171.0,0.249,0.313,0.418,0.731,52.0,56.0,3.8,3.1,1.0,OF,1.0,4.76,99.0
0,Josh Rojas,,,668942.0,30,238.0,216.0,163.0,54.0,0.22768278529980657,20.0,0.08520585797181543,1.0,1.0,0.297,0.04610951008645533,0.07492795389048991,0.26512968299711814,0.28097982708933716,0.29394812680115273,0.03890489913544669,48.0,34.0,10.0,1.0,4.0,75.0,0.223,0.291,0.324,0.615,24.0,23.0,7.4,6.1,1.0,,1.0,1.0,53.0
0,Ramon Urias,HOU,18795,602104.0,30,156.0,142.0,110.0,33.0,0.2103,11.0,0.07314285714285713,0.0,2.0,0.324,0.082,0.069,0.24,0.305,0.259,0.046,36.0,23.0,7.0,0.0,5.0,60.0,0.25,0.314,0.414,0.728,18.0,19.0,1.3,1.0,0.0,,1.0,1.0,35.0
0,Dylan Moore,,18042,664238.0,32,238.0,208.0,137.0,71.0,0.29970399999999997,24.0,0.10057142857142856,1.0,5.0,0.3,0.086,0.062,0.245,0.213,0.334,0.061,41.0,25.0,9.0,1.0,6.0,78.0,0.198,0.296,0.336,0.632,25.0,24.0,14.7,11.7,3.0,,1.0,1.0,53.0
0,Edouard Julien,MIN,27534,666397.0,25,174.0,152.0,98.0,54.0,0.3096,21.0,0.11825428571428571,0.0,1.0,0.355,0.107,0.065,0.261,0.334,0.178,0.055,35.0,22.0,7.0,0.0,5.0,61.0,0.23,0.325,0.387,0.712,19.0,19.0,3.0,2.6,0.0,,1.0,1.0,39.0
0,Denzel Clarke,OAK,29858,672016.0,24,271.0,250.0,164.0,86.0,0.3179454926624738,14.0,0.052991913746630724,1.0,6.0,0.367,0.087,0.049,0.282,0.361,0.166,0.054,60.0,40.0,11.0,1.0,9.0,108.0,0.242,0.299,0.399,0.699,35.0,30.0,11.9,10.0,2.0,OF,1.0,2.64,60.0
0,Blake Perkins,MIL,19921,663368.0,28,228.0,204.0,147.0,58.0,0.254,23.0,0.09885714285714285,0.0,1.0,0.311,0.045,0.072,0.228,0.35,0.244,0.061,46.0,32.0,8.0,1.0,5.0,77.0,0.224,0.304,0.34,0.643,24.0,23.0,12.4,9.9,2.0,,1.0,1.0,51.0
0,Tyrone Taylor,NYM,13675,621438.0,31,298.0,275.0,209.0,67.0,0.22680000000000003,16.0,0.05342857142857143,1.0,6.0,0.315,0.054,0.07,0.273,0.251,0.288,0.063,66.0,44.0,14.0,1.0,7.0,110.0,0.239,0.293,0.372,0.665,36.0,35.0,9.4,8.3,1.0,,1.0,1.0,66.0
0,Gary Sanchez,,11442,596142.0,32,221.0,199.0,142.0,58.0,0.26268800000000003,18.0,0.08,1.0,4.0,0.331,0.119,0.061,0.226,0.282,0.278,0.034,47.0,27.0,10.0,1.0,9.0,87.0,0.236,0.309,0.432,0.74,26.0,27.0,0.9,0.8,0.0,,1.0,1.0,49.0
0,Ryan Mountcastle,BAL,18373,663624.0,28,300.0,281.0,209.0,74.0,0.2461,16.0,0.052571428571428575,1.0,2.0,0.345,0.1,0.068,0.258,0.336,0.204,0.033,72.0,47.0,14.0,1.0,10.0,120.0,0.256,0.299,0.42,0.719,37.0,43.0,2.9,2.6,0.0,1B,1.0,2.8,67.0
0,Austin Hays,CIN,19363,669720.0,29,410.0,378.0,278.0,100.0,0.24509999999999996,25.0,0.061142857142857145,1.0,6.0,0.336,0.093,0.057,0.242,0.302,0.266,0.04,94.0,57.0,20.0,2.0,15.0,167.0,0.248,0.304,0.431,0.735,50.0,52.0,6.1,4.9,1.0,OF,1.0,4.72,91.0
0,Paul DeJong,,18015,657557.0,31,238.0,221.0,146.0,75.0,0.31720000000000004,13.0,0.05428571428571429,1.0,4.0,0.304,0.099,0.08,0.226,0.218,0.33,0.047,44.0,26.0,9.0,1.0,8.0,81.0,0.201,0.256,0.362,0.618,24.0,26.0,3.9,2.5,1.0,,1.0,1.0,53.0
0,Brendan Rodgers,,17907,663898.0,28,197.0,182.0,132.0,51.0,0.2575,13.0,0.06371428571428571,0.0,2.0,0.32,0.076,0.067,0.231,0.412,0.18,0.036,42.0,28.0,9.0,1.0,4.0,67.0,0.232,0.287,0.363,0.651,21.0,21.0,1.4,1.0,0.0,,1.0,1.0,44.0
0,Jake Fraley,ATL,19260,641584.0,29,234.0,212.0,165.0,47.0,0.19990000000000002,20.0,0.08514285714285713,0.0,2.0,0.318,0.047,0.05,0.26,0.307,0.273,0.062,52.0,37.0,9.0,1.0,6.0,87.0,0.248,0.319,0.377,0.696,28.0,28.0,11.1,8.9,2.0,,1.0,1.0,52.0
0,Christian Koss,SF,27653,683766.0,27,151.0,139.0,103.0,36.0,0.2389877835951134,9.0,0.05835452505609574,0.0,3.0,0.337,0.063,0.06,0.253,0.34,0.182,0.101,35.0,24.0,6.0,0.0,4.0,55.0,0.25,0.306,0.379,0.685,17.0,17.0,4.6,3.7,1.0,,1.0,1.0,34.0
0,Ezequiel Duran,TEX,23733,677649.0,25,156.0,146.0,109.0,37.0,0.24020000000000002,8.0,0.052039999999999996,0.0,2.0,0.297,0.038,0.055,0.23,0.315,0.295,0.067,32.0,23.0,6.0,0.0,3.0,50.0,0.222,0.269,0.322,0.591,16.0,16.0,5.7,4.5,1.0,,1.0,1.0,35.0
0,Justin Turner,CHC,5235,457759.0,40,191.0,169.0,133.0,37.0,0.19169999999999998,18.0,0.09371428571428572,0.0,4.0,0.313,0.048,0.066,0.278,0.264,0.314,0.03,42.0,29.0,8.0,0.0,4.0,64.0,0.246,0.33,0.375,0.705,20.0,20.0,1.5,1.0,0.0,,1.0,1.0,42.0
0,J.P. Crawford,SEA,15491,641487.0,30,566.0,498.0,385.0,114.0,0.2023,61.0,0.10828571428571429,1.0,5.0,0.326,0.057,0.058,0.276,0.325,0.228,0.055,125.0,86.0,24.0,2.0,14.0,201.0,0.252,0.34,0.391,0.731,65.0,54.0,8.3,7.1,1.0,SS,1.0,4.81,126.0
0,Joey Ortiz,MIL,25493,687401.0,26,480.0,439.0,355.0,84.0,0.17500000000000002,36.0,0.07437714285714285,1.0,5.0,0.293,0.043,0.046,0.241,0.339,0.268,0.064,104.0,73.0,20.0,2.0,10.0,165.0,0.237,0.302,0.36,0.661,55.0,49.0,15.9,11.7,4.0,SS,1.0,4.01,107.0
0,Brayan Rocchio,CLE,23690,677587.0,24,458.0,414.0,323.0,92.0,0.201376,35.0,0.07650285714285715,1.0,7.0,0.305,0.047,0.067,0.264,0.312,0.238,0.072,99.0,66.0,22.0,1.0,10.0,161.0,0.238,0.308,0.369,0.678,51.0,49.0,16.9,12.3,5.0,"2B, SS",1.0,4.73,102.0
0,Javier Sanoja,MIA,28253,691594.0,22,180.0,168.0,144.0,24.0,0.13443999999999998,11.0,0.059582857142857146,0.0,1.0,0.298,0.03,0.059,0.263,0.362,0.234,0.052,43.0,29.0,10.0,1.0,3.0,65.0,0.255,0.303,0.376,0.679,21.0,19.0,5.5,3.7,2.0,,1.0,1.0,40.0
0,Gavin Lux,CIN,19955,666158.0,27,390.0,348.0,260.0,88.0,0.2254,41.0,0.10410285714285714,1.0,1.0,0.344,0.05,0.067,0.287,0.344,0.219,0.033,90.0,62.0,18.0,2.0,8.0,139.0,0.258,0.337,0.392,0.729,42.0,44.0,5.1,4.2,1.0,OF,1.0,3.01,87.0
0,Orlando Arcia,,13185,606115.0,30,230.0,213.0,165.0,49.0,0.2126,15.0,0.06628571428571428,0.0,1.0,0.274,0.048,0.056,0.211,0.388,0.261,0.035,45.0,32.0,8.0,0.0,5.0,70.0,0.211,0.267,0.322,0.589,23.0,23.0,1.3,1.2,0.0,,1.0,1.0,51.0
0,Christopher Morel,TB,21897,666624.0,25,168.0,151.0,102.0,49.0,0.2925,15.0,0.09088571428571429,0.0,2.0,0.329,0.117,0.061,0.226,0.295,0.266,0.036,34.0,20.0,6.0,1.0,7.0,64.0,0.223,0.3,0.412,0.712,20.0,21.0,4.3,3.1,1.0,,1.0,1.0,37.0
0,Nolan Gorman,STL,22263,669357.0,24,272.0,242.0,151.0,92.0,0.337076,28.0,0.10324571428571427,1.0,1.0,0.331,0.111,0.084,0.216,0.214,0.335,0.041,50.0,28.0,11.0,1.0,10.0,95.0,0.206,0.291,0.384,0.675,30.0,31.0,3.4,2.6,1.0,"3B, 2B",1.0,1.5,60.0
0,Kody Clemens,MIN,20572,665019.0,28,341.0,314.0,233.0,82.0,0.2417,22.0,0.06542857142857143,1.0,4.0,0.301,0.089,0.077,0.215,0.275,0.306,0.038,70.0,40.0,15.0,1.0,13.0,129.0,0.223,0.281,0.406,0.687,40.0,43.0,3.7,2.9,1.0,"OF, 2B, 1B",1.0,3.0,76.0
0,Drew Gilbert,SF,31545,687551.0,24,258.0,234.0,181.0,54.0,0.2111926605504587,18.0,0.06812581913499345,1.0,5.0,0.294,0.07,0.062,0.226,0.302,0.299,0.039,53.0,34.0,11.0,1.0,7.0,89.0,0.227,0.295,0.37,0.665,30.0,26.0,4.5,3.3,1.0,OF,1.0,0.94,57.0
0,Taylor Walls,TB,22458,670764.0,28,223.0,199.0,145.0,54.0,0.24209999999999998,24.0,0.10571428571428572,0.0,0.0,0.282,0.04,0.054,0.241,0.299,0.315,0.052,41.0,28.0,8.0,0.0,4.0,71.0,0.206,0.291,0.312,0.603,23.0,21.0,13.0,10.7,2.0,,1.0,1.0,50.0
0,Johnathan Rodriguez,CLE,22530,671286.0,25,170.0,150.0,103.0,47.0,0.2774358974358974,18.0,0.1046886446886447,0.0,1.0,0.336,0.096,0.057,0.244,0.349,0.218,0.037,35.0,21.0,7.0,0.0,6.0,61.0,0.232,0.318,0.403,0.721,19.0,19.0,2.3,1.5,1.0,,1.0,1.0,38.0
0,James Outman,MIN,24770,681546.0,27,196.0,170.0,109.0,62.0,0.3168,21.0,0.10759999999999999,0.0,4.0,0.35,0.102,0.058,0.248,0.26,0.271,0.06,38.0,23.0,8.0,1.0,7.0,72.0,0.223,0.323,0.392,0.716,23.0,22.0,7.2,6.0,1.0,,1.0,1.0,44.0
0,Connor Wong,BOS,19896,657136.0,28,232.0,214.0,159.0,56.0,0.2391,15.0,0.06371428571428571,0.0,3.0,0.319,0.054,0.056,0.239,0.314,0.261,0.075,51.0,34.0,11.0,1.0,4.0,77.0,0.237,0.296,0.356,0.652,25.0,24.0,5.1,3.3,2.0,,1.0,1.0,52.0
0,Graham Pauley,MIA,31363,688363.0,24,215.0,191.0,141.0,50.0,0.233344,20.0,0.09522285714285714,1.0,3.0,0.296,0.06,0.078,0.228,0.284,0.292,0.058,42.0,28.0,8.0,1.0,5.0,71.0,0.219,0.304,0.354,0.658,23.0,22.0,4.8,3.9,1.0,,1.0,1.0,48.0
0,Rob Refsnyder,,13770,608701.0,34,185.0,162.0,115.0,47.0,0.253168,19.0,0.10485714285714284,1.0,3.0,0.372,0.104,0.07,0.254,0.316,0.217,0.039,43.0,26.0,10.0,1.0,6.0,74.0,0.266,0.354,0.45,0.804,23.0,25.0,3.2,2.4,1.0,,1.0,1.0,41.0
0,Adrian Del Castillo,ARI,29554,680728.0,25,310.0,276.0,178.0,99.0,0.3192,30.0,0.09706571428571428,1.0,3.0,0.35,0.086,0.081,0.275,0.231,0.287,0.041,62.0,39.0,13.0,2.0,9.0,105.0,0.226,0.308,0.38,0.688,34.0,36.0,1.9,1.1,1.0,UT,1.0,1.35,69.0
0,Tommy Pham,,2967,502054.0,37,364.0,328.0,245.0,83.0,0.22936,33.0,0.08959999999999999,1.0,2.0,0.294,0.07,0.07,0.246,0.358,0.229,0.026,72.0,51.0,12.0,2.0,7.0,112.0,0.22,0.294,0.331,0.625,37.0,37.0,6.1,4.7,1.0,OF,1.0,2.0,81.0
0,Zach Cole Jr.,HOU,31583,805904.0,24,292.0,259.0,167.0,93.0,0.31846153846153846,25.0,0.08637362637362637,0.0,7.0,0.308,0.06,0.04,0.25,0.35,0.25,0.05,51.0,36.0,9.0,1.0,6.0,88.0,0.198,0.288,0.309,0.597,28.0,29.0,13.6,10.8,3.0,,1.0,1.0,65.0
0,Nick Loftin,KC,27630,679845.0,26,202.0,182.0,150.0,32.0,0.15839999999999999,18.0,0.08836571428571428,0.0,2.0,0.286,0.058,0.056,0.227,0.307,0.305,0.048,43.0,28.0,9.0,1.0,5.0,71.0,0.236,0.31,0.375,0.685,21.0,21.0,4.7,3.6,1.0,,1.0,1.0,45.0
0,Jose Tena,WSH,23691,677588.0,24,193.0,178.0,134.0,45.0,0.23412,14.0,0.07115428571428573,1.0,0.0,0.332,0.073,0.07,0.245,0.407,0.158,0.046,44.0,29.0,9.0,1.0,6.0,75.0,0.249,0.303,0.401,0.704,22.0,21.0,8.0,6.0,2.0,,1.0,1.0,43.0
0,James McCann,,12859,543510.0,34,165.0,153.0,111.0,42.0,0.257824,9.0,0.05428571428571429,0.0,2.0,0.352,0.081,0.08,0.251,0.307,0.239,0.043,39.0,24.0,9.0,0.0,6.0,67.0,0.256,0.306,0.435,0.741,20.0,20.0,1.0,0.8,0.0,,1.0,1.0,37.0
0,George Valera,CLE,22541,671655.0,24,358.0,322.0,217.0,106.0,0.2952099792099792,32.0,0.08894564894564895,1.0,3.0,0.314,0.087,0.064,0.233,0.33,0.25,0.036,68.0,41.0,14.0,1.0,13.0,123.0,0.212,0.289,0.376,0.665,40.0,41.0,4.9,3.3,2.0,UT,1.0,2.5,80.0
0,Isiah Kiner-Falefa,,16512,643396.0,30,291.0,274.0,225.0,49.0,0.1686,13.0,0.04314285714285714,0.0,4.0,0.304,0.028,0.044,0.252,0.405,0.201,0.071,69.0,52.0,12.0,1.0,4.0,99.0,0.25,0.292,0.342,0.635,32.0,28.0,9.3,7.0,2.0,"3B, SS",1.0,1.54,65.0
0,Angel Martinez,CLE,26540,682657.0,23,197.0,182.0,140.0,42.0,0.21559599999999998,13.0,0.06362857142857144,0.0,2.0,0.296,0.044,0.061,0.245,0.308,0.287,0.055,41.0,28.0,9.0,1.0,4.0,66.0,0.227,0.282,0.352,0.634,21.0,23.0,4.8,3.5,1.0,,1.0,1.0,44.0
0,Sam Haggerty,TEX,18054,664059.0,30,186.0,168.0,127.0,42.0,0.22433164128595606,15.0,0.08073966642494561,0.0,3.0,0.308,0.039,0.057,0.253,0.348,0.24,0.062,39.0,28.0,7.0,1.0,3.0,65.0,0.232,0.305,0.338,0.643,22.0,18.0,10.6,9.1,1.0,,1.0,1.0,41.0
0,Nathaniel Lowe,BOS,19566,663993.0,29,201.0,179.0,130.0,49.0,0.2426,21.0,0.10485714285714286,0.0,1.0,0.349,0.069,0.075,0.261,0.334,0.223,0.037,46.0,29.0,10.0,1.0,5.0,74.0,0.255,0.336,0.408,0.744,23.0,26.0,1.4,1.3,0.0,,1.0,1.0,45.0
0,Jake Mangum,TB,26202,663968.0,29,210.0,198.0,165.0,33.0,0.157,10.0,0.04914285714285714,0.0,2.0,0.32,0.036,0.052,0.235,0.45,0.167,0.06,53.0,40.0,9.0,0.0,4.0,80.0,0.267,0.308,0.376,0.684,23.0,24.0,10.5,8.0,2.0,,1.0,1.0,47.0
0,Colby Thomas,OAK,31855,687515.0,24,182.0,166.0,109.0,57.0,0.3113131313131313,11.0,0.06173160173160173,0.0,5.0,0.335,0.087,0.07,0.236,0.292,0.27,0.046,37.0,23.0,7.0,0.0,6.0,66.0,0.221,0.289,0.383,0.672,20.0,22.0,4.2,3.3,1.0,,1.0,1.0,40.0
0,Owen Caissie,CHC,27496,683357.0,22,203.0,181.0,119.0,63.0,0.3104049079754601,19.0,0.09556529360210343,1.0,2.0,0.339,0.1,0.074,0.246,0.304,0.239,0.037,40.0,24.0,8.0,1.0,8.0,74.0,0.222,0.303,0.402,0.705,23.0,23.0,3.5,2.3,1.0,,1.0,1.0,45.0
