,Player,Team,FGID,SAVID,Age,PA,AB,BIP,K,K%,BB,BB%,SF,HBP,BABIP,Brl%,Solid%,Flare%,Topped%,Under%,Weak%,H,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS,R,RBI,SB Att,SB,CS,Pos,$,Deep $,G
0,Spencer Horwitz,PIT,26477,687462.0,27,433.0,381.0,302.0,80.0,0.1845,46.0,0.10672571428571428,1.0,5.0,0.338,0.082,0.06,0.262,0.294,0.262,0.041,102.0,64.0,23.0,1.0,13.0,170.0,0.268,0.353,0.441,0.794,55.0,49.0,3.6,2.6,1.0,1B,1.0,4.53,96.0
0,Nasim Nunez,WSH,25979,683083.0,24,351.0,314.0,236.0,78.0,0.2231372549019608,35.0,0.09865546218487395,1.0,2.0,0.303,0.035,0.062,0.243,0.394,0.142,0.124,72.0,54.0,12.0,1.0,5.0,130.0,0.228,0.309,0.322,0.631,39.0,36.0,41.9,35.3,7.0,SS,1.0,4.82,78.0
0,Rafael Marchan,PHI,21646,665561.0,26,299.0,270.0,214.0,57.0,0.1899616858237548,22.0,0.07412151067323482,0.0,6.0,0.297,0.042,0.028,0.287,0.318,0.276,0.05,63.0,45.0,12.0,1.0,6.0,95.0,0.235,0.307,0.353,0.66,31.0,28.0,2.6,1.3,1.0,,1.0,1.0,66.0
0,Jacob Young,WSH,29931,696285.0,25,325.0,296.0,235.0,62.0,0.19090000000000001,23.0,0.07058,0.0,5.0,0.303,0.028,0.041,0.261,0.386,0.187,0.097,71.0,54.0,12.0,1.0,4.0,110.0,0.24,0.306,0.329,0.635,34.0,30.0,20.9,16.6,4.0,OF,1.0,2.85,72.0
0,Jake Meyers,HOU,20308,676694.0,28,275.0,249.0,194.0,56.0,0.2034,21.0,0.07657142857142857,1.0,5.0,0.329,0.061,0.073,0.26,0.338,0.224,0.044,64.0,43.0,13.0,1.0,7.0,104.0,0.256,0.325,0.399,0.724,32.0,32.0,9.7,7.3,2.0,OF,1.0,2.09,61.0
0,Victor Scott II,STL,31349,687363.0,24,416.0,373.0,273.0,101.0,0.242224,34.0,0.08096,1.0,8.0,0.307,0.051,0.047,0.251,0.286,0.255,0.111,84.0,59.0,16.0,1.0,8.0,145.0,0.225,0.302,0.338,0.64,48.0,41.0,26.5,22.7,4.0,OF,1.0,5.22,92.0
0,Gabriel Arias,CLE,22563,672356.0,25,465.0,429.0,279.0,152.0,0.326,31.0,0.06616571428571429,1.0,4.0,0.337,0.103,0.065,0.225,0.358,0.199,0.05,94.0,55.0,22.0,1.0,15.0,171.0,0.219,0.277,0.382,0.658,50.0,52.0,14.3,10.5,4.0,"2B, SS",1.0,4.93,103.0
0,Joey Bart,PIT,21524,663698.0,28,253.0,225.0,158.0,67.0,0.26380000000000003,23.0,0.09028571428571429,1.0,5.0,0.348,0.098,0.056,0.25,0.348,0.2,0.048,55.0,36.0,11.0,1.0,8.0,91.0,0.245,0.327,0.399,0.726,27.0,29.0,1.6,1.3,0.0,C,1.0,0.71,56.0
0,Miguel Andujar,,15878,609280.0,30,314.0,296.0,251.0,46.0,0.14700000000000002,16.0,0.05085714285714286,1.0,1.0,0.312,0.048,0.055,0.243,0.364,0.252,0.039,78.0,56.0,14.0,1.0,7.0,117.0,0.264,0.304,0.391,0.695,36.0,41.0,3.1,2.3,1.0,"3B, OF",1.0,2.27,70.0
0,Kyle Higashioka,TEX,5517,543309.0,34,236.0,220.0,160.0,61.0,0.258652,14.0,0.06028571428571429,1.0,0.0,0.309,0.09,0.082,0.229,0.251,0.302,0.046,49.0,30.0,10.0,1.0,8.0,87.0,0.224,0.272,0.386,0.658,27.0,27.0,2.4,2.2,0.0,,1.0,1.0,52.0
