Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9605,8.978,22.5881,2.81085,32,32,0,0,,199.765,797.146,160.085,68.4858,62.3899,20.3538,43.5401,0.3643,7.1193,242.273,10.9151,1.96161,5.56437,0.917,0.303926,0.05462,0.24930603802204132,0.214451,1.01932,0.288784,0.771652,0.423339,,2.79489,5.8581,5.79614,5.760000228881836,,,,,,,1149,5.745,1071,5.355,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3789,9.2432,21.2707,2.91786,32,32,0,0,,193.982,785.35,158.089,69.1686,62.8901,17.5014,51.574,0.5026,7.1695,237.008,10.9963,2.39284,4.59549,0.812,0.301786,0.0656701,0.23611600697040558,0.217571,1.08084,0.297793,0.758768,0.444132,,2.77291,5.6968,5.73887,9.359999656677246,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.4,3.29,3.18,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5722,8.9733,20.7637,3.00987,32,32,0,0,,192.855,773.587,157.379,70.6163,64.4966,19.5212,49.7215,0.4928,6.0061,238.816,11.1448,2.32036,4.80306,0.911,0.308712,0.064274,0.2444380447268486,0.219234,1.07387,0.300003,0.759213,0.455553,,2.84128,5.59017,5.38187,10.399999618530273,,,,,,,1084,5.616580310880829,1015,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3.01,2.81,2.6,2.34,3.83,3.63,3.49,3.37,3.27,3.17,3.07,2.95,2.8,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5187,9.3395,21.0699,3.1631,32,32,0,0,,198.055,812.7,183.186,77.5077,69.6075,17.6489,50.6174,0.4957,6.6788,191.784,8.71504,2.30015,3.7889,0.802,0.235984,0.062283,0.1737009882926941,0.2425,1.1805,0.303197,0.747487,0.544945,,3.22479,4.69891,5.03615,27.8799991607666,,,,,,,978,4.9393939393939394,966,4.878787878787879,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,"Cristopher Sanchez","20778",650911
"Jacob deGrom","TEX",12.0775,9.5973,18.2326,3.47586,30.78,30.78,0,0,,184.508,754.017,159.559,76.8099,71.2582,24.6831,41.9814,0.4637,5.6287,213.732,10.4255,2.04778,5.09112,1.204,0.283458,0.055677,0.22778106108307838,0.225873,1.09231,0.2882,0.74696,0.378991,,3.33158,4.30991,3.71006,47.599998474121094,,,,,,,929.5,5.024324324324325,884,4.778378378378378,4.96,4.46,4.13,3.87,3.64,3.42,3.21,2.97,2.67,4.38,4.14,3.97,3.84,3.72,3.6,3.47,3.34,3.15,"Jacob deGrom","10954",594798
"Cole Ragans","KCR",11.8413,8.5073,17.6179,3.22752,29.16,29.16,0,0,,172.018,709.938,138.775,67.1234,61.688,17.8325,62.1792,0.5971,5.6263,210.479,11.0123,3.25322,3.38504,0.933,0.296475,0.087584,0.20889121294021606,0.216115,1.16821,0.292257,0.760451,0.399122,,3.21816,4.2489,4.34194,49.20000076293945,,,,,,,905.9999999999999,5.267441860465116,842,4.895348837209302,4.7,4.2,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.38,3.26,3.13,2.97,"Cole Ragans","21846",666142
"Chris Sale","ATL",12.0345,7.5038,17.7348,3.19175,27.54,27.54,0,0,,168.535,685.659,139.79,64.9815,59.769,18.0894,44.2627,0.5232,8.6091,205.462,10.9719,2.36369,4.64187,0.966,0.299656,0.064555,0.23510099947452545,0.220912,1.09208,0.297386,0.750162,0.416999,,3.0334,4.15084,4.31761,35.15999984741211,,,,,,,916.2,5.4213017751479295,862,5.100591715976331,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.45,3.34,3.23,3.11,2.95,"Chris Sale","10603",519242
"Logan Webb","SFG",12.4701,10.5196,20.7244,3.32303,32,32,0,0,,199.392,830.798,193.881,81.901,73.6205,16.8154,46.9451,0.7552,6.0499,187.156,8.4477,2.11898,3.98669,0.759,0.225272,0.056506,0.1687660552561283,0.249268,1.20781,0.308568,0.731415,0.546891,,3.15155,4.06254,3.91461,56.84000015258789,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.82,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Sonny Gray","BOS",11.5186,9.9958,17.0241,3.68149,30.78,30.78,0,0,,181.357,756.916,171.012,80.662,74.1849,21.2188,47.6986,0.5011,5.6579,189.835,9.4207,2.36708,3.97988,1.053,0.2508,0.063017,0.187782920897007,0.243067,1.20597,0.304145,0.7304,0.450969,,3.44527,3.87286,3.46659,114.31999969482422,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.2,4.71,4.39,4.13,3.9,3.69,3.47,3.23,2.93,4.55,4.35,4.2,4.09,3.98,3.88,3.77,3.65,3.48,"Sonny Gray","12768",543243
"Dylan Cease","TOR",12.351,9.7777,17.3667,3.60554,32,32,0,0,,184.857,777.691,157.33,80.061,74.0566,22.4499,67.5907,1.179,5.8887,216.042,10.5183,3.29074,3.19632,1.093,0.277799,0.086912,0.1908869817852974,0.223413,1.21673,0.289617,0.748665,0.382153,,3.569,3.79902,3.26652,71.16000366210938,,,,,,,900.2,4.865945945945946,849,4.589189189189189,5.07,4.59,4.28,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.4,"Dylan Cease","18525",656302
"Framber Valdez",,12.0963,9.928,19.1901,3.47533,30.78,30.78,0,0,,190.384,795.254,180.406,81.4126,73.5163,16.098,62.7257,0.4223,7.8452,178.511,8.43872,2.96523,2.84589,0.761,0.22447,0.078875,0.145594984292984,0.248945,1.27706,0.309972,0.733106,0.559,,3.47112,3.71958,3.81603,93.27999877929688,,,,,,,886.2,4.66421052631579,887,4.668421052631579,5,4.53,4.22,3.97,3.76,3.55,3.34,3.11,2.82,4.37,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,"Framber Valdez","17295",664285
"Max Fried","NYY",12.7191,9.2178,19.496,3.33934,30.78,30.78,0,0,,189.434,791.286,177.734,77.7798,70.2871,18.8592,54.4136,0.6314,7.4349,178.834,8.49639,2.58519,3.28656,0.896,0.226004,0.068766,0.15723782032728195,0.243658,1.22548,0.29878,0.750287,0.506053,,3.52075,3.64763,3.70727,58.84000015258789,,,,,,,877.1000000000001,4.640740740740742,873,4.619047619047619,4.83,4.37,4.06,3.81,3.6,3.4,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.67,3.58,3.47,3.36,3.2,"Max Fried","13743",608331
"Hunter Brown","HOU",12.0244,9.6333,17.6515,3.63156,30.78,30.78,0,0,,184.176,769.968,165.01,81.0972,74.3164,20.8733,60.9376,0.5467,7.1746,199.986,9.77253,2.97779,3.28181,1.02,0.259732,0.079143,0.1805891916155815,0.235105,1.2268,0.299661,0.736309,0.472851,,3.54626,3.58658,3.28731,38.2400016784668,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,5.16,4.67,4.35,4.09,3.86,3.65,3.43,3.2,2.89,4.52,4.31,4.17,4.05,3.94,3.84,3.73,3.6,3.44,"Hunter Brown","25880",686613
"Hunter Greene","CIN",10.9956,10.6913,16.5582,3.93717,30.78,30.78,0,0,,183.816,769.427,156.71,85.7098,80.4128,28.1852,61.4072,0.4109,10.0749,220.037,10.7734,3.00662,3.58324,1.38,0.285975,0.079809,0.20616615563631058,0.224531,1.18661,0.285787,0.741122,0.336922,,3.90101,3.57186,3.40257,46.08000183105469,,,,,,,836.0000000000002,4.543478260869566,783,4.255434782608695,5.44,4.93,4.6,4.33,4.09,3.87,3.65,3.4,3.08,4.8,4.58,4.42,4.29,4.17,4.06,3.94,3.8,3.62,"Hunter Greene","22182",668881
"Jesús Luzardo","PHI",11.8995,9.5734,17.306,3.57991,30.78,30.78,0,0,,180.975,751.869,158.952,77.9572,71.986,23.3458,57.4443,0.7165,5.5962,198.104,9.85184,2.85674,3.44863,1.161,0.263482,0.076402,0.18708005547523499,0.230757,1.19573,0.290142,0.753565,0.404959,,3.66785,3.51759,3.86518,70.55999755859375,,,,,,,850.1,4.6966850828729285,813,4.49171270718232,5.07,4.58,4.26,4,3.78,3.56,3.34,3.11,2.81,4.44,4.23,4.08,3.96,3.85,3.75,3.64,3.51,3.34,"Jesus Luzardo","19959",666200
"Yoshinobu Yamamoto","LAD",11.0787,7.0725,15.2956,3.44229,25.92,25.92,0,0,,154.428,639.72,139.046,64.8328,59.0653,16.6096,47.125,0.4075,5.2067,162.393,9.46417,2.74642,3.446,0.968,0.25385,0.073665,0.18018493801355362,0.236719,1.20555,0.299805,0.744783,0.493667,,3.44683,3.45135,3.30333,25.200000762939453,,,,,,,737.1000000000003,4.786363636363638,717,4.6558441558441555,5.03,4.51,4.17,3.9,3.66,3.44,3.22,2.98,2.67,4.32,4.12,3.98,3.86,3.76,3.65,3.55,3.43,3.26,"Yoshinobu Yamamoto","33825",808967
"Joe Ryan","MIN",11.2677,10.3213,16.6517,3.84155,30.78,30.78,0,0,,182.4,753.719,163.915,83.033,77.8555,26.5899,44.3692,0.3633,8.6452,199.346,9.83615,2.18927,4.49289,1.312,0.264483,0.058867,0.20561615005135536,0.233929,1.14191,0.289247,0.732214,0.33551,,3.71638,3.43672,3.021,63.31999969482422,,,,,,,827.2999999999998,4.5456043956043946,798,4.384615384615385,5.32,4.82,4.49,4.23,4,3.78,3.56,3.31,3,4.67,4.45,4.31,4.19,4.07,3.97,3.85,3.73,3.56,"Joe Ryan","21390",657746
"Nathan Eovaldi","TEX",11.1105,9.425,16.8477,3.59576,29.16,29.16,0,0,,174.547,723.06,163.081,76.0595,69.7365,20.2668,44.4913,0.6905,7.0737,171.341,8.83473,2.29407,3.85112,1.045,0.236967,0.061532,0.17543509602546692,0.242862,1.18921,0.297599,0.733893,0.46048,,3.56757,3.39454,3.15809,143.75999450683594,,,,,,,814.2,4.652571428571429,804,4.594285714285714,5.14,4.64,4.31,4.05,3.82,3.6,3.38,3.14,2.83,4.49,4.28,4.13,4.01,3.9,3.79,3.68,3.55,3.38,"Nathan Eovaldi","9132",543135
"Bryan Woo","SEA",12.1476,10.6017,19.0888,3.58916,32,32,0,0,,195.095,800.882,175.912,84.111,77.8029,26.1644,44.0221,0.6631,7.5323,195.859,9.03525,2.0308,4.4491,1.207,0.244554,0.054967,0.18958697840571404,0.23476,1.12732,0.283987,0.740972,0.394619,,3.66351,3.28956,2.93153,42.439998626708984,,,,,,,901.6,4.6235897435897435,873,4.476923076923077,5.05,4.57,4.26,4.01,3.78,3.57,3.36,3.13,2.83,4.45,4.24,4.09,3.97,3.86,3.75,3.63,3.51,3.34,"Bryan Woo","30279",693433
"Ranger Suárez","BOS",10.755,9.6164,15.9253,3.72909,29.16,29.16,0,0,,171.504,723.034,169.934,77.8364,71.0614,18.2747,49.1461,0.812,5.6664,153.36,8.04787,2.57904,3.12049,0.959,0.212106,0.067972,0.144134022295475,0.254308,1.27741,0.305404,0.729959,0.490334,,3.69074,3.25743,3.18765,169.55999755859375,,,,,,,750.3999999999999,4.362790697674418,767,4.459302325581396,5.33,4.82,4.48,4.22,3.98,3.76,3.53,3.29,2.97,4.64,4.43,4.29,4.17,4.06,3.96,3.85,3.72,3.55,"Ranger Suarez","17277",624133
"Pablo López","MIN",11.1792,10.3813,16.6123,3.8268,30.78,30.78,0,0,,181.85,758.34,173.057,83.5234,77.3225,22.9939,47.1012,0.797,7.9186,180.928,8.95436,2.3311,3.84125,1.138,0.238584,0.0621109,0.1764729544520378,0.246056,1.21066,0.300487,0.726909,0.421317,,3.69672,3.24222,2.91444,139.67999267578125,,,,,,,811.1000000000001,4.456593406593408,808,4.43956043956044,5.36,4.86,4.53,4.27,4.03,3.81,3.59,3.34,3.03,4.72,4.5,4.35,4.22,4.11,4,3.88,3.75,3.58,"Pablo Lopez","17085",641154
"Logan Gilbert","SEA",11.0127,9.0468,16.1891,3.39255,29.16,29.16,0,0,,166.486,677.875,144.086,67.9806,62.757,20.9773,38.6938,0.928,5.8907,182.01,9.8392,2.09173,4.70386,1.134,0.268501,0.057081,0.21142007410526276,0.22752,1.09787,0.286098,0.748309,0.398605,,3.39004,3.16608,2.89902,37.47999954223633,,,,,,,824.7000000000002,4.968072289156628,786,4.734939759036145,4.87,4.38,4.05,3.79,3.57,3.36,3.14,2.91,2.62,4.2,4,3.87,3.75,3.65,3.55,3.45,3.34,3.18,"Logan Gilbert","22250",669302
"George Kirby","SEA",11.4732,9.8563,17.1252,3.50093,30.78,30.78,0,0,,178.218,732.203,165.303,75.4404,69.3255,22.0991,33.7355,0.4767,7.2451,174.004,8.78717,1.70364,5.15788,1.116,0.237644,0.046074,0.19157008826732635,0.239146,1.11682,0.289231,0.735266,0.42394,,3.48427,3.16068,2.86179,65.4000015258789,,,,,,,842.5999999999999,4.7337078651685385,829,4.657303370786517,4.99,4.51,4.19,3.93,3.71,3.5,3.28,3.05,2.75,4.35,4.15,4.01,3.89,3.79,3.69,3.58,3.46,3.3,"George Kirby","25436",669923
"Kyle Bradish","BAL",10.4929,8.4918,14.4742,3.70137,27.54,27.54,0,0,,157.977,662.654,145.616,70.6512,64.97,18.8694,49.3134,0.4009,7.0685,166.629,9.49293,2.80941,3.37898,1.075,0.251457,0.074418,0.17703886330127716,0.240183,1.23392,0.301224,0.737503,0.452588,,3.64908,3.12578,2.5456,72.36000061035156,,,,,,,721.9,4.568987341772152,709,4.487341772151899,5.35,4.8,4.44,4.16,3.91,3.67,3.43,3.18,2.85,4.69,4.44,4.26,4.12,3.99,3.87,3.74,3.6,3.4,"Kyle Bradish","24586",680694
"Michael King","SDP",11.0688,10.1342,15.73,3.79508,30.78,30.78,0,0,,175.764,741.932,158.158,80.1184,74.1153,22.986,60.7049,0.9526,7.291,182.256,9.33242,3.1084,3.00232,1.177,0.24565,0.08182,0.1638299822807312,0.234678,1.24521,0.288401,0.743211,0.401975,,3.92196,3.06245,2.79893,135.32000732421875,,,,,,,768.7,4.367613636363637,741,4.2102272727272725,5.37,4.85,4.51,4.24,4,3.77,3.54,3.29,2.97,4.73,4.49,4.33,4.2,4.07,3.96,3.83,3.69,3.51,"Michael King","19853",650633
"Blake Snell","LAD",10.8172,7.1507,14.5066,3.53149,25.92,25.92,0,0,,151.14,635.843,123.347,64.5183,59.3055,17.4483,66.1353,0.6021,4.1501,185.042,11.0188,3.93819,2.79793,1.039,0.291018,0.104012,0.18700604885816574,0.218097,1.25369,0.291677,0.757106,0.429979,,3.5824,3.02706,3.09623,67.08000183105469,,,,,,,748.5000000000002,4.956953642384107,694,4.596026490066225,5.13,4.6,4.25,3.97,3.72,3.49,3.26,3.01,2.7,4.43,4.21,4.06,3.93,3.82,3.7,3.59,3.46,3.29,"Blake Snell","13543",605483
"Zack Wheeler","PHI",8.7305,6.05,13.0262,3.20665,21.06,21.06,0,0,,125.797,510.748,105.22,48.791,44.8208,14.4946,31.792,0.3989,5.5779,144.671,10.3503,2.27452,4.55054,1.037,0.283253,0.062246,0.2210068441927433,0.222275,1.08915,0.288738,0.755837,0.415958,,3.22415,3.02373,3.27594,147.36000061035156,,,,,,,663.2,5.2634920634920634,624,4.9523809523809526,4.8,4.24,3.89,3.6,3.36,3.13,2.9,2.66,2.35,4,3.81,3.68,3.57,3.47,3.37,3.27,3.16,3.01,"Zack Wheeler","10310",554430
"José Soriano","LAA",10.691,10.6206,16.4023,3.66899,30.78,30.78,0,0,,177.273,759.198,169.057,80.0359,72.268,14.95,75.4369,0.6947,8.629,164.752,8.36433,3.82987,2.18397,0.759,0.217008,0.0993639,0.11764401942491531,0.250405,1.3792,0.311057,0.735619,0.571798,,3.79538,3.01027,3.12305,338.5199890136719,,,,,,,763.9,4.315819209039548,768,4.338983050847458,5.31,4.8,4.46,4.19,3.96,3.73,3.51,3.26,2.95,4.67,4.44,4.29,4.16,4.04,3.92,3.8,3.67,3.49,"Jose Soriano","22100",667755
"Spencer Schwellenbach","ATL",11.0615,8.4137,16.0476,3.64868,27.54,27.54,0,0,,166.671,689.008,159.198,73.5117,67.5699,20.0931,38.2813,0.9088,6.3106,162.63,8.78179,2.06714,4.24829,1.085,0.236035,0.05556,0.18047498166561127,0.247042,1.18484,0.301292,0.732024,0.453458,,3.55348,2.98098,3.18476,78.23999786376953,,,,,,,770.4,4.613173652694611,769,4.604790419161676,5.25,4.73,4.38,4.1,3.86,3.63,3.4,3.15,2.83,4.61,4.37,4.2,4.07,3.94,3.82,3.7,3.55,3.37,"Spencer Schwellenbach","31846",680885
"Aaron Nola","PHI",11.0685,10.4276,15.8511,3.99531,30.78,30.78,0,0,,180.677,758.511,174.811,86.5703,80.2069,26.5596,46.7516,0.5992,5.8678,175.202,8.72724,2.32882,3.7475,1.323,0.230981,0.061636,0.1693449430167675,0.247645,1.22629,0.294073,0.732145,0.422958,,3.98045,2.96168,2.9152,205.1199951171875,,,,,,,743.3000000000002,4.106629834254145,745,4.116022099447513,5.56,5.05,4.72,4.45,4.21,3.99,3.76,3.51,3.19,4.89,4.67,4.53,4.4,4.29,4.18,4.07,3.94,3.77,"Aaron Nola","16149",605400
"Brandon Woodruff","MIL",9.8729,9.2432,14.3201,3.84299,27.54,27.54,0,0,,159.667,661.693,143.336,73.0578,68.1775,23.2226,43.5149,0.3686,6.3463,168.105,9.47566,2.45282,3.86316,1.309,0.254053,0.065763,0.18829017132520676,0.234274,1.17026,0.285642,0.737293,0.363943,,3.85706,2.95667,2.72519,113.23999786376953,,,,,,,715.3,4.470625,687,4.29375,5.46,4.91,4.54,4.25,4,3.76,3.52,3.26,2.93,4.8,4.54,4.37,4.22,4.09,3.96,3.82,3.67,3.47,"Brandon Woodruff","16162",605540
"Freddy Peralta","MIL",10.8682,10.4566,15.6519,3.90831,30.78,30.78,0,0,,177.641,750.489,153.631,82.7792,77.1416,24.8697,65.5056,0.5066,8.019,199.685,10.1168,3.31878,3.04836,1.26,0.266073,0.0872839,0.17878889292478561,0.226941,1.2336,0.284613,0.73979,0.365926,,3.94863,2.94747,2.84169,64.36000061035156,,,,,,,787.3000000000001,4.423033707865169,743,4.174157303370786,5.43,4.93,4.59,4.33,4.09,3.87,3.65,3.4,3.09,4.75,4.54,4.4,4.28,4.17,4.07,3.96,3.83,3.66,"Freddy Peralta","18679",642547
"MacKenzie Gore","WSN",10.4801,10.7382,15.8073,3.76123,30.78,30.78,0,0,,175.533,739.71,153.075,79.1842,73.3578,22.0977,66.511,0.3773,6.8675,192.885,9.88968,3.41018,2.90005,1.133,0.260758,0.089915,0.17084287106990814,0.229728,1.25097,0.290191,0.744248,0.394355,,3.82808,2.92759,3.31679,192.8800048828125,,,,,,,798.0000000000002,4.53409090909091,758,4.306818181818182,5.29,4.79,4.46,4.19,3.96,3.74,3.51,3.27,2.96,4.63,4.42,4.27,4.15,4.04,3.93,3.82,3.69,3.52,"MacKenzie Gore","22201",669022
"Shane McClanahan","TBR",9.0116,7.9178,13.5741,3.57041,24.3,24.3,0,0,,142.175,587.984,128.782,61.3893,56.4024,17.8508,41.614,0.4692,4.1065,153.686,9.72867,2.63427,3.69312,1.13,0.261377,0.070774,0.1906031221151352,0.23749,1.1985,0.299226,0.749677,0.455863,,3.57017,2.88698,2.72943,244.47999572753906,,,,,,,664,4.676056338028169,646,4.549295774647887,5.26,4.68,4.31,4.01,3.75,3.51,3.27,3.01,2.68,4.56,4.31,4.13,3.98,3.85,3.73,3.59,3.45,3.25,"Shane McClanahan","21483",663556
"Tyler Glasnow","LAD",9.8897,6.7801,12.8947,3.60414,24.3,24.3,0,0,,138.55,574.42,117.536,60.2331,55.4838,16.2873,50.8689,0.3194,3.9486,161.292,10.4773,3.30437,3.17074,1.058,0.280791,0.088557,0.1922340914607048,0.226203,1.21548,0.296028,0.742924,0.447895,,3.52203,2.88079,2.82733,111.95999908447266,,,,,,,682.0000000000002,4.906474820143886,644,4.633093525179856,5.27,4.7,4.33,4.04,3.78,3.54,3.31,3.05,2.72,4.52,4.29,4.13,4,3.89,3.77,3.65,3.52,3.34,"Tyler Glasnow","14374",607192
"Drew Rasmussen","TBR",10.4355,10.5148,14.5267,3.92194,30.78,30.78,0,0,,171.003,718.2,169.862,80.9872,74.5183,21.4894,44.7654,0.6069,6.0681,156.428,8.23287,2.35603,3.49439,1.131,0.217805,0.06233,0.15547506883740425,0.254525,1.2551,0.303141,0.724171,0.46686,,3.83107,2.84447,2.4791,148.67999267578125,,,,,,,724.1000000000001,4.234502923976609,741,4.333333333333333,5.57,5.04,4.68,4.4,4.15,3.92,3.68,3.42,3.09,4.92,4.67,4.5,4.36,4.23,4.11,3.98,3.83,3.64,"Drew Rasmussen","25385",656876
"Kevin Gausman","TOR",11.293,10.4738,16.4242,4.05291,30.78,30.78,0,0,,185.401,784.933,177.944,89.7447,83.4905,25.6884,54.6384,0.7182,4.4867,180.552,8.7646,2.65233,3.30449,1.247,0.230022,0.069609,0.16041319072246552,0.245167,1.25448,0.293043,0.726471,0.380152,,3.94538,2.82533,2.20778,114.76000213623047,,,,,,,771.4000000000001,4.16972972972973,772,4.172972972972973,5.58,5.09,4.76,4.49,4.26,4.04,3.82,3.57,3.25,4.9,4.7,4.56,4.44,4.34,4.23,4.13,4,3.84,"Kevin Gausman","14107",592332
"Nick Pivetta","SDP",11.1081,10.5677,16.4683,3.95928,30.78,30.78,0,0,,183.723,767.431,164.025,86.2333,80.8234,28.2933,56.6878,0.9102,5.4081,201.915,9.89117,2.77695,3.56188,1.386,0.263105,0.073867,0.18923810124397278,0.23255,1.20134,0.285675,0.742562,0.338098,,3.95306,2.76585,2.66744,86.19999694824219,,,,,,,808.8000000000003,4.395652173913045,774,4.206521739130435,5.45,4.95,4.62,4.36,4.13,3.9,3.68,3.44,3.12,4.79,4.58,4.43,4.31,4.2,4.09,3.98,3.86,3.69,"Nick Pivetta","15454",601713
"Spencer Strider","ATL",10.5895,8.5615,14.5594,3.82732,27.54,27.54,0,0,,160.846,674.123,139.51,73.3786,68.4009,21.1423,57.7575,0.6957,7.116,187.214,10.4754,3.23178,3.24137,1.183,0.277714,0.085678,0.19203617423772812,0.228987,1.22644,0.295261,0.738893,0.372478,,3.72603,2.66428,2.89192,99.87999725341797,,,,,,,748.1000000000001,4.646583850931678,711,4.416149068322981,5.41,4.88,4.52,4.24,3.99,3.76,3.53,3.27,2.95,4.73,4.5,4.34,4.2,4.08,3.96,3.84,3.7,3.52,"Spencer Strider","27498",675911
"Chase Burns","CIN",8.329,7.7604,10.7185,3.73723,30.68,22.68,0,0.6483,,131.954,548.393,116.564,59.0978,54.7935,17.9897,41.4566,0.6273,4.1865,149.707,10.2109,2.82758,3.61118,1.227,0.272993,0.0755965,0.19739603251218796,0.231853,1.19754,0.294205,0.744704,0.410098,,3.67609,2.6517,2.62264,114.80000305175781,,,,,,,620.2000000000003,4.698484848484851,595,4.507575757575758,5.66942,4.93424,4.47998,4.12452,3.82754,3.54723,3.27996,2.98632,2.63693,4.79786,4.50907,4.30089,4.1415,3.9921,3.84332,3.69453,3.53514,3.31695,"Chase Burns","35333",695505
"Eury Pérez","MIA",9.0695,9.7503,12.9485,3.99347,27.54,27.54,0,0,,154.035,647.479,134.6,72.8865,68.3484,22.0271,53.6204,0.4701,5.3003,171.784,10.037,3.13294,3.20371,1.287,0.265312,0.0828141,0.18249811232089996,0.228695,1.22193,0.285178,0.732826,0.323585,,3.91123,2.61337,2.48566,83.31999969482422,,,,,,,685,4.4480519480519485,651,4.2272727272727275,5.65,5.07,4.7,4.4,4.13,3.89,3.64,3.37,3.03,4.97,4.7,4.52,4.36,4.22,4.09,3.95,3.8,3.59,"Eury Perez","27768",691587
"Jack Flaherty","DET",10.0012,10.0607,14.3883,3.91348,29.16,29.16,0,0,,165.689,708.071,151.656,77.7619,72.0466,21.8341,58.2034,0.8872,6.949,178.92,9.71869,3.16154,3.07404,1.186,0.252686,0.0822,0.17048601061105728,0.235887,1.26659,0.293605,0.736774,0.39792,,3.8682,2.60535,2.36867,217.55999755859375,,,,,,,725.6000000000001,4.371084337349399,707,4.259036144578313,5.5,4.98,4.64,4.36,4.12,3.89,3.66,3.4,3.08,4.8,4.58,4.44,4.31,4.2,4.09,3.98,3.85,3.68,"Jack Flaherty","17479",656427
"Shohei Ohtani","LAD",8.8585,5.9788,10.3988,3.45179,22.68,22.68,0,0,,116.914,479.745,98.2302,48.5493,44.8402,14.6402,36.2395,0.463,4.5365,136.191,10.4839,2.78971,3.75808,1.127,0.283882,0.0755391,0.20834296941757202,0.223775,1.15016,0.290104,0.753864,0.413059,,3.47957,2.57687,2.54023,1.0800000429153442,,,,,,,575.5000000000002,4.918803418803421,539,4.6068376068376065,5.18,4.57,4.17,3.86,3.59,3.34,3.09,2.82,2.48,4.39,4.14,3.97,3.83,3.7,3.58,3.46,3.32,3.13,"Shohei Ohtani","19755",660271
"Yusei Kikuchi","LAA",10.0565,11.3135,14.9751,4.11235,30.78,30.78,0,0,,177.726,748.005,165.873,87.2174,81.2079,26.3824,62.9065,0.6784,5.4574,181.836,9.20814,3.18557,2.89058,1.336,0.243095,0.084099,0.1589958518743515,0.244059,1.28726,0.295892,0.737901,0.406722,,4.17264,2.53193,2.44841,355.4800109863281,,,,,,,725.8000000000001,4.0775280898876405,712,4,5.68,5.17,4.83,4.56,4.32,4.09,3.86,3.61,3.28,4.99,4.78,4.63,4.51,4.4,4.29,4.17,4.04,3.87,"Yusei Kikuchi","20633",579328
"Sandy Alcantara","MIA",10.0457,11.853,16.2857,4.15047,30.78,30.78,0,0,,186.581,794.978,189.427,93.3814,86.0444,22.2239,55.9299,0.8737,7.6986,158.62,7.65123,2.69785,2.83604,1.072,0.199527,0.070354,0.1291728839278221,0.259011,1.31501,0.303727,0.709359,0.469893,,4.00638,2.51165,2.57184,151.27999877929688,,,,,,,747.7999999999998,3.9989304812834217,775,4.144385026737968,5.77,5.26,4.92,4.65,4.41,4.18,3.94,3.69,3.36,5.12,4.89,4.73,4.6,4.48,4.36,4.24,4.1,3.92,"Sandy Alcantara","18684",645261
"Merrill Kelly","ARI",11.0516,10.7104,16.0623,4.14641,30.78,30.78,0,0,,185.122,791.121,186.364,92.0943,85.2881,23.9219,56.6957,1.1906,5.0695,169.205,8.22615,2.75635,2.98444,1.163,0.21388,0.071665,0.1422150433063507,0.255518,1.31297,0.302933,0.720361,0.422182,,3.98793,2.48131,2.50903,226.47999572753906,,,,,,,742.1999999999999,4.011891891891891,765,4.135135135135135,5.73,5.23,4.89,4.62,4.38,4.15,3.92,3.67,3.34,5.07,4.85,4.7,4.57,4.45,4.34,4.22,4.09,3.91,"Merrill Kelly","11156",518876
