Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Gregori Louis","NYM",0.0439,0.0542,0,5.28561,1,0,0,0,,1,4.664,1.0252,0.6285,0.58729,0.142222,0.6895,0.0283,0.0531,0.7083,6.3747,6.2055,1.02727,1.28,0.151865,0.147834,0.004030883312225342,0.261437,1.7147,0.287533,0.716685,0.406822,,5.79523,-0.0164818,-0.0496301,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Gregori Louis","sa3019699",805774
"Nathan Landry",,0.0418,0.0563,0,5.55606,1,0,0,0,,1,4.653,1.0723,0.6569,0.61734,0.156556,0.6277,0.0282,0.0525,0.6697,6.0273,5.6493,1.06691,1.409,0.143929,0.134902,0.009026452898979187,0.26991,1.7,0.291032,0.704406,0.381002,,5.87156,-0.0164852,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Nathan Landry","sa3020485",806278
"Sam Jacobsak",,0.0411,0.0682,0.0229,5.78916,0.6133,0.0823,0,0,,1,4.635,1.1119,0.6839,0.64324,0.165556,0.5801,0.017,0.0471,0.6486,5.8374,5.2209,1.11808,1.49,0.139935,0.125156,0.014778852462768555,0.277434,1.692,0.296321,0.690374,0.39902,,5.87176,-0.0164874,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sam Jacobsak","sa3015359",679556
"Elijah Birdsong",,0.0399,0.0581,0,5.74308,1,0,0,0,,1,4.724,1.1499,0.6843,0.63812,0.127667,0.6633,0.0287,0.0516,0.5486,4.9374,5.9697,0.827077,1.149,0.11613,0.140411,-0.024280257523059845,0.286822,1.8132,0.306716,0.690684,0.477811,,5.8423,-0.0164971,-0.0442872,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Elijah Birdsong","sa3020377",677322
"Sergio Sanchez",,0.0412,0.0568,0,5.69853,1,0,0,0,,1,4.675,1.0589,0.6732,0.63317,0.156444,0.6702,0.0284,0.0508,0.7296,6.5664,6.0318,1.08863,1.408,0.156064,0.143358,0.012705892324447632,0.267805,1.7291,0.294155,0.699235,0.390012,,5.87271,-0.016498,-0.0470134,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Sergio Sanchez","sa3009735",683928
"Ricardo Estrada","SFG",0.042,0.0642,0.0198,5.29614,0.7147,0.0607,0,0,,1,4.639,1.1086,0.6328,0.58846,0.13,0.5911,0.0199,0.044,0.6116,5.5044,5.3199,1.03468,1.17,0.131839,0.12742,0.004419058561325073,0.27688,1.6997,0.299972,0.702972,0.455644,,5.50724,-0.0165031,-0.0498063,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ricardo Estrada","sa3016017",698962
"Danyony Pulido","PHI",0.0415,0.0608,0.0082,5.74551,0.8516,0.0316,0,0,,1,4.686,1.0666,0.6809,0.63839,0.155556,0.6924,0.0241,0.0517,0.687,6.183,6.2316,0.992201,1.4,0.146607,0.147759,-0.0011523813009262085,0.27058,1.759,0.293947,0.69951,0.427954,,6.01566,-0.0165174,-0.0442083,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Danyony Pulido","sa3015502",699707
"Geury Rodriguez","TEX",0.0416,0.0564,0,5.58063,1,0,0,0,,1,4.742,1.0456,0.6627,0.62007,0.139556,0.7709,0.0288,0.0476,0.7231,6.5079,6.9381,0.937995,1.256,0.152488,0.162569,-0.010080143809318542,0.266497,1.8165,0.296011,0.711729,0.420207,,5.95866,-0.0165286,-0.0492813,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Geury Rodriguez","sa3019581",802085
"Nathan Karaffa","PHI",0.0413,0.0568,0,5.81319,1,0,0,0,,1,4.666,1.1042,0.6881,0.64591,0.161222,0.6409,0.0283,0.0447,0.6351,5.7159,5.7681,0.99095,1.451,0.136112,0.137355,-0.0012430399656295776,0.277409,1.7451,0.296154,0.695674,0.423964,,6.01763,-0.0165288,-0.0441988,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Nathan Karaffa","sa3021466",688087
"Edwin Nuñez","STL",0.0416,0.0564,0,5.41611,1,0,0,0,,1,4.655,1.019,0.6411,0.60179,0.146778,0.6538,0.0282,0.0778,0.7614,6.8526,5.8842,1.16458,1.321,0.163566,0.140451,0.02311493456363678,0.259724,1.6728,0.289273,0.703123,0.384728,,5.71525,-0.0165558,-0.0484393,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Edwin Nunez","sa3014813",695835
