,Unnamed: 0,DATE,TIME,GAME,TEAM,OPP,Pitcher,Proj
215,11,7-27,1:40pm ET,TB@CIN,CIN,TB,Brady Singer,14.9
216,8,7-27,1:40pm ET,TOR@DET,TOR,DET,Max Scherzer,17.9
217,9,7-27,1:40pm ET,TOR@DET,DET,TOR,Jack Flaherty,19.7
218,20,7-27,2:10pm ET,WSH@MIN,WSH,MIN,Jake Irvin,11.8
219,21,7-27,2:10pm ET,WSH@MIN,MIN,WSH,Joe Ryan,21.0
220,5,7-28,6:40pm ET,ARI@DET,DET,ARI,Reese Olson,13.3
221,4,7-28,6:40pm ET,ARI@DET,ARI,DET,Eduardo Rodriguez,14.6
222,13,7-28,7:40pm ET,ATL@KC,KC,ATL,Noah Cameron,13.7
223,12,7-28,7:40pm ET,ATL@KC,ATL,KC,Bryce Elder,14.3
224,17,7-28,7:40pm ET,BOS@MIN,MIN,BOS,Simeon Woods Richardson,13.1
225,16,7-28,7:40pm ET,BOS@MIN,BOS,MIN,Richard Fitts,12.1
226,15,7-28,7:40pm ET,CHC@MIL,MIL,CHC,Brandon Woodruff,17.8
227,14,7-28,7:40pm ET,CHC@MIL,CHC,MIL,Matthew Boyd,15.9
228,2,7-28,6:40pm ET,COL@CLE,COL,CLE,Bradley Blalock,8.4
229,3,7-28,6:40pm ET,COL@CLE,CLE,COL,Slade Cecconi,13.9
230,8,7-28,7:10pm ET,LAD@CIN,LAD,CIN,Dustin May,13.5
231,9,7-28,7:10pm ET,LAD@CIN,CIN,LAD,Chase Burns,17.8
232,18,7-28,7:45pm ET,MIA@STL,MIA,STL,Edward Cabrera,16.6
233,19,7-28,7:45pm ET,MIA@STL,STL,MIA,Andre Pallante,10.7
234,24,7-28,9:40pm ET,NYM@SD,NYM,SD,Frankie Montas,14.7
235,25,7-28,9:40pm ET,NYM@SD,SD,NYM,Dylan Cease,18.3
236,10,7-28,7:40pm ET,PHI@CWS,PHI,CWS,Cristopher Sanchez,14.5
237,11,7-28,7:40pm ET,PHI@CWS,CWS,PHI,Davis Martin,9.7
238,26,7-28,9:45pm ET,PIT@SF,PIT,SF,Paul Skenes,20.9
239,27,7-28,9:45pm ET,PIT@SF,SF,PIT,Landen Roupp,10.8
240,28,7-28,10:05pm ET,SEA@OAK,SEA,OAK,Luis Castillo,16.7
241,29,7-28,10:05pm ET,SEA@OAK,OAK,SEA,JP Sears,11.7
242,6,7-28,7:05pm ET,TB@NYY,TB,NYY,Drew Rasmussen,12.8
243,7,7-28,7:05pm ET,TB@NYY,NYY,TB,Luis Gil,
