,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
396,Jose Urquidy,,6.028,8.4629,7.7138,5.00608,21.06,21.06,0.0,0.0,,118.762,515.238,127.094,70.1291,66.0593,21.4564,35.7024,0.3122,4.583,87.1308,6.60291,2.70559,2.44047,1.626,0.169108,0.069293,0.0998148396611213,0.267594,1.37078,0.288341,0.69802,0.349,,5.03412,0.252211,0.421904,745.0,,,,,,,343.1,2.883193277310924,373,3.134453781512605,6.99,6.3,5.85,5.49,5.17,4.87,4.57,4.24,3.82,6.11,5.81,5.61,5.43,5.28,5.13,4.97,4.8,4.56,Jose Urquidy,18413,664353.0,664353.0
397,Scott Barlow,,3.0012,3.0805,0.0,4.10802,62.0,0.0,0.0,0.0,,62.0,270.861,55.8962,30.5837,28.2997,7.08178,30.8269,1.7403,3.204,64.3462,9.34058,4.47487,2.08734,1.028,0.237562,0.113811,0.1237509250640869,0.236018,1.39876,0.295126,0.7309,0.426,,4.191,0.250762,0.138958,999.0,,,,,,,253.09999999999997,4.082258064516128,245,3.9516129032258074,6.46,5.57,5.01,4.57,4.19,3.85,3.51,3.16,2.72,5.16,4.89,4.7,4.55,4.41,4.27,4.13,3.97,3.76,Scott Barlow,14993,605130.0,605130.0
398,Bowden Francis,TOR,1.9149,1.927,0.6027,4.16525,29.62,1.62,0.0,0.6446,,36.8498,156.189,35.2903,18.2035,17.0543,5.82636,10.2055,0.5826,1.8349,35.9369,8.77704,2.49254,3.52133,1.423,0.230086,0.0653407,0.1647452935576439,0.244819,1.23463,0.287775,0.730935,0.353495,,4.22036,0.250646,0.168037,717.9199829101562,,,,,,,149.0,4.027027027027027,147,3.972972972972973,7.66961,6.03181,5.07772,4.38406,3.82921,3.34118,2.89276,2.44394,1.93472,5.16732,4.89252,4.70772,4.55532,4.41291,4.28051,4.13811,3.97571,3.7685,Bowden Francis,20548,670102.0,670102.0
399,Felix Bautista,BAL,0.7983,0.5736,0.0,3.02873,14.0,0.0,0.0,0.6705,,14.0,57.732,10.0938,5.1295,4.71136,1.35489,6.0777,0.304,0.4755,19.7235,12.6794,3.90709,3.24522,0.871,0.341639,0.105274,0.2363645732402801,0.197226,1.15511,0.290325,0.773539,0.402926,,2.97986,0.249737,0.221987,999.0,,,,,,,91.30000000000004,6.521428571428573,83,5.928571428571429,6.39,4.66,3.71,3.06,2.55,2.13,1.75,1.39,1.02,3.99,3.72,3.54,3.39,3.26,3.13,3.0,2.85,2.66,Felix Bautista,20666,642585.0,642585.0
401,Brenan Hanifee,DET,2.8259,2.8633,0.0,3.88734,58.0,0.0,0.0,11.0303,,58.0,247.335,60.6135,27.4623,25.0518,5.86444,16.1846,1.4622,2.2023,43.5411,6.75638,2.5114,2.69028,0.91,0.176041,0.0654359,0.1106050461530685,0.264748,1.32411,0.304936,0.719308,0.509426,,3.89921,0.245219,0.274866,999.0,,,,,,,274.80000000000007,4.737931034482759,290,5.0,6.31,5.4,4.82,4.38,4.0,3.66,3.32,2.96,2.53,4.98,4.71,4.52,4.37,4.23,4.09,3.95,3.8,3.59,Brenan Hanifee,22304,669724.0,669724.0
402,Anthony Bender,MIA,2.9586,3.1234,0.0,3.94035,62.0,0.0,3.27,11.7293,,62.0,266.094,58.7352,29.476,27.1446,6.71667,24.4597,1.7469,2.7184,59.6169,8.65407,3.5506,2.43735,0.975,0.224045,0.0919213,0.1321232393383979,0.24584,1.34185,0.301413,0.727982,0.455866,,3.93541,0.244253,0.416877,744.0,,,,,,,321.29999999999995,5.1822580645161285,321,5.17741935483871,6.3,5.4,4.83,4.4,4.03,3.68,3.35,3.0,2.57,5.06,4.76,4.56,4.39,4.24,4.09,3.94,3.77,3.55,Anthony Bender,19742,669622.0,669622.0
403,Carlos Estevez,KC,3.1309,3.2452,0.0,4.28797,65.0,0.0,30.883,2.0266,,65.0,280.052,62.1461,32.9901,30.9687,8.91944,24.2707,2.2516,2.8008,60.6959,8.40405,3.36056,2.50079,1.235,0.216731,0.086665,0.130065843462944,0.245656,1.32949,0.290277,0.72267,0.326608,,4.30091,0.24394,0.173991,86.54000091552734,,,,,,,413.1,6.355384615384615,412,6.338461538461538,6.58,5.7,5.14,4.7,4.33,3.98,3.65,3.29,2.85,5.31,5.03,4.83,4.67,4.53,4.39,4.24,4.08,3.86,Carlos Estevez,14542,608032.0,608032.0
404,Keegan Akin,BAL,3.3918,3.0807,0.0,3.88683,66.0,0.0,2.946,15.7431,,66.0,280.971,61.0038,30.6629,28.5034,9.01267,24.4503,1.8907,2.1334,68.295,9.31295,3.33413,2.79322,1.229,0.243068,0.0870207,0.1560470461845398,0.239807,1.29476,0.293603,0.752251,0.381878,,4.04916,0.23952,0.258563,664.0,,,,,,,356.1,5.3954545454545455,350,5.303030303030303,6.11,5.26,4.72,4.3,3.95,3.62,3.3,2.96,2.55,4.89,4.62,4.44,4.28,4.15,4.01,3.88,3.72,3.52,Keegan Akin,19362,669211.0,669211.0
405,Chase Silseth,LAA,2.8325,3.0534,0.0,4.04266,60.0,0.0,1.044,12.2885,,60.0,256.959,55.9762,29.1701,26.9511,7.45333,24.6023,1.432,2.5899,58.9927,8.8489,3.69035,2.39785,1.118,0.22958,0.0957441,0.1338361278176307,0.243622,1.34298,0.297102,0.7329,0.450477,,4.14321,0.237479,0.259021,741.0800170898438,,,,,,,299.29999999999995,4.988333333333332,296,4.933333333333334,6.43,5.52,4.94,4.5,4.12,3.77,3.43,3.08,2.64,5.13,4.84,4.65,4.48,4.34,4.2,4.05,3.89,3.67,Chase Silseth,30074,681217.0,681217.0
406,Calvin Faucher,MIA,3.0372,3.2411,0.0,3.98811,64.0,0.0,16.713,8.4436,,64.0,276.339,60.2366,30.7615,28.3599,7.06844,26.452,1.5762,2.791,63.5322,8.93422,3.71981,2.40179,0.994,0.229907,0.095723,0.1341837421059608,0.243778,1.35451,0.301244,0.728286,0.449855,,3.9563,0.237127,0.323198,414.1499938964844,,,,,,,389.5,6.0859375,387,6.046875,6.32,5.44,4.88,4.45,4.08,3.74,3.41,3.06,2.64,5.08,4.79,4.59,4.43,4.29,4.15,4.0,3.84,3.62,Calvin Faucher,20116,676534.0,676534.0
407,Joey Wentz,ATL,3.2501,3.339,1.6857,4.3509,38.86,4.86,0.0,0.6641,,60.0111,259.397,58.341,31.0972,29.0114,8.22152,24.1717,1.0725,1.9333,57.5469,8.63044,3.62508,2.38076,1.233,0.221849,0.0931842,0.1286645680665969,0.250077,1.37496,0.299179,0.724136,0.392059,,4.30327,0.236097,0.339074,728.6900024414062,,,,,,,236.8,3.9466666666666663,238,3.966666666666667,7.46047,6.13777,5.33276,4.72508,4.22607,3.78139,3.35105,2.91204,2.39737,5.35675,5.09808,4.91375,4.76941,4.63508,4.50074,4.36641,4.21774,4.00907,Joey Wentz,19962,666214.0,666214.0
408,Drey Jameson,ARI,2.9475,2.7407,0.0,3.86968,58.0,0.0,1.131,12.3159,,58.0,246.704,54.6825,27.0399,24.9379,6.15444,21.7427,1.363,2.2472,57.5582,8.93145,3.37387,2.64724,0.955,0.233309,0.0881327,0.145176000893116,0.245528,1.31768,0.305205,0.7283,0.447806,,3.77067,0.236051,0.392084,672.6199951171875,,,,,,,309.40000000000003,5.33448275862069,309,5.327586206896552,6.26,5.34,4.75,4.31,3.93,3.58,3.24,2.89,2.46,5.0,4.69,4.48,4.31,4.15,4.0,3.85,3.67,3.45,Drey Jameson,26260,686753.0,686753.0
409,Braydon Fisher,TOR,2.5952,2.505,0.0,4.04684,52.0,0.0,0.0,6.7043,,52.0,225.401,46.6434,25.1477,23.3817,6.82933,22.399,1.3799,2.1841,56.5774,9.79224,3.87675,2.52589,1.182,0.251008,0.099374,0.1516337618231773,0.232267,1.32774,0.289744,0.737958,0.382153,,4.08467,0.234895,0.125954,745.1500244140625,,,,,,,246.50000000000009,4.740384615384617,239,4.596153846153846,6.53,5.55,4.93,4.46,4.07,3.7,3.35,2.98,2.53,5.11,4.82,4.62,4.46,4.31,4.17,4.03,3.86,3.64,Braydon Fisher,24609,680755.0,680755.0
410,Bailey Falter,KC,3.7012,4.2685,1.5637,4.53181,52.86,4.86,0.0,4.3235,,74.0142,317.57,76.9883,39.7736,37.2687,11.0199,22.9761,0.8022,2.0093,58.1609,7.07227,2.79385,2.53137,1.34,0.183144,0.0723497,0.110793836414814,0.263132,1.35061,0.295288,0.712009,0.365562,,4.5118,0.232761,0.208162,999.0,,,,,,,269.1,3.636486486486487,284,3.8378378378378377,7.40236,6.22068,5.49578,4.94252,4.4698,4.05411,3.64544,3.21678,2.70812,5.49064,5.24712,5.07361,4.93658,4.80658,4.68306,4.55603,4.41252,4.21549,Bailey Falter,20070,663559.0,663559.0
411,Mitch Spence,OAK,1.9869,1.9364,0.0,4.04232,40.0,0.0,0.0,0.6371,,40.0,169.205,40.7376,19.459,17.9659,5.13333,10.5494,1.0682,1.6338,33.909,7.62953,2.37362,3.21431,1.155,0.200402,0.0623469,0.1380550153553486,0.259439,1.28217,0.301784,0.721718,0.456873,,4.02176,0.232422,0.236602,999.0,,,,,,,160.9,4.0225,168,4.2,6.78,5.67,4.99,4.47,4.03,3.64,3.26,2.87,2.4,5.01,4.77,4.61,4.47,4.35,4.23,4.11,3.97,3.78,Mitch Spence,27707,687765.0,687765.0
412,Nate Pearson,HOU,3.3772,3.889,1.7761,4.60545,44.86,4.86,0.0,0.6626,,67.42,293.4,64.4721,36.8398,34.4999,10.1355,29.8536,1.2194,3.0106,64.1787,8.56731,3.9852,2.14978,1.353,0.218741,0.101751,0.1169908121228218,0.24746,1.39908,0.291785,0.717354,0.382453,,4.64799,0.231188,-0.00150789,734.4600219726562,,,,,,,239.39999999999995,3.573134328358208,238,3.5522388059701493,7.66092,6.38484,5.60163,5.01469,4.51402,4.06742,3.64082,3.19828,2.66761,5.71316,5.41503,5.20503,5.03689,4.88283,4.72876,4.57469,4.40063,4.16842,Nate Pearson,20160,663878.0,663878.0
413,Yaramil Hiraldo,BAL,2.2312,2.084,0.0,4.01356,44.0,0.0,0.0,0.6705,,44.0,186.125,40.0324,21.0292,19.6218,6.19422,16.1436,1.0976,1.5255,45.0404,9.21281,3.3021,2.78998,1.267,0.24199,0.0867353,0.1552548110485077,0.237643,1.27673,0.288669,0.739869,0.374235,,4.12267,0.228522,0.137591,999.0,,,,,,,187.8,4.2681818181818185,182,4.136363636363637,6.65,5.57,4.9,4.39,3.97,3.58,3.21,2.82,2.37,5.14,4.82,4.6,4.42,4.25,4.1,3.94,3.76,3.52,Yaramil Hiraldo,25215,682274.0,682274.0
414,Jose Suarez,ATL,2.8443,2.4507,0.0,3.71796,54.0,0.0,0.0,9.8612,,54.0,226.795,50.5744,24.1186,22.3078,6.654,17.0151,2.3467,2.1564,53.277,8.8795,2.83585,3.13116,1.109,0.234913,0.0750241,0.1598884463310241,0.243587,1.25166,0.297377,0.745975,0.411601,,3.82889,0.228196,0.472627,999.0,,,,,,,269.9,4.998148148148148,268,4.962962962962963,6.07,5.14,4.56,4.12,3.74,3.4,3.07,2.73,2.31,4.68,4.43,4.26,4.12,3.99,3.86,3.73,3.59,3.4,Jose Suarez,19911,660761.0,660761.0
415,Gavin Stone,LAD,1.4054,1.2742,0.702,4.00852,17.62,1.62,0.0,0.7749,,25.1445,105.818,24.1989,12.0816,11.1991,3.54258,7.5677,0.3519,0.8142,23.5928,8.4446,2.70872,3.11757,1.268,0.222956,0.0715162,0.1514402031898498,0.248357,1.26336,0.293828,0.734323,0.427988,,4.09016,0.228107,0.2239,654.5399780273438,,,,,,,98.4,3.936,98,3.92,8.09553,6.05095,4.91366,4.11002,3.47547,2.94183,2.46546,2.0,1.49818,5.05457,4.7773,4.58366,4.43003,4.28639,4.15275,4.00912,3.85184,3.64457,Gavin Stone,27792,694813.0,694813.0
