,player_name,pitcher,p_throws,pitch_type,n_pitches,release_speed,release_pos_x,release_pos_z,release_extension,pfx_x_in,pfx_z_in,PC,Usage,SwStr%,Strike%,Ball%,xwOBACON,STUFF+,STUFF+_lg,xwOBACON_lg,SwStr%_lg,Strike%_lg,Ball%_lg,STUFF+_AA,STUFF+_AA_pct,xwOBACON_AA,xwOBACON_AA_pct,SwStr%_AA,SwStr%_AA_pct,Strike%_AA,Strike%_AA_pct,Ball%_AA,Ball%_AA_pct,PitchGrade,QualifiedPitch
0,A.J. Minter,621345,L,CH,18,86.15555555555555,2.721111111111111,5.503333333333334,6.4,-17.633333333333333,6.133333333333334,18,0.097,0.167,0.222,0.722,0.255,94.104,97.37529038112524,0.36030923694779116,0.12857168784029038,0.357562613430127,0.4536442831215971,-3.2712903811252403,-0.03359466624768424,0.10530923694779115,0.29227459678767675,0.03842831215970963,0.29888626963849646,-0.13556261343012702,-0.3791297197703751,-0.2683557168784029,-0.591555381304059,86.6,0
1,A.J. Minter,621345,L,FC,88,89.42840909090908,2.434659090909091,5.6670454545454545,6.381818181818182,4.804090909090909,5.506363636363637,88,0.476,0.17,0.455,0.386,0.248,102.637,98.77336079545454,0.3993963963963964,0.10486363636363637,0.4504119318181818,0.36716193181818185,3.863639204545464,0.03911620677306411,0.1513963963963964,0.3790630004736878,0.06513636363636365,0.6211530125704379,0.004588068181818228,0.010186382415087302,-0.018838068181818157,-0.0513072477000332,119.5,0
2,A.J. Minter,621345,L,FF,79,94.46962025316456,2.484810126582279,5.6472151898734175,6.413924050632911,-5.939240506329114,18.326582278481013,79,0.427,0.089,0.519,0.354,0.6,108.351,97.65948614609572,0.4265792922673657,0.09500755667506298,0.4634105793450881,0.36534634760705287,10.691513853904283,0.10947747398455582,-0.1734207077326343,-0.40653803613125217,-0.006007556675062989,-0.06323240892942378,0.0555894206549119,0.11995716786067612,0.011346347607052887,0.031056414499198486,96.0,0
3,A.J. Puk,640462,L,FF,97,96.44948453608248,3.336701030927835,5.551134020618557,7.173195876288659,-11.250309278350516,14.868865979381443,97,0.622,0.186,0.639,0.247,0.442,107.63,97.65948614609572,0.4265792922673657,0.09500755667506298,0.4634105793450881,0.36534634760705287,9.97051385390428,0.10209467863663223,-0.01542070773263432,-0.03614968661668915,0.09099244332493701,0.9577390105519908,0.1755894206549119,0.37890680204811567,0.11834634760705287,0.32392919316751984,138.7,0
4,A.J. Puk,640462,L,SL,56,85.48928571428571,3.2925,5.555178571428571,7.130357142857143,4.425,-1.7485714285714287,56,0.359,0.161,0.429,0.411,0.304,99.729,99.07088235294118,0.3811496478873239,0.13827226890756303,0.43779999999999997,0.3867966386554622,0.6581176470588161,0.00664289679700504,0.07714964788732392,0.20241301104423695,0.022727731092436976,0.16436940879035394,-0.008799999999999975,-0.02010050251256276,-0.024203361344537766,-0.06257386679644036,105.4,0
5,AJ Blubaugh,805123,R,CH,98,86.39489795918368,-2.4411224489795917,5.947244897959184,6.525510204081633,17.369387755102043,7.160816326530612,98,0.193,0.163,0.388,0.418,0.164,99.526,97.37529038112524,0.36030923694779116,0.12857168784029038,0.357562613430127,0.4536442831215971,2.1507096188747568,0.02208681083729677,0.19630923694779115,0.5448354269536431,0.03442831215970962,0.26777522126392167,0.030437386569872993,0.08512463391483995,0.03564428312159712,0.07857320029765005,120.9,0
6,AJ Blubaugh,805123,R,CU,17,78.25294117647059,-1.5847058823529412,6.12,6.529411764705882,-9.988235294117647,-13.136470588235294,17,0.034,0.059,0.471,0.529,,94.283,96.90630048076923,0.3883174603174603,0.11207211538461538,0.4016730769230769,0.43809855769230766,-2.623300480769231,-0.027070484248749308,,,-0.053072115384615384,-0.47355325811848487,0.06932692307692306,0.17259539426437495,-0.09090144230769237,-0.2074908504299065,,0
7,AJ Blubaugh,805123,R,FF,278,94.61762589928058,-2.3635251798561154,5.969280575539568,6.692446043165468,11.734532374100718,17.817410071942444,278,0.548,0.133,0.511,0.353,0.43,102.841,97.65948614609572,0.4265792922673657,0.09500755667506298,0.4634105793450881,0.36534634760705287,5.181513853904278,0.053056943655764126,-0.0034207077326343094,-0.008018925894064083,0.03799244332493702,0.3998886473301871,0.047589420654911896,0.1026938589148468,0.012346347607052888,0.03379354327179962,112.4,1
8,AJ Blubaugh,805123,R,ST,108,81.78518518518518,-2.4541666666666666,5.842685185185185,6.631481481481482,-15.321111111111112,1.2322222222222223,108,0.213,0.176,0.454,0.37,0.352,100.089,99.45568674698795,0.3672549019607843,0.14117469879518071,0.43291265060240963,0.4065240963855422,0.633313253012048,0.0063677932728288976,0.015254901960784328,0.041537640149492835,0.034825301204819276,0.24668231278002986,0.021087349397590383,0.048710402360029825,0.036524096385542215,0.08984484981402734,109.3,0
9,AJ Smith-Shawver,700363,R,CU,108,77.30555555555556,-2.079074074074074,5.78287037037037,6.78425925925926,-8.753333333333334,-11.008888888888889,108,0.152,0.102,0.444,0.444,0.354,95.131,96.90630048076923,0.3883174603174603,0.11207211538461538,0.4016730769230769,0.43809855769230766,-1.775300480769232,-0.018319763234811912,0.0343174603174603,0.08837475474166119,-0.010072115384615388,-0.08987173437432974,0.042326923076923095,0.10537655000718155,-0.0059014423076923506,-0.013470581457237176,103.3,0
