,player_name,pitcher,fDurability,fERA,fControl,fStuff
106,Aidan Maldonado,682251.0,65.0,97.0,103.0,101.0
107,Aiden Butler,804210.0,66.0,86.0,111.0,75.0
108,Aiden May,801995.0,,100.0,94.0,94.0
109,Al Pesto,663875.0,,,92.0,100.0
110,Alain Pena,703900.0,76.0,83.0,88.0,81.0
111,Alan Busenitz,641427.0,81.0,94.0,107.0,91.0
112,Alan Carter,802949.0,,111.0,104.0,109.0
113,Alan Mundo,678426.0,,87.0,81.0,88.0
114,Alan Perdomo,679595.0,99.0,87.0,97.0,83.0
115,Alan Rangel,660604.0,111.0,96.0,113.0,103.0
116,Alan Reyes,814085.0,,90.0,109.0,101.0
117,Alan Strong,681841.0,,,88.0,
118,Alaska Abney,685095.0,82.0,103.0,110.0,93.0
119,Albert Abreu,656061.0,70.0,86.0,91.0,91.0
120,Albert Feliz,682765.0,,,50.0,89.0
121,Albert Polanco,90.0,,88.0,,
122,Albert Ramos,90.0,,91.0,,
123,Albert Rivas,691309.0,87.0,94.0,104.0,87.0
124,Albert Suarez,544150.0,68.0,99.0,111.0,89.0
125,Alberto Baldonado,593604.0,,103.0,100.0,100.0
126,Alberto Guerrero,660674.0,,,104.0,
127,Alberto Mota,699215.0,64.0,115.0,91.0,112.0
128,Alberto Pacheco,691436.0,101.0,88.0,97.0,82.0
129,Aldrin Batista,702881.0,65.0,103.0,109.0,97.0
130,Aldry Acosta,672755.0,,96.0,100.0,75.0
131,Alec Baker,696508.0,99.0,85.0,100.0,85.0
132,Alec Barger,681897.0,95.0,96.0,100.0,94.0
133,Alec Bettinger,676424.0,,,96.0,
134,Alec Gamboa,687941.0,74.0,104.0,98.0,91.0
135,Alec Kisena,663988.0,,,101.0,
136,Alec Marsh,679525.0,81.0,98.0,103.0,110.0
137,Alec Mills,621219.0,,84.0,90.0,76.0
138,Alec Willis,701650.0,,,,99.0
139,Alejandro Chiquillo,90.0,,94.0,,
140,Alejandro Gomez,702901.0,,,101.0,91.0
141,Alejandro Hidalgo,691576.0,96.0,92.0,98.0,103.0
142,Alejandro Lugo,684126.0,61.0,92.0,103.0,86.0
143,Alejandro Manzano,703835.0,94.0,94.0,109.0,91.0
144,Alejandro Mateo,670376.0,,92.0,103.0,97.0
145,Alejandro Melean,678287.0,58.0,89.0,94.0,91.0
146,Alejandro Mendez,691759.0,74.0,100.0,74.0,96.0
147,Alejandro Requena,650518.0,,,84.0,
148,Alejandro Rivera,90.0,,88.0,,
149,Alejandro Rosario,691730.0,58.0,119.0,130.0,124.0
150,Alejandro Torres,687776.0,78.0,100.0,93.0,95.0
151,Alek Jacob,689690.0,119.0,104.0,107.0,100.0
152,Alek Manoah,666201.0,71.0,98.0,100.0,93.0
153,Alemao Hernandez,672598.0,,87.0,113.0,80.0
154,Alessandro Ercolani,700344.0,98.0,89.0,103.0,86.0
155,Alex Amalfi,806334.0,105.0,103.0,98.0,104.0
156,Alex Ayala Jr.,694809.0,,91.0,95.0,86.0
157,Alex Blandino,607468.0,,,100.0,86.0
158,Alex Bouchard,827635.0,,92.0,72.0,92.0
