,PLAYERID,NAME,HAND,TEAM,OPP_TM,SALARY,POS,LP,OL,OD,IPL,ERROR,2H,PITCHER,CATCHER,UMPIRE,PARK,ROOF,GVF,PLATOON,HFA,PH%,COLD,TILT_BIAS,FPTS,FPTS/$,RBI,R,SB,CS,SH,SF,GIDP,HR_DEPENDENCE,0%_PH%_FPTS,SLATE,FLOOR,CEILING,POWN,PA,PAVSSP,PAVSSP%,BA,_OBP,SLG,ISO,WOBA,CNWOBA,XWOBA_CS,XWOBA_LS,AB,K,BB,IBB,HBP,H,1B,2B,3B,HR,TB,PARTNERID,OWNERSHIP
12,18884.0,Kyle Schwarber,L,PHI,MIA,6300,OF,2,false,false,true,-,-,Valente Bellozo,Agustin Ramirez (N),-,MIA,Closed,-,true,false,0%,false,54%,10.0,1.59,0.76,0.87,0.05,0.02,0.0,0.002,0.05,41%,10.04,Main,1.18,21.36,9.55,4.57,2.28,50%,0.232,0.368,0.497,0.265,0.37,0.371,0.375,0.355,3.76,1.13,0.77,0.07,0.04,0.87,0.42,0.17,0.01,0.27,1.87,18884.0,
13,1054004.0,Will Smith,R,LAD,BAL,1,--,3,false,false,false,-,-,Dean Kremer,Samuel Basallo (-),-,BAL,-,-,false,false,4%,false,58%,9.93,9930.0,0.8,0.76,0.01,0.01,0.0,0.001,0.06,38%,10.11,Main,1.08,21.1,0.01,4.55,2.69,59%,0.284,0.375,0.528,0.244,0.387,0.361,0.374,0.333,3.97,0.77,0.51,0.02,0.07,1.13,0.67,0.2,0.02,0.24,2.09,1054004.0,
14,478243.0,Ryan O'Hearn,L,SDP,COL,1,--,4,false,false,false,-,-,Kyle Freeland,Hunter Goodman (N),-,COL,-,-,false,false,0%,false,64%,9.85,9850.0,0.79,0.73,0.04,0.0,0.01,0.001,0.1,20%,9.87,Main,1.35,21.4,0.01,4.64,2.62,56%,0.319,0.387,0.499,0.18,0.382,0.341,0.35,0.347,4.16,0.71,0.42,0.03,0.05,1.32,0.87,0.28,0.05,0.13,2.08,478243.0,
15,17884.0,Teoscar Hernandez,R,LAD,BAL,4200,OF,4,false,false,true,-,-,Dean Kremer,Samuel Basallo (-),-,BAL,-,-,false,false,2%,true,66%,9.8,2.33,0.82,0.73,0.04,0.02,0.0,0.001,0.09,40%,9.9,Main,1.07,20.99,12.09,4.48,2.62,58%,0.286,0.339,0.527,0.241,0.37,0.339,0.309,0.354,4.15,1.06,0.3,0.01,0.04,1.19,0.71,0.22,0.01,0.25,2.19,17884.0,
16,10345.0,Freddie Freeman,L,LAD,BAL,5000,1B,3,false,false,true,-,-,Dean Kremer,Samuel Basallo (-),-,BAL,-,-,true,false,0%,false,65%,9.73,1.95,0.74,0.71,0.03,0.03,0.0,0.001,0.08,33%,9.75,Main,1.06,20.88,15.24,4.62,2.69,58%,0.293,0.374,0.51,0.217,0.378,0.359,0.34,0.376,4.09,0.79,0.49,0.05,0.04,1.2,0.73,0.24,0.02,0.2,2.08,10345.0,
17,11380.0,Mike Trout,R,LAA,ATH,4000,OF,3,false,false,true,-,-,Mason Barnett,Shea Langeliers (-),-,LAA,-,-,false,true,0%,true,69%,9.72,2.43,0.75,0.75,0.04,0.01,0.0,0.002,0.04,40%,9.74,Main,0.94,21.13,10.76,4.29,2.46,57%,0.265,0.39,0.54,0.275,0.396,0.361,0.349,0.405,3.56,1.13,0.66,0.05,0.06,0.94,0.49,0.19,0.02,0.25,1.92,11380.0,
18,16368.0,Jose Ramirez,B,CLE,TBR,5500,3B,3,false,false,true,-,-,Ian Seymour,Hunter Feduccia (N),Jansen Visconti (H),TAM01,-,-,false,false,0%,true,58%,9.7,1.76,0.65,0.62,0.21,0.09,0.0,0.001,0.08,34%,9.75,Main,0.61,21.84,4.09,4.37,2.75,63%,0.274,0.341,0.502,0.228,0.356,0.349,0.34,0.337,3.96,0.53,0.38,0.09,0.03,1.08,0.63,0.22,0.03,0.21,1.99,16368.0,
19,13392.0,Bryce Harper,L,PHI,MIA,5600,1B,3,false,false,true,-,-,Valente Bellozo,Agustin Ramirez (N),-,MIA,Closed,-,true,false,1%,false,62%,9.63,1.72,0.71,0.7,0.1,0.03,0.0,0.001,0.07,29%,9.74,Main,0.94,21.1,14.98,4.49,2.2,49%,0.274,0.381,0.489,0.215,0.37,0.37,0.374,0.365,3.82,0.83,0.63,0.11,0.03,1.05,0.62,0.22,0.03,0.18,1.87,13392.0,
20,967469.0,Vladimir Guerrero Jr.,R,TOR,NYY,4800,1B,3,false,false,true,-,-,Cameron Schlittler,Austin Wells (+),-,NYY,-,-,false,false,1%,false,61%,9.6,2.0,0.74,0.7,0.04,0.02,0.0,0.001,0.1,35%,9.66,Main,1.0,20.63,9.87,4.46,2.6,58%,0.299,0.378,0.522,0.223,0.386,0.393,0.406,0.422,3.95,0.67,0.45,0.04,0.05,1.18,0.74,0.21,0.01,0.22,2.07,967469.0,
21,262363.0,Ronald Acuna Jr.,R,ATL,SEA,5500,OF,3,false,false,true,-,-,Logan Gilbert,Cal Raleigh (++),-,ATL,-,-,false,true,1%,true,63%,9.6,1.75,0.68,0.65,0.18,0.07,0.0,0.001,0.08,34%,9.64,Main,0.62,21.16,2.44,4.17,2.6,62%,0.28,0.364,0.515,0.235,0.377,0.392,0.368,0.342,3.68,1.04,0.43,0.03,0.05,1.03,0.61,0.2,0.01,0.21,1.89,262363.0,
22,21824.0,Trea Turner,R,PHI,MIA,6000,SS,1,false,false,true,-,-,Valente Bellozo,Agustin Ramirez (N),-,MIA,Closed,-,false,false,0%,false,61%,9.43,1.57,0.51,0.7,0.23,0.04,0.0,0.001,0.09,20%,9.43,Main,1.03,21.22,9.27,4.69,2.36,50%,0.278,0.33,0.441,0.163,0.335,0.345,0.34,0.329,4.34,0.76,0.3,0.0,0.04,1.21,0.79,0.26,0.03,0.13,1.91,21824.0,
23,2038870.0,Bobby Witt Jr.,R,KCR,MIN,5700,SS,2,false,false,true,-,-,Pablo Lopez,Ryan Jeffers (N),-,KCR,-,-,false,true,0%,false,57%,9.38,1.65,0.58,0.65,0.23,0.05,0.0,0.001,0.07,25%,9.38,Main,0.71,21.39,5.84,4.29,2.99,70%,0.276,0.332,0.478,0.202,0.347,0.378,0.381,0.422,3.95,0.88,0.29,0.02,0.04,1.09,0.66,0.22,0.05,0.16,1.89,2038870.0,
24,15181.0,Christian Yelich,L,MIL,PIT,4900,OF,3,false,false,true,-,-,Johan Oviedo,Joey Bart (N),-,PIT,-,-,true,false,0%,false,58%,9.37,1.91,0.67,0.66,0.15,0.04,0.01,0.001,0.1,19%,9.37,--,1.14,20.79,22.75,4.56,2.58,57%,0.275,0.392,0.434,0.159,0.362,0.344,0.333,0.384,3.81,1.01,0.7,0.05,0.04,1.05,0.7,0.21,0.02,0.12,1.65,15181.0,
25,4061458.0,Brice Turang,L,MIL,PIT,4700,2B,1,false,false,true,-,-,Johan Oviedo,Joey Bart (N),-,PIT,-,-,true,false,0%,false,47%,9.37,1.99,0.47,0.7,0.26,0.06,0.03,0.001,0.1,12%,9.37,--,1.14,20.86,40.16,4.74,2.77,58%,0.275,0.36,0.401,0.126,0.337,0.315,0.343,0.312,4.14,0.89,0.55,0.02,0.02,1.14,0.81,0.22,0.04,0.08,1.66,4061458.0,
26,15035.0,George Springer,R,TOR,NYY,5000,OF,1,false,false,true,-,-,Cameron Schlittler,Austin Wells (+),-,NYY,-,-,false,false,0%,false,49%,9.36,1.87,0.56,0.75,0.1,0.03,0.0,0.001,0.1,33%,9.36,Main,0.92,20.69,8.73,4.67,2.8,60%,0.266,0.343,0.469,0.203,0.351,0.361,0.398,0.353,4.17,0.92,0.44,0.01,0.06,1.11,0.69,0.19,0.02,0.21,1.96,15035.0,
