,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,CH_grade,CU_grade,Command_grade,FA_grade,FA2 (92-94 mph)_grade,FA2 (93-97 mph)_grade,FA2/FS (92-96 mph)_grade,FA4 (93-96 mph)_grade,FA4 (94-100 mph) w/ arm side run_grade,FC_grade,FS_grade,KC_grade,Kick CH (84-89 mph)_grade,SI_grade,SL_grade,ST_grade,SW_grade,fscores?
38,105,Ben Hess,SP,Yankees,Mid/Late 2026,Lance Lynn with more heat,"Big 6’5” 255 pound starter the Yankees picked in the first round from Alabama who hits up to 99 mph on the heater (but lives 93-96) and has a traditional well rounded curve, slider change up arsenal and throws from a low release point despite the size. The curve is his best breaker as a traditional 12/6 with a lot of arc, while the slider is a vertical gyro slider (which also gets labeled as a cutter) and the change up has some nice movement and could develop into a plus pitch. He can also sometimes get some sinker action on the fastball for some arm-side run.","Hess has worked through some command issues this season, but since the start of July has shown much improved command each start. The dude is a horse throwing 80+ pitches most times out in an era where those types of pitchers are fewer and fewer. Hess has a 2.64 JA ERA (SIERA) this season and has an above average arsenal playing on a plus fastball and got stronger as the season progressed. Hess finished the second half with a 23.1 K-BB% and 2.53 JA ERA all while being promoted to AA. We don’t have pitch level data on Hess yet which makes it easier to bump Gibson over him, but both of these guys have #2-#3 starter upside and enough proximity that they should both debut in 2026.",128,50/55,50/55,40/45,60/60,,,,,,,,,,,50/55,,,Y
39,107,Dasan Hill,SP,Twins,2027,Max Fried light,"Dasan Hill is a lean lefty who looks like a lefty George Kirby on the mound and throws a 95-97 mph sinker as his primary fastball (even though the four seamer is arguably a better pitch), but the breakers that are elite pitches as the 81-84 mph slider is a two plane sweeper netting a 14.9 SwStr% on the year, the 82-85 mph kick change up is generating a 19.3% SwStr% and the 11-5 curveball is generating a 21.6% SwStr% and should be thrown more.","I saw Dasan Hill’s first professional start in person and posted a ton of video on X and on YouTube from behind the plate. Hill was extremely impressive and I see a lot of good starters in the Florida State League. Watching him reminded me of Shane McClanahan at first, but the movement on the primary fastball is completely different and upon second consideration his profile is more of the Max Fried type. Hill should scrap throwing the sinker so much and throw the four seamer and curve more. His command has been getting worse as the season has gone on and the Twins are babying him, but he did have a very nice final start of the year. I nearly moved Hill up ahead of Hess, but he’s a work horse and with his proximity he’s earned the nod over Hill, though I think Hill has top of the rotation upside; which pushes him above Davalillo despite the insane performances in back-to-back years Davalillo has notched.",120,60/65,50/60,25/45,60/65,,,,,,,,,,40/45,,55/60,,Y
40,108,David Davalillo,SP,Rangers,Late 2026,Bryan Bello / Reese Olson mash,"Davalillo led the minors in ERA last season and is pacing to be a competitor again this season. He’s a shorter 6’1” righty of slight build that throws two fastballs (with the 2-seamer as a better pitch than the 4-seamer), but has some killer breaking pitches between a sharp vertical gryo slider / cutter, a beast of a split changeup and a big vertical breaking curve (a slow curve and a sweeper with similar depth, but quicker break) and generates a ton of ground balls along with the Ks. He’s a groundball machine with a 49.6% GB rate on the year and while his stuff is not elite, he’s a pitcher’s pitcher and is tough to square up.","Davalillo is smoking guys at the lower levels with his movement, but without the killer fastball or dominant foundational pitch, I do have some concerns about how his stuff might play or how his strikeouts might downtick against higher levels of competition - though he does have a nice kitchen sink approach and is already proven to be a pitcher, not a thrower. I wouldn’t say he has any particular elite pitch, but he’s a smart pitcher that knows how to use what he has to be effective and led the minors with a 1.88 ERA in 2024 then again had a fantastic 2.44 ERA in 2025, while keeping his walk rate under 7%. Gibson and Hess have more of a starters build and better stuff on their individual pitches than Davalillo and get the edge despite excellent command grades.",144,,50/55,60/65,45/50[50/50on2seam],,,,,,,50/60,,,,55/55,50/55,,Y
41,117,Mick Abel,SP,Phillies,Debuted,A young Max Scherzer with significantly worse control.,"Abel is an athletic righty throwing from a low ¾ arm-slot and needs to work on his control if he wants to meet maximum potential, but the stuff is there. The command has been much better this year, which is why he’s back in my top prospects list. His slider is his go-to breaker, though it’s less effective than the curve and change up as he has trouble landing his breakers in the zone consistently for strikes. He struggles as he moves up levels and has some potential pitch tipping issues while up in the majors with the Phillies in 2025. Abel has a new sweeper that was pretty effective in the majors that might bump him from profiling as a #4 starter to a very good #3 starter.","Abel had a great debut out-dueling Paul Skenes, we could have a case here of Abel’s control improving in the majors vs. AAA due to not having to deal with the ABS, which has been messing with pitchers at the AAA level for a couple years now as I have noted at length. He still has a lot of work to do in the command department, but he has proximity in his favor and he has enough pitches in his back pocket, including an element of deception in his delivery to allow the stuff to play up better than expected. Abel is a nice buy low candidate in my mind and should break camp in the majors which gives him a boost against some of the more exciting low A guys on the back end of the top 150 list.",117,30/40,50/55,40/45,55/60,,,,,,,,,,45/50,50/50,40/60,,Y
42,118,Connor Prielipp,SP,Twins,Early 2026,Shades of Johan Santana,"Prielipp is a big lefty with deception in the delivery at a ¾ arm slot. He was a second rounder in 2022 even coming off an injury and might have been the top pick if he hadn’t been hurt. He hovers around 95-96 MPH on the fastball and has an incredibly sick classic 2-plane slider that nets over 3,000 RPM and has topped out at 90 mph with a developing, leaning plus change up (16.7% SwStr% at AAA). The change up command is not good, but he has elite command of the other pitches in the arsenal. Prielipp has a new sinker that is at least average and could possibly develop into plus, but we only have 7 pitches of data for it thus far, he should throw it more because the results to date are very good.","Prielipp had Tommy John back in 2021 while in college and then had to get Internal Brace surgery in 2023 (possibly a failed Tommy John) so there is some massive injury risk here, but he’s a high level arm and is worth buying when he’s healthy. He has had some ridiculously bad luck with a .394 BABIP against this year, against a 2.57 JA ERA (SIERA) this year. He’s finally been building up the pitch count with an 81 pitch max by the end of the season. I had expected all this stuff to click earlier in the year, but he has #2 SP stuff when things all start to click together and he should debut in 2026. Prielipp is at least a year ahead of Hagaman in proximity and in development and gets the edge with better stuff, despite worse command.",126,55/60,,50/55,60/60,,,,,,,,,,45/55,65/70,,,Y
43,119,David Hagaman,SP,Diamondbacks,2027,Nick Pivetta / Jose Soriano mish-mosh,"Hagaman is a big righty with a down-plane approach drafted in the fourth round out of West Virginia in 2024. He was a reliever in college, but is being converted to a starter in the minors this year, hence the lower innings total, not to mention he is coming off internal brace procedure. Hagaman throws from a ¾ arm-slot and gets a ton of ride on the fastball up in the zone and has a nasty 2/8 vertical gyro slider with a ton of break. Hagaman also has a new 85 mph curveball that he developed since coming to the Diamondbacks with -10 VB (it really behaves more like a dopping sweeper). Hagaman has vastly improved command since returning from the procedure and finished the season with a strong 34.4 K-BB% and 1.21 JA ERA in his final four starts of the season.","Hagaman first came onto my radar post trade to the Diamondbacks when Chris Welsh mentioned he liked him better than Mitch Bratt - so I dug in and now that I did, I agree completely. He rocked a 2.42 JA ERA (SIERA) and has been getting deeper and deeper into starts with three fantastic starts in a row as of this writing. He needs to work to higher pitch counts to get bumped higher in my rankings (maxed out at 65 pitch count), but be on alert, the arsenal is good with potential to be great, but Abel gets the edge due to his proximity and his track record of durability.",134,40/45,,45/60,60/65,,,,,,,,,,,60/65,50/55,,Y
44,124,Didier Fuentes,SP,Braves,2028,Freddy Peralta / Jose Soriano mash,"The Braves obviously called Fuentes up way too early (ala AJ Smith-Shawver) as they continue to be the Angels of the East, but thankfully it didn’t negatively affect him too much in his return to the minors. He has a lower, ¾ arm-slot that provides for a lot of ride on the fastball, which is his best pitch. There is some relief risk with Fuentes since he’s a primary two pitch guy as he needs to develop at least one more pitch that can go east/west, maybe a sinker - he’s still very young so there is a lot of time to develop without rushing him to the majors again. The curve has two-plane break and nice depth, but needs work on spotting locations.","Fuentes was placed on the IL in early August with shoulder soreness, but he is expected to be at full health in 2026. I’m sure rushing him between all levels of the entire organization was not great for his health last season. Fuentes has a 2.53 JA ERA (SIERA) on the season and a 2.40 through his entire minor league track record, which is insane for a dude who literally made a major league start this year at 19-years-old. He needs to develop a third pitch which pushes him ahead of an older guy behind levels developmentally like Hagaman, but what he’s achieved for his age is exciting.",125,,40/45,45/60,60/70,,,,,,,30/40,,,,,50/60,,Y
45,128,Johnny King,SP,Blue Jays,2028,Shades of Carlos Rodon,"King is an athletically built lefty with a plus high rising fastball from the left side and a plus sinker with some good run to it and he dots it into the zone nicely for strikes. Those two pitches are a fun combo that keep hitters off balance, because they tunnel so well together. The slider isn’t high velo, but it does have a lot of sweeping movement to it across the zone, while the curve almost looks like a slow traditional slider with two-plane break at almost 10 to 4 o’clock with a 18.3 SwStr% at A ball. King has a 2.77 JA ERA (SIERA) on the year.","King is another guy I’ve seen live this year, catching the first low A start of his career. The change up is an underrated pitch with a lot of room to run and at only 19-years-old you know he will be adding velocity as he develops, but he needs to throw it for strikes. He’s polished on the mound, but the breakers need more consistency as the velocity dropped the last few starts of the season as did the strike rate, thus we must assume he needs to build up some durability throughout the year, having only reached 61 ⅔ innings at two levels in 2025. King has a much better arsenal, but Didier Fuentes is only one year older than him and made it to the majors - so this rankings between these two pitchers is all about proximity.",121,35/50,50/55,35/50,55/65,,,,,,,,,,55/60,45/50,,,Y
46,130,Patrick Forbes,SP,Diamondbacks,Mid 2027,Luis Castillo,"Forbes started his college career as shortstop and transitioned over to full-time pitching in 2024 as a reliever, with 2025 being his first season as a starter. He has nasty stuff topping out at 100 mph from a funky, almost side-arm, quick action arm-slot from an athletically built frame. The fastball / slider combo is nasty as the sweeper is a vertically breaking 12/6 sweeper and the fastball, which sits around 94-96 mph, has a decent amount of ride. The change up is also a nice pitch that gets lefties quite often, while the sinker has a good amount of arm-side movement, but lacks command.","Forbes is a bit underrated, because if you look at only the back of the baseball card stats, you might miss out on the upside. The stuff potential is fantastic and it’s easy to forget that Luis Castillo also had some command concerns when he was a prospect and first came up to the majors, but I’ve been around long enough to remember. King has the edge to Forbes with better command and having made his pro debut, but Forbes also has slightly better stuff and could get more strikeouts ultimately.",N/A,45/55,,35/45,60/65,,,,,,35/45,40/55,,,,,55/60,,N
47,131,T.J. Nichols,SP,Rays,Mid/Late 2026,Shades of Logan Gilbert w/ worse stuff,"Nichols was good last year, but has been a completely different pitcher stuff wise in 2025 and is a name everyone should be watching as a former 6th rounder out of Arizona in 2023. He’s a big 6’ 5”, lean righty with a mid 90s fastball and great extension. The command is borderline elite with a really nasty 2-plane 85-88 mph slider. He has top notch command with and has only issued more than 2 walks in a game twice all season and the change up is an oft used, but developing pitch with splitter like tendencies.","Nichols has been throwing 80-100 pitches every time out since the end of May and is built up for a 2026 promotion as he’s pitched to a 2.76 JA ERA (SIERA) on the year. I bumped Nichols ahead of Wenninger even though Wenninger has one elite pitch, because Nichols has a bit better command and has more like a solid #3 upside and is coming off a killer second half where he netted a 25.4 K-BB% and 2.26 JA ERA.",137,40/50,,60/65,55/60,,,,,,,,,,,55/60,,,Y
48,132,Elmer Rodriguez-Cruz,SP,Yankees,Late 2026,Skinny Logan Webb,"Rodriguez-Cruz is a lanky righty who has pushed his way up my list each of the last two updates with big velo gains after moving from the Red Sox to the Yankees. He’s a lot of legs coming at you from a ¾ arm-slot, which may cause some deception. He has five pitches that all play off each other without a traditional fastball, which is strange. The sinker has some ridiculous movement, but I think it would ultimately play better with a four seamer that has some ride to play off of it, rather than just the change up which has the same break as the sinker, except slower. The cutter and curve play off each other as the cutter has a nice 12/6 movement profile, just like the curve - which is kind of vanilla. He also has a gyro slider, which is sometimes now melded with a cutter that has a tight 2-plane break to it and is interesting because most gyro sliders are just a cutter at this point. It has some nice movement, but he can leave it hanging sometimes.","ERC has some interesting stuff, but the lack of a setup - traditional four seamer - is a bit concerning to me. He has posted 2.89 JA ERA (SIERA) on the season and continually improved as the year went on. ERC had a 24.4 K-BB% in the second half and a 2.36 SIERA as he dropped his walk rate from nearly 10% to around 8%. I bumped ERC ahead of Wenninger, like Nichols, when doing the write-ups as his command improved in the back half of the year and we should get some pitch level data next year at AAA to help further evaluate some of the proximity mid-rotation types in this tier.",149,50/55,40/45,45/50,,,,,,,45/50,,,,60/65,45/55,,,Y
49,133,Jack Wenninger,SP,Mets,Mid/Late 2026,Roy Halladay mechanics and build meets Emmet Sheehan light w/ a nasty splitter,"The Wenninger splitter is a monster, this guy is quickly becoming one of my favorite starters in the minors and is on the fast track as a big 6’ 4” dude with wide shoulders and long legs - the classic early 2000s workhorse ace frame. His dominant splitter is complimented by a mid 90s fastball with a hard slider that also gets a lot of swinging strikes. The arsenal is further complimented by a vertical gyro slider that he throws as a spike pitch with nice depth and a progressively better curve that acts as his off-tempo pitch.","Wenninger has a great frame and has an aura of being an old school professional pitcher about him. Wenninger rocked a 3.08 JA ERA (SIERA), but had a rougher second half with only a 11.1 K-BB% and 4.06 SIERA. Wenninger is polished and has a work-horse build. Wenninger has the durability you want to see in a solid mid-rotation piece - I think he’s a lock for a good #3 - #4 starter, but dropped in my rankings with the bad second half because he is a bit too reliant on the elite splitter for success.",107,,40/45,50/55,55/55,,,,,,,65/70,,,45/50,45/20,,,Y
50,134,Kash Mayfield,SP,Padres,Late 2027,Christopher Sanchez with an arm-side fastball,"Mayfield had an excellent season as the big lefty demonstrated improved command from the middle of the season on, including rising pitch counts and a ridiculous 2.37 JA ERA on the year. He’s a big dude throwing from a tricky lower ¾ arm-slot that causes the fastball to have a good amount of natural arm-side run that trips up righties against the 2-plane slider (which is a bit slurvy and I would almost label a sweeper if it had more velocity), while the change up helps him freeze up the lefties as it has a decent amount of vertical drop to it and has some air bender qualities. Mayfield would benefit if he could develop a better bridge pitch on the fastball like a gyro slider.","Mayfield doesn’t have the proximity of the group of guys ranked just ahead of him which pushes him down a bit, while he may have more upside on the pitching stuff alone. He does need to develop at least one more pitch and it will be interesting to see how he adapts to higher pitch counts next season.",N/A,55/70,,40/45,45/55,,,,,,,,,,,50/55,,,Y
51,135,Gage Stanifer,SP,Blue Jays,Mid 2027,,"Stanifer is a pop-up prospect as a later developing 19th rounder who broke out big time in 2025 with a 23.7 K-BB rate and 2.47 JA ERA on the year. Stanifer might have the best sinker in the minor leagues, as it developed from the arsenal grid you see above to a pitch with 17-20” of IVB and another 8” of horizontal movement netting a 17.3 swinging strike rate for the data we have in 2025. The slider is a “death ball” that generated a 91.7% groundball rate in the data sample we have in 2025 and a 17.4% swinging strike rate - the pitch is completely ridiculous. Stanifer has terrible command of his changeup though and is more or less a two pitch guy. He needs to develop at least one additional pitch, ideally two if he can either improve the change-up and then add a sweeper - he could be a monster.","Stanifer has some elite stuff, but also has major reliever risk being a two pitch guy right now with poor command outside of his two primary pitches. He’s incredibly dirty, but he really needs to develop 1-2 pitches to reach his full potential and ideally decrease the walk rate, which will naturally happen with a couple decent other looks he can provide. Stanifer is a fun player to watch.",N/A,20/40,,30/45,,,,,,,,,,,60/70,65/70,,,Y
52,136,Kendry Chourio,SP,Royals,2028,Smaller Jose Fernandez,"Chourio is a 6’0 righty with some ridiculous velocity for his age, there’s some wonderful video of him in A ball with yellow smoke that looks like a Vietnam / Agent Orange situation. He has some decent ride on the fastball, but nothing great and a very nice 2-plane breaking curve against a circle change that he throws inside to righties and down and away to lefties. His biggest asset right now is his ability to locate the fastball, while he has some trouble with control on the curve, the movement is great on it. Chourio only walked 5 batters in 51 ⅓ innings this year, which is completely ridiculous for a 17-year-old.","Chourio has a long way to develop, but the velocity and ability to command his pitches at this age is excellent. Watching him, he reminds me of Jose Fernandez and has the same arsenal to match. He’s finished the year with a 2.85 JA ERA (SIERA) at A ball as a 17-year-old, which is insane. The command is elite, but the stuff must develop for him to have top of the rotation potential - otherwise he’s just a super mature #3 type starter.",135,40/50,55/60,60/70,55/60,,,,,,,,,,,,,,Y
53,139,George Klassen,SP,Angels,Mid 2026,Jacob DeGrom stuff without the change up & sub-par command,"Klassen was a major pop-up prospect as a 2023 6th rounder who has increased velo after college and then was traded from the Phillies to the Angels in 2024. He was impressive to see live in 2024 with ridiculous stuff, but had obvious command issues. Command improved this year on each of his pitches and he was able to reduce his walk rate from 12% to 9.7% which is definitely viable for him to transition into a major league starter. Klassen has an average build for a starter and throws from a higher ¾ arm-slot. The fastball didn’t play as well in the one AAA start he made in 2025, but he gets both a significant amount of ride and run on the fastballs as they seem to get merged in the pitching models. The four-seamer had closer to 17” of IVB in 2024, but is more like 15-16” in 2025. What gets classified as a curve is more like a sweeper at high 80s velocity and then his cutter and slider are one pitch - a gyro slider.","The stuff is ridiculously good and in the worst case scenario he could be a killer high leverage reliever, because that fastball will always play in both shapes and the power curve / sweeper is absolutely nasty.",141,30/40,,35/45,60/60,,60/65,,,,,,,,,45/55,65/70,,Y
