,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,CH_grade,CU_grade,Command_grade,FA_grade,FA2 (92-94 mph)_grade,FA2 (93-97 mph)_grade,FA2/FS (92-96 mph)_grade,FA4 (93-96 mph)_grade,FA4 (94-100 mph) w/ arm side run_grade,FC_grade,FS_grade,KC_grade,Kick CH (84-89 mph)_grade,SI_grade,SL_grade,ST_grade,SW_grade,fscores?
28,87,Rhett Lowder,SP,Reds,Debuted,Logan Webb,"Lowder has three above average pitches with the 2-seamer being his best fastball and is known for his pin-point control coming from a quick 3/4 whip-it style arm-slot. He’s a smart pitcher and knows how to mix well, but the question is how much Great American Ballpark will hurt him. He’s been hurt the majority of the year and is slated to get some innings in the Arizona Fall League for a hopefully healthy 2026 season. The change up could be an elite pitch as it has some dive like a sinker.","Lowder has missed the entire season more or less in 2025 and only pitched 9 innings in the Arizona Fall League (though he did have 8 strikeouts and only one walk). He doesn’t really have an elite pitch, which is why I have never been too high on him, but the stuff works well together and he’s a very polished pitcher assuming when he returns to the mound his command is still plus. He should break camp with the team or be up in the rotation early season, but Hagen Smith gets the edge even with the elite command because Lowder likely maxes out as a number 3 starter while Smith has top of rotation upside if he can lock in the command.",77,55/65,,60/65,55/55,55/55,,,50/50,,,,,,,,50/55,,Y
29,88,Michael Forret,SP,Rays,Early 2027,Pablo Lopez / Tanner Bibee mash,"Forret is a nasty kitchen sink, off-tempo athletic righty, rather than a power velocity type. He went to Tread last year and added a couple ticks to his fastball, sitting 94-95 with nice ride on the four seamer, then he throws a sinker with good ride to it to throw hitters off balance. His best secondary is a nasty vertical sweeper, but he also has a gyro slider type spike curve ball / AKA “death ball” that was developed at Tread. He also developed a nasty kick change at Tread (which has more negative vert like a splitter) against his traditional change up. He’s a true pitcher that loves his craft, which is why he’s so good - rather than a thrower pounding velocity.","Forret might be one of the most underrated starters in the minors and a partial explanation is he hasn’t had many ridiculous strikeout games with elite numbers, but is just steadily, consistently good each time out. He also was capped around 75 pitches per game in 2025, which is limiting his innings and inability to pile up strikeouts, but he finished the season with a 2.26 JA ERA and 25.3 K-BB%. The individual pitches may not be elite, but the whole is greater than the sum of the parts with Forret, who will likely start at AA in 2026. Lowder gets the edge between him and Forret only due to proximity.",119,40/50,45/50,50/55,55/60,,,,,,,55/60,,50/60,,,60/60,,Y
30,92,Parker Messick,SP,Guardians,Debuted,Framber Valdez / lefty Sonny Gray light,"Shorter heavy set lefty who is a classic Guardians command guy who is breaking ball heavy and a former second rounder out of FSU. He’s been primarily throwing fastball and changeup this season even though his slider and sinker are both very solid pitches, but the change up has become his primary strikeout pitch with a 23.1 SwStr% on the season at AAA, where he has posted a 3.03 JA ERA (SIERA) on the year before the call up.","He’s a bit of a bull dog on the mound and as a command first guy there should be a pretty smooth transition up level and unsurprisingly his walk rate has increased about 2% thanks to the ABS at AAA, but it should bounce back to the 8% range he’s had throughout his entire career in the majors - though it’s been even better in his first two starts in the majors. Messick has the kind of stuff that performs better than the pitch metrics itself, because guys just have a tough time squaring him up so even though barrel rates against might not be a consistent stat to predict future performance; he is very good at limiting hard contact and containing damage.",104,65/70,40/45,50/55,50/55,,,,,,,,,,45/50,45/50,,,Y
31,93,Gage Wood,SP,Phillies,Mid 2026,Mini Zach Wheeler mechanics meets Ryan Helsley,"Wood was the first round pick for the Phillies this year and has an insane fastball with beautiful IVB from a low release point, plus some arm-side run and great command. He’s a shorter, athletically built starter who would be a beast in the bullpen, but has the arsenal to become a starter with a high velo power curve with nice drop as his primary secondary. Wood also throws a tight gyro slider / death ball, but has gone on the record saying he may replace that pitch in his arsenal with something else; which in his first pro start he had added a sinker and standard slider 2-plane slider","There’s some thought Wood could come up in the pen for the Phillies right away based on his limited work . Wood had an injury shortened season after a shoulder issue and had spent previous seasons in the pen. Wood is likely to develop some additional secondaries or work on the new ones around the fastball and curve this offseason, it will be fun to watch, because those two pitches are ridiculous, if he can get a slider or sweeper with horizontal break and pair that with a good splitter or change up, watch out! Wood this high is a major upside play because the most innings he’s pitched in a season through three years of college is 40 ⅓; but there’s a decent amount of hype around him so if you want him you need to go get him.",131,,65/65,50/65,70/70,,,,,,40/45,,,,40/60,N/A(only3thrown),,,Y
32,95,Brody Hopkins,SP,Rays,Late 2026,Shades of a wild Zach Wheeler,"Hopkins has some really great stuff on an individual pitch level, but has had rough control so far this season. He’s almost a side-armer (Funky slightly under ¾ arm-slot) that is tough to pick up and comes in at 96-98 mph with a crazy 88-90 mph slider. He’s a bit of a slinger and on some of the breaking pitches, his arm angle and wrist change to try to get the spin he wants which leads to inconsistencies in the delivery and lack of tunneling. Hopkins is throwing less than 50% strikes per game - he needs to clean up the command to live up to his potential. The curve ball has good depth on it, but it’s rarely in the zone, while the vertical cutter is just a tighter bridge between his sweeper and fastball. The arsenal overall is dirty, I love the sinker and sweeper and he has very good extension.","Hopkins has some command issues and I previously have noted he reminds me of a righty version of Cooper Hjerpe (in my prospect to prospect comp) and has posted a 3.30 JA ERA (SIERA) on the season. He may run into issues in AAA due to the ABS, because his stuff is more likely to generate swings and misses outside of the zone (ala Quinn Mathews) rather than called strikes landing in the zone. Hopkins did finish the season strong with 39 Ks and 15 BBs in his final 6 starts of the season and 2.88 JA ERA and while he has more pitches and some really great stuff, I give Gage Wood the bump for have a couple of elite pitches and better command despite having no track record of being able to rack up innings. There’s a little risk here in the command, but this could be the Nolan McLean of 2026.",103,40/40,50/55,35/40,60/60,,,,,,45/50,60/65,,,,,60/65,,Y
33,98,Quinn Mathews,SP,Cardinals,Early 2026,Cole Ragans light,"Mathews is a big college lefty with some ridiculous breakers that play way better when he can spin his fastball with mid-90s velo and above average rise to it and the slider is a swing and miss machine paired with that fastball. His command has gone from elite to lost this year and he finished much stronger than how he started the year and it’s hard to tell how much of his command issues were due to injury vs. what was due to him having less velocity (lost about 2 mph on his fastball and sinker and 1” of vertical break) and confidence in the fastball, so he wasn’t throwing it in the zone as much as in 2024.","Mathews had a shoulder injury at the beginning of the season that ruined his command and his velocity has been down since last year, but his command has been significantly better since the beginning of August. I have a feeling most of this has to do with hitters sitting on the high fastball letting ABS do the work for them and forcing him to throw the fastball in the zone or fall behind in the count. Mathews needs to spend the offseason working on re-gaining some vertical break and command on the fastball to allow his very good secondaries to play up. Chaim Bloom has had a lot of success when it comes to developing pitchers, so I will give him the benefit of the doubt of correcting Matthews’ down year to see if we get a bounceback to 2024 form. Hopkins gets the edge for having a more widely successful arsenal and it’s pretty clear Mathews’ success will come and go with the fastball, which he needs to at least be a solid 50 for the slider and change up to play off it.",62,70/70,35/45,35/55,40/55,,,,,,,,,,40/50,60/70,,,Y
34,99,Wei-en Lin,SP,Athletics,2027,Jesus Luzardo mash with Shota Imanaga,"This lefty out of Taiwan has been near invincible in his first pro season with a 2.08 JA ERA (SIERA) and made it to AA as a 19-year-old, rare for an international prospect from the far east. He has a high run fastball at 18” IVB (and plus ride) that darts in against a fairly nasty 87-89 mph sweeper, a slower loopier 2-plane knuckle-curve and a very solid change up. He has a slight build at 6’2” and only about 180 pounds, but has great locations with only a 5.5% walk rate - he puts the ball where he wants it to go.","The Athletics are being cautious with Lin this year, limiting his pitch count to less than 60 pitches from June, hence the lower innings count, but he was promoted up the levels quickly. Lin had some of the best fScores of any pitcher in the minor leagues in 2025 and has a ton of upside. The pitches all tunnel well against each other and with his superior command, with health he could be a surprise late season or early 2027 debut. We’re missing pitch level data for him and I tend to be skeptical of lower minors stats for pitchers until we see it at AA and AAA, especially considering the ABS and how guys fare when they build up innings. Quinn Mathews gets the edge for his proximity, past work loads and for the Chaim Bloom effect - but it’s close.",116,50/60,,55/65,60/65,,,,,,,,45/55,,,,55/65,,Y
35,101,Caden Scarborough,SP,Rangers,Mid 2027,Joe Ryan / Shohei Ohtani pitcher mash,Scarborough was absolutely nasty this season and is a big 6’5” power righty with an arsenal highlighted by a potential plus-plus fastball and slider combo where he has a high ride fastball that tops out at 100 against a diving mid 80’s sweeper that sweeps from 1.5 to 7.5 o’clock break and he runs these with a solid change up that he throws mostly against lefties to get them reaching outside of the zone. He seems to have a couple of variations of his slider/sweeper where the spin changes slightly to go from a 1/7 pitch to a 2/8 pitch.,"As much as I wanted to bump Scarborough up into the Top 100 because of how good he was this year, I found it very difficult to bump him any higher than this just because of the proximity factor with so many of these guys a notch above and because I think his fastball might be a tad hitable once he gets up to higher levels and we start getting pitch level data. He may need another variation of fastball to better bridge the fastball and sweeper once he moves up, but he’s undoubtedly been phenomenal and Wei-en Lin barely gets the edge being a lefty, having a better fastball and making it to AA.",N/A,50/55,40/45,55/65,50/60,,,,,,,,,,,,60/70,,Y
36,103,Trey Gibson,SP,Orioles,Early/Mid 2026,Bigger Drew Rasmussen,"Gibson is a dude, he was one of the most consistent starters in the minors in 2025 until his bump to AAA where his K rate crumbled. He still finished the year with a 2.47 JA ERA and pitches from a very over the top delivery which you don’t see too often, but is becoming more popular between guys like Gibson, Tong and Yesavage. Gibson throws two different fastballs between the four-seamer and the two-seamer (which also sometimes gets labeled as a sinker) and two different sliders (between a sweeper that also gets labeled as a slider, while his gyro slider gets labeled as a cutter).","Gibson is a tunnel master, all of his pitches tunnel together except for the curve ball, but I’m a fan of the fastballs and the two sliders as above average to plus pitches and with better stuff. Gibson profiles as a mid-rotation starter with a kitchen sink approach that results in a groundball guy good at limiting damage. The strikeouts may not be as plentiful in the majors as in the minors, but with command he will still be better than some of their current rotation. Despite proximity, Wei-en Lin has higher end stuff and gets the edge to Gibson.",76,30/40,40/50,45/50,50/55,55/60,,,,,,,,,,,,,Y
37,104,Mitch Bratt,SP,Diamondbacks,Late 2026,Pre-2025 Robby Snelling,"Bratt had one of the most impressive seasons in minor league baseball this year getting even better post-trade from Texas to Arizona all at the AA level. He looks bigger than his 6’ 1” frame with a lanky ¾ trebuchet-like delivery and the fastball has some fantastic movement to it with plus ride from a tough arm angle to pick up for hitters. He focuses on getting ahead in the count early with the fastball and then putting away righties by spotting his slider on the outside corner and puts away lefties with the fastball / changeup combo. The cutter has some nice horizontal run to it and is almost like a sweeper / fastball bridge, rather than having curvy 2 plane break like his slider.","Bratt has been around for a very long time, starting for Team Canada in the World Baseball Classic at age 19 last time around. He has had a 2.59 JA ERA over the last two seasons and a 2.27 JA ERA in 2025 with a ridiculous 25.4 K-BB rate. Interestingly he’s very good friends with Jonah Tong, which means there’s probably a nice level of competition between them. I bumped Bratt ahead of Hess after watching more of his video, while he doesn’t have elite velocity he has some plus movement on the fastball and cutter combination with top of the line command. If he can develop a better third pitch then he is going to be an underrated stunner who could top out as a #2 starter.",152,45/50,40/40,65/70,55/60,,,,,,60/65,,,,,50/55,,,Y
