,player_name,pitcher,fDurability,fERA,fControl,fStuff
2389,Raisel Iglesias,628452,,110.0,,111.0
406,Bryan Baker,641329,150.0,110.0,,113.0
1670,Josh Taylor,657031,,110.0,,
1636,Jose Soriano,667755,115.0,110.0,80.0,97.0
1728,Justin Martinez,679885,65.0,110.0,,120.0
1792,Keynan Middleton,641871,,110.0,,
1666,Josh Sborz,622250,83.0,110.0,,97.0
1816,Kris Bubic,663460,70.0,110.0,102.0,102.0
1083,George Kirby,669923,150.0,110.0,117.0,104.0
365,Brendon Little,663893,150.0,110.0,86.0,115.0
2154,Michael Soroka,647336,,110.0,103.0,97.0
2090,Matt Strahm,621381,150.0,110.0,,103.0
2138,Michael King,650633,133.0,110.0,99.0,98.0
2246,Nick Lodolo,666157,130.0,110.0,118.0,102.0
1515,Joey Cantillo,676282,136.0,109.0,87.0,101.0
2637,Shelby Miller,571946,105.0,109.0,,111.0
2315,Pablo Lopez,641154,129.0,109.0,111.0,100.0
938,Emmanuel Clase,661403,94.0,109.0,,112.0
2462,Robert Suarez,663158,149.0,109.0,,109.0
942,Emmet Sheehan,686218,112.0,109.0,116.0,116.0
935,Emilio Pagan,641941,150.0,109.0,,112.0
357,Braydon Fisher,680755,150.0,109.0,,109.0
2401,Ray Kerr,678061,,109.0,,107.0
410,Bryan King,687911,131.0,109.0,,98.0
913,Edward Cabrera,665795,144.0,109.0,94.0,105.0
266,Bennett Sousa,656986,74.0,109.0,,119.0
2746,Tommy Nance,667297,139.0,109.0,,98.0
9,Aaron Bummer,607481,105.0,109.0,,91.0
1444,Jeff Hoffman,656546,150.0,109.0,128.0,115.0
1380,James McArthur,663704,52.0,108.0,,87.0
1269,Jack Flaherty,656427,145.0,108.0,98.0,103.0
176,Angel Zerpa,672582,150.0,108.0,,88.0
1739,Justin Wrobleski,680736,147.0,108.0,,103.0
1819,Kutter Crawford,676710,58.0,108.0,109.0,92.0
347,Braxton Garrett,666129,47.0,108.0,,95.0
705,Craig Kimbrel,518886,,108.0,,114.0
86,Alex Cobb,502171,78.0,108.0,96.0,
2320,Parker Messick,800048,150.0,108.0,,100.0
2336,Paul Sewald,623149,136.0,108.0,,98.0
2604,Sean Reid-Foley,656887,,108.0,,100.0
786,David Robertson,502085,135.0,108.0,,105.0
2010,Manuel Rodriguez,655889,,108.0,,99.0
1995,Luke Weaver,596133,150.0,108.0,102.0,112.0
853,Drew Pomeranz,519141,112.0,108.0,,102.0
393,Brock Stewart,592779,102.0,108.0,,113.0
2643,Shota Imanaga,684007,142.0,108.0,123.0,95.0
337,Brandon Walter,687888,58.0,108.0,,96.0
1315,Jacob Lopez,682052,90.0,108.0,94.0,100.0
1732,Justin Steele,657006,55.0,108.0,114.0,92.0
1443,Jeff Criswell,676105,55.0,107.0,,113.0
1318,Jacob Misiorowski,694819,142.0,107.0,137.0,119.0
1106,Grant Holmes,656550,87.0,107.0,87.0,106.0
1912,Louis Varland,686973,,107.0,106.0,108.0
2900,Wandy Peralta,593974,150.0,107.0,88.0,97.0
1408,Jason Adam,592094,114.0,107.0,,110.0
958,Eric Lauer,641778,145.0,107.0,114.0,93.0
1003,Evan Sisk,681895,143.0,107.0,,97.0
2397,Ranger Suarez,624133,150.0,107.0,108.0,90.0
2624,Shane Bieber,669456,102.0,107.0,113.0,102.0
769,Dauri Moreta,664294,122.0,107.0,,112.0
2535,Ryan Walker,676254,150.0,107.0,,96.0
2522,Ryan Pepiot,686752,137.0,107.0,98.0,102.0
2701,Tanner Scott,656945,150.0,107.0,,112.0
2091,Matt Svanson,694335,150.0,107.0,,102.0
2118,Merrill Kelly,518876,,107.0,108.0,94.0
748,Daniel Palencia,694037,147.0,107.0,,112.0
2454,Robbie Ray,592662,113.0,106.0,93.0,102.0
2474,Ronel Blanco,669854,71.0,106.0,89.0,103.0
685,Connor Phillips,683175,146.0,106.0,,112.0
2632,Shane Smith,681343,150.0,106.0,94.0,101.0
2439,Rico Garcia,670329,150.0,106.0,,110.0
2407,Reese Olson,681857,81.0,106.0,101.0,99.0
823,Dietrich Enns,608650,99.0,106.0,,102.0
1737,Justin Wilson,458677,,106.0,,109.0
1480,Jimmy Herget,623474,150.0,106.0,104.0,95.0
1392,Jared Koenig,657649,150.0,106.0,,97.0
1500,Joe Musgrove,605397,44.0,106.0,115.0,95.0
1249,J.T. Ginn,669372,130.0,106.0,94.0,99.0
1801,Kirby Yates,489446,131.0,106.0,,115.0
1078,Gavin Williams,668909,143.0,106.0,81.0,101.0
1911,Louie Varland,686973,150.0,106.0,103.0,
344,Brant Hurter,676428,150.0,106.0,,95.0
2161,Michel Otanez,671305,126.0,106.0,,125.0
2730,Tim Hill,657612,150.0,106.0,,76.0
281,Blake Treinen,595014,117.0,106.0,,107.0
364,Brendan White,686839,,106.0,,
1115,Grayson Rodriguez,680570,46.0,106.0,107.0,102.0
1720,Justin Hagenman,663795,138.0,106.0,,100.0
1620,Jose Hernandez,669796,,106.0,,
2458,Robert Garcia,676395,150.0,106.0,,106.0
2418,Reynaldo Lopez,625643,58.0,106.0,117.0,107.0
484,Camilo Doval,666808,150.0,106.0,,108.0
470,Caleb Thielbar,573204,150.0,106.0,,101.0
1119,Gregory Santos,666619,92.0,105.0,,109.0
1830,Kyle Finnegan,640448,150.0,105.0,,101.0
1804,Kodai Senga,673540,111.0,105.0,79.0,96.0
1184,Hunter Bigge,685801,56.0,105.0,,115.0
1389,Jared Jones,683003,51.0,105.0,,102.0
2966,Yennier Cano,666974,150.0,105.0,,95.0
2864,Tyler Wells,669330,103.0,105.0,,102.0
2866,Tylor Megill,656731,102.0,105.0,85.0,109.0
40,Adbert Alzolay,640470,40.0,105.0,,96.0
1849,Kyle Wright,657140,40.0,105.0,,
1710,Julio Urias,628711,,105.0,122.0,
1775,Kenley Jansen,445276,,105.0,,103.0
1190,Hunter Gaddis,683769,150.0,105.0,,109.0
449,Cade Horton,690990,130.0,105.0,107.0,96.0
402,Brooks Raley,548384,125.0,105.0,,93.0
2172,Mike Burrows,681347,125.0,105.0,101.0,101.0
296,Brad Keller,641745,150.0,105.0,74.0,103.0
2051,Mason Montgomery,682254,145.0,105.0,,123.0
2026,Mark Leiter Jr.,643410,150.0,105.0,,104.0
2660,Spencer Strider,675911,129.0,105.0,91.0,105.0
2623,Shane Baz,669358,123.0,105.0,96.0,102.0
2628,Shane McClanahan,663556,40.0,105.0,115.0,
801,Declan Cronin,686539,91.0,105.0,,90.0
626,Clay Holmes,605280,150.0,105.0,91.0,88.0
2509,Ryan Helsley,664854,,105.0,,113.0
1514,Joely Rodriguez,570257,,105.0,,
2976,Yimi Garcia,554340,72.0,105.0,,113.0
2997,Yu Darvish,506433,123.0,105.0,109.0,94.0
16,Aaron Nola,605400,145.0,104.0,106.0,96.0
1573,Jordan Leasure,673929,148.0,104.0,,113.0
1733,Justin Sterner,686993,150.0,104.0,,105.0
1622,Jose Leclerc,600917,,104.0,,113.0
1095,Giovanny Gallegos,606149,55.0,104.0,,99.0
1213,Ian Kennedy,453178,,104.0,,
1216,Ian Seymour,693855,139.0,104.0,,100.0
569,Chase Lee,695445,130.0,104.0,,91.0
544,Chad Patrick,694477,145.0,104.0,101.0,96.0
1120,Gregory Soto,642397,,104.0,,106.0
1168,Hoby Milner,571948,,104.0,102.0,79.0
625,Clarke Schmidt,657376,68.0,104.0,95.0,98.0
2533,Ryan Thompson,657044,141.0,104.0,,91.0
971,Erik Sabrowski,681870,120.0,104.0,,113.0
1999,MacKenzie Gore,669022,141.0,104.0,93.0,108.0
2731,Tim Mayza,641835,133.0,104.0,,87.0
1944,Luis Garcia,677651,,104.0,,100.0
1931,Luis Castillo,622491,,104.0,110.0,98.0
3006,Zac Gallen,668678,,104.0,98.0,93.0
2612,Seranthony Dominguez,622554,150.0,104.0,,113.0
2349,Pete Fairbanks,664126,,104.0,,102.0
904,Edgardo Henriquez,683618,119.0,104.0,,113.0
784,David Peterson,656849,146.0,104.0,91.0,91.0
2634,Shawn Armstrong,542888,,104.0,,98.0
389,Brock Burke,656271,150.0,104.0,,98.0
717,DJ Herz,687792,54.0,104.0,,103.0
5,AJ Blubaugh,805123,,104.0,,107.0
1485,JoJo Romero,668941,139.0,104.0,,94.0
2980,Yohan Ramirez,670990,150.0,104.0,,102.0
2295,Orion Kerkering,689147,150.0,104.0,,100.0
2276,Noah Cameron,702070,149.0,104.0,101.0,92.0
2261,Nick Sandlin,680704,73.0,104.0,,108.0
2260,Nick Robertson,687798,,104.0,,103.0
812,Derek Law,571882,,104.0,,94.0
2688,Tanner Banks,621383,150.0,104.0,,95.0
2690,Tanner Bibee,676440,150.0,104.0,104.0,92.0
742,Daniel Hudson,543339,,104.0,,100.0
2341,Paxton Schultz,687606,139.0,104.0,,100.0
2098,Matthew Festa,670036,150.0,104.0,,101.0
2112,Max Scherzer,453286,121.0,104.0,110.0,96.0
345,Braxton Ashcraft,677952,124.0,104.0,,103.0
2369,Pierce Johnson,572955,150.0,104.0,,100.0
2776,Trevor Gott,641627,,103.0,,
251,Ben Brown,676962,118.0,103.0,102.0,105.0
1839,Kyle Leahy,681517,150.0,103.0,102.0,96.0
1578,Jordan Romano,605447,96.0,103.0,,103.0
1603,Jose Cisnero,542585,,103.0,,98.0
1717,Justin Bruihl,677865,150.0,103.0,,98.0
2489,Ryan Borucki,621366,109.0,103.0,,100.0
1412,Jason Foley,671345,65.0,103.0,,77.0
1916,Lucas Erceg,668674,138.0,103.0,,98.0
1498,Joe Mantiply,573009,128.0,103.0,,96.0
750,Danny Coulombe,543056,,103.0,,96.0
1556,Jonathan Bowlan,680742,145.0,103.0,,109.0
2180,Mike Vasil,678024,150.0,103.0,78.0,89.0
699,Corbin Martin,656686,,103.0,,107.0
2405,Reed Garrett,657585,131.0,103.0,,108.0
2097,Matthew Boyd,571510,,103.0,112.0,94.0
2376,Quinn Priester,682990,150.0,103.0,97.0,91.0
878,Dylan Floro,571670,,103.0,,69.0
2110,Max Meyer,676974,51.0,103.0,,100.0
360,Brenan Hanifee,669724,140.0,103.0,,81.0
2665,Stephen Kolek,663568,144.0,103.0,104.0,82.0
1987,Luke Little,681432,130.0,103.0,,98.0
1940,Luis F. Ortiz,656814,,103.0,,
327,Brandon Eisert,685126,150.0,103.0,102.0,99.0
1341,Jake Bird,656234,150.0,103.0,,100.0
1788,Kevin Kelly,687330,150.0,103.0,,87.0
1267,Jack Dreyer,676263,150.0,103.0,112.0,101.0
2786,Trevor Stephan,663986,101.0,103.0,,
1140,Hans Crouse,668968,,103.0,,104.0
574,Chase Silseth,681217,112.0,103.0,,110.0
655,Cole Sulser,642121,144.0,103.0,,105.0
134,Andrew Abbott,671096,149.0,103.0,108.0,94.0
1346,Jake Cousins,664776,45.0,102.0,,104.0
586,Chris Bassitt,605135,143.0,102.0,100.0,90.0
1430,Jay Jackson,543351,,102.0,,99.0
603,Chris Vallimont,681808,,102.0,,
1690,Juan Mejia,675848,,102.0,,107.0
1255,JT Chargois,608638,,102.0,,99.0
1725,Justin Lawrence,664875,135.0,102.0,,93.0
2850,Tyler Phillips,663969,147.0,102.0,102.0,93.0
1101,Graham Ashcraft,668933,138.0,102.0,93.0,103.0
2752,Tony Santillan,663574,147.0,102.0,98.0,105.0
1157,Heath Hembree,592390,,102.0,,
231,Austin Slater,596103,,102.0,,
2447,Riley O'Brien,676617,144.0,102.0,,99.0
657,Cole Tucker,657061,,102.0,,
1158,Hector Neris,593576,,102.0,,101.0
212,Austin Adams,613534,,102.0,,105.0
2544,Ryne Nelson,669194,150.0,102.0,110.0,94.0
629,Clayton Kershaw,477132,136.0,102.0,99.0,84.0
634,Cody Bradford,674003,44.0,102.0,,88.0
2542,Ryan Zeferjahn,666171,150.0,102.0,,108.0
2794,Trey Wingenter,622259,,102.0,,
998,Evan Kravetz,667478,74.0,102.0,,
2043,Mason Fluharty,689254,150.0,102.0,,103.0
2672,Steven Matz,571927,145.0,102.0,120.0,87.0
876,Dylan Dodd,689266,146.0,102.0,,95.0
2707,Taylor Clarke,664199,146.0,102.0,,94.0
506,Carmen Mlodzinski,669387,149.0,102.0,102.0,94.0
653,Cole Sands,663485,150.0,102.0,109.0,93.0
295,Brad Hand,543272,,102.0,,
2602,Sean Newcomb,656794,,102.0,101.0,91.0
