,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,hit_grade,plate_approach_grade,power_grade,speed_grade,other_tool_grades
33,44,Ralphy Velazquez,1B/OF,Guardians,Late 2026,Lefty Only Victor Martinez,"Great hit tool with power, plate skills and some speed - he had some bad luck in 2024 and performed extremely poorly in high A, but has had a major rebound this summer getting a promotion to AA where he finished the season on an absolute tear.  The hit tool is tracking to be a solid above average.  We don’t have 2025 statcast data, but last season Ralphy notched a max EV of 115 including a 105 90th percentile EV and 16% barrel rate showing he can get to optimal angles all under the age of 20.  His second half slash between both levels was .325/.406/.581 with 10 bombs.","Velazquez was the Guardians first round pick, so this isn’t coming out of nowhere, but he has been especially impressive in CPX and A ball in 2023 and after a rough 2024 has rebounded for a very nice 2025 season, improving his ability to limit strikeouts at a very manageable 14.3% K rate in the second half which boosted his total slash and ability to create damage.  He’s moved off catcher permanently, which is probably for the better to get his bat into the lineup regularly.  He projects as a very solid Top 150 Ranking:  83",,55/55,50/55,60/65,35/30,
34,45,George Lombard Jr.,SS,Yankees,2027,Barry Larkin light,"He has a plus, plus plate approach with an average hit tool (73.6 contact% and solid, but not great angles), but some extreme athleticism that hasn’t had a chance to play up yet (outside of the speed) since he’s been advanced aggressively age-to-level in a Cole Young-esk way.  Lombard added some muscle to his 6’ 2” frame this offseason, but it hasn’t resulted in much of a power uptick as of yet.  He’s a doubles guy right now, but could grow into more power as he has reportedly hit the ball over 110 mph, though the highest max EV on record is 108.4 and his 90th percentile from 2024 when we had data was 102.4, but is likely higher post muscle spurt.","Lombard was mashing high A with a .329/.505/.488 line, but has struggled a bit since making the transition to AA as a 20-year-old to a still solid 103 wRC+.  Age-to-level a 50-65 point bounce is fair, as Lombard’s adjustments to AA and a hopeful increase in power production are key indicators for his future value moving forward.  He hasn’t really put up the numbers you would like to see, but tools wise and under the hood he’s been impressive on an age to level basis.  I give Lombard the edge over Nimmala as he has a better plate approach, hit tool and speed; while Nimmala has a higher power upside.",69,40/50,50/60,40/55,65/60,
35,45,Eduardo Tait,C,Twins,2027,A lefty version of the Contreras brothers,"Eduardo Tait has a nice lefty swing with some big power potential, especially for a catcher and made it to A ball in 2024 as a 17-years-old.  Come for the super high EVs for his age and stay for the productively aggressive hit approach that results in a fair number of barrels.  He did have a rough second half after being traded from the Phillies to the Twins, but he’s a catcher and we should remember he had to learn an entire new pitching staff and is responsible for a lot more than standard position players.  A young catcher getting traded mid-season isn’t exactly easy, so we should provide some grace on his post trade numbers from 2025.","Tait has put up some incredibly impressive numbers for this age and I love the swing and power.  He’s also good defensively as someone who got eyes on him at A ball this season, hanging in to catch Andrew Painter.  There is a little bit of a split concern, as he is not good against lefties and as a lefty catcher it means he might have kind of a strong-side platoon thing going on once he’s in the majors, but catchers sit a couple days a week anyway, so maybe it doesn’t even really affect his total per season plate appearances compared to other starting catchers.",42,50/60,30/40,55/70,30/30,
36,46,Ethan Holliday,SS/3B,Rockies,2028,JD Drew in the infield,"Holliday is much bigger than his older brother Jackson Holliday by 4” height and another 30 pounds, thus he’s closer to his dad, Matt Holliday’s, bulk and has a closer toolset to his dad, but as a lefty infielder rather than righty outfielder.  He likely has a higher power upside than his father (recording a 111 mph max EV already), but will hit for lower averages, as he’s running a very poor 57.4% contact rate through his first 78 PAs in pro ball.  It’s funny people are freaking out about the hit tool already and I would be lying if I didn’t say the terrible contact rate is at least slightly concerning, but we are talking about a guy who has a crazy support system working out with his brother and dad all offseason.  Let’s chill a bit on the pessimism.","Holliday has dropped to fifth in my FYPD rankings after the debut, so while again I preach patience with him, I’m also not going to sit on my laurels so while I have dropped him a little, I’ve seen some people dropping him out of the Top 100 and out of their top 10-15 in the FYPD rankings.  Tait gets the edge to Holliday, because for guys who are the same age, Tait has done it at pro ball and has put up a stronger hit approach and louder EVs.",25,25/45,30/55,45/65,45/45,
37,47,Arjun Nimmala,SS,Blue Jays,Late 2027,Leaner Carlos Correa who could put up some Troy Tulowitzki type numbers,"He should stick at SS long-term as a solid defensive player with a good all fields hit tool that currently projects as better gap power than homerun power.  He’s young with a solid frame and brings a lot more power than you might expect for his age.  He maxed out with a 107 EV last season with a 90th EV of 102.3 (solid for his age), but only had a recorded 105.7 in the limited statcast data we have available from high A.  He’s rocking only a 72.3% contact rate with poor angles this year at high A as there seems to be a lot of ground outs or fly outs as he misses with the bat on barrels for line drives.","It has been a tale of two halves for Arjun Nimmala.  Since June 15th, he’s been hitting .178/.273/.288 with only 3 homers.  Before June 15th Nimmala hit .267/.351/.483 with 10 homers.  Nimmala has a higher upside than Montes, hence the ranking above him despite the terrible second half.  He’s adjusted off bad halves successfully before.",31,30/45,50/50,40/60,55/50,
38,48,Braden Montgomery,OF,White Sox,Late 2026,Bigger Jasson Dominguez with less speed,"Athletic, switch hitting power hitter.  He has an arm as a former pitcher as well and a quick, short swing where he gets to the ball no matter where it’s thrown.  Montgomery is a true switch hitter with no split to speak of, he’s a boss on both sides of the plate which is a boon this day in age, though he does appear to have a better eye from the left side of the plate.  He explodes on the ball from the left side of the plate level with the zone and seems to have more of an upper cut on his swing from the right side.  The contact rates have unfortunately dropped from average-ish at low A (74%) to a well below average (67%) at high A and AA, but he does have a high quality of contact with an over 23.5% line drive rate on the season that increased as he went up levels.  Montgomery has recorded some elite power numbers with a 115 max EV and an above average 106.4 90th percentile EV.","Montgomery has a volatile range within each skillset.. Below average contact, above average quality of contact.  Below average reach rate, above average walk rate.  Slow acceleration (poor baserunning 67% SB rate), high top end speed.  Montgomery has proven to be very streaky players over the course of the season and has some loud tools, especially the power that make him very interesting, but he’s still pretty raw and needs to refine his hit tool and approach otherwise he’s just a switch hitting Trent Grisham.",46,35/50,35/40,55/65,45/55,
39,48,Lazaro Montes,OF,Mariners,Early 2027,Shades of an OF Matt Olson,"Big strong kid with fantastic power from the left side and a solid eye. The power is up this year from last year, but he is also striking out quite a bit more as the hit tool seems to be getting worse from a contact standpoint (62.7% contact on the season and 57.7% at AA), while the angles are still very good (15% barrel rate in 2024).  He hits the ball very hard with a reported 116 max EV and a 106.3 90th percentile EV this season and","Montes killed it in low A last season and then struggled when he was first bumped up to high A, but he did finish the season strong.  From August on Montes hit .333/.459/.604 with 7 bombs and 3 steals.  The strikeout rates have ticked up, the contact has ticked down and he has not been good against lefties with a .208/.282/.432 slash, so I have concerns as the current approach is not sustainable for a major league hitter and while Spencer Jones has a higher speed potential that’s fun for fantasy, Montes is only 20-years-old and has more time to further develop the hit tool in the minors as he was at least running a 72% contact at A ball.",24,30/40,35/45,65/70,35/30,
40,49,JoJo Parker,SS/3B,Blue Jays,2028,Roman Anthony-esk light swing mechanics,"Parker has a good swing for staying back on the ball and has a toe tap with big time coil before he strides into the ball from the back of the box.  As noted with some of the other high school guys, a lot of what I’m going on is a small amount of video, some limited sabermetrics and high school stats.  He had a max EV earlier in the season of 99.3, but due to his consistent swing and good angles he has a mid 20s power upside.","Parker was one of my favorite players in the draft class and has a swing that portends to eventual pull power that should play up as scouts report he has good barrel presence.  He hasn’t done anything yet in pro ball to move up my rankings, but upon re-evaluation of my FYPD ranks and where I like him vs. other FYPD guys, this is just where he should really end up in my rankings with more research done this off-season.  He’s a safer bet long term than Braden Montgomery, but Montgomery gets the edge based on the EVs and the proximity bump.",71,45/60,50/55,30/55,50/50,
41,49,Mike Sirota,OF,Dodgers,2027,Julio Rodriguez Light,"Sirota has an advanced plate approach and big time athleticism with a power / speed combo that pops as long as he can hit at least at an average level (73.4% contact rate this season).  He’s a twitchy hitter in the box with quick hands that lead to explosive gap power along with some great quality of contact with a 26% line drive rate on the season.  Sirota had a recorded max EV of 113 and a 90th percentile EV of only 102.6, but this was only in limited sample size - the line drive rate and extra base hit ability show there is a plus power tool.","Sirota is one of the top breakout prospects of 2025, but unfortunately is out for the rest of the season so his numbers are locked for the season, the speed is there (though he hasn’t shown it in the steals department) and I trust the contact and plate skills a bit more, even in only a small sample size in the minors.  The baserunning did not match the speed this year, but there is more potential than what we have seen on the back of the baseball card.  Sirota ran a 189 wRC+ on the season and has only played at levels where he is above or at the average age.  I bump him ahead of Spencer Jones as the hit tool and plate approach are significantly better, while the tools are only slightly worse.  Montes gets the edge to me despite me trusting Sirota’s tools more right now, just because of the age-to-level power being so impressive.",71,40/45,60/65,55/65,45/55,
42,50,Michael Arroyo,2B,Mariners,Late 2026,More athletic Ronnie Belliard build with a good Jorge Polanco-ish profile.,"Short swinging stocky athlete with quick hands and a ton of power in his fire hydrant frame along with some speed.  He has a good plate approach and above average contact tool, which led to the 2024 breakout that has now carried over to 2025.  Arroyo has recorded up to a 109.7 max EV in 2025 and we don’t have barrel or launch angle data on him, but the 23.7% line drive rate, under 35% groundball rate and reports of consistent hard contact with doubles power lead us to the conclusion he’s a plus angles hitter with an above average hit tool.  Arroyo has a 76.5% contact rate on the season and is a classic sum of the parts is greater than the whole type of guy when all his above average tools are working in coordination.","Arroyo is a really solid player who is consistently good at advanced levels for his age, but tools-wise he is practically tapped out for what we should physically be able to project.  There’s always a chance some improved bat speed could boost his hit or power tool a ½ grade, but while he’s incredibly stable, he’s a high floor, lower ceiling guy.  I like Arroyo more for points leagues at more of a top 40 prospect, but considering roto as well, there are guys like JoJo Parker who just have a higher hit and power ceiling from the latest draft class and proximity be damned, I’m going for the hit/power upside.",32,55/55,55/60,55/55,45/45,
