,rank,player_name,positions,organization,eta,comp,prime_skills,ranking_explanation,previous_rank,hit_grade,plate_approach_grade,power_grade,speed_grade,other_tool_grades
43,52,Zyhir Hope,OF,Dodgers,Late 2027,Lean Josh Naylor,"Shorter dude with quick hands and a high impact lefty swing with some major pull power.  Hope started the season hot, but finished with a cool .220/.345/.339 slash in the second half.  The contact rate is way down to a lackluster 67.2%, but he’s still showing a good eye at the plate and reportedly has hit (when recorded) to a 90th percentile EV of 108.5 (keeping in mind we don’t have public EV data for him), but he did hit a 470 foot bomb in the Arizona Fall League and he gets good angles with a more than 25% line drive rate, though he has pulled the ball less this year which has hurt him a bit in the HR/FB totals.","Hope’s hit tool has regressed as the season has gone on, though he does have some sneaky speed and should hit for more power as the quality of contact itself is good when the ball hits wood.  He needs to reign in the strikeouts and take more chances in-zone instead of accepting walks if he’s going to do the most damage he can in the lineup, otherwise he may be more of a solid #6 hitter type rather than a middle of the order guy.  Arroyo gets the edge to Hope in my rankings for hitters as he has a better hit tool and a much more consistent, mature approach",33,40/45,45/55,50/65,55/55,
44,52,Jordan Lawlar,SS,Diamondbacks,MLB (on IL),Trea Turner light,"Lawlar has a nice power swing, but it may affect his contact ability in the majors - he has all fields power and ridiculous speed, he’s a very aggressive base runner and puts himself in good positions to make things happen on top of having way above average plate discipline for his age. Lawlar put up a 75.1% contact and 83.2% Z-Contact at AAA, which are average-ish, but the angles were very good with a 10.6% barrel rate and 15 degree launch angle, but his trouble with breakers has killed him in his small major league sample size.  He puts up a solid 88.8 average EV, 104.3 90th percentile and a great max EV of 113.3 showing he doesn’t get close to his top level power enough, so there is room for growth.","Lawlar has had a rough time in the majors after mashing at AAA, but the biggest issue might be his lack of regular playing time.  It’s tough to judge him when he’s popping in for pinch hits instead of starting and it may just take a little time for him to warm up, but the minor league numbers show us a solid player on the field when he’s healthy with more room to grow in his power potential.  The keys for Lawlar are health, learning to hit off speed pitches and regular playing time.  The health is what drops him to this spot in my rankings and I nearly placed him below Spencer Jones because of his lack of health, but Jones’ hit tool is just so bad that I’m not sure he can make it in the majors - he’s such a wild card.",17,45/50,45/55,50/60,65/65,
45,53,Spencer Jones,OF,Yankees,Early 2026,Joey Gallo w/ more speed,"He’s huge at 6’ 6” and has ridiculous power potential with decent speed to boot. He has a ton of sneaky speed to go along with the huge power potential, but the swing has some massive holes in it and has gotten progressively worse (73.2% contact rate in 2023, 61.6% in 2024 and 60.9% in 2025).  The contact part of the hit tool is bad, but the quality of contact is great as he has a 17.9% barrel rate and 14 degree average launch angle on the season, which is the only reason I give him a potential 40 grade on the hit tool. Developing a consistent (even if below average) contactability is what he will live or die by in the majors.","He has changed his stance a number of times this season which has lead to major inconsistencies from week to week, with a .181/.274/.250 slash in his last 19 games and he had hit .423/.478/.962 in the 19 games prior to that.  At the end of the day, the stats look good, but it’s a weird journey to get there and it might not be fun in a weekly H2H league.  He’s basically the living, breathing risk reward line for “go big or go home.”",72,30/40,35/35,60/75,60/60,
46,54,Franklin Arias,SS,Red Sox,2028,Righty Luis Arraez with a tad more power potential and better glove,"Good plate skills with above average power, really quick bat speed and hands and great speed.  He has an elite hit tool, one of the best in the minors with a 89.5 Contact% in high A.  He’s also shown the ability to steal some bags and has non-zero power with the power actually improving at high A from low A.  The highest recorded max EV for Arias is only 105, but that was also back when he was at A ball and we had those readings, while he has an average-ish for his age 102.6 90th percentile EV.  He has at least an average ability to get decent angles on the ball with a solid doubles profile, but has yet to translate that to homerun power.","I learned my lesson by only ranking Jacob Wilson in the 60s… don’t underestimate an advanced hit tool in young guys that could still add power or speed.  He has a 105 wRC+ in high A as a 19-year-old, with which an age-to-level bump would give him another 50 points.  The speed potential has unfortunately fallen off this year, but I think there could be 10-15 homer upside for a guy who should be a consistent .280 plus hitter.  Having Arias ranked right next to Spencer Jones is hilarious because they are polar opposite players, but I give Jones the nod based on proximity and that the power/speed tools are just more tantalizing for most fantasy baseball leagues.",22,65/70,55/60,35/45,40/40,
47,55,Chase DeLauter,OF,Guardians,Late 2025 / Early 2026,Hunter Pence (without the speed) and lefty Matt Holliday mash,"DeLauter made his debut (finally) in the post-season for the Guardians.  He’s shown a really strong hit tool (82.8% contact rate and 85.6% Z-contact) and has some unrealized power in his small sample size at the minor league level (107 90th percentile EV and 110 max EV).  The pull power from his college days and the ability to mash extra base hits regularly is tantalizing, but he needs to show some health and stay on the field to realize his potential.","DeLauter just can’t stay healthy and that’s tanked his prospect profile a bit for me.  Every time he’s healthy and I think I’m back in on him, he gets hurt again.  If he could stay healthy he has a .270-.280 profile with 25 homerun upside plus a ton of doubles power.  If he didn’t have the health issues, he would be up in the 30s of my prospect rankings, but I do still like him and the fact he was on the Guardians post-season roster means he should break camp as a starter in 2026.",60,55/60,65/65,55/60,40/40,
48,57,Jonny Farmelo,OF,Mariners,Late 2027,Charlie Blackmon,"Big long levered lefty with some big time power / speed potential with quick back speed.  He tends to coil up as the pitch is coming in and unleashes to make some nice driving contact that I think will lead to a big doubles profile.  The hit tool has been down this year from 80% in 2024 to 65.4% in 2025, but the slug has been up as he hit three doubles in a row once he returned from injury.  Farmelo had a 103.2 90th percentile EV in 2024 as a 19-year-old and he has hit to excellent angles when healthy.","Farmelo missed the second half of the season in 2024 after suffering a right knee injury that required surgery and then missed a large part of 2025 with a couple more injuries.  We haven’t seen the speed this year or the hit tool, but his previous outcomes have shown these skills exist.  This is almost a good, but injury riddled tier between Farmelo and Emmaneul Rodriguez.  I give the edge to Farmelo though as I believe his hit and speed tools have greater potential.",49,35/50,45/60,50/60,55/65,
49,59,Carson Williams,SS,Rays,Debuted (in MLB),Trevor Story outside of Coors w/ better defense,"Power, speed, OK-plate skills the only thing this kid is missing right now is the hit tool (62.7 Contact% and 77.1 Z-Contact%).  He has quick hands and changed his stance from a slight crouch to be more upright since last year, but those Ks need to go down for him to reach his potential as a 20/20 type with a good walk rate in the majors.  He does have a high quality of contact which balances out the terrible general contact rates as he’s running a 40.6 SweetSpot%, 12% barrel rate, 25.6% line drive rate and 107 90th EV which are all phenomenal.  The power is plus as he hits the ball hard consistently with great angles when he does make contact and has put up an 111.7 max EV.","The power and speed skills are both still intact and his ability to take a walk, but the contact rates have always been horrendous.  The good news is he will get playing time because the defense is phenomenal and the power / speed will play, I bumped him over Emmanuel Rodriguez since he is already in the majors and I think he just generally hits to better angles which bumps his hit tool in my mind via quality of contact.",62,35/40,40/45,60/60,60/60,
50,61,Theo Gillen,OF,Rays,2028,"Smaller, more toolsy Parker Meadows","Gillen has great timing at the plate, nice load and really gets on pitches with a sweet and powerful lefty swing.  He has a nice sized athletic build and should develop into a power / speed threat.  He played SS in highschool, but with a weak arm has moved off to the OF.  The hit tool is performing better than I had expected out of the gate with a 74.3% contact rate and only a 8.8% SwStr%, while he’s shown a fantastic eye at the plate, but he has been a little too patient with only a 34.3% Swing%.  He’s been getting to better angles this year with a plus air-pull rate, as he’s also lowered the groundball rate and increased the linedrive rate.  I have not found publicly available max EVs since high school, but this year he has a reported 103.2 90th percentile EV, which is good for his age.","Gillen is a bit of a flier as a high school athlete in a system that can get crowded with Tampa, but there is a good power / speed skill set here that will play up in this system if he can develop the hit tool - as a lot of Rays guys have good power and speed and never develop the plus hit tool.  His plate approach and angles will help the hit and power tool play up and he has been a burner on the basepaths this year despite rookie reports of only above average run times.  I spotted Gillen between DeLauter and E Rod (the injured bros), because I think DeLauter has a very safe profile if he can ever stay on the field while E Rod has louder tools, but there’s a chance he’s a faster Miguel Sano.",112,40/50,60/65,40/55,60/60,
51,64,Emmanuel Rodriguez,OF,Twins,,Rafael Devers meets Max Muncy with speed (credit to James Anderson),"Great eye and insane power (114.6 max EV in 2024 and a 107.7 90th percentile EV in 2025) with a tad of speed mixed in despite being a bigger boy, quick hands though.  Like many of these guys, Rodriguez has to work on his hit tool a bit and cut down on the strikeouts.  The power and speed potential is ridiculous, but he has not been able to get anywhere near his potential thanks to injuries, inconsistencies and strikeouts as the contract rate has not been able to develop (66.7% contact rate and 76% Z-Contact%).","He’s dealt with injuries the last couple of years, but has been good on a per plate appearance basis, despite too many strikeouts and a high three outcome potential.  Rodriguez is a former top 10 prospect for me who has great potential if he can improve the hit tool and limit the strikeouts.  He’s almost a tempered down version of Spencer Jones, but the lack of a developed hit tool pushes him below guys like Arias and Willits.",25,30/35,55/55,55/65,50/55,
52,65,Charlie Condon,OF,Rockies,Late 2026,Less athletic righty Cody Bellinger,"Condon is all about the power, but how much of the power will translate from college and can he hit breaking pitches are the big questions.  He’s a big time fastball hunter and guys at the higher levels might expose him on breakers.  He has a long body, but keeps his hands in so he doesn’t get exposed inside.  He smashes pitches up in the zone and it will be interesting to see if he can keep the strikeout rate down as he’s only making contact on 68.4% of his swings and this has downticked since he reached AA, however the contact he is making is with excellent angles as he has a 28% line drive rate on the season and a 49% pull rate.  Condon put up some killer EV numbers in college, but I don’t have any sure things in pro ball.","Condon’s home/away college splits are incredibly concerning amongst the rumors of SEC teams using a live feed in the dugout when at home (.482/.530/1.125 HOME vs. .279/.367/.698 ROAD).  Thankfully we are finally starting to see what he can do healthy this year after a terrible transition to the minors in 2024 and while there is some volatility in the contact profile, the angles he’s showing are a pleasant surprise.  E rod gets the nod over Condon as he has closer proximity, a better plate approach (despite all the Ks) and more speed.",45,40/45,45/45,50/70,35/40,
53,66,Justin Crawford,OF,Phillies,Cup of coffee 2025,Carl Crawford w/ less power (Taller Juan Pierre perhaps?),"Speed, lightning speed like his dad.  The hit tool is plus or better and the plate skills are improving.  We may also get 10-15 homer power to go along with the rest of the tools, once he improves his ability to get to quality contact.  Crawford has an 84.7% contact rate and 91.4% Z-Contact rate along with an over 65% Z-swing - so the hit tool is very solid.  The crazy thing is his raw power is also not bad, despite no homers, because he is not barreling balls (only 3.1%) and hitting the ball on the ground more than 60% of the time.  He has decent 103.1 90th percentile and 110.6 max EV this year.","Crawford has performed like a stud leadoff hitter at an advanced level for his age throughout his time in the minors.  The lack of power in his profile will stop him from ever reaching the top level of prospects, but he’s projected as an effective source of speed and batting average for the future and could get into 15 homer power if he can translate his raw power into game power (needs to improve angles and get the ball off the ground).  Condon gets the edge with his power upside, but Crawford is underrated and could be the next iteration of the speed guys like Victor Scott to hit the majors and should be up this season, but first needs to get more quality angles and also needs to improve efficiency on the basepaths.",47,60/65,50/55,35/45,60/70,
54,68,Emil Morales,SS/3B,Dodgers,2028,Fernando Tatis Jr. light,"Big, athletic shortstop with high end power potential and decent speed.  He has the Fernando Tatis Jr. swing which has led to a similar batted ball profile (though beware of the high swinging strike rate as an average hit tool is likely the best case outcome with a 73% contact rate).  Morales has a reported 102.6 90th percentile EV which is good at his age and when you combine his projected growth as a big 6’ 3” kid with the optimal angles he gets to there is a lot of power upside here.","It’s hard to rate the younger complex / DSL guys, but Morales is up to A ball now and it should be noted the plate skills have actually improved from complex to A ball.  There’s a lot of potential here with Morales and skills-wise I like him better than guys like Condon, but the proximity gives and raw hit tool that needs a lot of refining (unlike a guy like Edward Florentino) bump him below some rough around the edges proximity guys like Spencer Jones and Condon.",114,30/45,30/50,45/65,50/50,
55,72,Hector Rodriguez,OF,Reds,Early 2026,Wilyer Abreu and Michael Harris II mash (as hitters),"Rodriguez has fire hydrant build as a 200 pound 5’11” player with a short, quick swing that leads to a plus hit tool (83.3 contact% and 90.6 Z-Contact%) though he misses a tad on his swings (strange 5.2% barrel rate still leading to a 29.9% line drive rate). Rodriguez has a much improved plate approach this season and above average power (106.1 90th percentile EV and 110.7 max EV) and a potential 20/10, gap hitter profile that can really boom in Cincinnati.  He’s good enough against lefties to avoid the strongside platoon risk many lefties face.","The biggest issue Rodriguez faces is a lack of barrels that leads to inconsistencies across his batted ball profile that diminishes would could be a 65 hit tool and a sure fire 55 grade power as the batted ball spread is all over the map, though he still tends to find the gaps and pile up a number of liners.  Parker has a higher upside than Rodriguez, though Rodriguez is close to the majors and gets some proximity bump; the difference is a potential All Start in Parker vs a guy I expect to end up as a solid regular, but not a major DUDE in Rodriguez.",109,60/60,50/55,50/55,45/45,
56,82,Demetrio Crisantes,2B,Diamondbacks,2027,Mini Xander Bogaerts,"Crisantes has a greater than plus grade hit tool (86.1 Contact%) and advanced plate approach to go along with decent doubles power and above average base running skills.  He’s a thinner dude right now, but his bat can pay up for doubles power that may end up leading to 20 homer power if he can trend closer to his career max EV (117.3 max EV in complex in 2023, but only a recorded 106.5 in a small sample size in 2025).  The 90th percentile EVs he posted 2024 were 102.5.  The hit tool will get him to the bigs and if the power develops, it will make him an All Star.","Crisantes was looking to make a big rise on the list, but he’s missing the rest of 2025 to get shoulder surgery, which will likely delay his debut for an additional season and could stifle the development of his power tool.  He would have been ranked in the 70-80 range had it not been for the injury.",108,60/65,60/65,40/45,50/50,
57,84,Aroon Escobar,2B/3B,Phillies,2027,Jean Segura,"Escobar has a fire hydrant build at 5’ 10” and 180 pounds and with simple swing mechanics and a naturally laid back load that leads to a solid hit tool (75.5% contact rate and 88.3 Z-Contact%) with a plus plate approach and emerging power to pair with above average speed.  I admittedly wasn’t the biggest fan of the profile this offseason due to the lack of extra base hits, but the power has appeared this year with a 104.7 90th percentile EV and exceptional 27.5% line drive rate which has brought about the extra base hits in 2025, including a great 110.8 max EV for a 20-year-old middle infielder - though is quality of contact is still only below average to average.","Escobar is a solid to above average player who profiles as a good second baseman, who could jump to plus hit and power tools as he develops further that would boost him to more of a Ketel Marte light type of ability, because the EVs are great for his age.  Escobar has higher power and speed outcomes to Hector Rodriguez, tools-wise, but Rodriguez is also closer to the majors and will get a nice Great American Ballpark bump.",80,45/55,50/50,50/55,50/50,
58,86,Alfredo Duno,C,Reds,2027,Shades of Salvador Perez with better plate skills / not as good defensively,"Duno is listed at 6’ 2”, 210 pounds, but I have seen him in person a couple times this year and think he’s quite a bit bigger.   The plate skills are elite and help the below average hit tool play up a bit (69.9 Contact% and 75.1 Z-Contact%), but despite lower end contact the quality of contact is fantastic as he’s rocking a 12.8% barrel rate and 15 degree average launch angle on the year.  The power is fantastic as he has a 106 90th percentile EV and 111.3 max EV on the year and he’s still only 19-years-old!","Duno missed most of 2024 with injuries, but has bounced back in 2025 to be one of the most exciting catching prospects in baseball.  He’s more athletic than he looks as such a big dude and is pretty solid behind the plate.  He may move to secondary DH or 1B duties at some point ala Salvador Perez to keep the power bat in the lineup, but he has enough defensive skill to stick at the position.  He slots behind Baez since Baez adds the speed upside and proximity to the table and ahead of Irish, who has the better hit tool and contact stroke, but Duno ultimately has a much better eye and a higher power outcome, plus will likely stick to catcher unlike Irish.",153,40/45,55/60,55/70,40/30,
59,88,Ike Irish,C/1B/OF,Orioles,Mid/Late 2027,Will Clark light,"Irish is a fluid lefty hitter with a repeatable swing with a plus hit / power profile.  He was a barrel rate stud in college, but now swapping to wood we will see how it affects the insane 22.9% barrel rate he put up.  He has an 80.6% contact rate through 9 games in pro ball, though he had angles issues with a 47% groundball rate in college.  Irish has put up a 112 max EV with the wood bat, so there is some plus power potential in the bat if he can put the ball in the air.","Irish has the potential to be a middle of the order bat, but likely more in the 5-6 hole of the lineup where maybe we could see something like a lefty Nick Castellanos production.  Irish should be a solid player and fly through the minors as long as he can limit the strikeouts.",N/A,60/60,40/50,50/60,40/40,
60,91,Colby Thomas,OF,Athletics,Debuted (in MLB),Taylor Ward mechanics and Adolis Garcia-like outcomes,"Thomas has all fields power and does a great job of shooting the ball through the gaps.  He has an open stance with hands up, loaded pre-pitch.  He’s an extra base hit machine and may run into some strikeout issues as the hit tool is driven by quality contact (9.4% barrel rate in the majors with a strong air-pull rate), rather than by contact (65.8% contact% in the majors and 82.1% Z-contact).  He hits the ball very hard with a 115.9 max EV on the season, but doesn’t often get to his top of the line power with only a 105 90th percentile EV.","Thomas has 30-35 homer power and can steal another 10-15 bags on top of it, but he will live and die by the contact rates, if he can hit .230-.250 then he will play for fantasy, but if he’s striking out more than 30% of the time, he will be a completely unsustainable fantasy asset.",57,30/40,20/35,55/65,50/50,
61,92,Moises Ballesteros,C,Cubs,Debuted (but in AAA),Lefty only Pablo Sandoval w/ more pop,"Ballesteros has a plus hit tool (81.5 Contact% and 86.6 Z-Contact%) and power for a catcher, but he has a bad body ala Pablo Sandoval, which may negatively affect him down the line.  He showed even more power in the Arizona Fall League and is advanced as a hitter for his age with 6 bombs there and the exit velocities are above average (105.9 90th percentile and 112.3 max EV).","Ballesteros is a pure hitter with a 122 wRC+ as a 21-year-old at AA and AAA ball, and rates out as someone who could be an Alejandro Kirk with power or young Pablos Sandoval as a catcher type and should try to get in better shape if he wants to optimize his plus hit tool.  The issue for Ballesteros is he does not have the height to play 1B nor the athleticism to play in the OF, so he’s basically stuck as a catcher / DH option only, which limits his offensive potential from a playing time perspective and the Cubs have some decent options this year at catcher.",64,60/60,50/50,55/55,25/20,
62,93,Juneiker Caceres,OF,Guardians,2028,Mini Lefty Bryan Reynolds mash w/ Ronny Mauricio mechanics,"Caceres has a nice tight swing where he coils in with a leg kick, but without much of a stride and can pack a punch for a leaner middle infielder, he just turned 18-years-old a week before this writing.  He has a plus hit tool, hitting to an 82.6% contact rate with a solid doubles profile as far as angles, but he’s not likely to get into power as the flyball rate is below average.  He’s reported to have hit a 108 max EV in the DSL last year and this year has a 105.9 90th percentile EV, which is insane for his size and age.","The two biggest issues holding Caceres down is a lack of great angles as he does not hit enough flyballs to get to 20 homer power and without major angle changes, he’s just profiling as a high batting average, big doubles guy.  He hits the ball hard frequently, but needs to get the ball into the air to maximize his profile.  Ballesteros gets the call over Caceres right now due to the proximity bump, even without a position at the moment and I’d go Caceres over Rojas because of the stronger power potential.",N/A,50/60,55/60,50/60,40/45,
63,94,Jefferson Rojas,SS,Cubs,Late 2026,Smaller Xander Boegaerts,"Rojas has a good hit tool (81.3% contact rate in AA) and enough power and speed to fill all categories.  He ran a 103.3 90th percentile EV last year as a 19-year-old which portends to a solid 50-55 power tool and a good pull rate, but he could still work on angles and squaring up the ball as he’s been hitting a lot of groundballs at AA (almost 50%).","Rojas is young for his age-to-level, which is a boost to his potential as he had a great season in high A before getting the jump to AA as only a 20-year-old and has a career high home run total already this year, so the power is developing.  The Cubs have actually had some trouble as an organization finishing the development of some of their guys and I don’t necessarily trust them to get the most out of Rojas - but I like him as a very well rounded player that looks to me like a future starter and I give his org mate Ballesteros a slight edge for proximity.",N/A,50/55,55/60,40/50,55/50,
64,96,Felnin Celesten,SS,Mariners,Late 2027,Switch hitting Gunnar Henderson light,"Celesten is a good sized switch hitting, athletic shortstop who has shown some stellar tools, but has yet to get into his raw power (reported 90th percentile EV of 104 in complex in 2024) despite getting to better angles in 2025.  He needs to get the ball in the air and despite having a good feel for finding the holes in the defense, the power is still down post injury as is the hit tool (73.2 contact%), so I think he has lost some bat speed recovering from the broken hamate last year.  Right now he’s all potential.","I’m a big Felnin fan as the big switch hitting SS prospect had a broken hamate bone last season which are known for sapping power, so it’s tough to wonder how long it takes to fully heal for a hitter to the point of power returning, especially in a younger, developing player who has to adjust on the fly.  I believe in the talent and don’t want to ding him too much, even though the production hasn’t been what I would have hoped for, but it’s hard to hate on a 109 wRC+ from a guy who is still a little young for the level by two years 35-50 points.",47,35/45,40/50,40/55,55/60,
65,97,Cooper Pratt,SS,Brewers,2027,Giant Ha-Seong Kim,"Pratt is a huge athletic SS that is far away as a high school guy, but has light five-tool potential, especially due to his size. He has a long, exaggerated leg kick in his swing that I’m not a fan of, but the longer levers have not been an issue on his ability to get to the ball with a 78.5% contact rate on the year and solid angles (keep in mind he’s hitting in the Southern League this year, which is infamously difficult).  The lack of power is a bit concerning as he’s only reached a reported 106.5 max EV and 100.7 90th percentile EV on the year.  His speed is above average, rather than plus, but he has very good baserunning skills.","Pratt could grow into 20 homer power due to his size, but for now he works off a killer plate approach teamed with speed.  Pratt has some excellent upside and some of the numbers should be taken with a grain of salt, as he’s hitting in a bad hitting environment and deserves a boost, but the lack of power still is starting to become concerning in regards to his ultimate upside.  Pratt is rocking a 115 wRC+ as a 20-year-old at AA most of the season, which is good for a 165-170 theoretical wRC+.",53,45/50,60/65,35/45,60/55,
66,98,Dalton Rushing,C,Dodgers,Debuted,Daulton Varsho without the baserunning ability,"Stout kid with a quick swing and nice lefty pull power with great plate discipline and an average hit tool.  The lack of speed definitely dings his max potential a bit for fantasy purposes, but he has the skills to be a regular starter if the Dodgers can clear the room for him - which still hasn’t happened as of this writing.  The hit tool has fallen off from 77.7% contact at AAA to 67% contact in the MLB, which is partly due to a lack of consistent playing time.  Rushing is not a 38% K guy, that will decline once the small sample size is neutraled out.  The power has measured greater in the majors than at AAA with a 112 max EV against the 108 he had in AAA, while he consistently hits the ball hard with an average EV over 90.","Rushing is still a decent prospect, but the Dodgers tend to let some of their guys stew and he’s older for the level.  He’s played games at LF and at 1B in the minors, but has only played catcher for the Dodgers thus far, so it appears unlikely he plays at either of those positions pending an injury.  The Dodgers roster crunch dings him in my rankings a bit and caps his potential, but he’s a solid bat all around.  Rushing has the ability to hit 25-30 bombs in a season if he gets full-time at bats, but the hit tool is worse than what he was credited for once promoted and he needs consistent at bats to finish / polish off his development.  The shortstops, Celesten and Pratt have some higher upside and get the edge to Rushing who is a bit blocked and it’s stifling his development some.",54,40/45,50/60,55/55,30/40,
67,99,Tyson Lewis,SS,Reds,2028,Bigger lefty Matt McLain,"Lewis is an athletic freak that we have heard a lot about from everyone out in Arizona, especially after some monster EVs he has put up with a rumored 119.4 max EV (but also hit a homer at a 114.8 max EV and he has a ridiculous 107.9 90th percentile EV.  At 6’ 2” 195 lbs, he is one of the strongest players I’ve seen live - all lean muscle and insane upside if he can manage even average contact.  He has a powerful lefty swing with great wheels, but the hit tool (63.9% contact rate and 69.3% Z-Contact%) and plate skills (20.8 SwStr%) grade out as poor.  The quality of contact is great for a doubles profile, but not for a masher as he has a 33.3% line drive rate and 11.1% barrel rate at A ball, but needs to work on pull and air rates in the offseason with only a 9 degree average launch angle.","There’s a real risk that Tyson Lewis is just the SS version of Spencer Jones or Carson Williams with even more power and speed.  Lewis is a player of extremes and unless he spends some serious offseason time on refining his contact, he is going to be a polarizing player the next few years and I give him a slight edge to Level despite Level being a much safer player as we are going tools vs. a good contact / bad angles hitter at the same stage in their development.",124,20/40,25/40,55/70,65/70,
68,100,Jhonny Level,SS,Giants,2028,Asdrubal Cabrera and Light Francisco Lindor mash,"Level is a switch hitting fire hydrant type SS at 5’10” with a plus plate approach, good hit tool featuring a 78% contact rate (though he has had a lot more success on the right side of the plate) with a lot of pre-swing hand movement ala many late 90s / early 2000s hitters.  The power is mostly coming from the left side of the plate and he needs to work on angles as the quality of contact that he has shown in A ball is poor.  Level does have power potential if he can work on angles as he’s logged max exit velocities of 111.8 and 112 this year, which is potential above plus at his age.","Level has plus tools across the board and is getting into some very nice power for a kid who is barely 18-years-old with a 100.7 90th percentile exit velocity in the DSL as a 17-year-old.  He’s oddly run some lower BABIPs in DSL and CPX, which the opposite is usually the case, but part of that is he has had some low line drive rates at both levels - so it will be interesting to see his barrel numbers once that data is available.  I’m not the biggest fan of Arquette and think there’s a lot of moving parts without elite feature in a sub part hit package.",145,45/50,50/60,35/60,55/55,
69,101,Aiva Arquette,SS,Marlins,2027,Wiry Carlos Correa / Kris Bryant hybrid,"Arquette is a huge, lean 6’ 5” shortstop with an open stance and a lot of bat wiggle.  We’ve only seen a small sample size in the minors thus far (17 games), but as a longer lever player he has a subpar hit tool that only got to average-ish angles (but the ability to go to all fields) with a metal bat and has hit too many balls on the ground in his small sample size.  Arquetter reportedly has posted a max EV of 104 with wood in the Cape Cod league last year and he ranked in the 92nd percentile of EVs in college last year - indicating a potential plus hit tool.","I’m not as big on Arquette as others are (as you can see based on my ranking), I don’t necessarily buy the power upside as more than mid 20s, because he doesn’t get to the best angles and he has a decent number of holes in his swing.  Despite not being as good of an athlete, Rushing is a better pure hitter and gets the edge to Arquette in my rankings.",N/A,35/45,40/50,45/55,50/50,
70,105,Edgar Montero,SS,Athletics,2029,Juan Soto mechanics meets shades of a bigger Ozzie Albies profile,"Montero has an athletic switch hitting 6’ 2” build with a very simple and easy toe tap setup that replicated Juan Soto’s mechanics - not a surprise for a young Dominican hitter, but he does it well.  Montero has a potential plus plate approach with the rare higher walk rate than strikeout rate in his second go at the DSL, chopping his swinging strike rate more than half from last year.  The contact rate is a rough 67.3%, but even a super hit tool guy like Juneiker Caceres bumped his contact rate from 72% to 84% once he hit complex, so there’s a likelihood of a big jump once Montero gets state-side.  Montero has a strong pull/air approach having jumped his pull rate more than 20% year over year, so we are seeing a ton of angles growth this year.  Montero has a reported 104.7 90th percentile EV and 87.5 average EV, which are both great for his age, demonstrating some plus power upside.","Montero is a long way off, hence how far down my rankings he is despite how much I like him.  He was the most consistently great player week-to-week in the DSL this year as I was doing my weekly Top 10 player articles for Fantasy Pros and as you can see, he compiled excellent stats across the boards - it would be great to see him take the jump to A ball next year rather than getting stuck in Complex.  Arquette and Rushing have a multi-year proximity bump over Montero, even though I think Montero may have higher upside.",N/A,30/50,40/55,45/55,50/50,
71,106,Cris Rodriguez,OF,Tigers,2029,A Rod mechanics / George Springer mash,"Rodriguez is a big dude for his age with a 68.3% contact rate on the year and a fairly standard batted ball profile.  The power and speed tools are what really makes Rodriguez stand out against some of the other top DSL performers over the past year.  Rodriguez had a reported 90th percentile EV of 103.1 in 2024 in youth Dominican leagues as a 16-year-old and we have no data on how his exit velocities may have improved this year, but there’s 30 homer potential in this bat.  The Tigers paid Rodriguez a $3.2 million bonus, so they obviously like the potential.","Unlike Montero, while Rodriguez is a year younger and that counts for something, the plate approach is lacking with a classic DSL aggressiveness in his profile.  There’s a 30/15 type profile here in his peak if Rodriguez develops properly and cuts the swing and miss, though like Montero he’s years away and this is just my little DSL pocket in these rankings.",N/A,25/50,20/40,40/60,50/50,
72,108,AJ Ewing,OF,Mets,2027,,"Ewing runs an above average hit tool with a 79.5 Contact% and 88.9 Z-Contact% with decent enough angles at a 7.4% barrel rate and 10 degree launch angle when he was at A ball and we have that data - this also resulted in 46.3% line drive rate, but that was only at the A ball level.  While in A ball Ewing showed decent enough hard hit data, despite only mashing three homers on the year with a 108.7 Max EV, 103.6 90th percentile EV and a 90.6 average EV, which are all good enough to reach 15 homers, but he gets the ball in the air less than 30% of the time, so the angles are not great for power.","Rodriguez has a more well rounded profile than Ewing and gets the edge in my rankings, while Ewing then gets the call over Wilken who is an extreme in the other direction of power vs. speed, but Ewing’s above average hit tool could develop into a plus hit tool and if he can fix some of the angles issues it will make him a more well rounded player.",N/A,50/55,55/60,30/40,70/70,
73,110,Aron Estrada,2B,Orioles,2027,Mini Ohtani mechanics w/ an Ozzie Albies like profile,"Estrada is a small 5’8” switch hitting shortstop who caught my attention doing the T-10s as I noticed he’s only 20-years-old in AA with a solid 79.3% contact rate and some potential above average tools and an aggressive approach (51.2% swing rate).  The power for Estrada is developing as he’s been getting to better angles at AA dropping the GB rate closer to 40% and raising the flyball profile.  He hits the ball harder than you would think for a small dude, getting to a 112 max EV earlier this year and reportedly hitting 102 90th percentile EVs in the 2024 season, which based on these numbers and the change in attack angles, he has a lot more power to grow into.","I love Estrada’s swing, high hands, simple toe tap in the box and a nice load that gets him into way more power than you think he would be capable of and reminds me of a mini switch hitting Shohei Ohtani.  Estrada is rocking a 138 wRC+ on the season and is more than two years young for the level, so deserves a theoretical bump of another 50-65 points to a 190-ish wRC+, if the power can uptick Estrada could be a Top 100 guy by the offseason rankings.",N/A,50/55,40/45,40/55,65/60,
