,BatterName,batter,GB%,FB%,LD%,Brl%,SweetSpot%,AirPull%,Chase%,Z-Swing%,Contact%,Z-Contact%,la_median,la_std,EV90,xwOBACON,xwOBA,Team,PA,AB,H,R,HR,RBI,SB,CS,AVG,OBP,SLG,SBAtt%,K%,BB%,RotoValue,RV_per600,fHitTool,fDiscipline,fPower,fSpeed,fDurability,Year
546,Miguel Vargas,678246,0.299,0.354,0.245,0.081,0.365,0.208,0.216,0.687,0.791,0.826,21.0,27.25213123489058,102.52,0.33091771019677996,0.30791834615384617,CWS,806.0,710.0,149.0,102.0,21.0,76.0,9.0,1.0,0.21,0.297,0.359,0.056,0.195,0.1,0.69,0.51,99.0,104.0,97.0,99.0,119.0,2024-2025
547,Mike Ford,645801,0.422,0.289,0.156,0.022,0.289,0.089,0.282,0.723,0.746,0.765,18.0,35.86502474556514,104.80000000000001,0.2919111111111111,0.2344516129032258,CIN,62.0,60.0,9.0,2.0,1.0,4.0,0.0,0.0,0.15,0.177,0.233,0.0,0.242,0.032,-3.14,-30.36,,,,,,2024-2025
548,Mike Siani,672279,0.605,0.149,0.215,0.022,0.333,0.057,0.299,0.643,0.704,0.767,3.5,28.017909034741198,100.13,0.3023410138248848,0.24522975438596492,STL,342.0,315.0,72.0,46.0,2.0,20.0,20.0,3.0,0.229,0.287,0.283,0.264,0.289,0.067,-0.39,-0.69,,,,113.0,114.0,2024-2025
549,Mike Tauchman,643565,0.378,0.305,0.253,0.071,0.37,0.125,0.233,0.683,0.766,0.814,16.0,25.953974137080962,102.92,0.35561169102296447,0.3272273619047619,CWS,735.0,633.0,163.0,94.0,16.0,69.0,6.0,2.0,0.258,0.358,0.385,0.037,0.212,0.125,2.17,1.77,109.0,105.0,89.0,70.0,101.0,2024-2025
550,Mike Trout,545361,0.32,0.322,0.27,0.161,0.451,0.183,0.203,0.574,0.72,0.805,20.0,26.6273038323343,107.80000000000001,0.498672131147541,0.37607896417910447,LAA,681.0,565.0,130.0,90.0,36.0,78.0,8.0,1.0,0.23,0.352,0.458,0.048,0.301,0.151,2.46,2.17,99.0,103.0,125.0,87.0,109.0,2024-2025
551,Mike Yastrzemski,573262,0.343,0.328,0.232,0.094,0.361,0.201,0.228,0.623,0.777,0.831,19.0,29.433985352957237,103.69,0.3654477172312224,0.3197328583984375,KC,1029.0,905.0,210.0,128.0,35.0,103.0,10.0,4.0,0.232,0.319,0.419,0.059,0.225,0.107,3.53,2.06,96.0,107.0,105.0,94.0,123.0,2024-2025
552,Miles Mastrobuoni,670156,0.483,0.251,0.246,0.024,0.355,0.066,0.219,0.567,0.824,0.862,10.0,27.717624569995262,101.2,0.3344126213592233,0.3090509090909091,SEA,276.0,250.0,57.0,29.0,1.0,16.0,8.0,3.0,0.228,0.293,0.268,0.151,0.167,0.087,-1.69,-3.68,,,,115.0,108.0,2024-2025
553,Mitch Garver,641598,0.357,0.312,0.225,0.082,0.326,0.208,0.202,0.585,0.693,0.783,19.0,30.443426819146516,104.37,0.35289613526570046,0.29305866203059805,SEA,720.0,621.0,116.0,66.0,24.0,81.0,3.0,0.0,0.187,0.29,0.341,0.019,0.296,0.115,-0.94,-0.78,83.0,98.0,103.0,73.0,96.0,2024-2025
554,Mitch Haniger,571745,0.427,0.286,0.224,0.09,0.318,0.133,0.24,0.635,0.677,0.765,15.0,29.231760397967513,104.2,0.3696980392156863,0.29246662884160757,SEA,423.0,380.0,79.0,42.0,12.0,44.0,0.0,0.0,0.208,0.286,0.334,0.0,0.298,0.095,-1.53,-2.17,,,,,,2024-2025
555,Moises Ballesteros,694208,0.622,0.133,0.244,0.067,0.311,0.067,0.274,0.693,0.733,0.747,5.0,23.993328197225953,106.5,0.3706,0.34272307692307696,CHC,66.0,57.0,17.0,12.0,2.0,11.0,0.0,0.0,0.298,0.394,0.474,0.0,0.182,0.136,-2.15,-19.56,,,,,112.0,2024-2025
556,Mookie Betts,605141,0.304,0.348,0.277,0.057,0.406,0.194,0.214,0.603,0.849,0.931,20.0,25.860166896632,101.73,0.3472834051724138,0.34673597359454855,LAD,1179.0,1039.0,282.0,170.0,39.0,157.0,24.0,4.0,0.271,0.346,0.443,0.089,0.106,0.103,9.33,4.75,99.0,117.0,99.0,94.0,124.0,2024-2025
