,BatterName,batter,GB%,FB%,LD%,Brl%,SweetSpot%,AirPull%,Chase%,Z-Swing%,Contact%,Z-Contact%,la_median,la_std,EV90,xwOBACON,xwOBA,Team,PA,AB,H,R,HR,RBI,SB,CS,AVG,OBP,SLG,SBAtt%,K%,BB%,RotoValue,RV_per600,fHitTool,fDiscipline,fPower,fSpeed,fDurability,Year
0,Aaron Hicks,543305,0.588,0.147,0.176,0.059,0.324,0.118,0.266,0.617,0.672,0.736,2.0,31.18200267065258,103.28,0.3311470588235294,0.24538095238095237,LAA,63.0,57.0,8.0,6.0,1.0,5.0,0.0,0.0,0.14,0.222,0.193,0.0,0.365,0.095,-3.06,-29.18,,,,,,2024-2025
1,Aaron Judge,592450,0.325,0.386,0.242,0.258,0.411,0.168,0.205,0.672,0.674,0.764,20.0,24.104566210383883,111.56000000000002,0.6186028277634962,0.47759755622641514,NYY,1382.0,1100.0,360.0,259.0,111.0,258.0,22.0,5.0,0.327,0.458,0.695,0.06,0.24,0.186,21.49,9.33,103.0,106.0,158.0,79.0,125.0,2024-2025
2,Aaron Schunk,668845,0.326,0.267,0.349,0.047,0.419,0.128,0.454,0.761,0.73,0.846,19.0,27.749260844717657,100.65,0.32903529411764704,0.23308527131782947,COL,130.0,126.0,28.0,15.0,2.0,7.0,0.0,1.0,0.222,0.246,0.302,0.038,0.315,0.031,-2.58,-11.9,,,,,111.0,2024-2025
3,Abraham Toro,647351,0.441,0.257,0.222,0.044,0.337,0.134,0.327,0.657,0.812,0.888,14.0,29.52021420545661,101.82,0.3260301810865191,0.29872034161490685,BOS,646.0,596.0,143.0,67.0,13.0,53.0,6.0,3.0,0.24,0.291,0.359,0.062,0.161,0.053,0.4,0.37,97.0,101.0,88.0,101.0,117.0,2024-2025
4,Adael Amador,691182,0.432,0.314,0.195,0.042,0.288,0.203,0.312,0.684,0.794,0.881,11.5,30.70979456076455,100.83,0.29033043478260867,0.26404341614906834,COL,161.0,148.0,27.0,6.0,1.0,10.0,2.0,1.0,0.182,0.248,0.257,0.097,0.205,0.075,-3.05,-11.35,,,,,110.0,2024-2025
5,Adam Duvall,594807,0.312,0.351,0.18,0.107,0.298,0.249,0.335,0.654,0.723,0.842,23.0,33.35276573696877,105.83999999999999,0.3680048780487805,0.28406654545454546,ATL,330.0,303.0,55.0,29.0,11.0,31.0,0.0,0.0,0.182,0.245,0.323,0.0,0.3,0.064,-2.43,-4.42,,,,,,2024-2025
6,Adam Frazier,624428,0.398,0.262,0.282,0.024,0.409,0.16,0.283,0.689,0.806,0.871,15.0,26.21731319524079,98.61,0.3092783882783883,0.2836565287817938,KC,749.0,681.0,165.0,78.0,11.0,66.0,11.0,6.0,0.242,0.304,0.338,0.091,0.187,0.064,1.18,0.94,113.0,98.0,80.0,95.0,118.0,2024-2025
7,Addison Barger,680718,0.427,0.241,0.237,0.106,0.357,0.155,0.311,0.648,0.735,0.816,12.0,30.19255317984967,107.6,0.40855102040816327,0.3263246241331484,TOR,725.0,667.0,153.0,81.0,28.0,103.0,6.0,1.0,0.229,0.286,0.423,0.052,0.25,0.069,1.99,1.65,98.0,95.0,114.0,99.0,121.0,2024-2025
8,Adley Rutschman,668939,0.38,0.306,0.244,0.066,0.358,0.186,0.263,0.596,0.838,0.891,18.0,26.612598725659858,103.17999999999999,0.34285714285714286,0.323063374,BAL,1003.0,893.0,214.0,105.0,28.0,108.0,1.0,0.0,0.24,0.314,0.382,0.004,0.16,0.098,2.6,1.56,98.0,112.0,91.0,88.0,107.0,2024-2025
9,Adolis Garcia,666969,0.379,0.325,0.221,0.121,0.349,0.148,0.345,0.725,0.676,0.762,17.0,29.606845214811568,106.0,0.39312055837563453,0.31051288823031326,TEX,1184.0,1087.0,244.0,126.0,44.0,160.0,24.0,9.0,0.224,0.277,0.397,0.144,0.264,0.062,5.4,2.74,96.0,93.0,103.0,101.0,123.0,2024-2025
10,Adrian Del Castillo,680728,0.323,0.378,0.244,0.087,0.394,0.205,0.306,0.647,0.673,0.754,20.0,25.804878676900593,103.67999999999999,0.39507086614173226,0.2816375688073395,ARI,218.0,200.0,54.0,21.0,8.0,36.0,1.0,1.0,0.27,0.321,0.445,0.039,0.344,0.069,-0.93,-2.55,,,,77.0,86.0,2024-2025
11,Agustin Ramirez,682663,0.458,0.222,0.238,0.11,0.318,0.159,0.32,0.702,0.745,0.863,9.5,31.937707058154018,109.13,0.3932640186915888,0.3394555934819897,MIA,585.0,537.0,124.0,72.0,21.0,67.0,16.0,3.0,0.231,0.287,0.413,0.168,0.193,0.062,1.67,1.72,97.0,97.0,107.0,86.0,120.0,2024-2025
12,Akil Baddoo,668731,0.39,0.271,0.203,0.102,0.305,0.169,0.333,0.683,0.661,0.772,18.0,27.47048785692755,103.32000000000001,0.39013559322033897,0.29318,DET,100.0,90.0,12.0,7.0,2.0,6.0,2.0,0.0,0.133,0.21,0.278,0.143,0.32,0.09,-3.1,-18.59,,,,109.0,105.0,2024-2025
13,Alan Roden,702176,0.588,0.176,0.147,0.02,0.206,0.078,0.324,0.616,0.762,0.878,-5.0,35.41231744396414,104.34,0.24073529411764705,0.2254440522875817,MIN,153.0,136.0,26.0,17.0,2.0,9.0,1.0,1.0,0.191,0.261,0.294,0.065,0.242,0.052,-2.74,-10.73,,,,,102.0,2024-2025
14,Alan Trejo,676701,0.476,0.357,0.155,0.048,0.226,0.119,0.372,0.778,0.757,0.844,11.5,28.332425485776124,100.11,0.2567560975609756,0.21658123364485982,COL,108.0,103.0,16.0,7.0,0.0,2.0,0.0,0.0,0.155,0.185,0.175,0.0,0.204,0.028,-3.39,-18.82,,,,75.0,107.0,2024-2025
15,Alec Bohm,664761,0.479,0.223,0.265,0.065,0.365,0.089,0.268,0.69,0.837,0.899,10.0,25.918653500342153,104.2,0.3697180974477958,0.337123880866426,PHI,1110.0,1018.0,287.0,115.0,26.0,156.0,7.0,2.0,0.282,0.331,0.429,0.033,0.151,0.062,6.96,3.76,112.0,102.0,84.0,81.0,118.0,2024-2025
16,Alec Burleson,676475,0.414,0.271,0.249,0.079,0.353,0.112,0.318,0.736,0.813,0.867,14.0,28.285973388613915,104.8,0.3651701890989989,0.3390113165784832,STL,1135.0,1044.0,290.0,125.0,39.0,147.0,14.0,5.0,0.278,0.327,0.438,0.067,0.137,0.065,8.06,4.26,106.0,106.0,95.0,87.0,121.0,2024-2025
17,Aledmys Diaz,649557,0.5,0.208,0.208,0.0,0.167,0.25,0.429,0.7,0.758,0.881,6.5,30.204976075311578,104.06,0.26033333333333336,0.2043529411764706,HOU,34.0,33.0,3.0,2.0,0.0,1.0,0.0,0.0,0.091,0.118,0.091,0.0,0.265,0.029,-3.21,-56.71,,,,,,2024-2025
18,Alejandro Kirk,672386,0.45,0.227,0.249,0.086,0.361,0.096,0.287,0.657,0.827,0.875,11.0,28.14045982571791,105.3,0.362242816091954,0.3490262924634421,TOR,892.0,791.0,213.0,68.0,20.0,130.0,1.0,0.0,0.269,0.335,0.393,0.004,0.123,0.093,3.47,2.33,101.0,114.0,89.0,65.0,115.0,2024-2025
19,Alejandro Osuna,696030,0.429,0.202,0.303,0.059,0.353,0.109,0.249,0.615,0.804,0.85,11.0,26.68082192076837,104.80000000000001,0.3734201680672269,0.34013206896551723,TEX,176.0,151.0,32.0,12.0,2.0,15.0,5.0,4.0,0.212,0.312,0.278,0.184,0.193,0.119,-2.25,-7.68,,,,117.0,109.0,2024-2025
20,Alek Thomas,677950,0.55,0.21,0.202,0.078,0.29,0.098,0.342,0.684,0.719,0.818,5.0,31.344608067213397,105.11,0.37519338422391857,0.3020636283185841,ARI,565.0,528.0,125.0,64.0,12.0,55.0,11.0,5.0,0.237,0.28,0.366,0.136,0.246,0.05,0.61,0.65,96.0,92.0,85.0,111.0,119.0,2024-2025
21,Alex Bregman,608324,0.375,0.275,0.238,0.065,0.35,0.182,0.219,0.629,0.862,0.91,17.0,28.489098201074356,102.7,0.34477777777777774,0.33039679822222223,BOS,1129.0,1014.0,269.0,143.0,44.0,137.0,4.0,2.0,0.265,0.335,0.457,0.022,0.138,0.084,6.78,3.6,98.0,111.0,109.0,81.0,114.0,2024-2025
22,Alex Call,669743,0.452,0.259,0.233,0.046,0.325,0.111,0.182,0.579,0.809,0.852,12.0,26.773817342358328,100.96000000000001,0.3253010033444816,0.31851590675990676,LAD,429.0,369.0,105.0,58.0,8.0,45.0,7.0,2.0,0.285,0.375,0.42,0.07,0.172,0.112,1.07,1.5,94.0,108.0,82.0,102.0,111.0,2024-2025
23,Alex Freeland,690976,0.38,0.28,0.2,0.08,0.34,0.18,0.19,0.558,0.695,0.76,16.0,29.723927007289834,101.27000000000001,0.3408163265306122,0.26169781249999996,LAD,96.0,84.0,16.0,10.0,2.0,6.0,1.0,0.0,0.19,0.292,0.31,0.043,0.365,0.115,-2.74,-17.11,,,,,112.0,2024-2025
24,Alex Jackson,656577,0.394,0.331,0.155,0.113,0.289,0.162,0.338,0.715,0.606,0.703,22.0,33.35394528039607,105.3,0.33609929078014184,0.25048262598425197,BAL,254.0,230.0,37.0,34.0,8.0,20.0,1.0,0.0,0.161,0.236,0.33,0.027,0.354,0.067,-2.67,-6.31,,,,90.0,90.0,2024-2025
25,Alex Kirilloff,666135,0.487,0.322,0.139,0.113,0.287,0.078,0.298,0.698,0.691,0.799,11.0,25.3401060841096,104.56,0.38359130434782607,0.31261690395480224,MIN,178.0,159.0,32.0,20.0,5.0,20.0,0.0,0.0,0.201,0.27,0.384,0.0,0.264,0.084,-2.34,-7.89,,,,,,2024-2025
26,Alex Verdugo,657077,0.483,0.222,0.244,0.05,0.332,0.09,0.244,0.59,0.848,0.912,10.0,27.938175454917882,103.0,0.32159190031152646,0.304125357400722,ATL,832.0,756.0,177.0,95.0,13.0,73.0,3.0,1.0,0.234,0.292,0.339,0.021,0.149,0.076,0.72,0.52,,,,,,2024-2025
27,Alexander Canario,672744,0.45,0.258,0.225,0.126,0.358,0.159,0.316,0.734,0.605,0.695,13.0,29.078934972951604,106.8,0.4292980132450331,0.30093203053435114,PIT,262.0,241.0,54.0,29.0,7.0,22.0,4.0,1.0,0.224,0.282,0.349,0.085,0.347,0.073,-1.57,-3.6,88.0,93.0,94.0,96.0,99.0,2024-2025
28,Ali Sanchez,645305,0.548,0.202,0.202,0.071,0.31,0.071,0.372,0.634,0.779,0.859,5.0,29.59371812750878,103.22,0.2803333333333333,0.22465656637168144,BOS,113.0,107.0,19.0,7.0,0.0,4.0,2.0,1.0,0.178,0.212,0.215,0.15,0.265,0.035,-3.05,-16.21,,,,,86.0,2024-2025
29,Alika Williams,675961,0.443,0.229,0.286,0.043,0.4,0.186,0.303,0.675,0.769,0.845,18.0,28.91725899000152,103.73,0.3089076923076923,0.25163947252747254,PIT,91.0,87.0,18.0,13.0,0.0,5.0,1.0,0.0,0.207,0.242,0.299,0.062,0.242,0.033,-2.73,-18.0,,,,96.0,103.0,2024-2025
30,Amed Rosario,642708,0.496,0.197,0.251,0.051,0.35,0.107,0.381,0.73,0.763,0.859,8.0,28.713732817545168,104.7,0.35595133819951336,0.30134589944134077,NYY,537.0,513.0,144.0,49.0,9.0,57.0,14.0,5.0,0.281,0.309,0.404,0.153,0.194,0.03,1.98,2.22,107.0,96.0,81.0,92.0,94.0,2024-2025
31,Andres Chaparro,665953,0.394,0.275,0.211,0.077,0.317,0.204,0.329,0.745,0.725,0.839,18.5,31.593212970251027,103.7,0.3306830985915493,0.2876172292682927,WSH,205.0,187.0,38.0,16.0,5.0,20.0,1.0,1.0,0.203,0.268,0.358,0.056,0.224,0.059,-2.4,-7.02,,,,66.0,98.0,2024-2025
32,Andres Gimenez,665926,0.484,0.206,0.248,0.029,0.343,0.123,0.364,0.717,0.768,0.833,10.0,29.180731206677894,100.89,0.32654221635883907,0.30218212337011036,TOR,998.0,912.0,214.0,103.0,16.0,98.0,42.0,7.0,0.235,0.292,0.328,0.204,0.163,0.051,4.4,2.64,98.0,100.0,81.0,111.0,112.0,2024-2025
33,Andrew Benintendi,643217,0.359,0.33,0.225,0.085,0.376,0.205,0.27,0.708,0.773,0.817,20.0,27.778826347369293,101.7,0.34976785714285713,0.31591187348178135,CWS,991.0,897.0,210.0,107.0,40.0,127.0,4.0,2.0,0.234,0.298,0.412,0.028,0.18,0.082,3.57,2.16,96.0,102.0,107.0,93.0,111.0,2024-2025
34,Andrew Knapp,595284,0.75,0.25,0.0,0.0,0.0,0.0,0.571,0.636,0.333,0.714,0.0,39.20884254008696,100.14,0.20925,0.13949999999999999,SF,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.167,0.0,0.333,0.0,-2.95,-295.13,,,,,,2024-2025
35,Andrew Knizner,668800,0.449,0.203,0.239,0.029,0.283,0.145,0.411,0.629,0.76,0.827,10.5,32.33545281136193,103.42,0.29473722627737226,0.26747745,SF,180.0,167.0,32.0,17.0,2.0,14.0,0.0,0.0,0.192,0.239,0.251,0.0,0.178,0.044,-2.82,-9.4,,,,74.0,86.0,2024-2025
36,Andrew McCutchen,457705,0.42,0.281,0.218,0.1,0.343,0.166,0.19,0.673,0.725,0.792,14.0,28.28630419740483,104.02000000000001,0.39227687776141384,0.335931178030303,PIT,1064.0,925.0,218.0,117.0,33.0,107.0,4.0,3.0,0.236,0.331,0.388,0.025,0.236,0.117,3.07,1.73,96.0,102.0,96.0,85.0,117.0,2024-2025
37,Andrew Vaughn,683734,0.399,0.293,0.232,0.104,0.37,0.14,0.312,0.662,0.781,0.876,15.0,28.15280549548089,105.4,0.39052387096774194,0.33594647932330823,MIL,1065.0,976.0,243.0,90.0,33.0,135.0,2.0,0.0,0.249,0.301,0.406,0.009,0.199,0.065,3.8,2.14,102.0,99.0,97.0,74.0,123.0,2024-2025
38,Andruw Monasterio,655316,0.358,0.318,0.24,0.073,0.413,0.173,0.231,0.65,0.75,0.833,20.0,27.377785791683614,100.92000000000002,0.3521564245810056,0.2935134512635379,MIL,277.0,251.0,60.0,33.0,5.0,32.0,8.0,3.0,0.239,0.31,0.355,0.164,0.26,0.083,-0.88,-1.91,,,,107.0,104.0,2024-2025
39,Andy Ibanez,628451,0.373,0.271,0.261,0.048,0.354,0.197,0.312,0.735,0.745,0.827,16.0,29.270657187257484,102.77,0.32053821656050957,0.2851293729977117,DET,437.0,400.0,96.0,54.0,9.0,53.0,6.0,4.0,0.24,0.297,0.355,0.097,0.204,0.062,-0.03,-0.03,103.0,98.0,92.0,107.0,116.0,2024-2025
40,Andy Pages,681624,0.344,0.317,0.272,0.093,0.409,0.176,0.321,0.707,0.766,0.844,18.0,24.63463264614063,104.5,0.3909107856191745,0.3229135892857143,LAD,1066.0,984.0,258.0,139.0,40.0,132.0,14.0,9.0,0.262,0.31,0.439,0.097,0.228,0.054,6.87,3.87,112.0,94.0,106.0,104.0,122.0,2024-2025
41,Angel Martinez,682657,0.401,0.283,0.23,0.03,0.326,0.21,0.388,0.671,0.79,0.867,16.0,28.009678054214135,101.7,0.30565,0.265127029366306,CLE,647.0,597.0,135.0,72.0,14.0,56.0,11.0,3.0,0.226,0.277,0.353,0.105,0.221,0.059,0.41,0.38,100.0,97.0,92.0,104.0,120.0,2024-2025
42,Anthony Rendon,543685,0.434,0.263,0.211,0.023,0.331,0.109,0.174,0.594,0.875,0.914,14.0,30.943927252789756,100.66,0.2760285714285714,0.28573932773109245,LAA,238.0,206.0,45.0,21.0,0.0,14.0,6.0,1.0,0.218,0.307,0.267,0.111,0.147,0.097,-2.18,-5.51,,,,92.0,,2024-2025
43,Anthony Rizzo,519203,0.434,0.215,0.23,0.04,0.314,0.142,0.336,0.659,0.807,0.894,12.0,30.166759323662234,102.4,0.3142846715328467,0.29732194133333334,NYY,375.0,337.0,77.0,38.0,8.0,35.0,0.0,0.0,0.228,0.301,0.335,0.0,0.173,0.072,-1.44,-2.3,,,,,,2024-2025
44,Anthony Santander,623993,0.321,0.319,0.221,0.101,0.35,0.218,0.331,0.679,0.789,0.838,21.0,31.273967657380208,105.1,0.35319669421487604,0.3115064047619048,TOR,886.0,789.0,174.0,107.0,50.0,120.0,2.0,0.0,0.221,0.299,0.454,0.011,0.214,0.094,3.26,2.21,99.0,102.0,119.0,68.0,98.0,2024-2025
45,Anthony Seigler,678011,0.5,0.208,0.292,0.021,0.438,0.104,0.181,0.667,0.726,0.815,9.0,21.18807204922431,100.25,0.3311458333333333,0.30435602739726025,MIL,72.0,62.0,12.0,6.0,0.0,5.0,1.0,1.0,0.194,0.292,0.21,0.1,0.222,0.111,-2.85,-23.77,,,,,98.0,2024-2025
46,Anthony Volpe,683011,0.466,0.253,0.225,0.069,0.347,0.103,0.268,0.655,0.763,0.811,11.0,28.91404402477639,103.3,0.3511443181818182,0.2923159061032864,NYY,1279.0,1176.0,269.0,155.0,31.0,132.0,46.0,15.0,0.229,0.283,0.377,0.234,0.239,0.066,6.56,3.08,93.0,94.0,98.0,121.0,128.0,2024-2025
47,Aramis Garcia,605244,0.6,0.2,0.2,0.0,0.2,0.2,0.259,0.72,0.6,0.667,-13.0,26.09597670139978,102.58000000000001,0.1496,0.068,ARI,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.545,0.0,-3.11,-169.4,,,,89.0,87.0,2024-2025
48,Armando Alvarez,669137,0.448,0.276,0.207,0.0,0.31,0.207,0.333,0.566,0.812,0.837,15.0,28.5823932162869,95.55999999999999,0.3367586206896552,0.2863076923076923,OAK,39.0,37.0,9.0,7.0,0.0,2.0,1.0,0.0,0.243,0.282,0.27,0.1,0.205,0.051,-2.68,-41.2,,,,,,2024-2025
49,Austin Barnes,605131,0.496,0.156,0.267,0.022,0.326,0.163,0.211,0.665,0.761,0.846,8.0,30.288290505338278,101.56,0.3156136363636364,0.2647766497461929,LAD,197.0,182.0,46.0,16.0,1.0,13.0,3.0,0.0,0.253,0.31,0.302,0.056,0.254,0.076,-1.98,-6.02,,,,,,2024-2025
50,Austin Hays,669720,0.408,0.273,0.247,0.09,0.321,0.194,0.349,0.714,0.694,0.797,15.0,27.913741779188943,104.13,0.3694157549234136,0.2995615082458771,CIN,670.0,615.0,160.0,86.0,20.0,84.0,9.0,2.0,0.26,0.309,0.429,0.074,0.248,0.057,2.84,2.54,98.0,94.0,108.0,104.0,109.0,2024-2025
51,Austin Hedges,595978,0.341,0.307,0.195,0.024,0.293,0.229,0.295,0.751,0.685,0.783,22.0,32.91603232654917,101.4,0.24281818181818182,0.21241870219435738,CLE,319.0,287.0,45.0,25.0,7.0,25.0,3.0,2.0,0.157,0.229,0.251,0.083,0.292,0.075,-3.07,-5.77,,,,65.0,90.0,2024-2025
52,Austin Martin,668885,0.467,0.206,0.279,0.029,0.397,0.152,0.187,0.667,0.802,0.868,11.0,25.105140148472213,101.1,0.34254340836012864,0.3181911935483871,MIN,434.0,389.0,103.0,63.0,2.0,23.0,18.0,7.0,0.265,0.341,0.357,0.212,0.18,0.097,0.73,1.01,,105.0,87.0,110.0,95.0,2024-2025
53,Austin Nola,543592,0.412,0.147,0.382,0.0,0.353,0.0,0.226,0.686,0.836,0.847,8.5,23.206294093661256,98.74,0.2913030303030303,0.275325,COL,40.0,38.0,7.0,2.0,0.0,1.0,0.0,0.0,0.184,0.225,0.211,0.0,0.125,0.05,-3.02,-45.32,,,,,,2024-2025
54,Austin Riley,663586,0.355,0.319,0.266,0.151,0.386,0.194,0.279,0.722,0.715,0.797,16.0,27.90924725740205,108.5,0.45144147157190634,0.34954309289617486,ATL,916.0,841.0,217.0,117.0,35.0,110.0,2.0,1.0,0.258,0.316,0.445,0.015,0.269,0.07,4.43,2.9,106.0,91.0,108.0,90.0,112.0,2024-2025
55,Austin Shenton,668853,0.321,0.286,0.321,0.036,0.5,0.071,0.204,0.596,0.643,0.694,18.0,29.038266123701316,99.19999999999999,0.3172142857142857,0.28964,TB,50.0,42.0,9.0,3.0,1.0,3.0,0.0,0.0,0.214,0.34,0.405,0.0,0.28,0.16,-2.83,-34.0,,,,,97.0,2024-2025
56,Austin Slater,596103,0.502,0.21,0.279,0.082,0.402,0.105,0.227,0.677,0.714,0.78,10.0,25.625561255042975,104.16,0.4114403669724771,0.3212802156334232,NYY,371.0,325.0,70.0,46.0,7.0,31.0,4.0,2.0,0.215,0.302,0.323,0.065,0.299,0.1,-1.41,-2.27,,,,98.0,93.0,2024-2025
57,Austin Wells,669224,0.351,0.315,0.237,0.097,0.348,0.167,0.274,0.723,0.727,0.809,19.0,28.572054503863498,104.83999999999999,0.3780088028169014,0.3202851105937136,NYY,860.0,755.0,169.0,93.0,34.0,126.0,6.0,3.0,0.224,0.298,0.417,0.05,0.238,0.09,2.66,1.85,97.0,95.0,112.0,86.0,112.0,2024-2025
58,Austin Wynns,642851,0.425,0.299,0.23,0.08,0.379,0.195,0.304,0.664,0.727,0.802,14.0,28.037498280164215,105.60000000000001,0.4206511627906977,0.31314877519379847,ATH,130.0,123.0,37.0,16.0,6.0,23.0,0.0,0.0,0.301,0.331,0.545,0.0,0.285,0.038,-1.34,-6.17,,,,60.0,78.0,2024-2025
59,Avisail Garcia,541645,0.649,0.216,0.108,0.081,0.27,0.027,0.368,0.846,0.705,0.883,4.0,24.961020663277225,105.74,0.38472972972972974,0.29284313725490196,MIA,51.0,50.0,12.0,4.0,2.0,2.0,0.0,0.0,0.24,0.255,0.38,0.0,0.255,0.02,-2.7,-31.77,,,,,,2024-2025
60,Ben Gamel,592325,0.439,0.211,0.333,0.105,0.474,0.158,0.17,0.591,0.658,0.746,13.0,24.564553593197708,103.14,0.38363157894736843,0.3445612244897959,HOU,99.0,81.0,20.0,22.0,1.0,4.0,1.0,0.0,0.247,0.384,0.333,0.03,0.242,0.182,-2.28,-13.82,,,,93.0,86.0,2024-2025
61,Ben Rice,700250,0.389,0.295,0.245,0.155,0.393,0.201,0.21,0.675,0.775,0.852,16.0,27.73047741629549,107.33,0.46334309623430964,0.3933500028328612,NYY,706.0,619.0,145.0,94.0,33.0,88.0,3.0,3.0,0.234,0.319,0.462,0.039,0.21,0.099,2.29,1.95,100.0,102.0,126.0,84.0,113.0,2024-2025
62,Ben Rortvedt,666163,0.48,0.207,0.211,0.034,0.303,0.119,0.28,0.608,0.737,0.811,12.0,30.982040572106534,101.03999999999999,0.28286941580756014,0.26137743141592923,LAD,453.0,402.0,83.0,36.0,4.0,41.0,1.0,0.0,0.206,0.296,0.276,0.009,0.245,0.099,-2.21,-2.93,96.0,102.0,83.0,75.0,92.0,2024-2025
63,Ben Williamson,810938,0.586,0.195,0.195,0.033,0.247,0.065,0.335,0.606,0.781,0.874,3.0,29.415375067669256,104.17999999999999,0.31884507042253524,0.2700921160409556,SEA,293.0,277.0,70.0,36.0,1.0,21.0,5.0,1.0,0.253,0.294,0.31,0.083,0.218,0.051,-1.24,-2.54,105.0,96.0,74.0,99.0,115.0,2024-2025
64,Billy Cook,695257,0.229,0.286,0.257,0.114,0.4,0.2,0.4,0.752,0.617,0.707,22.0,28.382975131422086,107.12,0.4589142857142858,0.29203636363636365,PIT,55.0,55.0,13.0,6.0,3.0,8.0,1.0,0.0,0.236,0.236,0.436,0.125,0.364,0.0,-2.43,-26.51,,,,,104.0,2024-2025
65,Billy McKinney,641856,0.452,0.226,0.29,0.032,0.387,0.0,0.269,0.664,0.625,0.732,13.0,25.887805905940656,101.1,0.34099999999999997,0.2732896326530612,TEX,49.0,45.0,9.0,8.0,0.0,3.0,0.0,0.0,0.2,0.265,0.244,0.0,0.286,0.061,-2.85,-34.9,,,,94.0,104.0,2024-2025
66,Blaine Crim,688760,0.308,0.308,0.308,0.154,0.462,0.103,0.273,0.615,0.646,0.725,14.0,28.574877370413038,105.7,0.4985384615384616,0.32927013513513514,COL,74.0,65.0,13.0,10.0,5.0,12.0,0.0,0.0,0.2,0.27,0.462,0.0,0.378,0.081,-2.4,-19.48,,,,,116.0,2024-2025
67,Blake Dunn,694362,0.58,0.16,0.18,0.08,0.26,0.06,0.256,0.63,0.658,0.73,0.5,28.739676052312014,101.85000000000001,0.35568,0.2938954038461538,CIN,104.0,86.0,13.0,18.0,2.0,8.0,3.0,1.0,0.151,0.298,0.256,0.154,0.346,0.096,-2.64,-15.24,,,,,112.0,2024-2025
68,Blake Perkins,663368,0.486,0.252,0.206,0.039,0.337,0.098,0.229,0.592,0.726,0.788,9.0,29.453657304375792,100.82,0.32089203084832907,0.2763417831125828,MIL,605.0,538.0,128.0,79.0,9.0,62.0,30.0,7.0,0.238,0.312,0.338,0.236,0.256,0.094,2.29,2.28,90.0,99.0,86.0,127.0,87.0,2024-2025
69,Blake Sabol,666165,0.545,0.212,0.182,0.091,0.273,0.152,0.343,0.712,0.673,0.824,6.0,24.389981798296038,106.14,0.3605151515151515,0.29303985454545456,BOS,56.0,48.0,12.0,5.0,0.0,2.0,0.0,0.0,0.25,0.339,0.312,0.0,0.286,0.107,-2.77,-29.66,,,,99.0,94.0,2024-2025
70,Blaze Alexander,677942,0.515,0.248,0.207,0.086,0.305,0.117,0.268,0.708,0.697,0.791,6.5,28.821890570913528,104.1,0.3589427480916031,0.2884183251121076,ARI,447.0,396.0,93.0,50.0,10.0,49.0,7.0,7.0,0.235,0.32,0.364,0.124,0.302,0.083,-0.18,-0.24,96.0,92.0,97.0,112.0,107.0,2024-2025
71,Bligh Madris,676632,0.312,0.312,0.229,0.104,0.375,0.188,0.194,0.773,0.711,0.771,20.0,30.60349693781243,103.78,0.3564791666666667,0.2879864864864865,DET,74.0,67.0,18.0,8.0,1.0,5.0,0.0,0.0,0.269,0.324,0.358,0.0,0.27,0.081,-2.5,-20.26,,,,96.0,94.0,2024-2025
72,Bo Bichette,666182,0.472,0.191,0.297,0.067,0.376,0.11,0.358,0.735,0.803,0.889,9.0,25.67302312559278,105.3,0.38165545087483177,0.3411025452653486,TOR,964.0,893.0,252.0,107.0,22.0,124.0,9.0,4.0,0.282,0.33,0.428,0.056,0.161,0.062,5.78,3.6,124.0,104.0,96.0,83.0,122.0,2024-2025
73,Bo Naylor,666310,0.337,0.311,0.228,0.089,0.358,0.192,0.265,0.659,0.75,0.823,21.0,30.655406579233457,103.5,0.343052,0.28204438393977416,CLE,798.0,713.0,141.0,85.0,27.0,86.0,7.0,5.0,0.198,0.273,0.365,0.077,0.277,0.093,0.17,0.13,97.0,101.0,106.0,94.0,112.0,2024-2025
74,Bobby Dalbec,666915,0.434,0.358,0.151,0.019,0.264,0.075,0.282,0.635,0.593,0.611,17.0,37.29537300531026,102.20000000000002,0.258,0.1932406371681416,CWS,113.0,101.0,15.0,8.0,1.0,9.0,3.0,0.0,0.149,0.239,0.208,0.13,0.434,0.097,-2.98,-15.83,,,,94.0,111.0,2024-2025
75,Bobby Seymour,676044,0.5,0.174,0.239,0.0,0.261,0.174,0.421,0.728,0.633,0.818,7.0,25.67515387626817,104.7,0.34960869565217395,0.23621313253012047,TB,83.0,78.0,16.0,9.0,1.0,5.0,1.0,0.0,0.205,0.253,0.282,0.056,0.386,0.048,-2.73,-19.75,,,,,111.0,2024-2025
76,Bobby Witt Jr.,677951,0.375,0.292,0.256,0.134,0.371,0.135,0.314,0.719,0.77,0.841,16.0,28.19838595504059,109.2,0.4477593480345158,0.39221179042784626,KC,1396.0,1259.0,396.0,224.0,55.0,197.0,69.0,21.0,0.315,0.371,0.548,0.256,0.165,0.076,19.68,8.46,106.0,99.0,108.0,135.0,129.0,2024-2025
77,Braden Shewmake,669699,0.482,0.196,0.179,0.036,0.286,0.107,0.37,0.711,0.737,0.852,13.0,33.5166124733439,100.15,0.21305357142857145,0.1885223880597015,CWS,67.0,64.0,8.0,4.0,1.0,4.0,5.0,1.0,0.125,0.134,0.203,1.0,0.149,0.015,-2.86,-25.64,,,,,94.0,2024-2025
