,Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,MLBID
515,Mitch Spence,KC,0.804819,0.852598,0.0453556,4.41575,15.9416,0.607702,0.00757189,1.94012,0.0,21.3653,91.5318,22.1156,11.3942,10.4827,2.93044,6.48602,0.441061,0.757042,17.5591,7.39667,2.73219,2.70723,1.23443,0.191837,0.0708608,0.1209757477045059,0.262379,1.33869,0.300712,0.702372,,,4.29152,0.0816734,0.0498183,999.0,1.94417,-0.888204,1.2269,1.94417,0.888204,3.36414,84.3,4.014285714285714,89,4.238095238095238,,,,,,,,,,,,,,,,,,,Mitch Spence,27707,687765,687765.0
517,Dylan Dodd,ATL,1.39344,1.20503,0.0,4.19382,34.4032,0.104066,0.0,2.66587,0.705415,38.9089,164.488,39.6498,19.7074,18.1308,5.10452,10.5017,0.648839,1.11199,33.1753,7.67378,2.42915,3.15905,1.18073,0.201688,0.0638447,0.137843519449234,0.259362,1.28895,0.301456,0.707918,,,4.0308,0.0800449,0.0705687,999.0,2.25487,-0.558797,1.02906,2.25487,0.558797,3.62792,165.10000000000002,4.233333333333334,172,4.410256410256411,,,,,,,,,,,,,,,,,,,Dylan Dodd,29928,689266,689266.0
518,Ethan Roberts,CHC,1.39611,1.47785,0.0,4.34074,30.6889,0.0,0.0,1.42683,0.0,32.5579,140.087,30.276,17.0683,15.7028,4.39912,13.1241,0.533835,1.94324,30.7583,8.50253,3.6279,2.34365,1.21605,0.219566,0.0936853,0.1258806064724922,0.24217,1.33301,0.287962,0.707059,,,4.39056,0.0784809,0.0249024,999.0,1.45586,-0.0878483,1.02171,1.45586,0.0878483,3.63771,138.00000000000006,4.181818181818183,134,4.0606060606060606,,,,,,,,,,,,,,,,,,,Ethan Roberts,24930,681799,681799.0
519,Chase Lee,TOR,1.21193,0.807271,0.0,4.04028,21.9248,0.0,0.0,1.29581,0.839875,24.1196,101.807,22.7358,11.7693,10.8278,3.2992,7.61109,0.599174,1.27173,23.1098,8.62319,2.84,3.03633,1.23107,0.226996,0.0747602,0.1522362679243087,0.244672,1.25818,0.292215,0.722076,,,4.10192,0.0774814,0.0303829,999.0,2.96822,-1.93905,1.21511,2.96822,1.93905,3.37985,103.90000000000002,4.329166666666668,104,4.333333333333333,,,,,,,,,,,,,,,,,,,Chase Lee,29574,695445,695445.0
520,Chase Silseth,LAA,1.83648,2.10597,0.0,4.19262,39.6976,0.0,0.0,2.55571,0.388097,45.9222,198.331,41.7383,23.2529,21.3927,5.74567,20.6861,1.23024,2.27277,44.8503,8.78993,4.05413,2.16814,1.12606,0.226139,0.104301,0.1218379810452461,0.237999,1.35935,0.288458,0.720323,,,4.3082,0.077383,0.100173,999.0,2.11648,-2.05118,0.817235,2.11648,2.05118,3.91035,190.40000000000003,4.13913043478261,185,4.021739130434782,,,,,,,,,,,,,,,,,,,Chase Silseth,30074,681217,681217.0
521,Tanner McDougal,CWS,1.06613,1.76345,1.4058,4.70163,10.7739,3.93566,0.0,0.415339,0.0,26.0101,114.864,25.5451,14.7693,13.5878,3.60853,12.2792,0.289867,1.35038,22.2717,7.70644,4.24886,1.81376,1.24862,0.193896,0.106902,0.086993396282196,0.252336,1.45422,0.291113,0.703489,,,4.7982,0.0773634,0.0505431,999.0,1.92505,1.36409,1.04964,1.92505,-1.36409,3.60048,80.6,3.1,83,3.1923076923076925,,,,,,,,,,,,,,,,,,,Tanner McDougal,sa3017471,701780,
522,Dylan Ross,NYM,1.16949,0.975351,0.0,3.98415,30.5897,0.0,0.0176478,2.06859,0.826631,31.6386,136.629,26.505,15.2238,14.0059,3.54894,16.9845,0.798561,1.07118,33.4909,9.52692,4.83145,1.97186,1.00954,0.245123,0.124311,0.1208123415708541,0.223533,1.37457,0.281554,0.733775,,,4.18832,0.0769142,0.1763,999.0,2.13553,-1.44292,1.05869,2.13553,1.44292,3.58841,137.40000000000003,4.293750000000001,128,4.0,,,,,,,,,,,,,,,,,,,Dylan Ross,sa3025659,697811,
524,Joey Lucchesi,,1.7087,1.61291,0.0349852,4.20917,37.3342,0.19735,0.0,1.49746,0.0,41.8058,179.656,41.1639,21.2522,19.552,4.85578,15.2871,0.69987,1.5499,32.3951,6.97406,3.29102,2.11912,1.04536,0.180318,0.085091,0.0952266603708267,0.25282,1.35031,0.289151,0.708898,,,4.30354,0.0758041,0.0967396,999.0,1.28385,0.133539,0.945046,1.28385,-0.133539,3.73994,159.70000000000002,3.8023809523809526,162,3.857142857142857,,,,,,,,,,,,,,,,,,,Joey Lucchesi,19320,664192,664192.0
525,Grant Anderson,MIL,2.30466,2.89195,0.0,4.23619,52.6228,0.0,0.029872,6.97322,2.99771,56.8594,242.864,52.584,29.0903,26.763,7.76159,22.1569,1.8877,2.66195,55.899,8.84797,3.50711,2.52287,1.22854,0.230166,0.0912318,0.1389341130852699,0.241161,1.31449,0.29033,0.714691,,,4.25297,0.0742018,0.0900271,999.0,1.90313,-0.247147,0.671912,1.90313,0.247147,4.10412,250.6,4.396491228070175,246,4.315789473684211,,,,,,,,,,,,,,,,,,,Grant Anderson,20546,681982,681982.0
526,Tim Mayza,PHI,1.16189,0.822126,0.0,4.12502,23.9681,0.0,0.0,1.30758,0.629202,23.8073,102.367,24.0907,11.8606,10.9117,2.70635,8.00321,0.509314,0.993587,19.3584,7.31816,3.0255,2.41883,1.0231,0.189108,0.0781818,0.1109263747930526,0.258014,1.34807,0.299899,0.714832,,,4.12039,0.0739415,0.0882966,999.0,1.0461,-1.28876,1.19639,1.0461,1.28876,3.40481,93.3,3.8875000000000006,96,4.0,,,,,,,,,,,,,,,,,,,Tim Mayza,15042,641835,641835.0
